"var","categoria","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P08","9",0.28,0.087,0.361,0.055,0.246
"P10","Del Frente de Todos y el peronismo",0.1,0.798,0.025,0.268,0.101
"P10","De Cambiemos",0.812,0.131,0.23,0.106,0.55
"P10","De los Liberales libertarios",0.042,0.021,0.688,0.022,0.109
"P10","De la Izquierda",0.003,0.02,0,0.49,0.023
"P10","No sabe",0.043,0.03,0.057,0.114,0.217
"P11","A Alberto Fernández",0.113,0.124,0.327,0,0.126
"P11","A Sergio Massa",0.272,0.196,0.189,0.081,0.402
"P11","A algún candidato del peronismo",0.194,0.106,0.396,0.074,0.084
"P11","A algún candidato del kirchnerismo",0.421,0.574,0.088,0.845,0.388
"P12","A Alberto Fernández",0.095,0.05,0.066,0,0.19
"P12","A Sergio Massa",0.245,0.09,0.189,0.052,0.307
"P12","A algún candidato del peronismo",0.211,0.07,0.57,0.074,0.03
"P12","A Cristina Fernández de Kirchner",0.449,0.79,0.175,0.874,0.473
"P13","A Horacio Rodriguez Larreta",0.21,0.339,0.074,0.065,0.157
"P13","A Mauricio Macri",0.336,0.297,0.315,0,0.273
"P13","A Patricia Bullrich",0.403,0.203,0.576,0.457,0.468
"P13","A Facundo Manes",0.037,0.125,0.035,0.209,0.08
"P13","A Gerardo Morales",0.014,0.036,0,0.269,0.022
"P14","Del Frente de Todos y el peronismo",0.09,0.74,0.009,0.247,0.07
"P14","A Juntos por el Cambio",0.839,0.14,0.302,0.1,0.573
"P14","De los Liberales libertarios",0.043,0.031,0.634,0,0.088
"P14","De la Izquierda",0.004,0.071,0,0.561,0.06
"P14","No sabe",0.024,0.018,0.055,0.092,0.209
"P16","A Leandro Santoro",0.785,0.668,0.617,0.688,0.761
"P16","A Matias Lammens",0.174,0.152,0.383,0.128,0.091
"P16","A Mariano Recalde",0.041,0.18,0,0.184,0.148
"P17","A Soledad Acuña",0.046,0.059,0.04,0,0.035
"P17","A Jorge Macri",0.322,0.302,0.292,0.459,0.152
"P17","A Martín Lousteau",0.215,0.275,0.103,0.284,0.377
"P17","A Fernan Quirós",0.232,0.222,0.149,0.257,0.18
"P17","A Ricardo López Murphy",0.185,0.142,0.416,0,0.256
"P18","Lo votaría",0.31,0.113,0.079,0.051,0.304
"P18","Puede que lo vote",0.365,0.11,0.207,0.068,0.211
"P18","Nunca lo votaría",0.237,0.707,0.622,0.815,0.361
"P18","No sabe",0.088,0.07,0.092,0.066,0.124
"P19","Lo votaría",0.088,0.651,0.021,0.193,0.116
"P19","Puede que lo vote",0.104,0.148,0.069,0.257,0.133
"P19","Nunca lo votaría",0.707,0.159,0.849,0.517,0.611
"P19","No sabe",0.101,0.042,0.061,0.033,0.14
"P20","Lo votaría",0.153,0.076,0.059,0.036,0.05
"P20","Puede que lo vote",0.406,0.103,0.204,0.087,0.18
"P20","Nunca lo votaría",0.338,0.737,0.599,0.802,0.612
"P20","No sabe",0.103,0.084,0.138,0.075,0.158
"P21","Lo votaría",0.052,0.259,0.012,0.043,0.055
"P21","Puede que lo vote",0.091,0.397,0.064,0.181,0.141
"P21","Nunca lo votaría",0.774,0.278,0.803,0.645,0.704
"P21","No sabe",0.083,0.066,0.121,0.131,0.1
"P22","Lo votaría",0.392,0.121,0.125,0.032,0.207
"P22","Puede que lo vote",0.35,0.161,0.282,0.093,0.293
"P22","Nunca lo votaría",0.198,0.62,0.498,0.772,0.392
"P22","No sabe",0.06,0.098,0.095,0.103,0.108
"P23","Lo votaría",0.464,0.094,0.234,0.07,0.228
"P23","Puede que lo vote",0.321,0.054,0.353,0.035,0.251
"P23","Nunca lo votaría",0.175,0.829,0.331,0.834,0.445
"P23","No sabe",0.04,0.023,0.082,0.061,0.076
"P24","Lo votaría",0.428,0.073,0.113,0.022,0.134
"P24","Puede que lo vote",0.332,0.068,0.238,0.089,0.238
"P24","Nunca lo votaría",0.214,0.844,0.584,0.873,0.55
"P24","No sabe",0.026,0.015,0.065,0.016,0.078
"P25","Lo votaría",0.374,0.065,0.391,0.041,0.264
"P25","Puede que lo vote",0.336,0.064,0.341,0,0.257
"P25","Nunca lo votaría",0.243,0.842,0.2,0.932,0.4
"P25","No sabe",0.047,0.029,0.068,0.027,0.079
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.303,0.044,0.159,0.063,0.191
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.235,0.031,0.263,0.025,0.256
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.048,0.02,0.015,0.056,0.008
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.144,0.039,0.027,0.011,0.058
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.172,0.038,0.028,0.027,0.229
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.073,0.572,0.023,0.208,0.114
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.023,0.233,0.002,0.045,0.071
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.001,0.013,0.482,0.005,0.056
"P26","A los candidatos de la izquierda",0.001,0.01,0.001,0.56,0.017
"P26","No sabe",0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.298,0.043,0.149,0.068,0.187
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.255,0.033,0.291,0.025,0.274
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.048,0.018,0.001,0.037,0.008
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.135,0.031,0.02,0.019,0.087
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.171,0.029,0.036,0.018,0.187
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.075,0.573,0.015,0.063,0.095
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.012,0.249,0.002,0.025,0.045
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.003,0.002,0.485,0.005,0.073
"P27","A los candidatos de la izquierda",0.003,0.022,0.001,0.74,0.044
"P27","No sabe",0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.356,0.055,0.247,0.057,0.237
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.116,0.023,0.025,0.031,0.009
"P28","A Martín Lousteau como Jefe de Gobierno",0.236,0.066,0.063,0.074,0.289
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.176,0.042,0.133,0.005,0.183
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.074,0.629,0.006,0.224,0.142
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.017,0.135,0.008,0.011,0.028
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.012,0.019,0.416,0,0.034
"P28","A los candidatos de izquierda",0.002,0.012,0.097,0.427,0.02
"P28","No sabe",0.011,0.019,0.005,0.171,0.058
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.356,0.046,0.217,0.057,0.224
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.167,0.031,0.03,0.051,0.116
"P29","A Martín Lousteau como Jefe de Gobierno",0.19,0.055,0.083,0.092,0.245
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.114,0.206,0.102,0,0.125
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.074,0.497,0.004,0.066,0.076
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.073,0.129,0.034,0.06,0.056
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.009,0.006,0.448,0,0.034
"P29","A los candidatos de izquierda",0.002,0.013,0.078,0.444,0.026
"P29","No sabe",0.015,0.017,0.004,0.23,0.098
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.216,0.051,0.03,0.022,0.043
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.437,0.052,0.352,0.008,0.365
"P30","A Martín Lousteau como Jefe de Gobierno",0.189,0.056,0.071,0.086,0.275
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.086,0.617,0.012,0.159,0.108
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.02,0.162,0.007,0.016,0.087
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.026,0.016,0.387,0.056,0.037
"P30","A los candidatos de la izquierda",0.001,0.032,0.061,0.519,0
"P30","No sabe",0.025,0.014,0.08,0.134,0.085
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.221,0.045,0.027,0.008,0.049
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.474,0.066,0.358,0.013,0.351
"P31","A Martín Lousteau como Jefe de Gobierno",0.176,0.045,0.046,0.081,0.267
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.069,0.638,0.007,0.131,0.048
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.025,0.158,0.018,0.049,0.114
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.01,0.007,0.419,0,0.042
"P31","A los candidatos de la izquierda",0.002,0.032,0.044,0.634,0.008
"P31","No sabe",0.023,0.009,0.081,0.084,0.121
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.842,0.129,0.323,0.028,0.43
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.092,0.812,0.02,0.209,0.13
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.011,0.004,0.619,0,0.038
"P32","A los candidatos de la izquierda",0.004,0.021,0.012,0.669,0.027
"P32","No sabe",0.051,0.034,0.026,0.094,0.375
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.83,0.129,0.323,0.028,0.445
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.091,0.799,0.013,0.128,0.085
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.014,0.023,0.625,0.028,0.022
"P33","A los candidatos de la izquierda",0.011,0.016,0.019,0.728,0.033
"P33","No sabe",0.054,0.033,0.02,0.088,0.415
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.818,0.142,0.076,0.05,0.2
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.096,0.817,0.016,0.17,0.097
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.022,0.013,0.865,0.011,0.035
"P34","A los candidatos de la izquierda",0.002,0.015,0.006,0.676,0.01
"P34","No sabe",0.062,0.013,0.037,0.093,0.658
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.823,0.129,0.067,0.053,0.198
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.091,0.825,0.013,0.103,0.046
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.03,0.015,0.887,0.011,0.054
"P35","A los candidatos de la izquierda",0.005,0.021,0.019,0.745,0.04
"P35","No sabe",0.051,0.01,0.014,0.088,0.662
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.834,0.124,0.066,0.045,0.263
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.093,0.82,0.016,0.225,0.141
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.023,0.022,0.889,0.011,0.047
"P36","A los candidatos de la izquierda",0.004,0.021,0.013,0.625,0.013
"P36","No sabe",0.046,0.013,0.016,0.094,0.536
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.843,0.139,0.073,0.035,0.284
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.091,0.829,0.011,0.171,0.067
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.014,0.008,0.892,0.011,0.038
"P37","A los candidatos de la izquierda",0.005,0.011,0.002,0.713,0.023
"P37","No sabe",0.047,0.013,0.022,0.07,0.588
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.805,0.184,0.056,0.008,0.175
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.124,0.777,0.022,0.198,0.113
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.017,0.008,0.916,0.005,0.039
"P38","A los candidatos de la izquierda",0.01,0.016,0.002,0.717,0.033
"P38","No sabe",0.044,0.015,0.004,0.072,0.64
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.795,0.169,0.038,0.03,0.139
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.149,0.808,0.014,0.05,0.036
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.01,0.003,0.944,0,0.03
"P40","A los candidatos de la izquierda",0.006,0.009,0,0.843,0.034
"P40","No sabe",0.04,0.011,0.004,0.077,0.761
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.838,0.207,0.03,0.016,0.058
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.128,0.766,0.016,0.219,0.113
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.009,0.005,0.946,0.017,0.065
"P42","A los candidatos de la izquierda",0.003,0.01,0.004,0.685,0.008
"P42","No sabe",0.022,0.012,0.004,0.063,0.756
"P46","Jorge Macri por Juntos por el Cambio",0.847,0.114,0.65,0.127,0.44
"P46","Leandro Santoro por el Frente de Todos",0.092,0.861,0.032,0.52,0.16
"P46","No sabe",0.061,0.025,0.318,0.353,0.4
"P47","Soledad Acuña por Juntos por el Cambio",0.77,0.122,0.495,0.106,0.301
"P47","Leandro Santoro por el Frente de Todos",0.092,0.859,0.067,0.494,0.178
"P47","No sabe",0.138,0.019,0.438,0.4,0.521
"P48","Fernán Quirós por Juntos por el Cambio",0.847,0.141,0.528,0.123,0.465
"P48","Leandro Santoro por el Frente de Todos",0.094,0.833,0.056,0.506,0.138
"P48","No sabe",0.059,0.026,0.416,0.371,0.397
"P49","Martín Lousteau por Juntos por el Cambio",0.823,0.129,0.443,0.121,0.498
"P49","Leandro Santoro por el Frente de Todos",0.088,0.842,0.046,0.52,0.148
"P49","No sabe",0.089,0.029,0.511,0.359,0.354
"P50","María Eugenia Vidal por Juntos por el Cambio",0.864,0.122,0.429,0.071,0.287
"P50","Leandro Santoro por el Frente de Todos",0.09,0.857,0.057,0.548,0.188
"P50","No sabe",0.046,0.021,0.514,0.381,0.525
"P51","Muy buena",0.417,0.115,0.095,0.014,0.118
"P51","Buena",0.416,0.117,0.258,0.115,0.264
"P51","Ni buena ni mala",0.089,0.111,0.271,0.159,0.361
"P51","Mala",0.019,0.242,0.215,0.25,0.184
"P51","Muy mala",0.054,0.413,0.138,0.462,0.051
"P51","No sabe",0.005,0.002,0.023,0,0.022
"P52","Muy buena",0.381,0.078,0.204,0,0.201
"P52","Buena",0.326,0.064,0.214,0.106,0.161
"P52","Ni buena ni mala",0.167,0.151,0.336,0.073,0.313
"P52","Mala",0.045,0.224,0.118,0.311,0.168
"P52","Muy mala",0.057,0.462,0.09,0.504,0.135
"P52","No sabe",0.024,0.021,0.038,0.006,0.022
"P53","Muy buena",0.071,0.597,0.042,0.148,0.058
"P53","Buena",0.071,0.209,0.054,0.127,0.114
"P53","Ni buena ni mala",0.232,0.062,0.211,0.229,0.207
"P53","Mala",0.284,0.047,0.238,0.171,0.21
"P53","Muy mala",0.289,0.07,0.435,0.279,0.313
"P53","No sabe",0.053,0.015,0.02,0.046,0.098
"P54","Muy buena",0.4,0.115,0.072,0.039,0.064
"P54","Buena",0.337,0.047,0.198,0.11,0.179
"P54","Ni buena ni mala",0.117,0.068,0.257,0.048,0.297
"P54","Mala",0.053,0.129,0.218,0.171,0.2
"P54","Muy mala",0.092,0.64,0.242,0.632,0.225
"P54","No sabe",0.001,0.001,0.013,0,0.035
"P55","Muy buena",0.285,0.046,0.084,0.037,0.05
"P55","Buena",0.349,0.069,0.191,0.024,0.162
"P55","Ni buena ni mala",0.198,0.087,0.36,0.145,0.327
"P55","Mala",0.048,0.121,0.174,0.072,0.146
"P55","Muy mala",0.085,0.665,0.1,0.672,0.209
"P55","No sabe",0.035,0.012,0.091,0.05,0.106
"P56","Muy buena",0.303,0.07,0.086,0.049,0.202
"P56","Buena",0.308,0.083,0.107,0.045,0.21
"P56","Ni buena ni mala",0.209,0.146,0.278,0.193,0.232
"P56","Mala",0.107,0.306,0.243,0.276,0.134
"P56","Muy mala",0.063,0.391,0.274,0.402,0.157
"P56","No sabe",0.01,0.004,0.012,0.035,0.065
"P57","Muy buena",0.051,0.226,0.027,0.063,0.068
"P57","Buena",0.084,0.352,0.024,0.111,0.08
"P57","Ni buena ni mala",0.208,0.216,0.187,0.261,0.253
"P57","Mala",0.29,0.08,0.249,0.315,0.192
"P57","Muy mala",0.333,0.109,0.456,0.216,0.304
"P57","No sabe",0.034,0.017,0.057,0.034,0.103
"P58","Muy buena",0.436,0.071,0.379,0.017,0.267
"P58","Buena",0.223,0.073,0.25,0.037,0.235
"P58","Ni buena ni mala",0.185,0.108,0.213,0.119,0.197
"P58","Mala",0.046,0.128,0.053,0.118,0.071
"P58","Muy mala",0.099,0.615,0.099,0.695,0.147
"P58","No sabe",0.011,0.005,0.006,0.014,0.083
"P59","Muy buena",0.622,0.122,0.236,0.038,0.274
"P59","Buena",0.197,0.142,0.225,0.027,0.301
"P59","Ni buena ni mala",0.104,0.271,0.312,0.241,0.231
"P59","Mala",0.026,0.158,0.097,0.245,0.085
"P59","Muy mala",0.032,0.286,0.097,0.429,0.026
"P59","No sabe",0.019,0.021,0.033,0.02,0.083
"P60","Muy buena",0.068,0.335,0.035,0.05,0.083
"P60","Buena",0.052,0.3,0.034,0.115,0.057
"P60","Ni buena ni mala",0.141,0.13,0.176,0.405,0.14
"P60","Mala",0.257,0.076,0.17,0.154,0.197
"P60","Muy mala",0.431,0.115,0.471,0.235,0.428
"P60","No sabe",0.051,0.044,0.114,0.041,0.095
"P61","Muy buena",0.028,0.169,0.005,0.06,0.047
"P61","Buena",0.026,0.133,0,0.07,0.004
"P61","Ni buena ni mala",0.164,0.311,0.211,0.297,0.209
"P61","Mala",0.171,0.054,0.132,0.122,0.116
"P61","Muy mala",0.281,0.092,0.385,0.213,0.29
"P61","No sabe",0.33,0.241,0.267,0.238,0.334
"P62","Muy buena",0.017,0.16,0,0,0.013
"P62","Buena",0.037,0.44,0.005,0.041,0.008
"P62","Ni buena ni mala",0.063,0.216,0.055,0.221,0.12
"P62","Mala",0.133,0.068,0.097,0.434,0.166
"P62","Muy mala",0.726,0.103,0.829,0.29,0.633
"P62","No sabe",0.024,0.013,0.014,0.014,0.06
"P63","Muy buena",0.023,0.128,0,0.026,0.009
"P63","Buena",0.036,0.402,0,0.047,0.035
"P63","Ni buena ni mala",0.037,0.271,0.025,0.225,0.087
"P63","Mala",0.138,0.078,0.126,0.327,0.175
"P63","Muy mala",0.766,0.116,0.84,0.375,0.671
"P63","No sabe",0,0.005,0.009,0,0.023
"P64","Muy buena",0.057,0.663,0.02,0.234,0.099
"P64","Buena",0.017,0.127,0.008,0.241,0.052
"P64","Ni buena ni mala",0.014,0.05,0.02,0.1,0.045
"P64","Mala",0.068,0.028,0.088,0.187,0.107
"P64","Muy mala",0.842,0.13,0.852,0.238,0.689
"P64","No sabe",0.002,0.002,0.012,0,0.008
"P65","Muy buena",0.403,0.136,0.231,0.013,0.238
"P65","Buena",0.282,0.041,0.218,0.138,0.11
"P65","Ni buena ni mala",0.124,0.043,0.189,0.026,0.17
"P65","Mala",0.04,0.073,0.182,0.093,0.193
"P65","Muy mala",0.15,0.706,0.175,0.73,0.289
"P65","No sabe",0.001,0.001,0.005,0,0
"P66","Muy buena",0.303,0.094,0.047,0.014,0.036
"P66","Buena",0.417,0.051,0.13,0.037,0.223
"P66","Ni buena ni mala",0.16,0.078,0.22,0.112,0.261
"P66","Mala",0.04,0.138,0.273,0.134,0.293
"P66","Muy mala",0.078,0.639,0.325,0.703,0.187
"P66","No sabe",0.002,0,0.005,0,0
"P67","Muy buena",0.029,0.162,0.01,0.043,0.032
"P67","Buena",0.076,0.381,0.044,0.144,0.119
"P67","Ni buena ni mala",0.079,0.221,0.053,0.182,0.149
"P67","Mala",0.205,0.068,0.223,0.319,0.169
"P67","Muy mala",0.603,0.165,0.664,0.312,0.488
"P67","No sabe",0.008,0.003,0.006,0,0.043
"P68","Muy buena",0.566,0.085,0.435,0.09,0.363
"P68","Buena",0.2,0.086,0.249,0.023,0.145
"P68","Ni buena ni mala",0.075,0.045,0.118,0.039,0.133
"P68","Mala",0.033,0.059,0.071,0.101,0.11
"P68","Muy mala",0.122,0.722,0.119,0.747,0.213
"P68","No sabe",0.004,0.003,0.008,0,0.036
"P69","Muy buena",0.084,0.033,0.532,0.023,0.076
"P69","Buena",0.126,0.02,0.299,0,0.062
"P69","Ni buena ni mala",0.359,0.073,0.13,0.033,0.297
"P69","Mala",0.212,0.071,0.022,0.116,0.19
"P69","Muy mala",0.194,0.797,0.016,0.828,0.319
"P69","No sabe",0.025,0.006,0.001,0,0.056
"P70","Muy buena",0.08,0.049,0.092,0.014,0.092
"P70","Buena",0.179,0.116,0.097,0.03,0.138
"P70","Ni buena ni mala",0.397,0.336,0.363,0.245,0.283
"P70","Mala",0.181,0.179,0.183,0.159,0.182
"P70","Muy mala",0.136,0.285,0.224,0.489,0.225
"P70","No sabe",0.027,0.035,0.041,0.063,0.08
"P71","Siempre",0.346,0.3,0.302,0.315,0.241
"P71","Casi siempre",0.456,0.438,0.359,0.359,0.395
"P71","Casi nunca",0.152,0.168,0.215,0.23,0.239
"P71","Nunca, pero esta es una excepción",0.046,0.094,0.124,0.096,0.125
"P72","Si",0.612,0.529,0.633,0.583,0.465
"P72","No",0.388,0.471,0.367,0.417,0.535
