"var","categoria","A Leandro Santoro","A Matias Lammens","A Mariano Recalde"
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.029,0.028,0.005
"P30","A los candidatos de la izquierda",0.03,0.03,0.044
"P30","No sabe",0.046,0.076,0.059
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.012,0.03,0.015
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.009,0.054,0
"P31","A Martín Lousteau como Jefe de Gobierno",0.037,0.027,0
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.743,0.175,0.687
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.108,0.553,0.214
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.015,0.017,0.007
"P31","A los candidatos de la izquierda",0.057,0.004,0.063
"P31","No sabe",0.019,0.14,0.014
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.03,0.139,0.016
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.911,0.691,0.89
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.006,0.037,0.033
"P32","A los candidatos de la izquierda",0.027,0.055,0.053
"P32","No sabe",0.026,0.078,0.008
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.036,0.144,0.016
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.859,0.739,0.888
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.027,0.042,0
"P33","A los candidatos de la izquierda",0.043,0.012,0.058
"P33","No sabe",0.035,0.063,0.038
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.02,0.132,0.047
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.914,0.807,0.895
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.015,0.037,0
"P34","A los candidatos de la izquierda",0.03,0.006,0.037
"P34","No sabe",0.021,0.018,0.021
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.026,0.133,0.061
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.882,0.786,0.85
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.023,0.051,0
"P35","A los candidatos de la izquierda",0.042,0.012,0.064
"P35","No sabe",0.027,0.018,0.025
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.027,0.096,0.043
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.913,0.803,0.925
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.012,0.041,0
"P36","A los candidatos de la izquierda",0.039,0,0.027
"P36","No sabe",0.009,0.06,0.005
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.031,0.095,0
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.881,0.818,0.936
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.02,0.025,0
"P37","A los candidatos de la izquierda",0.046,0.006,0.064
"P37","No sabe",0.022,0.056,0
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.073,0.191,0.095
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.861,0.73,0.849
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.004,0.021,0
"P38","A los candidatos de la izquierda",0.046,0.033,0.051
"P38","No sabe",0.016,0.025,0.005
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.142,0.175,0.177
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.771,0.787,0.75
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.007,0.025,0
"P40","A los candidatos de la izquierda",0.059,0.006,0.05
"P40","No sabe",0.021,0.007,0.023
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.122,0.124,0.044
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.83,0.843,0.932
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.002,0.016,0
"P42","A los candidatos de la izquierda",0.026,0,0.01
"P42","No sabe",0.02,0.017,0.014
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.151,0.149,0.034
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.77,0.781,0.89
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.006,0.017,0
"P44","A los candidatos de la izquierda",0.049,0.04,0.056
"P44","No sabe",0.024,0.013,0.02
"P46","Jorge Macri por Juntos por el Cambio",0.038,0.176,0
"P46","Leandro Santoro por el Frente de Todos",0.936,0.813,0.967
"P46","No sabe",0.026,0.011,0.033
"P47","Soledad Acuña por Juntos por el Cambio",0.036,0.166,0.048
"P47","Leandro Santoro por el Frente de Todos",0.958,0.786,0.952
"P47","No sabe",0.006,0.048,0
"P48","Fernán Quirós por Juntos por el Cambio",0.061,0.202,0.065
"P48","Leandro Santoro por el Frente de Todos",0.929,0.71,0.927
"P48","No sabe",0.01,0.088,0.008
"P49","Martín Lousteau por Juntos por el Cambio",0.05,0.124,0.008
"P49","Leandro Santoro por el Frente de Todos",0.938,0.782,0.992
"P49","No sabe",0.012,0.094,0
"P50","María Eugenia Vidal por Juntos por el Cambio",0.038,0.163,0
"P50","Leandro Santoro por el Frente de Todos",0.943,0.782,0.992
"P50","No sabe",0.019,0.055,0.008
"P51","Muy buena",0.096,0.097,0
"P51","Buena",0.067,0.242,0.028
"P51","Ni buena ni mala",0.106,0.107,0.052
"P51","Mala",0.27,0.179,0.228
"P51","Muy mala",0.454,0.375,0.692
"P51","No sabe",0.007,0,0
"P52","Muy buena",0.051,0.088,0
"P52","Buena",0.021,0.073,0.008
"P52","Ni buena ni mala",0.159,0.15,0.09
"P52","Mala",0.254,0.287,0.222
"P52","Muy mala",0.497,0.402,0.672
"P52","No sabe",0.018,0,0.008
"P53","Muy buena",0.671,0.362,0.519
"P53","Buena",0.16,0.226,0.301
"P53","Ni buena ni mala",0.01,0.221,0.084
"P53","Mala",0.037,0.057,0.064
"P53","Muy mala",0.114,0.134,0.032
"P53","No sabe",0.008,0,0
"P54","Muy buena",0.081,0.127,0
"P54","Buena",0.01,0.075,0.021
"P54","Ni buena ni mala",0.038,0.038,0.021
"P54","Mala",0.134,0.229,0.117
"P54","Muy mala",0.735,0.531,0.841
"P54","No sabe",0.002,0,0
"P55","Muy buena",0.033,0.091,0.05
"P55","Buena",0.015,0.07,0.051
"P55","Ni buena ni mala",0.075,0.06,0.048
"P55","Mala",0.097,0.198,0.03
"P55","Muy mala",0.776,0.566,0.808
"P55","No sabe",0.004,0.015,0.013
"P56","Muy buena",0.022,0.029,0
"P56","Buena",0.049,0.123,0.037
"P56","Ni buena ni mala",0.166,0.112,0.068
"P56","Mala",0.336,0.405,0.251
"P56","Muy mala",0.425,0.331,0.644
"P56","No sabe",0.002,0,0
"P57","Muy buena",0.188,0.459,0.287
"P57","Buena",0.435,0.246,0.312
"P57","Ni buena ni mala",0.252,0.11,0.255
"P57","Mala",0.042,0.055,0.099
"P57","Muy mala",0.08,0.13,0.041
"P57","No sabe",0.003,0,0.006
"P58","Muy buena",0.056,0.152,0.021
"P58","Buena",0.028,0.089,0.013
"P58","Ni buena ni mala",0.084,0.154,0.035
"P58","Mala",0.103,0.123,0.163
"P58","Muy mala",0.727,0.482,0.768
"P58","No sabe",0.002,0,0
"P59","Muy buena",0.074,0.159,0.073
"P59","Buena",0.104,0.25,0.097
"P59","Ni buena ni mala",0.304,0.342,0.24
"P59","Mala",0.192,0.105,0.167
"P59","Muy mala",0.326,0.144,0.423
"P59","No sabe",0,0,0
"P60","Muy buena",0.33,0.226,0.579
"P60","Buena",0.373,0.17,0.248
"P60","Ni buena ni mala",0.177,0.284,0.061
"P60","Mala",0.042,0.132,0.022
"P60","Muy mala",0.054,0.172,0.09
"P60","No sabe",0.024,0.016,0
"P61","Muy buena",0.174,0.163,0.293
"P61","Buena",0.131,0.112,0.131
"P61","Ni buena ni mala",0.34,0.431,0.374
"P61","Mala",0.014,0.053,0.014
"P61","Muy mala",0.053,0.052,0.027
"P61","No sabe",0.288,0.189,0.161
"P62","Muy buena",0.161,0.126,0.205
"P62","Buena",0.477,0.234,0.478
"P62","Ni buena ni mala",0.243,0.463,0.21
"P62","Mala",0.086,0.066,0.069
"P62","Muy mala",0.011,0.111,0.027
"P62","No sabe",0.022,0,0.011
"P63","Muy buena",0.157,0.112,0.182
"P63","Buena",0.432,0.227,0.473
"P63","Ni buena ni mala",0.264,0.382,0.253
"P63","Mala",0.116,0.163,0.081
"P63","Muy mala",0.029,0.116,0.011
"P63","No sabe",0.002,0,0
"P64","Muy buena",0.768,0.469,0.758
"P64","Buena",0.154,0.108,0.176
"P64","Ni buena ni mala",0.026,0.181,0.066
"P64","Mala",0.009,0.011,0
"P64","Muy mala",0.043,0.231,0
"P64","No sabe",0,0,0
"P65","Muy buena",0.116,0.065,0.047
"P65","Buena",0.002,0.052,0
"P65","Ni buena ni mala",0.018,0.095,0
"P65","Mala",0.063,0.096,0.034
"P65","Muy mala",0.799,0.692,0.919
"P65","No sabe",0.002,0,0
"P66","Muy buena",0.026,0.13,0
"P66","Buena",0.009,0.037,0.022
"P66","Ni buena ni mala",0.061,0.114,0.015
"P66","Mala",0.174,0.212,0.056
"P66","Muy mala",0.73,0.507,0.907
"P66","No sabe",0,0,0
"P67","Muy buena",0.156,0.244,0.234
"P67","Buena",0.488,0.415,0.275
"P67","Ni buena ni mala",0.181,0.174,0.297
"P67","Mala",0.07,0.064,0.062
"P67","Muy mala",0.102,0.103,0.132
"P67","No sabe",0.003,0,0
"P68","Muy buena",0.027,0.149,0.015
"P68","Buena",0.058,0.055,0.068
"P68","Ni buena ni mala",0.035,0.031,0
"P68","Mala",0.062,0.019,0.045
"P68","Muy mala",0.814,0.746,0.872
"P68","No sabe",0.004,0,0
"P69","Muy buena",0.028,0.087,0
"P69","Buena",0.011,0.03,0
"P69","Ni buena ni mala",0.032,0.047,0
"P69","Mala",0.04,0.058,0.034
"P69","Muy mala",0.886,0.778,0.914
"P69","No sabe",0.003,0,0.052
"P70","Muy buena",0.054,0.03,0
"P70","Buena",0.115,0.073,0.074
"P70","Ni buena ni mala",0.326,0.46,0.341
"P70","Mala",0.15,0.183,0.23
"P70","Muy mala",0.312,0.254,0.355
"P70","No sabe",0.043,0,0
"P71","Siempre",0.35,0.288,0.157
"P71","Casi siempre",0.415,0.53,0.445
"P71","Casi nunca",0.177,0.125,0.207
"P71","Nunca, pero esta es una excepción",0.058,0.057,0.191
"P72","Si",0.608,0.546,0.58
"P72","No",0.392,0.454,0.42
