"var","categoria","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P17","A Ricardo López Murphy",0.158,0.255,0.421,0,0.284
"P18","Lo votaría",0.341,0.063,0.087,0.093,0.324
"P18","Puede que lo vote",0.355,0.116,0.184,0.088,0.214
"P18","Nunca lo votaría",0.223,0.752,0.631,0.768,0.273
"P18","No sabe",0.081,0.069,0.098,0.051,0.189
"P19","Lo votaría",0.072,0.669,0.028,0.125,0.087
"P19","Puede que lo vote",0.111,0.149,0.059,0.257,0.146
"P19","Nunca lo votaría",0.712,0.15,0.843,0.584,0.6
"P19","No sabe",0.105,0.032,0.07,0.034,0.167
"P20","Lo votaría",0.142,0.076,0.065,0.038,0.054
"P20","Puede que lo vote",0.414,0.075,0.186,0.137,0.172
"P20","Nunca lo votaría",0.323,0.787,0.609,0.752,0.604
"P20","No sabe",0.121,0.062,0.14,0.073,0.17
"P21","Lo votaría",0.029,0.273,0.012,0.027,0.078
"P21","Puede que lo vote",0.092,0.415,0.055,0.186,0.105
"P21","Nunca lo votaría",0.789,0.246,0.801,0.67,0.712
"P21","No sabe",0.09,0.066,0.132,0.117,0.105
"P22","Lo votaría",0.392,0.088,0.133,0.047,0.188
"P22","Puede que lo vote",0.339,0.192,0.255,0.153,0.319
"P22","Nunca lo votaría",0.197,0.641,0.499,0.697,0.359
"P22","No sabe",0.072,0.079,0.113,0.103,0.134
"P23","Lo votaría",0.492,0.057,0.21,0.027,0.239
"P23","Puede que lo vote",0.315,0.063,0.334,0.025,0.257
"P23","Nunca lo votaría",0.149,0.865,0.366,0.882,0.428
"P23","No sabe",0.044,0.015,0.09,0.066,0.076
"P24","Lo votaría",0.427,0.053,0.124,0.039,0.164
"P24","Puede que lo vote",0.329,0.057,0.226,0.079,0.297
"P24","Nunca lo votaría",0.211,0.883,0.584,0.831,0.472
"P24","No sabe",0.033,0.007,0.066,0.051,0.067
"P25","Lo votaría",0.373,0.041,0.395,0.06,0.255
"P25","Puede que lo vote",0.346,0.07,0.317,0.012,0.277
"P25","Nunca lo votaría",0.229,0.877,0.204,0.877,0.4
"P25","No sabe",0.052,0.012,0.084,0.051,0.068
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.302,0.035,0.161,0.016,0.219
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.247,0.032,0.247,0.047,0.216
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.052,0.01,0.015,0.039,0.036
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.134,0.031,0.039,0.032,0.062
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.187,0.031,0.015,0.057,0.252
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.045,0.623,0.016,0.128,0.091
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.027,0.226,0.002,0.027,0.08
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.006,0.01,0.502,0.039,0.031
"P26","A los candidatos de la izquierda",0,0.002,0.003,0.615,0.013
"P26","No sabe",0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.301,0.033,0.153,0.016,0.198
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.257,0.038,0.267,0.046,0.247
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.047,0.009,0.01,0.024,0.027
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.129,0.036,0.01,0.039,0.089
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.193,0.023,0.027,0.049,0.217
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.04,0.591,0.012,0.149,0.077
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.028,0.221,0.004,0.012,0.068
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.004,0.002,0.514,0.039,0.054
"P27","A los candidatos de la izquierda",0.001,0.047,0.003,0.626,0.023
"P27","No sabe",0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.36,0.05,0.221,0.016,0.223
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.12,0.009,0.029,0.019,0.034
"P28","A Martín Lousteau como Jefe de Gobierno",0.256,0.039,0.063,0.136,0.336
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.175,0.043,0.125,0.014,0.185
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.042,0.702,0.004,0.135,0.111
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.02,0.119,0.008,0,0.024
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.012,0.018,0.444,0,0.038
"P28","A los candidatos de izquierda",0.002,0.004,0.093,0.501,0.002
"P28","No sabe",0.013,0.016,0.013,0.179,0.047
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.362,0.046,0.193,0.011,0.219
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.169,0.015,0.037,0.035,0.164
"P29","A Martín Lousteau como Jefe de Gobierno",0.207,0.037,0.084,0.143,0.265
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.117,0.204,0.094,0.009,0.151
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.033,0.534,0.001,0.072,0.068
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.083,0.105,0.04,0.035,0.029
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.012,0.007,0.462,0.009,0.031
"P29","A los candidatos de izquierda",0.002,0.017,0.077,0.449,0.014
"P29","No sabe",0.015,0.035,0.012,0.237,0.059
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.242,0.021,0.019,0,0.048
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.445,0.052,0.321,0.016,0.366
"P30","A Martín Lousteau como Jefe de Gobierno",0.195,0.035,0.087,0.131,0.304
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.053,0.68,0.004,0.081,0.101
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.018,0.163,0,0.023,0.061
