"var","categoria","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P27","A los candidatos de la izquierda",0.002,0.038,0.002,0.616,0.032
"P27","No sabe",0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.393,0.011,0.222,0.032,0.276
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.131,0.001,0.024,0,0.023
"P28","A Martín Lousteau como Jefe de Gobierno",0.254,0.033,0.072,0.064,0.303
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.18,0.018,0.13,0.082,0.148
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.76,0.011,0.185,0.119
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.011,0.144,0.005,0.035,0.039
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.01,0.012,0.434,0.026,0.032
"P28","A los candidatos de izquierda",0.003,0.008,0.093,0.387,0.007
"P28","No sabe",0.01,0.013,0.009,0.189,0.053
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.381,0.001,0.192,0.027,0.259
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.195,0.009,0.028,0.02,0.118
"P29","A Martín Lousteau como Jefe de Gobierno",0.193,0.026,0.117,0.075,0.226
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.119,0.214,0.093,0.069,0.096
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.011,0.566,0.002,0.083,0.082
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.079,0.136,0.034,0.007,0.084
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.004,0.007,0.452,0.033,0.032
"P29","A los candidatos de izquierda",0.004,0.019,0.073,0.444,0.011
"P29","No sabe",0.014,0.022,0.009,0.242,0.092
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.251,0.012,0.02,0,0.061
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.461,0.009,0.334,0.067,0.314
"P30","A Martín Lousteau como Jefe de Gobierno",0.203,0.023,0.094,0.052,0.307
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.021,0.718,0.009,0.114,0.102
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.188,0.009,0.06,0.071
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.027,0.024,0.398,0.036,0.039
"P30","A los candidatos de la izquierda",0.005,0.015,0.06,0.487,0.014
"P30","No sabe",0.023,0.011,0.076,0.184,0.092
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.258,0.007,0.019,0.054,0.063
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.51,0.005,0.334,0.044,0.325
"P31","A Martín Lousteau como Jefe de Gobierno",0.173,0.016,0.064,0.057,0.315
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.012,0.724,0.012,0.071,0.06
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.017,0.203,0.01,0.017,0.053
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.01,0.01,0.437,0.044,0.043
"P31","A los candidatos de la izquierda",0.004,0.028,0.045,0.601,0.005
"P31","No sabe",0.016,0.007,0.079,0.112,0.136
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.906,0.015,0.315,0.035,0.453
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.016,0.936,0.019,0.228,0.114
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.021,0.017,0.619,0.033,0.03
"P32","A los candidatos de la izquierda",0.008,0.009,0.014,0.625,0.027
"P32","No sabe",0.049,0.023,0.033,0.079,0.376
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.909,0.011,0.301,0.025,0.439
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.018,0.933,0.016,0.052,0.042
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.025,0.013,0.649,0.069,0.007
"P33","A los candidatos de la izquierda",0.007,0.015,0.019,0.81,0.007
"P33","No sabe",0.041,0.028,0.015,0.044,0.505
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.922,0.009,0.055,0.045,0.155
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.006,0.973,0.011,0.163,0.084
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.022,0.004,0.894,0.047,0.012
"P34","A los candidatos de la izquierda",0.003,0.005,0.006,0.666,0.004
"P34","No sabe",0.047,0.009,0.034,0.079,0.745
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.905,0.01,0.08,0.043,0.297
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.005,0.968,0.01,0.18,0.105
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.033,0.003,0.889,0.056,0.014
"P36","A los candidatos de la izquierda",0.003,0.014,0.009,0.685,0.002
"P36","No sabe",0.054,0.005,0.012,0.036,0.582
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.914,0.007,0.091,0.089,0.319
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.009,0.967,0.02,0.118,0.034
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.023,0.008,0.876,0.057,0.02
"P37","A los candidatos de la izquierda",0.005,0.006,0.001,0.706,0.002
"P37","No sabe",0.049,0.012,0.012,0.03,0.625
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.861,0.091,0.076,0.022,0.172
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.062,0.884,0.023,0.177,0.083
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.021,0.005,0.889,0.073,0.05
"P38","A los candidatos de la izquierda",0.01,0.01,0.004,0.706,0.012
"P38","No sabe",0.046,0.01,0.008,0.022,0.683
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.803,0.136,0.063,0.04,0.178
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.123,0.825,0.032,0.08,0.041
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.024,0.002,0.892,0.076,0.026
"P40","A los candidatos de la izquierda",0.011,0.018,0.001,0.758,0.002
"P40","No sabe",0.039,0.019,0.012,0.046,0.753
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.852,0.094,0.061,0.09,0.191
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.067,0.879,0.021,0.096,0.121
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.029,0.007,0.901,0.079,0.049
"P42","A los candidatos de la izquierda",0.004,0.001,0.002,0.671,0.009
"P42","No sabe",0.048,0.019,0.015,0.064,0.63
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.816,0.125,0.055,0.035,0.217
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.094,0.834,0.02,0.125,0.031
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.037,0.01,0.899,0.086,0.033
"P44","A los candidatos de la izquierda",0.006,0.016,0.002,0.678,0.042
"P44","No sabe",0.047,0.015,0.024,0.076,0.677
"P46","Jorge Macri por Juntos por el Cambio",0.912,0.016,0.633,0.088,0.518
"P46","Leandro Santoro por el Frente de Todos",0.021,0.965,0.039,0.484,0.151
"P46","No sabe",0.067,0.019,0.328,0.428,0.331
"P47","Soledad Acuña por Juntos por el Cambio",0.849,0.012,0.474,0.113,0.349
"P47","Leandro Santoro por el Frente de Todos",0.013,0.972,0.077,0.436,0.169
"P47","No sabe",0.138,0.016,0.449,0.451,0.482
"P48","Fernán Quirós por Juntos por el Cambio",0.911,0.035,0.534,0.093,0.516
"P48","Leandro Santoro por el Frente de Todos",0.011,0.949,0.057,0.475,0.147
"P48","No sabe",0.078,0.016,0.409,0.432,0.337
"P49","Martín Lousteau por Juntos por el Cambio",0.872,0.024,0.45,0.17,0.558
"P49","Leandro Santoro por el Frente de Todos",0.014,0.961,0.058,0.426,0.128
"P49","No sabe",0.114,0.015,0.492,0.404,0.314
"P50","María Eugenia Vidal por Juntos por el Cambio",0.903,0.018,0.442,0.046,0.41
"P50","Leandro Santoro por el Frente de Todos",0.017,0.969,0.059,0.503,0.178
"P50","No sabe",0.08,0.013,0.499,0.451,0.412
"P51","Muy buena",0.425,0.082,0.11,0.065,0.121
"P51","Buena",0.415,0.083,0.291,0.051,0.326
"P51","Ni buena ni mala",0.1,0.105,0.263,0.214,0.328
"P51","Mala",0.025,0.256,0.195,0.268,0.154
"P51","Muy mala",0.029,0.469,0.123,0.391,0.056
"P51","No sabe",0.006,0.005,0.018,0.011,0.015
"P52","Muy buena",0.414,0.029,0.216,0,0.181
"P52","Buena",0.337,0.025,0.232,0.035,0.222
"P52","Ni buena ni mala",0.18,0.134,0.326,0.089,0.328
"P52","Mala",0.032,0.243,0.119,0.347,0.148
"P52","Muy mala",0.013,0.538,0.081,0.523,0.099
"P52","No sabe",0.024,0.031,0.026,0.006,0.022
"P53","Muy buena",0.036,0.63,0.044,0.187,0.083
"P53","Buena",0.067,0.212,0.057,0.125,0.118
"P53","Ni buena ni mala",0.246,0.04,0.23,0.097,0.24
"P53","Mala",0.283,0.028,0.243,0.223,0.235
"P53","Muy mala",0.314,0.079,0.404,0.324,0.225
"P53","No sabe",0.054,0.011,0.022,0.044,0.099
"P54","Muy buena",0.397,0.077,0.091,0.056,0.126
"P54","Buena",0.339,0.011,0.222,0.028,0.261
"P54","Ni buena ni mala",0.142,0.033,0.26,0.122,0.251
"P54","Mala",0.069,0.137,0.197,0.176,0.157
"P54","Muy mala",0.052,0.735,0.225,0.618,0.169
"P54","No sabe",0.001,0.007,0.005,0,0.036
"P55","Muy buena",0.306,0.01,0.073,0.052,0.078
"P55","Buena",0.385,0.018,0.195,0.006,0.151
"P55","Ni buena ni mala",0.205,0.057,0.381,0.135,0.348
"P55","Mala",0.04,0.12,0.173,0.146,0.158
"P55","Muy mala",0.028,0.779,0.094,0.627,0.148
"P55","No sabe",0.036,0.016,0.084,0.034,0.117
"P56","Muy buena",0.308,0.022,0.103,0.077,0.263
"P56","Buena",0.337,0.036,0.126,0.053,0.17
"P56","Ni buena ni mala",0.219,0.136,0.274,0.204,0.221
"P56","Mala",0.087,0.333,0.238,0.292,0.151
"P56","Muy mala",0.039,0.469,0.247,0.34,0.129
"P56","No sabe",0.01,0.004,0.012,0.034,0.066
"P57","Muy buena",0.047,0.22,0.032,0.096,0.078
"P57","Buena",0.06,0.401,0.032,0.046,0.049
"P57","Ni buena ni mala",0.223,0.204,0.183,0.295,0.215
"P57","Mala",0.284,0.055,0.259,0.238,0.308
"P57","Muy mala",0.349,0.11,0.437,0.28,0.237
"P57","No sabe",0.037,0.01,0.057,0.045,0.113
"P58","Muy buena",0.461,0.017,0.378,0.092,0.279
"P58","Buena",0.253,0.049,0.236,0.069,0.196
"P58","Ni buena ni mala",0.181,0.09,0.233,0.075,0.247
"P58","Mala",0.046,0.123,0.061,0.134,0.064
"P58","Muy mala",0.045,0.72,0.084,0.63,0.124
"P58","No sabe",0.014,0.001,0.008,0,0.09
"P59","Muy buena",0.66,0.041,0.246,0.104,0.279
"P59","Buena",0.205,0.127,0.217,0.109,0.296
"P59","Ni buena ni mala",0.103,0.283,0.319,0.174,0.231
"P59","Mala",0.004,0.186,0.11,0.237,0.067
"P59","Muy mala",0.009,0.345,0.072,0.371,0.028
"P59","No sabe",0.019,0.018,0.036,0.005,0.099
"P60","Muy buena",0.05,0.35,0.04,0.114,0.074
"P60","Buena",0.029,0.331,0.033,0.149,0.051
"P60","Ni buena ni mala",0.149,0.146,0.186,0.25,0.109
"P60","Mala",0.258,0.044,0.188,0.142,0.253
"P60","Muy mala",0.463,0.089,0.443,0.306,0.392
"P60","No sabe",0.051,0.04,0.11,0.039,0.121
"P61","Muy buena",0.013,0.184,0.006,0.123,0.029
"P61","Buena",0.016,0.145,0.001,0.078,0.004
"P61","Ni buena ni mala",0.158,0.327,0.229,0.235,0.179
"P61","Mala",0.173,0.031,0.138,0.157,0.143
"P61","Muy mala",0.309,0.08,0.356,0.227,0.266
"P61","No sabe",0.331,0.233,0.27,0.18,0.379
"P62","Muy buena",0.006,0.163,0.004,0.056,0.013
"P62","Buena",0.01,0.464,0.006,0.077,0.031
"P62","Ni buena ni mala",0.038,0.275,0.045,0.169,0.094
"P62","Mala",0.131,0.061,0.109,0.426,0.173
"P62","Muy mala",0.792,0.024,0.822,0.272,0.616
"P62","No sabe",0.023,0.013,0.014,0,0.073
"P63","Muy buena",0.01,0.135,0.007,0.064,0.009
"P63","Buena",0.006,0.44,0.001,0.064,0.041
"P63","Ni buena ni mala",0.031,0.293,0.016,0.211,0.069
"P63","Mala",0.122,0.101,0.126,0.302,0.187
"P63","Muy mala",0.831,0.026,0.841,0.359,0.67
"P63","No sabe",0,0.005,0.009,0,0.024
"P64","Muy buena",0.002,0.75,0.016,0.237,0.081
"P64","Buena",0.009,0.14,0.016,0.21,0.05
"P64","Ni buena ni mala",0.018,0.063,0.012,0.061,0.023
"P64","Mala",0.062,0.017,0.092,0.24,0.13
"P64","Muy mala",0.907,0.028,0.852,0.252,0.708
"P64","No sabe",0.002,0.002,0.012,0,0.008
"P65","Muy buena",0.415,0.098,0.237,0.069,0.248
"P65","Buena",0.283,0.024,0.228,0.022,0.193
"P65","Ni buena ni mala",0.136,0.024,0.194,0.053,0.154
"P65","Mala",0.053,0.074,0.175,0.131,0.139
"P65","Muy mala",0.112,0.779,0.161,0.725,0.266
"P65","No sabe",0.001,0.001,0.005,0,0
"P66","Muy buena",0.318,0.039,0.06,0.056,0.071
"P66","Buena",0.425,0.02,0.14,0.04,0.247
"P66","Ni buena ni mala",0.166,0.053,0.236,0.058,0.311
"P66","Mala",0.047,0.165,0.259,0.138,0.222
"P66","Muy mala",0.041,0.723,0.3,0.708,0.149
"P66","No sabe",0.003,0,0.005,0,0
"P67","Muy buena",0.028,0.157,0.012,0.08,0.029
"P67","Buena",0.042,0.45,0.031,0.124,0.091
"P67","Ni buena ni mala",0.079,0.219,0.067,0.109,0.165
"P67","Mala",0.204,0.057,0.232,0.331,0.179
"P67","Muy mala",0.639,0.114,0.653,0.356,0.491
"P67","No sabe",0.008,0.003,0.005,0,0.045
"P68","Muy buena",0.588,0.03,0.45,0.088,0.398
"P68","Buena",0.206,0.052,0.264,0.059,0.173
"P68","Ni buena ni mala",0.082,0.035,0.11,0.04,0.156
"P68","Mala",0.035,0.073,0.054,0.102,0.1
"P68","Muy mala",0.085,0.807,0.114,0.711,0.136
"P68","No sabe",0.004,0.003,0.008,0,0.037
"P69","Muy buena",0.094,0.015,0.532,0.079,0.073
"P69","Buena",0.127,0.009,0.304,0.059,0.054
"P69","Ni buena ni mala",0.374,0.036,0.126,0.017,0.352
"P69","Mala",0.226,0.052,0.018,0.061,0.219
"P69","Muy mala",0.152,0.882,0.019,0.784,0.252
"P69","No sabe",0.027,0.006,0.001,0,0.05
"P70","Muy buena",0.086,0.033,0.086,0.079,0.092
"P70","Buena",0.182,0.09,0.096,0.102,0.169
"P70","Ni buena ni mala",0.4,0.347,0.358,0.151,0.29
"P70","Mala",0.182,0.178,0.194,0.161,0.159
"P70","Muy mala",0.126,0.321,0.224,0.445,0.184
"P70","No sabe",0.024,0.031,0.042,0.062,0.106
"P71","Siempre",0.347,0.292,0.299,0.357,0.24
"P71","Casi siempre",0.459,0.42,0.359,0.425,0.397
"P71","Casi nunca",0.139,0.193,0.227,0.112,0.257
"P71","Nunca, pero esta es una excepción",0.055,0.095,0.115,0.106,0.106
"P72","Si",0.589,0.549,0.623,0.645,0.49
"P72","No",0.411,0.451,0.377,0.355,0.51
