"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P34","No sabe",0.028,0.143,0.071,0.104,0.27
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.049,0.731,0.112,0.045,0.238
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.853,0.026,0.02,0.109,0.16
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.019,0.105,0.797,0.01,0.229
"P35","A los candidatos de la izquierda",0.046,0.008,0.02,0.759,0.082
"P35","No sabe",0.033,0.13,0.051,0.077,0.291
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.055,0.755,0.118,0.055,0.23
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.883,0.028,0.023,0.18,0.218
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.016,0.092,0.821,0.024,0.196
"P36","A los candidatos de la izquierda",0.035,0.01,0.005,0.663,0.065
"P36","No sabe",0.011,0.115,0.033,0.078,0.291
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.057,0.759,0.138,0.047,0.28
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.876,0.027,0.017,0.213,0.171
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.018,0.092,0.79,0,0.217
"P37","A los candidatos de la izquierda",0.033,0.006,0.005,0.665,0.076
"P37","No sabe",0.016,0.116,0.05,0.075,0.256
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.109,0.719,0.092,0,0.221
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.818,0.063,0.045,0.179,0.173
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.015,0.104,0.803,0.019,0.209
"P38","A los candidatos de la izquierda",0.031,0.01,0.012,0.724,0.084
"P38","No sabe",0.027,0.104,0.048,0.078,0.313
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.152,0.666,0.092,0.026,0.214
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.768,0.117,0.032,0.06,0.135
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.011,0.098,0.818,0.013,0.192
"P40","A los candidatos de la izquierda",0.038,0.011,0.006,0.804,0.083
"P40","No sabe",0.031,0.108,0.052,0.097,0.376
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.131,0.694,0.111,0.091,0.217
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.818,0.075,0.021,0.073,0.229
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.017,0.108,0.815,0,0.196
"P42","A los candidatos de la izquierda",0.013,0.007,0.01,0.773,0.062
"P42","No sabe",0.021,0.116,0.043,0.063,0.296
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.132,0.687,0.09,0.032,0.266
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.777,0.082,0.034,0.187,0.135
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.018,0.108,0.815,0,0.195
"P44","A los candidatos de la izquierda",0.041,0.011,0.005,0.71,0.081
"P44","No sabe",0.032,0.112,0.056,0.071,0.323
"P46","Jorge Macri por Juntos por el Cambio",0.055,0.868,0.592,0.051,0.368
"P46","Leandro Santoro por el Frente de Todos",0.905,0.039,0.053,0.445,0.346
"P46","No sabe",0.04,0.093,0.355,0.504,0.286
"P47","Soledad Acuña por Juntos por el Cambio",0.057,0.766,0.492,0,0.23
"P47","Leandro Santoro por el Frente de Todos",0.905,0.042,0.086,0.456,0.332
"P47","No sabe",0.038,0.192,0.422,0.544,0.438
"P48","Fernán Quirós por Juntos por el Cambio",0.071,0.855,0.501,0.032,0.4
"P48","Leandro Santoro por el Frente de Todos",0.894,0.041,0.05,0.456,0.3
"P48","No sabe",0.035,0.104,0.449,0.512,0.3
"P49","Martín Lousteau por Juntos por el Cambio",0.075,0.789,0.486,0.032,0.458
"P49","Leandro Santoro por el Frente de Todos",0.891,0.034,0.058,0.464,0.35
"P49","No sabe",0.034,0.177,0.456,0.504,0.192
"P50","María Eugenia Vidal por Juntos por el Cambio",0.05,0.82,0.448,0.02,0.294
"P50","Leandro Santoro por el Frente de Todos",0.918,0.036,0.069,0.473,0.358
"P50","No sabe",0.032,0.144,0.483,0.507,0.348
"P51","Muy buena",0.097,0.362,0.118,0.017,0.156
"P51","Buena",0.082,0.415,0.255,0.11,0.245
"P51","Ni buena ni mala",0.103,0.131,0.3,0.152,0.264
"P51","Mala",0.259,0.05,0.173,0.245,0.214
"P51","Muy mala",0.452,0.038,0.132,0.476,0.087
"P51","No sabe",0.007,0.004,0.022,0,0.034
"P52","Muy buena",0.039,0.401,0.156,0.017,0.106
"P52","Buena",0.034,0.324,0.212,0.049,0.177
"P52","Ni buena ni mala",0.149,0.192,0.345,0.023,0.287
"P52","Mala",0.239,0.043,0.141,0.285,0.213
"P52","Muy mala",0.518,0.028,0.103,0.618,0.106
"P52","No sabe",0.021,0.012,0.043,0.008,0.111
"P53","Muy buena",0.604,0.049,0.035,0.099,0.177
"P53","Buena",0.198,0.07,0.085,0.158,0.077
"P53","Ni buena ni mala",0.056,0.24,0.194,0.084,0.294
"P53","Mala",0.034,0.274,0.27,0.279,0.141
"P53","Muy mala",0.093,0.32,0.376,0.372,0.201
"P53","No sabe",0.015,0.047,0.04,0.008,0.11
"P54","Muy buena",0.087,0.344,0.102,0.012,0.129
"P54","Buena",0.024,0.34,0.184,0.029,0.157
"P54","Ni buena ni mala",0.033,0.174,0.252,0.102,0.175
"P54","Mala",0.143,0.081,0.189,0.079,0.255
"P54","Muy mala",0.707,0.054,0.27,0.757,0.275
"P54","No sabe",0.006,0.007,0.003,0.021,0.009
"P55","Muy buena",0.025,0.256,0.1,0,0.067
"P55","Buena",0.029,0.351,0.18,0.03,0.126
"P55","Ni buena ni mala",0.075,0.257,0.331,0.094,0.201
"P55","Mala",0.114,0.058,0.179,0.158,0.17
"P55","Muy mala",0.743,0.042,0.114,0.696,0.267
"P55","No sabe",0.014,0.036,0.096,0.022,0.169
"P56","Muy buena",0.044,0.278,0.126,0.05,0.177
"P56","Buena",0.047,0.287,0.128,0.098,0.247
"P56","Ni buena ni mala",0.142,0.23,0.287,0.056,0.189
"P56","Mala",0.322,0.115,0.209,0.382,0.156
"P56","Muy mala",0.445,0.072,0.23,0.392,0.182
"P56","No sabe",0,0.018,0.02,0.022,0.049
"P57","Muy buena",0.23,0.038,0.053,0.017,0.075
"P57","Buena",0.363,0.063,0.045,0.08,0.08
"P57","Ni buena ni mala",0.23,0.195,0.226,0.222,0.215
"P57","Mala",0.05,0.296,0.246,0.369,0.221
"P57","Muy mala",0.117,0.365,0.358,0.291,0.325
"P57","No sabe",0.01,0.043,0.072,0.021,0.084
"P58","Muy buena",0.048,0.46,0.317,0.033,0.168
"P58","Buena",0.041,0.245,0.253,0.053,0.2
"P58","Ni buena ni mala",0.079,0.191,0.248,0.094,0.219
"P58","Mala",0.125,0.046,0.062,0.04,0.133
"P58","Muy mala",0.705,0.043,0.093,0.759,0.242
"P58","No sabe",0.002,0.015,0.027,0.021,0.038
"P59","Muy buena",0.058,0.582,0.264,0.048,0.291
"P59","Buena",0.126,0.227,0.205,0.079,0.21
"P59","Ni buena ni mala",0.3,0.131,0.272,0.12,0.277
"P59","Mala",0.182,0.02,0.118,0.184,0.108
"P59","Muy mala",0.313,0.016,0.09,0.54,0.079
"P59","No sabe",0.021,0.024,0.051,0.029,0.035
"P60","Muy buena",0.362,0.052,0.038,0.017,0.03
"P60","Buena",0.312,0.031,0.047,0.181,0.064
"P60","Ni buena ni mala",0.148,0.137,0.172,0.318,0.231
"P60","Mala",0.046,0.251,0.202,0.163,0.204
"P60","Muy mala",0.094,0.473,0.417,0.301,0.341
"P60","No sabe",0.038,0.056,0.124,0.02,0.13
"P61","Muy buena",0.186,0.017,0.008,0.085,0.005
"P61","Buena",0.132,0.013,0.015,0.059,0.044
"P61","Ni buena ni mala",0.331,0.152,0.225,0.277,0.25
"P61","Mala",0.033,0.168,0.158,0.195,0.08
"P61","Muy mala",0.086,0.317,0.326,0.193,0.296
"P61","No sabe",0.232,0.333,0.268,0.191,0.325
"P62","Muy buena",0.162,0.008,0.011,0.017,0.005
"P62","Buena",0.445,0.011,0.007,0.079,0.07
"P62","Ni buena ni mala",0.257,0.042,0.068,0.17,0.116
"P62","Mala",0.065,0.121,0.149,0.442,0.202
"P62","Muy mala",0.059,0.789,0.753,0.292,0.551
"P62","No sabe",0.012,0.029,0.012,0,0.056
"P63","Muy buena",0.143,0.004,0.011,0.04,0.015
"P63","Buena",0.408,0.019,0.006,0.047,0.051
"P63","Ni buena ni mala",0.29,0.028,0.032,0.194,0.097
"P63","Mala",0.097,0.132,0.143,0.36,0.129
"P63","Muy mala",0.061,0.817,0.802,0.338,0.65
"P63","No sabe",0.001,0,0.006,0.021,0.058
"P64","Muy buena",0.742,0.018,0.017,0.055,0.083
"P64","Buena",0.12,0.017,0.018,0.305,0.09
"P64","Ni buena ni mala",0.056,0.008,0.019,0.07,0.126
"P64","Mala",0.013,0.071,0.111,0.333,0.079
"P64","Muy mala",0.069,0.883,0.824,0.237,0.6
"P64","No sabe",0,0.003,0.011,0,0.022
"P65","Muy buena",0.112,0.444,0.128,0.009,0.061
"P65","Buena",0.034,0.269,0.234,0.022,0.121
"P65","Ni buena ni mala",0.032,0.125,0.203,0.035,0.222
"P65","Mala",0.071,0.048,0.221,0.139,0.19
"P65","Muy mala",0.751,0.113,0.211,0.795,0.396
"P65","No sabe",0,0.001,0.003,0,0.01
"P66","Muy buena",0.05,0.279,0.062,0.012,0.042
"P66","Buena",0.037,0.39,0.132,0.022,0.167
"P66","Ni buena ni mala",0.059,0.187,0.233,0.06,0.223
"P66","Mala",0.166,0.079,0.241,0.069,0.273
"P66","Muy mala",0.688,0.065,0.324,0.837,0.285
"P66","No sabe",0,0,0.008,0,0.01
"P67","Muy buena",0.161,0.025,0.017,0.021,0.039
"P67","Buena",0.428,0.047,0.043,0.131,0.101
"P67","Ni buena ni mala",0.216,0.081,0.063,0.121,0.201
"P67","Mala",0.068,0.191,0.257,0.347,0.203
"P67","Muy mala",0.124,0.65,0.596,0.357,0.446
"P67","No sabe",0.003,0.006,0.024,0.023,0.01
"P68","Muy buena",0.045,0.608,0.37,0.021,0.186
"P68","Buena",0.071,0.175,0.305,0.043,0.205
"P68","Ni buena ni mala",0.04,0.088,0.123,0.012,0.106
"P68","Mala",0.073,0.031,0.08,0.152,0.087
"P68","Muy mala",0.769,0.092,0.102,0.772,0.406
"P68","No sabe",0.002,0.006,0.02,0,0.01
"P69","Muy buena",0.03,0.068,0.652,0,0.111
"P69","Buena",0.011,0.147,0.233,0.022,0.18
"P69","Ni buena ni mala",0.043,0.386,0.07,0.035,0.179
"P69","Mala",0.068,0.217,0.015,0.055,0.078
"P69","Muy mala",0.843,0.153,0.03,0.863,0.427
"P69","No sabe",0.005,0.029,0,0.025,0.025
"P70","Muy buena",0.046,0.06,0.131,0.012,0.154
"P70","Buena",0.105,0.158,0.121,0.098,0.142
"P70","Ni buena ni mala",0.336,0.386,0.364,0.126,0.3
"P70","Mala",0.174,0.212,0.136,0.088,0.132
"P70","Muy mala",0.307,0.155,0.177,0.579,0.245
"P70","No sabe",0.032,0.029,0.071,0.097,0.027
"P71","Siempre",0.322,0.333,0.274,0.324,0.217
"P71","Casi siempre",0.404,0.454,0.38,0.402,0.379
"P71","Casi nunca",0.184,0.158,0.241,0.086,0.216
"P71","Nunca, pero esta es una excepción",0.09,0.055,0.105,0.188,0.188
"P72","Si",0.554,0.602,0.569,0.672,0.501
"P72","No",0.446,0.398,0.431,0.328,0.499
