"var","categoria","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P66","Mala",0.011,0.14,0.082,0.148,0.212,0.241,0.203,0.241
"P66","Muy mala",0.033,0.112,0.063,0.748,0.617,0.354,0.665,0.265
"P66","No sabe",0,0.001,0,0,0,0.006,0,0.034
"P67","Muy buena",0.071,0.012,0.035,0.124,0.187,0.011,0.125,0.041
"P67","Buena",0.042,0.029,0.101,0.448,0.367,0.05,0.127,0.114
"P67","Ni buena ni mala",0.113,0.041,0.158,0.225,0.268,0.053,0.131,0.098
"P67","Mala",0.269,0.142,0.291,0.062,0.014,0.299,0.285,0.257
"P67","Muy mala",0.491,0.774,0.41,0.137,0.15,0.553,0.332,0.454
"P67","No sabe",0.014,0.002,0.005,0.004,0.014,0.034,0,0.036
"P68","Muy buena",0.464,0.73,0.339,0.027,0.061,0.218,0.034,0.339
"P68","Buena",0.234,0.167,0.242,0.062,0.028,0.344,0.103,0.188
"P68","Ni buena ni mala",0.155,0.013,0.216,0.027,0.058,0.169,0.101,0.088
"P68","Mala",0.056,0.009,0.101,0.076,0.054,0.09,0.101,0.113
"P68","Muy mala",0.076,0.08,0.097,0.804,0.799,0.143,0.661,0.256
"P68","No sabe",0.015,0.001,0.005,0.004,0,0.036,0,0.016
"P69","Muy buena",0.112,0.148,0.097,0.017,0.1,0.689,0.101,0.217
"P69","Buena",0.137,0.207,0.116,0.01,0,0.21,0,0.131
