"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P10","Del Frente de Todos y el peronismo",0.062,0.026,0.1,0.11,0.085,0.842,0.798,0.023,0.115,0.234
"P10","De Cambiemos",0.768,0.705,0.584,0.693,0.705,0.055,0.05,0.025,0.012,0.275
"P10","De los Liberales libertarios",0.113,0.193,0.106,0.096,0.054,0.018,0.03,0.849,0.019,0.161
"P10","De la Izquierda",0.015,0.005,0.027,0.006,0.02,0.02,0.02,0.006,0.725,0.04
"P10","No sabe",0.042,0.071,0.183,0.095,0.136,0.065,0.102,0.097,0.129,0.29
"P11","A Alberto Fernández",0.386,0.23,0.128,0.12,0.133,0.078,0.134,0.646,0.131,0.146
"P11","A Sergio Massa",0.181,0.188,0.213,0.155,0.332,0.185,0.242,0.089,0.033,0.334
"P11","A algún candidato del peronismo",0.261,0.582,0.325,0.368,0.204,0.108,0.15,0.06,0.206,0.112
"P11","A algún candidato del kirchnerismo",0.172,0,0.334,0.357,0.331,0.629,0.474,0.205,0.63,0.408
"P12","A Alberto Fernández",0.343,0.092,0,0.088,0.099,0.044,0.091,0.068,0.077,0.111
"P12","A Sergio Massa",0.181,0.361,0.306,0.076,0.218,0.097,0.164,0,0,0.127
"P12","A algún candidato del peronismo",0.261,0.485,0.419,0.332,0.276,0.053,0.117,0.12,0.289,0.089
"P12","A Cristina Fernández de Kirchner",0.215,0.062,0.275,0.504,0.407,0.806,0.628,0.812,0.634,0.673
"P13","A Horacio Rodriguez Larreta",0.067,0.072,0.477,0.492,0.526,0.234,0.39,0,0,0.39
"P13","A Mauricio Macri",0.371,0.377,0.315,0.29,0.168,0.124,0.202,0.535,0.459,0.248
"P13","A Patricia Bullrich",0.556,0.528,0.166,0.134,0.151,0.092,0.091,0.465,0,0.263
"P13","A Facundo Manes",0.004,0.015,0,0.039,0.088,0.388,0.214,0,0.295,0.075
"P13","A Gerardo Morales",0.002,0.008,0.042,0.045,0.067,0.162,0.103,0,0.246,0.024
"P14","Del Frente de Todos y el peronismo",0.047,0.019,0.091,0.09,0.058,0.802,0.77,0,0.135,0.181
"P14","A Juntos por el Cambio",0.823,0.717,0.719,0.793,0.792,0.036,0.061,0.053,0.014,0.261
"P14","De los Liberales libertarios",0.099,0.193,0.066,0.047,0.036,0.027,0.018,0.813,0.018,0.146
"P14","De la Izquierda",0.004,0.007,0.034,0.013,0.017,0.088,0.072,0.02,0.725,0.066
"P14","No sabe",0.027,0.064,0.09,0.057,0.097,0.047,0.079,0.114,0.108,0.346
"P16","A Leandro Santoro",0.577,0.373,0.366,0.756,0.624,0.737,0.415,0,0.609,0.569
"P16","A Matias Lammens",0.423,0.408,0.076,0.135,0.296,0.071,0.377,0,0.043,0.253
"P16","A Mariano Recalde",0,0.219,0.558,0.109,0.08,0.192,0.208,0,0.348,0.178
"P17","A Soledad Acuña",0.028,0.053,0.159,0.03,0.018,0.084,0.032,0.03,0.183,0.065
"P17","A Jorge Macri",0.574,0.189,0.361,0.146,0.124,0.23,0.057,0.281,0,0.21
"P17","A Martín Lousteau",0.144,0.129,0.233,0.112,0.661,0.297,0.349,0.223,0.817,0.196
"P17","A Fernan Quirós",0.14,0.162,0.189,0.639,0.138,0.2,0.324,0.158,0,0.322
"P17","A Ricardo López Murphy",0.114,0.467,0.058,0.073,0.059,0.189,0.238,0.308,0,0.207
"P18","Lo votaría",0.222,0.215,0.245,0.255,0.626,0.067,0.069,0.072,0.03,0.149
"P18","Puede que lo vote",0.34,0.301,0.282,0.372,0.22,0.099,0.176,0.141,0.097,0.23
"P18","Nunca lo votaría",0.343,0.376,0.298,0.237,0.112,0.75,0.6,0.682,0.752,0.443
"P18","No sabe",0.095,0.108,0.175,0.136,0.042,0.084,0.155,0.105,0.121,0.178
"P19","Lo votaría",0.045,0.042,0.058,0.116,0.103,0.739,0.446,0.031,0.095,0.174
"P19","Puede que lo vote",0.094,0.07,0.175,0.098,0.14,0.122,0.304,0.085,0.341,0.177
"P19","Nunca lo votaría",0.779,0.797,0.569,0.615,0.613,0.103,0.14,0.787,0.488,0.408
"P19","No sabe",0.082,0.091,0.198,0.171,0.144,0.036,0.11,0.097,0.076,0.241
"P20","Lo votaría",0.124,0.085,0.221,0.14,0.117,0.068,0.096,0.05,0.003,0.071
"P20","Puede que lo vote",0.345,0.375,0.289,0.325,0.272,0.046,0.112,0.111,0.085,0.133
"P20","Nunca lo votaría",0.402,0.42,0.286,0.391,0.434,0.811,0.662,0.696,0.814,0.561
"P20","No sabe",0.129,0.12,0.204,0.144,0.177,0.075,0.13,0.143,0.098,0.235
"P21","Lo votaría",0.04,0.019,0.073,0.013,0.024,0.185,0.405,0.027,0.014,0.107
"P21","Puede que lo vote",0.061,0.07,0.11,0.173,0.131,0.474,0.304,0.053,0.233,0.189
"P21","Nunca lo votaría",0.811,0.807,0.615,0.685,0.703,0.258,0.183,0.75,0.618,0.477
"P21","No sabe",0.088,0.104,0.202,0.129,0.142,0.083,0.108,0.17,0.135,0.227
"P22","Lo votaría",0.296,0.269,0.35,0.586,0.225,0.037,0.072,0.073,0.008,0.151
"P22","Puede que lo vote",0.38,0.401,0.261,0.175,0.396,0.143,0.197,0.168,0.135,0.224
"P22","Nunca lo votaría",0.247,0.243,0.164,0.146,0.261,0.704,0.565,0.623,0.715,0.379
"P22","No sabe",0.077,0.087,0.225,0.093,0.118,0.116,0.166,0.136,0.142,0.246
"P23","Lo votaría",0.705,0.342,0.388,0.31,0.25,0.012,0.03,0.062,0.013,0.134
"P23","Puede que lo vote",0.209,0.417,0.258,0.341,0.322,0.048,0.048,0.251,0.015,0.197
"P23","Nunca lo votaría",0.067,0.175,0.268,0.243,0.32,0.926,0.854,0.578,0.89,0.498
"P23","No sabe",0.019,0.066,0.086,0.106,0.108,0.014,0.068,0.109,0.082,0.171
"P24","Lo votaría",0.391,0.286,0.435,0.344,0.286,0.005,0.025,0.087,0.014,0.171
"P24","Puede que lo vote",0.34,0.34,0.31,0.346,0.342,0.013,0.065,0.131,0.014,0.167
"P24","Nunca lo votaría",0.226,0.308,0.234,0.219,0.321,0.959,0.851,0.672,0.917,0.522
"P24","No sabe",0.043,0.066,0.021,0.091,0.051,0.023,0.059,0.11,0.055,0.14
"P25","Lo votaría",0.31,0.599,0.216,0.211,0.185,0.02,0.022,0.219,0.006,0.162
"P25","Puede que lo vote",0.398,0.282,0.255,0.319,0.343,0.026,0.063,0.306,0.005,0.158
"P25","Nunca lo votaría",0.22,0.092,0.429,0.336,0.361,0.922,0.842,0.359,0.937,0.487
"P25","No sabe",0.072,0.027,0.1,0.134,0.111,0.032,0.073,0.116,0.052,0.193
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.736,0.082,0.083,0.08,0.049,0.006,0.01,0.023,0,0
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.12,0.787,0.042,0.027,0.031,0.007,0.006,0.045,0,0
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.019,0.002,0.485,0.037,0.01,0.006,0.003,0.005,0,0
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.02,0.007,0.12,0.677,0.044,0.012,0.014,0.006,0,0
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.017,0.016,0.095,0.078,0.696,0.011,0.021,0.004,0.006,0
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.013,0.003,0.011,0.018,0.018,0.727,0.143,0.011,0.036,0
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0,0.003,0.023,0.004,0.037,0.083,0.604,0.003,0.003,0
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.012,0.023,0.009,0.021,0.019,0.004,0.01,0.83,0,0
"P27","A los candidatos de la izquierda",0,0.001,0.007,0.005,0.005,0.042,0.074,0.002,0.827,0
"P27","No sabe",0.063,0.076,0.125,0.053,0.091,0.102,0.115,0.071,0.128,1
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.673,0.371,0.101,0.109,0.086,0.004,0.031,0.015,0,0
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.042,0.033,0.478,0.258,0.114,0,0.001,0.003,0.008,0
"P28","A Martín Lousteau como Jefe de Gobierno",0.118,0.122,0.187,0.264,0.634,0.039,0.069,0.032,0.038,0
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.108,0.361,0.114,0.193,0.067,0.021,0.01,0.048,0,0
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.019,0.005,0.024,0.059,0.037,0.814,0.51,0.001,0.015,0
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.006,0.018,0.032,0.012,0.014,0.084,0.308,0.003,0.024,0
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.017,0.061,0.049,0.041,0.008,0.004,0.039,0.683,0.003,0
"P28","A los candidatos de izquierda",0,0.005,0,0.006,0.011,0.007,0.016,0.212,0.567,0
"P28","No sabe",0.017,0.024,0.015,0.058,0.029,0.027,0.016,0.003,0.345,0
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.579,0.393,0.278,0.148,0.111,0.004,0.008,0.016,0,0
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.07,0.06,0.354,0.315,0.265,0.032,0.025,0.016,0.016,0
"P29","A Martín Lousteau como Jefe de Gobierno",0.093,0.178,0.17,0.177,0.462,0.023,0.044,0.016,0.045,0
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.036,0.242,0.054,0.175,0.04,0.252,0.058,0.044,0.013,0
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.01,0.019,0.034,0.055,0.017,0.535,0.493,0,0.042,0
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.171,0.035,0.066,0.022,0.046,0.072,0.246,0.004,0,0
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.015,0.051,0.022,0.041,0.008,0.007,0.015,0.724,0,0
"P29","A los candidatos de izquierda",0.003,0.004,0,0.011,0.015,0.029,0.06,0.172,0.539,0
"P29","No sabe",0.023,0.018,0.022,0.056,0.036,0.046,0.051,0.008,0.345,0
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.163,0.063,0.399,0.365,0.271,0.003,0.041,0.007,0.006,0
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.552,0.75,0.232,0.179,0.101,0.007,0.008,0.034,0,0
"P30","A Martín Lousteau como Jefe de Gobierno",0.15,0.101,0.21,0.212,0.511,0.031,0.02,0.041,0.03,0
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.01,0.014,0.032,0.108,0.024,0.721,0.502,0.003,0.037,0
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.014,0.004,0.035,0.028,0.013,0.152,0.324,0.003,0.023,0
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.057,0.044,0.036,0.053,0.04,0.025,0.025,0.589,0.004,0
"P30","A los candidatos de la izquierda",0.004,0.012,0.026,0.007,0.016,0.008,0.039,0.123,0.726,0
"P30","No sabe",0.05,0.012,0.03,0.048,0.024,0.053,0.041,0.2,0.174,0
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.156,0.053,0.344,0.383,0.27,0.007,0.028,0.018,0,0
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.622,0.786,0.243,0.196,0.104,0.008,0.005,0.018,0,0
"P31","A Martín Lousteau como Jefe de Gobierno",0.118,0.072,0.222,0.182,0.506,0.026,0.028,0.041,0.033,0
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.012,0.005,0.048,0.106,0.03,0.722,0.461,0,0.069,0
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.003,0.013,0.038,0.023,0.038,0.158,0.317,0.006,0.033,0
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.044,0.047,0.014,0.055,0.012,0.018,0.024,0.635,0,0
"P31","A los candidatos de la izquierda",0.005,0.013,0.009,0.004,0.017,0.037,0.06,0.092,0.704,0
"P31","No sabe",0.04,0.011,0.082,0.051,0.023,0.024,0.077,0.19,0.161,0
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.896,0.834,0.718,0.698,0.6,0.012,0.038,0.017,0.005,0
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.012,0.013,0.043,0.108,0.057,0.914,0.813,0,0.039,0
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.045,0.1,0.058,0.048,0.087,0.022,0.017,0.893,0.014,0
"P32","A los candidatos de la izquierda",0.007,0.001,0.046,0.024,0.015,0.019,0.061,0.046,0.861,0
"P32","No sabe",0.04,0.052,0.135,0.122,0.241,0.033,0.071,0.044,0.081,0
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.907,0.818,0.645,0.669,0.584,0.016,0.036,0.019,0.005,0
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.009,0.006,0.109,0.1,0.05,0.853,0.802,0.008,0.064,0
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.044,0.118,0.102,0.042,0.069,0.027,0.022,0.916,0,0
"P33","A los candidatos de la izquierda",0.007,0.011,0.057,0.052,0.042,0.046,0.039,0.014,0.865,0
"P33","No sabe",0.033,0.047,0.087,0.137,0.255,0.058,0.101,0.043,0.066,0
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.635,0.599,0.745,0.742,0.669,0.014,0.036,0.03,0.019,0
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.016,0.004,0.101,0.077,0.054,0.914,0.872,0,0.045,0
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.17,0.261,0.108,0.106,0.033,0.014,0.015,0.899,0.021,0
"P34","A los candidatos de la izquierda",0.004,0.006,0.011,0.008,0.019,0.022,0.023,0.011,0.868,0
"P34","No sabe",0.175,0.13,0.035,0.067,0.225,0.036,0.054,0.06,0.047,0
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.646,0.586,0.672,0.717,0.67,0.031,0.05,0.013,0.027,0
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.016,0.002,0.091,0.074,0.052,0.874,0.82,0.005,0.077,0
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.186,0.288,0.134,0.117,0.053,0.007,0.016,0.901,0,0
"P35","A los candidatos de la izquierda",0.011,0.009,0.017,0.022,0.019,0.045,0.035,0.041,0.865,0
"P35","No sabe",0.141,0.115,0.086,0.07,0.206,0.043,0.079,0.04,0.031,0
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.648,0.563,0.656,0.776,0.837,0.017,0.058,0.016,0.012,0
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.012,0.001,0.086,0.092,0.063,0.918,0.858,0.003,0.088,0
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.177,0.286,0.153,0.045,0.017,0.013,0.011,0.927,0.033,0
"P36","A los candidatos de la izquierda",0.01,0.005,0.026,0.027,0.005,0.029,0.023,0.021,0.842,0
"P36","No sabe",0.153,0.145,0.079,0.06,0.078,0.023,0.05,0.033,0.025,0
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.649,0.575,0.711,0.776,0.87,0.024,0.044,0.033,0.02,0
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.017,0.006,0.028,0.098,0.053,0.885,0.85,0.016,0.094,0
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.17,0.279,0.131,0.056,0.014,0.016,0.009,0.912,0.007,0
"P37","A los candidatos de la izquierda",0.007,0.008,0.048,0,0.006,0.036,0.03,0.006,0.833,0
"P37","No sabe",0.157,0.132,0.082,0.07,0.057,0.039,0.067,0.033,0.046,0
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.654,0.546,0.65,0.687,0.669,0.081,0.124,0.02,0.007,0
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.057,0.053,0.096,0.119,0.082,0.841,0.776,0.024,0.02,0
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.181,0.284,0.098,0.105,0.028,0.015,0.005,0.916,0.021,0
"P38","A los candidatos de la izquierda",0.004,0.012,0.057,0.019,0.023,0.027,0.014,0.016,0.914,0
"P38","No sabe",0.104,0.105,0.099,0.07,0.198,0.036,0.081,0.024,0.038,0
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.604,0.514,0.695,0.671,0.605,0.104,0.181,0.004,0.007,0
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.098,0.073,0.089,0.145,0.137,0.78,0.7,0.032,0.031,0
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.175,0.301,0.108,0.064,0.027,0.019,0.015,0.925,0,0
"P40","A los candidatos de la izquierda",0.003,0.014,0.052,0.02,0.025,0.047,0.018,0.002,0.915,0
"P40","No sabe",0.12,0.098,0.056,0.1,0.206,0.05,0.086,0.037,0.047,0
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.643,0.501,0.716,0.757,0.621,0.11,0.086,0.029,0.032,0
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.04,0.052,0.09,0.099,0.125,0.839,0.844,0.003,0.024,0
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.185,0.316,0.1,0.078,0.047,0.006,0.016,0.934,0,0
"P42","A los candidatos de la izquierda",0.008,0.007,0.045,0.006,0.011,0.013,0,0.008,0.906,0
"P42","No sabe",0.124,0.124,0.049,0.06,0.196,0.032,0.054,0.026,0.038,0
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.634,0.502,0.605,0.708,0.629,0.131,0.106,0.004,0.008,0
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.068,0.048,0.188,0.142,0.102,0.754,0.786,0.032,0.096,0
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.186,0.312,0.103,0.075,0.056,0.023,0.006,0.916,0.008,0
"P44","A los candidatos de la izquierda",0.015,0.006,0.08,0.006,0.011,0.043,0.024,0.002,0.833,0
"P44","No sabe",0.097,0.132,0.024,0.069,0.202,0.049,0.078,0.046,0.055,0
"P46","Jorge Macri por Juntos por el Cambio",0.949,0.843,0.732,0.794,0.636,0.023,0.068,0.503,0.04,0
"P46","Leandro Santoro por el Frente de Todos",0.018,0.006,0.109,0.09,0.072,0.952,0.881,0.072,0.403,0
"P46","No sabe",0.033,0.151,0.159,0.116,0.292,0.025,0.051,0.425,0.557,0
"P47","Soledad Acuña por Juntos por el Cambio",0.756,0.722,0.739,0.76,0.584,0.02,0.045,0.458,0,0
"P47","Leandro Santoro por el Frente de Todos",0.016,0.022,0.082,0.083,0.068,0.955,0.914,0.091,0.414,0
"P47","No sabe",0.228,0.256,0.179,0.157,0.348,0.025,0.041,0.451,0.586,0
"P48","Fernán Quirós por Juntos por el Cambio",0.841,0.788,0.842,0.926,0.74,0.03,0.069,0.395,0.008,0
"P48","Leandro Santoro por el Frente de Todos",0.023,0.028,0.046,0.04,0.053,0.928,0.888,0.086,0.414,0
"P48","No sabe",0.136,0.184,0.112,0.034,0.207,0.042,0.043,0.519,0.578,0
"P49","Martín Lousteau por Juntos por el Cambio",0.738,0.69,0.723,0.829,0.904,0.037,0.064,0.413,0.017,0
"P49","Leandro Santoro por el Frente de Todos",0.023,0.022,0.126,0.065,0.045,0.935,0.88,0.051,0.43,0
"P49","No sabe",0.239,0.288,0.151,0.106,0.051,0.028,0.056,0.536,0.553,0
"P50","María Eugenia Vidal por Juntos por el Cambio",0.797,0.712,0.784,0.82,0.704,0.02,0.057,0.395,0.017,0
"P50","Leandro Santoro por el Frente de Todos",0.019,0.022,0.077,0.09,0.072,0.957,0.898,0.086,0.43,0
"P50","No sabe",0.184,0.266,0.139,0.09,0.224,0.023,0.045,0.519,0.553,0
