"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","A Ricardo López Murphy como Jefe de Gobierno","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de izquierda","No sabe"
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.038,0.564,0.268,0.056,0.015,0.02,0.004,0.005,0.047
"P29","A Martín Lousteau como Jefe de Gobierno",0.021,0.098,0.501,0.269,0.011,0.035,0.017,0.018,0.038
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.022,0.05,0.043,0.485,0.208,0.082,0.014,0.012,0.097
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.003,0.003,0.023,0.003,0.633,0.296,0,0.034,0.054
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.135,0.013,0.048,0.06,0.055,0.464,0.011,0.003,0.014
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.012,0.011,0.012,0.014,0.002,0.006,0.913,0.079,0.007
"P29","A los candidatos de izquierda",0.003,0,0.006,0.003,0.032,0.04,0.002,0.812,0.068
"P29","No sabe",0.017,0.028,0.01,0.017,0.044,0.051,0,0.033,0.606
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.163,0.47,0.189,0.103,0.003,0.075,0.014,0,0.098
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.625,0.242,0.122,0.671,0.004,0.042,0.077,0.012,0.133
"P30","A Martín Lousteau como Jefe de Gobierno",0.095,0.164,0.564,0.048,0.013,0.016,0.028,0.028,0.109
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.003,0.003,0.047,0.079,0.78,0.211,0.002,0.013,0.112
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.023,0.004,0.015,0.004,0.147,0.459,0.008,0.032,0.072
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.053,0.059,0.024,0.054,0.012,0.09,0.667,0.079,0.024
"P30","A los candidatos de la izquierda",0.004,0.013,0.012,0.019,0.007,0.041,0.164,0.363,0.255
"P30","No sabe",0.034,0.045,0.027,0.022,0.034,0.066,0.04,0.473,0.197
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.17,0.457,0.169,0.095,0.008,0.053,0.014,0,0.118
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.686,0.262,0.146,0.698,0.004,0.043,0.066,0.017,0.086
"P31","A Martín Lousteau como Jefe de Gobierno",0.061,0.152,0.529,0.069,0.011,0.036,0.018,0.008,0.09
