"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P19","Ni buena ni mala",0.287,0,0.415,0.178,0.079,0.264,0.134,0.124,0.088,0.038
"P19","Mala",0.244,0,0.274,0.483,0.223,0.369,0.244,0.067,0.364,0.224
"P19","Muy mala",0.211,0,0.131,0.079,0.642,0.167,0.258,0.36,0.315,0.017
"P19","No sabe",0.014,0,0.003,0.017,0.013,0.047,0,0,0.079,0.213
"P20","Muy buena",0.096,0,0.025,0.047,0.04,0,0,0,0.079,0
"P20","Buena",0.116,0,0.119,0.139,0.112,0.027,0,0.047,0.034,0.508
"P20","Ni buena ni mala",0.234,0,0.4,0.263,0.072,0.128,0.153,0.593,0.125,0.022
"P20","Mala",0.296,0,0.259,0.43,0.188,0.459,0.573,0.069,0.414,0.086
"P20","Muy mala",0.239,0,0.188,0.103,0.584,0.315,0.274,0.291,0.348,0.098
"P20","No sabe",0.019,0,0.009,0.018,0.004,0.071,0,0,0,0.286
"P21","Muy buena",0.079,0,0.013,0.04,0.001,0.019,0,0,0.079,0
"P21","Buena",0.081,0,0.138,0.081,0.097,0.024,0,0,0.066,0.019
"P21","Ni buena ni mala",0.29,0,0.459,0.278,0.168,0.196,0.622,0.604,0.17,0.498
"P21","Mala",0.313,0,0.25,0.415,0.219,0.439,0.135,0.105,0.37,0.145
"P21","Muy mala",0.224,0,0.11,0.173,0.483,0.279,0.243,0.291,0.315,0
"P21","No sabe",0.013,0,0.03,0.013,0.032,0.043,0,0,0,0.338
"P22","Muy de acuerdo",0.37,0,0.323,0.351,0.351,0.279,0.276,0.193,0.272,0.175
"P22","De acuerdo",0.15,0,0.242,0.27,0.245,0.145,0.461,0.413,0.197,0.035
"P22","Ni de acuerdo ni en desacuerdo",0.264,0,0.253,0.131,0.114,0.29,0.137,0.103,0.531,0.558
"P22","En desacuerdo",0.109,0,0.086,0.162,0.043,0.126,0.015,0,0,0
"P22","Muy en desacuerdo",0.07,0,0.033,0.042,0.157,0.1,0.111,0.291,0,0.019
"P22","No sabe",0.037,0,0.063,0.044,0.09,0.06,0,0,0,0.213
"P23","El estado nacional",0.205,0,0.184,0.124,0.132,0.33,0.111,0.067,0,0
"P23","El estado provincial",0.452,0,0.413,0.558,0.521,0.346,0.469,0.828,0.328,0.149
"P23","Ambos de forma coordinada",0.22,0,0.327,0.226,0.249,0.199,0.405,0.105,0.672,0.639
"P23","No sabe",0.123,0,0.076,0.092,0.098,0.125,0.015,0,0,0.212
"P28","Muy buena",0.126,0,0.012,0.017,0,0,0,0,0,0
"P28","Buena",0.054,0,0.077,0.017,0.024,0.005,0,0,0.104,0.019
"P28","Ni buena ni mala",0.269,0,0.669,0.213,0.091,0.204,0.269,0.639,0.367,0.596
"P28","Mala",0.325,0,0.17,0.712,0.121,0.187,0.359,0.069,0.247,0.183
"P28","Muy mala",0.198,0,0.061,0.013,0.764,0.272,0.372,0.292,0.282,0.019
"P28","No sabe",0.028,0,0.011,0.028,0,0.332,0,0,0,0.183
"P29","Peor",0.821,0,0.358,0.424,0.752,0.403,0.737,0.809,0.592,0.167
"P29","Igual",0.089,0,0.369,0.227,0.199,0.468,0.263,0.123,0.408,0.621
"P29","Mejor",0.045,0,0.237,0.052,0.025,0.004,0,0.068,0,0
"P29","No sabe",0.045,0,0.036,0.297,0.024,0.125,0,0,0,0.212
"P30","Peor",0.8,0,0.258,0.456,0.632,0.503,0.46,0.37,0.604,0.141
"P30","Igual",0.114,0,0.222,0.203,0.173,0.334,0.029,0.63,0.053,0.041
"P30","Mejor",0.055,0,0.446,0.132,0.13,0.052,0.382,0,0.343,0.086
"P30","No sabe",0.031,0,0.074,0.209,0.065,0.111,0.129,0,0,0.732
"P31","Javier Milei",0.399,0,0.432,0.342,0.41,0.573,0.538,0,0.248,0.222
"P31","Los gobernadores",0.509,0,0.355,0.528,0.546,0.352,0.427,1,0.669,0.587
"P31","No sabe",0.092,0,0.213,0.13,0.044,0.075,0.035,0,0.083,0.191
"P32","Muy buena",0.172,0,0.153,0.115,0.001,0.134,0,0.095,0.293,0
"P32","Buena",0.219,0,0.261,0.188,0.26,0.131,0.123,0.185,0.182,0.627
"P32","Ni buena ni mala",0.256,0,0.321,0.322,0.166,0.189,0.557,0.668,0.161,0.124
"P32","Mala",0.191,0,0.135,0.308,0.144,0.253,0.283,0.052,0.083,0.038
"P32","Muy mala",0.135,0,0.093,0.048,0.429,0.286,0.037,0,0.281,0.021
"P32","No sabe",0.027,0,0.037,0.019,0,0.007,0,0,0,0.19
"P34","Muy buena",0.213,0,0.108,0.105,0.182,0.018,0.066,0.015,0.122,0
"P34","Buena",0.175,0,0.2,0.162,0.175,0.205,0.127,0.567,0.147,0.103
"P34","Ni buena ni mala",0.231,0,0.35,0.348,0.325,0.119,0.523,0.149,0.128,0.525
"P34","Mala",0.168,0,0.138,0.264,0.043,0.259,0.124,0.096,0.046,0.135
"P34","Muy mala",0.168,0,0.155,0.106,0.261,0.372,0.16,0.173,0.557,0
"P34","No sabe",0.045,0,0.049,0.015,0.014,0.027,0,0,0,0.237
"P35","Muy buena",0.17,0,0.135,0.154,0.169,0.125,0.015,0,0,0.019
"P35","Buena",0.156,0,0.139,0.098,0.127,0.184,0.114,0,0.08,0.088
"P35","Ni buena ni mala",0.326,0,0.419,0.325,0.237,0.344,0.5,0.986,0.453,0.612
"P35","Mala",0.162,0,0.13,0.219,0.093,0.121,0.205,0,0.393,0.023
"P35","Muy mala",0.143,0,0.126,0.134,0.374,0.169,0.124,0,0.074,0.022
"P35","No sabe",0.043,0,0.051,0.07,0,0.057,0.042,0.014,0,0.236
"P36","Muy buena",0.365,0,0.166,0.286,0.337,0.167,0.175,0.756,0.567,0.08
"P36","Buena",0.112,0,0.084,0.107,0.082,0.083,0.166,0.014,0.025,0.021
"P36","Ni buena ni mala",0.128,0,0.187,0.11,0.094,0.104,0.079,0,0.068,0.519
"P36","Mala",0.128,0,0.194,0.208,0.087,0.199,0.018,0.054,0.034,0.019
"P36","Muy mala",0.257,0,0.366,0.287,0.382,0.429,0.562,0.176,0.306,0.129
"P36","No sabe",0.01,0,0.003,0.002,0.018,0.018,0,0,0,0.232
"P37","Muy buena",0.198,0,0.111,0.122,0.025,0.044,0.286,0.053,0.053,0
"P37","Buena",0.081,0,0.153,0.141,0.161,0.194,0.165,0,0.22,0.132
"P37","Ni buena ni mala",0.133,0,0.211,0.134,0.069,0.21,0.143,0.175,0.034,0.019
"P37","Mala",0.206,0,0.262,0.254,0.21,0.297,0.046,0.588,0.08,0
"P37","Muy mala",0.376,0,0.263,0.341,0.535,0.226,0.36,0.184,0.613,0.659
"P37","No sabe",0.006,0,0,0.008,0,0.029,0,0,0,0.19
"P38","Muy buena",0.18,0,0.07,0.09,0.192,0.106,0.071,0,0.1,0
"P38","Buena",0.121,0,0.08,0.17,0.128,0.053,0.105,0.094,0.362,0.108
"P38","Ni buena ni mala",0.186,0,0.251,0.182,0.133,0.045,0.226,0.762,0.138,0.506
"P38","Mala",0.162,0,0.232,0.245,0.113,0.157,0.132,0.144,0.034,0
"P38","Muy mala",0.35,0,0.355,0.311,0.434,0.598,0.466,0,0.366,0.196
"P38","No sabe",0.001,0,0.012,0.002,0,0.041,0,0,0,0.19
"P39","Muy buena",0.283,0,0.155,0.234,0.3,0.162,0.192,0.663,0.212,0.106
"P39","Buena",0.099,0,0.054,0.143,0.142,0.079,0.166,0.013,0.425,0.004
"P39","Ni buena ni mala",0.152,0,0.217,0.121,0.08,0.064,0.068,0.095,0.059,0.504
"P39","Mala",0.146,0,0.21,0.199,0.04,0.164,0.049,0.229,0,0
"P39","Muy mala",0.316,0,0.346,0.279,0.438,0.517,0.525,0,0.304,0.197
"P39","No sabe",0.004,0,0.018,0.024,0,0.014,0,0,0,0.189
"P40","Muy buena",0.266,0,0.326,0.22,0.302,0.381,0.427,0,0.217,0.11
"P40","Buena",0.111,0,0.15,0.152,0.109,0.118,0.098,0.053,0.033,0.019
"P40","Ni buena ni mala",0.12,0,0.142,0.087,0.024,0.072,0,0,0.087,0.527
"P40","Mala",0.131,0,0.125,0.198,0.164,0.09,0,0.189,0.273,0
"P40","Muy mala",0.359,0,0.231,0.328,0.401,0.297,0.475,0.758,0.39,0.154
"P40","No sabe",0.013,0,0.026,0.015,0,0.042,0,0,0,0.19
"P41","Muy buena",0.226,0,0.31,0.168,0.266,0.442,0.427,0.053,0.217,0.021
"P41","Buena",0.145,0,0.211,0.183,0.133,0.189,0.098,0,0,0.131
"P41","Ni buena ni mala",0.082,0,0.119,0.126,0.055,0.071,0.015,0.175,0.12,0
"P41","Mala",0.172,0,0.158,0.154,0.057,0.108,0.113,0.014,0.273,0
"P41","Muy mala",0.364,0,0.2,0.363,0.489,0.176,0.305,0.758,0.39,0.658
"P41","No sabe",0.011,0,0.002,0.006,0,0.014,0.042,0,0,0.19
"P42","Muy buena",0.259,0,0.372,0.21,0.361,0.42,0.554,0.053,0.217,0.04
"P42","Buena",0.1,0,0.126,0.093,0.063,0.205,0.038,0,0.12,0.089
"P42","Ni buena ni mala",0.17,0,0.217,0.198,0.057,0.217,0.004,0.284,0,0.531
"P42","Mala",0.137,0,0.088,0.169,0.058,0.064,0.056,0,0.067,0
"P42","Muy mala",0.323,0,0.182,0.31,0.461,0.073,0.348,0.663,0.596,0.15
"P42","No sabe",0.011,0,0.015,0.02,0,0.021,0,0,0,0.19
"P43","Muy buena",0.093,0,0.108,0.077,0.118,0.178,0.11,0.175,0,0.021
"P43","Buena",0.117,0,0.203,0.149,0.14,0.223,0.127,0,0.133,0.09
"P43","Ni buena ni mala",0.423,0,0.464,0.402,0.388,0.393,0.465,0.15,0.409,0.023
"P43","Mala",0.148,0,0.108,0.211,0.042,0.085,0.051,0.583,0.271,0.127
"P43","Muy mala",0.198,0,0.1,0.142,0.285,0.057,0.205,0.092,0.187,0.049
"P43","No sabe",0.021,0,0.017,0.019,0.027,0.064,0.042,0,0,0.69
