"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Buena",0.177,0.188,0.167,0.196,0.167,0.168,0.195,0.153,0.185,0.193,0.191,0.191,0.134,0.165,0.076,0.253,0.181
"Patricia Bullrich","Ni buena ni mala",0.158,0.161,0.155,0.225,0.163,0.126,0.117,0.157,0.176,0.134,0.153,0.206,0.164,0.139,0.125,0.137,0.246
"Patricia Bullrich","Mala",0.101,0.103,0.098,0.101,0.093,0.096,0.128,0.141,0.091,0.072,0.09,0.105,0.102,0.109,0.135,0.059,0.15
"Patricia Bullrich","Muy mala",0.311,0.317,0.305,0.294,0.344,0.313,0.248,0.304,0.305,0.326,0.301,0.241,0.381,0.342,0.569,0.124,0.292
"Patricia Bullrich","No sabe",0.014,0.014,0.015,0.024,0.013,0.007,0.016,0.024,0.012,0.007,0.008,0.033,0.031,0.008,0.015,0.005,0.008
"Horacio Rodriguez Larreta","Muy buena",0.137,0.113,0.159,0.084,0.118,0.174,0.185,0.151,0.121,0.143,0.147,0.123,0.112,0.138,0.043,0.253,0.105
"Horacio Rodriguez Larreta","Buena",0.206,0.183,0.228,0.135,0.197,0.22,0.286,0.183,0.216,0.216,0.212,0.207,0.161,0.206,0.074,0.354,0.207
"Horacio Rodriguez Larreta","Ni buena ni mala",0.219,0.22,0.218,0.254,0.215,0.231,0.174,0.227,0.228,0.198,0.225,0.237,0.169,0.212,0.156,0.216,0.342
"Horacio Rodriguez Larreta","Mala",0.13,0.159,0.104,0.119,0.147,0.112,0.131,0.145,0.123,0.127,0.131,0.134,0.145,0.127,0.176,0.075,0.157
"Horacio Rodriguez Larreta","Muy mala",0.283,0.304,0.262,0.37,0.299,0.246,0.2,0.257,0.291,0.299,0.27,0.251,0.327,0.303,0.519,0.091,0.179
"Horacio Rodriguez Larreta","No sabe",0.025,0.021,0.029,0.038,0.024,0.017,0.024,0.037,0.021,0.017,0.015,0.048,0.086,0.014,0.032,0.011,0.01
"Maria Eugenia Vidal","Muy buena",0.172,0.163,0.18,0.136,0.156,0.194,0.216,0.184,0.169,0.162,0.17,0.194,0.143,0.166,0.058,0.297,0.094
"Maria Eugenia Vidal","Buena",0.19,0.186,0.194,0.137,0.177,0.211,0.247,0.178,0.179,0.216,0.204,0.19,0.145,0.184,0.047,0.322,0.201
"Maria Eugenia Vidal","Ni buena ni mala",0.183,0.183,0.182,0.177,0.198,0.179,0.157,0.193,0.18,0.175,0.187,0.227,0.17,0.16,0.115,0.19,0.269
"Maria Eugenia Vidal","Mala",0.124,0.123,0.126,0.129,0.122,0.125,0.126,0.145,0.128,0.1,0.129,0.119,0.148,0.121,0.168,0.086,0.146
"Maria Eugenia Vidal","Muy mala",0.312,0.328,0.297,0.384,0.329,0.284,0.237,0.269,0.324,0.343,0.298,0.226,0.352,0.359,0.592,0.098,0.274
"Maria Eugenia Vidal","No sabe",0.019,0.017,0.021,0.037,0.018,0.007,0.017,0.031,0.02,0.004,0.012,0.044,0.042,0.01,0.02,0.007,0.016
"Mauricio Macri","Muy buena",0.168,0.142,0.192,0.111,0.153,0.193,0.228,0.174,0.161,0.17,0.192,0.147,0.141,0.161,0.1,0.288,0.056
"Mauricio Macri","Buena",0.154,0.147,0.161,0.107,0.144,0.183,0.191,0.13,0.151,0.185,0.164,0.153,0.109,0.154,0.057,0.272,0.105
"Mauricio Macri","Ni buena ni mala",0.168,0.173,0.164,0.247,0.158,0.151,0.129,0.152,0.187,0.16,0.168,0.194,0.143,0.16,0.091,0.194,0.21
"Mauricio Macri","Mala",0.141,0.141,0.141,0.144,0.148,0.125,0.144,0.169,0.132,0.123,0.132,0.168,0.178,0.13,0.192,0.075,0.186
"Mauricio Macri","Muy mala",0.36,0.391,0.33,0.379,0.386,0.345,0.3,0.363,0.361,0.355,0.339,0.319,0.404,0.39,0.551,0.169,0.443
"Mauricio Macri","No sabe",0.009,0.006,0.012,0.012,0.011,0.003,0.008,0.012,0.008,0.007,0.005,0.019,0.025,0.005,0.009,0.002,0
"Sergio Massa","Muy buena",0.077,0.072,0.083,0.048,0.077,0.07,0.12,0.124,0.068,0.042,0.067,0.094,0.049,0.082,0.139,0.042,0.058
"Sergio Massa","Buena",0.153,0.152,0.154,0.106,0.152,0.165,0.19,0.166,0.152,0.14,0.147,0.161,0.157,0.153,0.275,0.084,0.11
"Sergio Massa","Ni buena ni mala",0.193,0.181,0.203,0.215,0.206,0.166,0.174,0.202,0.203,0.169,0.182,0.21,0.23,0.188,0.308,0.097,0.231
"Sergio Massa","Mala",0.139,0.145,0.134,0.171,0.124,0.126,0.158,0.134,0.148,0.132,0.143,0.149,0.146,0.131,0.091,0.157,0.219
"Sergio Massa","Muy mala",0.423,0.438,0.408,0.438,0.427,0.464,0.339,0.349,0.42,0.503,0.451,0.358,0.372,0.435,0.169,0.614,0.382
"Sergio Massa","No sabe",0.015,0.012,0.018,0.022,0.014,0.009,0.019,0.025,0.009,0.014,0.01,0.028,0.046,0.011,0.018,0.006,0
"Daniel Scioli","Muy buena",0.079,0.069,0.089,0.072,0.069,0.079,0.112,0.1,0.077,0.061,0.091,0.073,0.079,0.072,0.134,0.054,0.022
"Daniel Scioli","Buena",0.153,0.151,0.154,0.11,0.141,0.169,0.203,0.172,0.146,0.14,0.13,0.162,0.138,0.17,0.301,0.065,0.109
"Daniel Scioli","Ni buena ni mala",0.186,0.183,0.189,0.176,0.222,0.155,0.155,0.217,0.18,0.162,0.177,0.197,0.2,0.185,0.287,0.102,0.226
"Daniel Scioli","Mala",0.147,0.152,0.142,0.172,0.13,0.138,0.173,0.159,0.154,0.126,0.151,0.19,0.094,0.131,0.089,0.169,0.238
"Daniel Scioli","Muy mala",0.421,0.43,0.412,0.448,0.424,0.451,0.343,0.331,0.429,0.502,0.44,0.351,0.448,0.434,0.176,0.604,0.402
"Daniel Scioli","No sabe",0.014,0.015,0.014,0.022,0.014,0.008,0.014,0.021,0.014,0.009,0.011,0.027,0.041,0.008,0.013,0.006,0.003
"CFK","Muy buena",0.234,0.201,0.265,0.195,0.234,0.243,0.265,0.253,0.222,0.23,0.22,0.205,0.265,0.255,0.571,0.043,0.054
"CFK","Buena",0.063,0.058,0.069,0.06,0.078,0.054,0.047,0.063,0.074,0.05,0.062,0.063,0.074,0.064,0.132,0.02,0.056
"CFK","Ni buena ni mala",0.07,0.073,0.067,0.091,0.075,0.054,0.055,0.093,0.072,0.043,0.053,0.089,0.046,0.078,0.098,0.031,0.095
"CFK","Mala",0.057,0.062,0.053,0.061,0.055,0.042,0.079,0.066,0.056,0.049,0.057,0.066,0.092,0.048,0.043,0.054,0.171
"CFK","Muy mala",0.567,0.596,0.539,0.577,0.55,0.603,0.544,0.508,0.572,0.621,0.603,0.56,0.51,0.548,0.15,0.849,0.62
"CFK","No sabe",0.009,0.01,0.007,0.016,0.008,0.004,0.01,0.017,0.004,0.007,0.005,0.017,0.013,0.007,0.006,0.003,0.004
"Alberto Fernandez","Muy buena",0.069,0.05,0.087,0.055,0.065,0.064,0.1,0.115,0.062,0.03,0.059,0.089,0.089,0.065,0.152,0.017,0.032
"Alberto Fernandez","Buena",0.131,0.119,0.142,0.093,0.14,0.138,0.141,0.122,0.139,0.129,0.122,0.122,0.15,0.139,0.301,0.036,0.044
"Alberto Fernandez","Ni buena ni mala",0.153,0.146,0.161,0.162,0.169,0.137,0.132,0.163,0.154,0.144,0.138,0.146,0.166,0.168,0.283,0.052,0.165
"Alberto Fernandez","Mala",0.112,0.112,0.111,0.13,0.108,0.093,0.125,0.112,0.116,0.106,0.109,0.116,0.123,0.11,0.104,0.101,0.198
"Alberto Fernandez","Muy mala",0.526,0.565,0.489,0.548,0.507,0.563,0.494,0.472,0.524,0.584,0.565,0.51,0.465,0.51,0.151,0.791,0.557
"Alberto Fernandez","No sabe",0.009,0.008,0.01,0.012,0.011,0.005,0.008,0.016,0.005,0.007,0.007,0.017,0.007,0.008,0.009,0.003,0.004
