"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.017,0.914,0.096
"P43","No sabe",0.18,0.069,0.856
"P44","Mauricio Macri – María Eugenia Vidal",0.145,0.712,0.263
"P44","Sergio Massa – Wado de Pedro",0.67,0.171,0.08
"P44","No sabe",0.185,0.117,0.657
"P45","Sergio Massa – Wado de Pedro",0.699,0.123,0.093
"P45","Javier Milei – José Luis Espert",0.124,0.522,0.425
"P45","No sabe",0.177,0.355,0.482
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.163,0.533,0.065
"P46","Javier Milei – José Luis Espert",0.06,0.371,0.468
"P46","No sabe",0.777,0.096,0.467
"P47","Muy buena",0.163,0.082,0.03
"P47","Buena",0.332,0.056,0.071
"P47","Ni buena ni mala",0.379,0.024,0.158
"P47","Mala",0.091,0.099,0.132
"P47","Muy mala",0.025,0.736,0.587
"P47","No sabe",0.01,0.003,0.022
"P48","Muy buena",0.185,0.008,0.027
"P48","Buena",0.348,0.017,0.053
"P48","Ni buena ni mala",0.326,0.035,0.135
"P48","Mala",0.102,0.114,0.119
"P48","Muy mala",0.033,0.824,0.641
"P48","No sabe",0.006,0.002,0.025
"P49","Muy buena",0.694,0.005,0.049
"P49","Buena",0.166,0.012,0.023
"P49","Ni buena ni mala",0.097,0.019,0.116
"P49","Mala",0.022,0.061,0.093
"P49","Muy mala",0.017,0.9,0.696
"P49","No sabe",0.004,0.003,0.023
"P50","Muy buena",0.106,0.245,0.119
"P50","Buena",0.03,0.28,0.104
"P50","Ni buena ni mala",0.06,0.203,0.243
"P50","Mala",0.184,0.088,0.173
"P50","Muy mala",0.619,0.18,0.335
"P50","No sabe",0.001,0.004,0.026
"P51","Muy buena",0.02,0.273,0.06
"P51","Buena",0.024,0.403,0.111
"P51","Ni buena ni mala",0.124,0.234,0.308
"P51","Mala",0.195,0.052,0.179
"P51","Muy mala",0.611,0.032,0.288
"P51","No sabe",0.026,0.006,0.054
"P52","Muy buena",0.16,0.041,0.036
"P52","Buena",0.311,0.087,0.068
"P52","Ni buena ni mala",0.331,0.103,0.169
"P52","Mala",0.08,0.165,0.169
"P52","Muy mala",0.104,0.597,0.527
"P52","No sabe",0.014,0.007,0.031
"P53","Muy buena",0.035,0.421,0.192
"P53","Buena",0.057,0.276,0.164
"P53","Ni buena ni mala",0.101,0.141,0.252
"P53","Mala",0.147,0.05,0.127
"P53","Muy mala",0.649,0.108,0.23
"P53","No sabe",0.011,0.004,0.035
"P54","Muy buena",0.03,0.229,0.288
"P54","Buena",0.019,0.237,0.153
"P54","Ni buena ni mala",0.109,0.335,0.231
"P54","Mala",0.139,0.113,0.1
"P54","Muy mala",0.667,0.075,0.188
"P54","No sabe",0.036,0.011,0.04
"P55","Muy buena",0.013,0.319,0.125
"P55","Buena",0.019,0.346,0.143
"P55","Ni buena ni mala",0.084,0.213,0.252
"P55","Mala",0.163,0.075,0.158
"P55","Muy mala",0.702,0.042,0.281
"P55","No sabe",0.019,0.005,0.041
"P56","Muy buena",0.144,0.061,0.032
"P56","Buena",0.34,0.066,0.068
"P56","Ni buena ni mala",0.316,0.097,0.173
"P56","Mala",0.074,0.188,0.169
"P56","Muy mala",0.111,0.581,0.533
"P56","No sabe",0.015,0.007,0.025
"P57","Muy buena",0.049,0.14,0.075
"P57","Buena",0.108,0.21,0.11
"P57","Ni buena ni mala",0.375,0.33,0.317
"P57","Mala",0.183,0.115,0.14
"P57","Muy mala",0.187,0.162,0.27
"P57","No sabe",0.098,0.043,0.088
"P58","Muy buena",0.019,0.125,0.04
"P58","Buena",0.043,0.267,0.059
"P58","Ni buena ni mala",0.196,0.39,0.339
"P58","Mala",0.185,0.086,0.149
"P58","Muy mala",0.463,0.077,0.306
"P58","No sabe",0.094,0.055,0.107
"P59","Siempre",0.347,0.337,0.257
"P59","Casi siempre",0.361,0.401,0.33
"P59","Casi nunca",0.188,0.187,0.282
"P59","Nunca, pero esta es una excepción",0.104,0.075,0.131
"P60","Si",0.613,0.569,0.51
"P60","No",0.387,0.431,0.49
