"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.789,0.098,0.023,0.388,0.343
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.11,0.69,0.136,0.055,0.169
"P29","Javier Milei – José Luis Espert por los liberales",0.028,0.06,0.801,0.035,0.04
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.011,0.01,0.005,0.453,0.006
"P29","Otro candidato",0.062,0.142,0.035,0.069,0.442
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.138,0.715,0.049,0.077,0.091
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.619,0.139,0.028,0.162,0.203
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.036,0.053,0.871,0.034,0.05
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.03,0.012,0.003,0.643,0.025
"P31","Otro candidato",0.177,0.081,0.049,0.084,0.631
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.742,0.148,0.01,0.089,0.075
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.161,0.703,0.169,0.077,0.174
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.008,0.045,0.79,0.013,0.025
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.013,0.008,0.008,0.733,0.007
"P33","Otro candidato",0.076,0.096,0.023,0.088,0.719
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.775,0.141,0.01,0.386,0.307
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.129,0.758,0.042,0.055,0.082
"P37","Javier Milei – José Luis Espert por los liberales",0.035,0.041,0.914,0.024,0.03
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.006,0.007,0.002,0.494,0.005
"P37","Otro candidato",0.055,0.053,0.032,0.041,0.576
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.792,0.099,0.007,0.1,0.097
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.109,0.705,0.159,0.063,0.171
"P38","Javier Milei – José Luis Espert por los liberales",0.027,0.066,0.807,0.033,0.037
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.014,0.002,0.706,0.015
"P38","Otro candidato",0.06,0.116,0.025,0.098,0.68
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.794,0.122,0.044,0.564,0.375
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.134,0.753,0.465,0.15,0.246
"P39","No sabe",0.072,0.125,0.491,0.286,0.379
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.709,0.09,0.034,0.425,0.262
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.118,0.841,0.43,0.107,0.177
"P40","No sabe",0.173,0.069,0.536,0.468,0.561
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.797,0.1,0.026,0.342,0.166
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.124,0.784,0.586,0.133,0.261
"P41","No sabe",0.079,0.116,0.388,0.525,0.573
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.804,0.096,0.034,0.571,0.351
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.123,0.828,0.461,0.125,0.175
"P42","No sabe",0.073,0.076,0.505,0.304,0.474
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.795,0.095,0.026,0.357,0.176
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.117,0.828,0.454,0.141,0.175
"P43","No sabe",0.088,0.077,0.52,0.502,0.649
"P44","Mauricio Macri – María Eugenia Vidal",0.183,0.7,0.481,0.152,0.25
"P44","Sergio Massa – Wado de Pedro",0.734,0.176,0.096,0.319,0.207
"P44","No sabe",0.083,0.124,0.423,0.529,0.543
"P45","Sergio Massa – Wado de Pedro",0.747,0.164,0.079,0.331,0.189
"P45","Javier Milei – José Luis Espert",0.127,0.374,0.802,0.203,0.145
"P45","No sabe",0.126,0.462,0.119,0.466,0.666
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.19,0.714,0.038,0.163,0.171
"P46","Javier Milei – José Luis Espert",0.088,0.123,0.88,0.125,0.094
"P46","No sabe",0.722,0.163,0.082,0.712,0.735
"P47","Muy buena",0.17,0.104,0.006,0.083,0.097
"P47","Buena",0.322,0.049,0.109,0.106,0.118
"P47","Ni buena ni mala",0.307,0.069,0.062,0.369,0.251
"P47","Mala",0.091,0.122,0.064,0.222,0.132
"P47","Muy mala",0.098,0.654,0.756,0.181,0.376
"P47","No sabe",0.012,0.002,0.003,0.039,0.026
"P48","Muy buena",0.153,0.029,0.004,0.108,0.095
"P48","Buena",0.339,0.059,0.018,0.126,0.113
"P48","Ni buena ni mala",0.283,0.059,0.069,0.341,0.198
"P48","Mala",0.094,0.132,0.079,0.242,0.124
"P48","Muy mala",0.126,0.718,0.826,0.183,0.437
"P48","No sabe",0.005,0.003,0.004,0,0.033
"P49","Muy buena",0.601,0.064,0.01,0.401,0.266
"P49","Buena",0.138,0.034,0.014,0.114,0.066
"P49","Ni buena ni mala",0.078,0.031,0.058,0.189,0.108
"P49","Mala",0.046,0.061,0.057,0.051,0.068
"P49","Muy mala",0.13,0.807,0.861,0.24,0.462
"P49","No sabe",0.007,0.003,0,0.005,0.03
"P50","Muy buena",0.104,0.299,0.122,0.147,0.125
"P50","Buena",0.066,0.254,0.181,0.064,0.108
"P50","Ni buena ni mala",0.054,0.191,0.266,0.062,0.174
"P50","Mala",0.164,0.073,0.165,0.152,0.174
"P50","Muy mala",0.608,0.182,0.259,0.572,0.388
"P50","No sabe",0.004,0.001,0.007,0.003,0.031
"P51","Muy buena",0.067,0.323,0.069,0.067,0.06
"P51","Buena",0.068,0.413,0.188,0.071,0.134
"P51","Ni buena ni mala",0.128,0.151,0.34,0.165,0.287
"P51","Mala",0.169,0.041,0.163,0.147,0.165
"P51","Muy mala",0.542,0.068,0.222,0.537,0.289
"P51","No sabe",0.026,0.004,0.018,0.013,0.065
"P52","Muy buena",0.211,0.046,0.013,0.085,0.032
"P52","Buena",0.334,0.103,0.06,0.082,0.125
"P52","Ni buena ni mala",0.279,0.104,0.136,0.32,0.258
"P52","Mala",0.053,0.172,0.161,0.226,0.158
"P52","Muy mala",0.109,0.568,0.624,0.279,0.383
"P52","No sabe",0.014,0.007,0.006,0.008,0.044
"P53","Muy buena",0.091,0.394,0.295,0.074,0.162
"P53","Buena",0.068,0.272,0.241,0.036,0.124
"P53","Ni buena ni mala",0.083,0.149,0.231,0.108,0.181
"P53","Mala",0.117,0.052,0.084,0.14,0.166
"P53","Muy mala",0.625,0.129,0.143,0.642,0.327
"P53","No sabe",0.016,0.004,0.006,0,0.04
"P54","Muy buena",0.052,0.104,0.514,0.085,0.042
"P54","Buena",0.052,0.182,0.275,0.037,0.067
"P54","Ni buena ni mala",0.121,0.395,0.155,0.111,0.287
"P54","Mala",0.136,0.148,0.028,0.085,0.175
"P54","Muy mala",0.604,0.158,0.024,0.674,0.362
"P54","No sabe",0.035,0.013,0.004,0.008,0.067
"P55","Muy buena",0.053,0.338,0.165,0.071,0.111
"P55","Buena",0.073,0.299,0.244,0.054,0.137
"P55","Ni buena ni mala",0.082,0.19,0.26,0.126,0.211
"P55","Mala",0.152,0.078,0.123,0.089,0.166
"P55","Muy mala",0.625,0.09,0.193,0.637,0.328
"P55","No sabe",0.015,0.005,0.015,0.023,0.047
"P56","Muy buena",0.166,0.07,0.028,0.09,0.045
"P56","Buena",0.352,0.057,0.062,0.157,0.15
"P56","Ni buena ni mala",0.242,0.124,0.137,0.35,0.237
"P56","Mala",0.081,0.193,0.157,0.13,0.157
"P56","Muy mala",0.148,0.547,0.608,0.263,0.375
"P56","No sabe",0.011,0.009,0.008,0.01,0.036
"P57","Muy buena",0.059,0.154,0.072,0.066,0.088
"P57","Buena",0.123,0.219,0.124,0.179,0.118
"P57","Ni buena ni mala",0.364,0.347,0.322,0.276,0.338
"P57","Mala",0.166,0.11,0.144,0.176,0.155
"P57","Muy mala",0.199,0.136,0.27,0.212,0.191
"P57","No sabe",0.089,0.034,0.068,0.091,0.11
"P58","Muy buena",0.038,0.153,0.032,0.054,0.04
"P58","Buena",0.072,0.278,0.111,0.058,0.09
"P58","Ni buena ni mala",0.201,0.369,0.373,0.188,0.336
"P58","Mala",0.172,0.085,0.135,0.125,0.156
"P58","Muy mala",0.432,0.072,0.265,0.448,0.262
"P58","No sabe",0.085,0.043,0.084,0.127,0.116
"P59","Siempre",0.351,0.359,0.264,0.302,0.295
"P59","Casi siempre",0.354,0.383,0.38,0.435,0.346
"P59","Casi nunca",0.178,0.177,0.263,0.21,0.242
"P59","Nunca, pero esta es una excepción",0.117,0.081,0.093,0.053,0.117
"P60","Si",0.605,0.55,0.575,0.59,0.528
"P60","No",0.395,0.45,0.425,0.41,0.472
