"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P13","Nunca lo votaría",0.525,0.437,0.466
"P14","Lo votaría",0.059,0.484,0.074
"P14","Puede que lo vote",0.042,0.321,0.188
"P14","Nunca lo votaría",0.815,0.132,0.558
"P14","No sabe",0.084,0.063,0.18
"P15","Lo votaría",0.226,0.102,0.055
"P15","Puede que lo vote",0.388,0.087,0.124
"P15","Nunca lo votaría",0.283,0.777,0.686
"P15","No sabe",0.103,0.034,0.135
"P16","Lo votaría",0.27,0.02,0.036
"P16","Puede que lo vote",0.413,0.036,0.06
"P16","Nunca lo votaría",0.201,0.93,0.793
"P16","No sabe",0.116,0.014,0.111
"P17","La votaría",0.769,0.026,0.048
"P17","Puede que la vote",0.114,0.019,0.064
"P17","Nunca la votaría",0.093,0.948,0.808
"P17","No sabe",0.024,0.007,0.08
"P18","Lo votaría",0.118,0.272,0.092
"P18","Puede que lo vote",0.064,0.385,0.195
"P18","Nunca lo votaría",0.783,0.297,0.56
"P18","No sabe",0.035,0.046,0.153
"P19","Lo votaría",0.032,0.154,0.1
"P19","Puede que lo vote",0.136,0.346,0.2
"P19","Nunca lo votaría",0.707,0.408,0.49
"P19","No sabe",0.125,0.092,0.21
"P20","La votaría",0.044,0.468,0.145
"P20","Puede que la vote",0.051,0.33,0.254
"P20","Nunca la votaría",0.856,0.155,0.476
"P20","No sabe",0.049,0.047,0.125
"P21","Lo votaría",0.039,0.275,0.355
"P21","Puede que lo vote",0.061,0.305,0.18
"P21","Nunca lo votaría",0.841,0.375,0.344
"P21","No sabe",0.059,0.045,0.121
"P22","La votaría",0.036,0.251,0.09
"P22","Puede que la vote",0.063,0.372,0.158
"P22","Nunca la votaría",0.834,0.288,0.6
"P22","No sabe",0.067,0.089,0.152
"P23","Lo votaría",0.182,0.04,0.023
"P23","Puede que lo vote",0.406,0.085,0.092
"P23","Nunca lo votaría",0.323,0.847,0.784
"P23","No sabe",0.089,0.028,0.101
"P24","Lo votaría",0.035,0.092,0.042
"P24","Puede que lo vote",0.106,0.245,0.115
"P24","Nunca lo votaría",0.745,0.565,0.659
"P24","No sabe",0.114,0.098,0.184
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.044,0.471,0.042
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.016,0.216,0.135
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.067,0.014,0.033
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.805,0.029,0.047
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.015,0.195,0.438
"P25","Nicolás del Caño – Myriam Bregman",0.023,0.009,0.042
"P25","Otros candidatos",0.03,0.066,0.263
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.861,0.034,0.05
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.045,0.644,0.047
"P29","Javier Milei – José Luis Espert por los liberales",0.031,0.224,0.478
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.026,0.011,0.037
"P29","Otro candidato",0.037,0.087,0.388
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.102,0.481,0.124
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.584,0.1,0.05
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.035,0.271,0.478
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.064,0.013,0.038
"P31","Otro candidato",0.215,0.135,0.31
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.618,0.05,0.077
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.073,0.625,0.125
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.03,0.216,0.45
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.057,0.01,0.039
"P33","Otro candidato",0.222,0.099,0.309
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.589,0.083,0.07
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.098,0.503,0.132
"P35","Javier Milei – José Luis Espert por los liberales",0.032,0.279,0.464
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.057,0.013,0.038
"P35","Otro candidato",0.224,0.122,0.296
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.825,0.052,0.057
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.059,0.522,0.14
"P37","Javier Milei – José Luis Espert por los liberales",0.027,0.29,0.475
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.03,0.008,0.032
"P37","Otro candidato",0.059,0.128,0.296
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.663,0.036,0.058
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.069,0.636,0.056
"P38","Javier Milei – José Luis Espert por los liberales",0.023,0.237,0.487
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.056,0.01,0.044
"P38","Otro candidato",0.189,0.081,0.355
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.753,0.029,0.045
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.049,0.82,0.197
"P40","No sabe",0.198,0.151,0.758
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.726,0.026,0.094
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.057,0.877,0.261
"P41","No sabe",0.217,0.097,0.645
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.881,0.029,0.063
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.054,0.808,0.239
"P42","No sabe",0.065,0.163,0.698
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.727,0.035,0.084
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.057,0.795,0.241
"P43","No sabe",0.216,0.17,0.675
"P44","Mauricio Macri – María Eugenia Vidal",0.17,0.766,0.15
"P44","Sergio Massa – Wado de Pedro",0.633,0.161,0.121
"P44","No sabe",0.197,0.073,0.729
"P45","Sergio Massa – Wado de Pedro",0.685,0.112,0.103
"P45","Javier Milei – José Luis Espert",0.106,0.545,0.423
"P45","No sabe",0.209,0.343,0.474
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.173,0.476,0.14
"P46","Javier Milei – José Luis Espert",0.069,0.383,0.456
"P46","No sabe",0.758,0.141,0.404
"P47","Muy buena",0.166,0.074,0.035
"P47","Buena",0.332,0.053,0.062
"P47","Ni buena ni mala",0.349,0.035,0.169
"P47","Mala",0.092,0.09,0.148
"P47","Muy mala",0.05,0.747,0.562
"P47","No sabe",0.011,0.001,0.024
"P48","Muy buena",0.176,0.013,0.025
"P48","Buena",0.338,0.021,0.045
"P48","Ni buena ni mala",0.304,0.034,0.157
"P48","Mala",0.1,0.103,0.141
"P48","Muy mala",0.076,0.825,0.611
"P48","No sabe",0.006,0.004,0.021
"P49","Muy buena",0.671,0.017,0.031
"P49","Buena",0.151,0.018,0.027
"P49","Ni buena ni mala",0.085,0.021,0.129
"P49","Mala",0.028,0.053,0.102
"P49","Muy mala",0.059,0.888,0.69
"P49","No sabe",0.006,0.003,0.021
"P50","Muy buena",0.119,0.277,0.049
"P50","Buena",0.04,0.288,0.082
"P50","Ni buena ni mala",0.067,0.203,0.241
"P50","Mala",0.178,0.068,0.213
"P50","Muy mala",0.593,0.163,0.385
"P50","No sabe",0.003,0.001,0.03
"P51","Muy buena",0.035,0.252,0.078
"P51","Buena",0.042,0.376,0.134
"P51","Ni buena ni mala",0.131,0.229,0.315
"P51","Mala",0.184,0.063,0.173
"P51","Muy mala",0.585,0.068,0.25
"P51","No sabe",0.023,0.012,0.05
"P52","Muy buena",0.156,0.039,0.04
"P52","Buena",0.298,0.09,0.071
"P52","Ni buena ni mala",0.317,0.094,0.195
"P52","Mala",0.083,0.152,0.19
"P52","Muy mala",0.132,0.618,0.474
"P52","No sabe",0.014,0.007,0.03
"P53","Muy buena",0.047,0.442,0.147
"P53","Buena",0.061,0.274,0.167
"P53","Ni buena ni mala",0.089,0.142,0.272
"P53","Mala",0.144,0.045,0.139
"P53","Muy mala",0.647,0.094,0.24
"P53","No sabe",0.012,0.003,0.035
"P54","Muy buena",0.03,0.232,0.295
"P54","Buena",0.04,0.226,0.15
"P54","Ni buena ni mala",0.112,0.332,0.239
"P54","Mala",0.141,0.113,0.095
"P54","Muy mala",0.644,0.086,0.177
"P54","No sabe",0.033,0.011,0.044
"P55","Muy buena",0.027,0.315,0.119
"P55","Buena",0.033,0.338,0.143
"P55","Ni buena ni mala",0.094,0.213,0.247
"P55","Mala",0.16,0.065,0.179
"P55","Muy mala",0.664,0.064,0.274
"P55","No sabe",0.022,0.005,0.038
"P56","Muy buena",0.145,0.061,0.025
"P56","Buena",0.326,0.071,0.066
"P56","Ni buena ni mala",0.308,0.084,0.198
"P56","Mala",0.072,0.169,0.207
"P56","Muy mala",0.134,0.609,0.477
"P56","No sabe",0.015,0.006,0.027
"P57","Muy buena",0.049,0.122,0.105
"P57","Buena",0.111,0.186,0.146
"P57","Ni buena ni mala",0.365,0.322,0.341
"P57","Mala",0.174,0.131,0.123
"P57","Muy mala",0.199,0.195,0.203
"P57","No sabe",0.102,0.044,0.082
"P58","Muy buena",0.022,0.111,0.062
"P58","Buena",0.053,0.23,0.109
"P58","Ni buena ni mala",0.212,0.375,0.35
"P58","Mala",0.17,0.11,0.125
"P58","Muy mala",0.448,0.118,0.249
"P58","No sabe",0.095,0.056,0.105
"P59","Siempre",0.347,0.329,0.265
"P59","Casi siempre",0.356,0.401,0.337
"P59","Casi nunca",0.189,0.195,0.271
"P59","Nunca, pero esta es una excepción",0.108,0.075,0.127
"P60","Si",0.608,0.578,0.494
"P60","No",0.392,0.422,0.506
