"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P19","Nunca lo votaría",0.71,0.412,0.54
"P19","No sabe",0.119,0.097,0.204
"P20","La votaría",0.017,0.491,0.073
"P20","Puede que la vote",0.045,0.353,0.175
"P20","Nunca la votaría",0.9,0.116,0.61
"P20","No sabe",0.038,0.04,0.142
"P21","Lo votaría",0.024,0.315,0.258
"P21","Puede que lo vote",0.047,0.315,0.139
"P21","Nunca lo votaría",0.882,0.327,0.472
"P21","No sabe",0.047,0.043,0.131
"P22","La votaría",0.025,0.251,0.064
"P22","Puede que la vote",0.044,0.37,0.133
"P22","Nunca la votaría",0.873,0.294,0.643
"P22","No sabe",0.058,0.085,0.16
"P23","Lo votaría",0.202,0.039,0.038
"P23","Puede que lo vote",0.43,0.072,0.151
"P23","Nunca lo votaría",0.288,0.865,0.686
"P23","No sabe",0.08,0.024,0.125
"P24","Lo votaría",0.038,0.09,0.032
"P24","Puede que lo vote",0.111,0.236,0.107
"P24","Nunca lo votaría",0.759,0.576,0.666
"P24","No sabe",0.092,0.098,0.195
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.011,0.437,0.07
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.014,0.211,0.108
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.071,0.01,0.043
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.811,0.01,0.229
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.017,0.248,0.304
"P25","Nicolás del Caño – Myriam Bregman",0.024,0.006,0.047
"P25","Otros candidatos",0.052,0.078,0.199
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.868,0.015,0.242
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.014,0.585,0.091
"P29","Javier Milei – José Luis Espert por los liberales",0.028,0.276,0.346
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.024,0.012,0.04
"P29","Otro candidato",0.066,0.112,0.281
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.086,0.448,0.137
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.623,0.085,0.141
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.032,0.322,0.34
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.048,0.013,0.062
"P31","Otro candidato",0.211,0.132,0.32
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.755,0.039,0.081
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.037,0.633,0.076
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.025,0.249,0.351
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.042,0.008,0.063
"P33","Otro candidato",0.141,0.071,0.429
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.72,0.07,0.072
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.098,0.48,0.114
"P35","Javier Milei – José Luis Espert por los liberales",0.023,0.324,0.343
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.042,0.01,0.065
"P35","Otro candidato",0.117,0.116,0.406
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.826,0.049,0.224
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.059,0.488,0.116
"P37","Javier Milei – José Luis Espert por los liberales",0.028,0.336,0.342
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.025,0.007,0.041
"P37","Otro candidato",0.062,0.12,0.277
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.807,0.019,0.079
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.024,0.586,0.105
"P38","Javier Milei – José Luis Espert por los liberales",0.023,0.288,0.343
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.049,0.011,0.058
"P38","Otro candidato",0.097,0.096,0.415
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.875,0.043,0.262
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.039,0.806,0.142
"P39","No sabe",0.086,0.151,0.596
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.819,0.017,0.149
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.027,0.801,0.142
"P40","No sabe",0.154,0.182,0.709
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.924,0.014,0.216
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.03,0.816,0.132
"P42","No sabe",0.046,0.17,0.652
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.894,0.018,0.073
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.031,0.784,0.17
"P43","No sabe",0.075,0.198,0.757
"P44","Mauricio Macri – María Eugenia Vidal",0.163,0.725,0.141
"P44","Sergio Massa – Wado de Pedro",0.757,0.146,0.11
"P44","No sabe",0.08,0.129,0.749
"P45","Sergio Massa – Wado de Pedro",0.79,0.112,0.107
"P45","Javier Milei – José Luis Espert",0.129,0.552,0.308
"P45","No sabe",0.081,0.336,0.585
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.186,0.449,0.13
"P46","Javier Milei – José Luis Espert",0.064,0.419,0.334
"P46","No sabe",0.75,0.132,0.536
"P47","Muy buena",0.156,0.075,0.062
"P47","Buena",0.336,0.055,0.111
"P47","Ni buena ni mala",0.363,0.028,0.221
"P47","Mala",0.104,0.087,0.137
"P47","Muy mala",0.031,0.754,0.442
"P47","No sabe",0.01,0.001,0.027
"P48","Muy buena",0.17,0.011,0.065
"P48","Buena",0.359,0.017,0.092
"P48","Ni buena ni mala",0.322,0.029,0.193
"P48","Mala",0.109,0.103,0.13
"P48","Muy mala",0.034,0.838,0.495
"P48","No sabe",0.006,0.002,0.025
"P49","Muy buena",0.661,0.012,0.178
"P49","Buena",0.158,0.01,0.059
"P49","Ni buena ni mala",0.098,0.021,0.123
"P49","Mala",0.04,0.057,0.075
"P49","Muy mala",0.036,0.898,0.543
"P49","No sabe",0.007,0.002,0.022
"P50","Muy buena",0.109,0.261,0.069
"P50","Buena",0.029,0.277,0.072
"P50","Ni buena ni mala",0.061,0.218,0.191
"P50","Mala",0.17,0.077,0.221
"P50","Muy mala",0.627,0.166,0.419
"P50","No sabe",0.004,0.001,0.028
"P51","Muy buena",0.023,0.243,0.071
"P51","Buena",0.032,0.367,0.107
"P51","Ni buena ni mala",0.113,0.237,0.297
"P51","Mala",0.194,0.077,0.157
"P51","Muy mala",0.614,0.067,0.314
"P51","No sabe",0.024,0.009,0.054
"P52","Muy buena",0.177,0.042,0.036
"P52","Buena",0.347,0.077,0.085
"P52","Ni buena ni mala",0.304,0.091,0.252
"P52","Mala",0.067,0.152,0.191
"P52","Muy mala",0.094,0.634,0.396
"P52","No sabe",0.011,0.004,0.04
"P53","Muy buena",0.037,0.458,0.068
"P53","Buena",0.058,0.285,0.114
"P53","Ni buena ni mala",0.09,0.123,0.287
"P53","Mala",0.138,0.041,0.166
"P53","Muy mala",0.665,0.091,0.327
"P53","No sabe",0.012,0.002,0.038
"P54","Muy buena",0.021,0.262,0.208
"P54","Buena",0.027,0.239,0.108
"P54","Ni buena ni mala",0.092,0.316,0.247
"P54","Mala",0.144,0.108,0.108
"P54","Muy mala",0.688,0.067,0.272
"P54","No sabe",0.028,0.008,0.057
"P55","Muy buena",0.015,0.308,0.095
"P55","Buena",0.019,0.337,0.11
"P55","Ni buena ni mala",0.074,0.22,0.23
"P55","Mala",0.174,0.076,0.158
"P55","Muy mala",0.699,0.057,0.36
"P55","No sabe",0.019,0.002,0.047
"P56","Muy buena",0.154,0.061,0.035
"P56","Buena",0.354,0.058,0.111
"P56","Ni buena ni mala",0.287,0.093,0.242
"P56","Mala",0.081,0.171,0.174
"P56","Muy mala",0.114,0.612,0.404
"P56","No sabe",0.01,0.005,0.034
"P57","Muy buena",0.052,0.126,0.082
"P57","Buena",0.132,0.189,0.105
"P57","Ni buena ni mala",0.377,0.317,0.345
"P57","Mala",0.175,0.132,0.13
"P57","Muy mala",0.182,0.192,0.226
"P57","No sabe",0.082,0.044,0.112
"P58","Muy buena",0.021,0.111,0.046
"P58","Buena",0.051,0.226,0.09
"P58","Ni buena ni mala",0.208,0.38,0.314
"P58","Mala",0.183,0.111,0.122
"P58","Muy mala",0.461,0.115,0.301
"P58","No sabe",0.076,0.057,0.127
"P59","Siempre",0.336,0.337,0.269
"P59","Casi siempre",0.365,0.393,0.336
"P59","Casi nunca",0.182,0.193,0.277
"P59","Nunca, pero esta es una excepción",0.117,0.077,0.118
"P60","Si",0.602,0.571,0.525
"P60","No",0.398,0.429,0.475
