"var","categoria","Mauricio Macri – María Eugenia Vidal","Sergio Massa – Wado de Pedro","No sabe"
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.434,0.093,0.048
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.177,0.085,0.104
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.015,0.062,0.033
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.092,0.617,0.21
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.208,0.07,0.345
"P25","Nicolás del Caño – Myriam Bregman",0.009,0.019,0.042
"P25","Otros candidatos",0.065,0.054,0.218
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.099,0.677,0.212
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.57,0.142,0.058
"P29","Javier Milei – José Luis Espert por los liberales",0.238,0.077,0.383
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.015,0.018,0.038
"P29","Otro candidato",0.078,0.086,0.309
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.45,0.148,0.115
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.111,0.522,0.146
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.288,0.082,0.376
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.02,0.039,0.054
"P31","Otro candidato",0.131,0.209,0.309
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.109,0.587,0.077
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.567,0.164,0.121
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.225,0.077,0.359
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.01,0.035,0.063
"P33","Otro candidato",0.089,0.137,0.38
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.112,0.6,0.073
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.466,0.157,0.121
"P35","Javier Milei – José Luis Espert por los liberales",0.293,0.079,0.375
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.035,0.063
"P35","Otro candidato",0.117,0.129,0.368
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.119,0.674,0.199
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.455,0.158,0.114
"P37","Javier Milei – José Luis Espert por los liberales",0.297,0.092,0.377
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.011,0.013,0.043
"P37","Otro candidato",0.118,0.063,0.267
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.099,0.618,0.083
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.579,0.146,0.059
"P38","Javier Milei – José Luis Espert por los liberales",0.239,0.091,0.383
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.032,0.063
"P38","Otro candidato",0.071,0.113,0.412
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.137,0.681,0.229
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.769,0.217,0.106
"P39","No sabe",0.094,0.102,0.665
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.106,0.604,0.154
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.71,0.228,0.157
"P40","No sabe",0.184,0.168,0.689
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.11,0.688,0.079
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.797,0.215,0.205
"P41","No sabe",0.093,0.097,0.716
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.112,0.698,0.209
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.718,0.232,0.171
"P42","No sabe",0.17,0.07,0.62
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.119,0.686,0.063
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.718,0.252,0.131
"P43","No sabe",0.163,0.062,0.806
"P45","Sergio Massa – Wado de Pedro",0.233,0.618,0.045
"P45","Javier Milei – José Luis Espert",0.478,0.254,0.336
"P45","No sabe",0.289,0.128,0.619
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.505,0.171,0.103
"P46","Javier Milei – José Luis Espert",0.352,0.171,0.358
"P46","No sabe",0.143,0.658,0.539
"P47","Muy buena",0.083,0.142,0.057
"P47","Buena",0.079,0.289,0.094
"P47","Ni buena ni mala",0.06,0.282,0.218
"P47","Mala",0.086,0.112,0.128
"P47","Muy mala",0.689,0.169,0.477
"P47","No sabe",0.003,0.006,0.026
"P48","Muy buena",0.033,0.122,0.065
"P48","Buena",0.044,0.294,0.083
"P48","Ni buena ni mala",0.049,0.261,0.193
"P48","Mala",0.104,0.111,0.124
"P48","Muy mala",0.768,0.205,0.512
"P48","No sabe",0.002,0.007,0.023
"P49","Muy buena",0.074,0.507,0.176
"P49","Buena",0.025,0.131,0.048
"P49","Ni buena ni mala",0.026,0.089,0.114
"P49","Mala",0.047,0.053,0.077
"P49","Muy mala",0.824,0.216,0.565
"P49","No sabe",0.004,0.004,0.02
"P50","Muy buena",0.299,0.086,0.058
"P50","Buena",0.286,0.067,0.053
"P50","Ni buena ni mala",0.205,0.066,0.224
"P50","Mala",0.074,0.156,0.225
"P50","Muy mala",0.133,0.624,0.413
"P50","No sabe",0.003,0.001,0.027
"P51","Muy buena",0.233,0.076,0.059
"P51","Buena",0.329,0.126,0.107
"P51","Ni buena ni mala",0.239,0.124,0.292
"P51","Mala",0.081,0.165,0.169
"P51","Muy mala",0.107,0.494,0.316
"P51","No sabe",0.011,0.015,0.057
"P52","Muy buena",0.045,0.164,0.031
"P52","Buena",0.061,0.337,0.09
"P52","Ni buena ni mala",0.108,0.266,0.24
"P52","Mala",0.146,0.087,0.185
"P52","Muy mala",0.632,0.139,0.418
"P52","No sabe",0.008,0.007,0.036
"P53","Muy buena",0.412,0.101,0.126
"P53","Buena",0.264,0.102,0.128
"P53","Ni buena ni mala",0.139,0.086,0.265
"P53","Mala",0.048,0.125,0.155
"P53","Muy mala",0.134,0.579,0.286
"P53","No sabe",0.003,0.007,0.04
"P54","Muy buena",0.212,0.082,0.246
"P54","Buena",0.21,0.087,0.115
"P54","Ni buena ni mala",0.314,0.13,0.235
"P54","Mala",0.123,0.117,0.109
"P54","Muy mala",0.13,0.56,0.242
"P54","No sabe",0.011,0.024,0.053
"P55","Muy buena",0.292,0.075,0.094
"P55","Buena",0.309,0.095,0.113
"P55","Ni buena ni mala",0.208,0.1,0.235
"P55","Mala",0.084,0.137,0.173
"P55","Muy mala",0.1,0.586,0.335
"P55","No sabe",0.007,0.007,0.05
"P56","Muy buena",0.041,0.167,0.041
"P56","Buena",0.065,0.31,0.113
"P56","Ni buena ni mala",0.094,0.271,0.231
"P56","Mala",0.17,0.091,0.174
"P56","Muy mala",0.624,0.153,0.407
"P56","No sabe",0.006,0.008,0.034
"P57","Muy buena",0.128,0.063,0.077
"P57","Buena",0.187,0.135,0.115
"P57","Ni buena ni mala",0.324,0.37,0.334
"P57","Mala",0.134,0.162,0.136
"P57","Muy mala",0.184,0.19,0.23
"P57","No sabe",0.043,0.08,0.108
"P58","Muy buena",0.1,0.046,0.048
"P58","Buena",0.216,0.099,0.076
"P58","Ni buena ni mala",0.365,0.24,0.325
"P58","Mala",0.128,0.146,0.13
"P58","Muy mala",0.137,0.393,0.295
"P58","No sabe",0.054,0.076,0.126
"P59","Siempre",0.318,0.35,0.285
"P59","Casi siempre",0.397,0.358,0.342
"P59","Casi nunca",0.198,0.195,0.254
"P59","Nunca, pero esta es una excepción",0.087,0.097,0.119
"P60","Si",0.572,0.601,0.523
"P60","No",0.428,0.399,0.477
