"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","Otros","No sabe"
"P33","No sabe",0.017,0.011,0.036,0.01,0.059,0.143
"P34","Muy buena",0.087,0.524,0.321,0.081,0.092,0.091
"P34","Buena",0.058,0.192,0.279,0.05,0.17,0.16
"P34","Ni buena ni mala",0.071,0.107,0.136,0.153,0.284,0.364
"P34","Mala",0.146,0.081,0.104,0.144,0.178,0.119
"P34","Muy mala",0.632,0.077,0.154,0.534,0.239,0.193
"P34","No sabe",0.006,0.019,0.006,0.038,0.037,0.073
"P35","Muy buena",0.248,0.19,0.162,0.123,0.237,0.185
"P35","Buena",0.208,0.196,0.244,0.071,0.088,0.127
"P35","Ni buena ni mala",0.161,0.281,0.201,0.103,0.319,0.34
"P35","Mala",0.182,0.177,0.198,0.212,0.199,0.196
"P35","Muy mala",0.2,0.141,0.166,0.453,0.157,0.107
"P35","No sabe",0.001,0.015,0.029,0.038,0,0.045
"P36","Muy buena",0.036,0.11,0.589,0.102,0.11,0.038
"P36","Buena",0.05,0.125,0.165,0.076,0.144,0.125
"P36","Ni buena ni mala",0.163,0.394,0.146,0.118,0.305,0.349
"P36","Mala",0.124,0.183,0.056,0.103,0.119,0.21
"P36","Muy mala",0.618,0.156,0.014,0.582,0.222,0.187
"P36","No sabe",0.009,0.032,0.03,0.019,0.1,0.091
"P37","Muy buena",0.039,0.15,0.124,0.136,0.057,0.048
"P37","Buena",0.049,0.267,0.189,0.092,0.102,0.176
"P37","Ni buena ni mala",0.308,0.346,0.246,0.287,0.457,0.326
"P37","Mala",0.238,0.13,0.134,0.031,0.116,0.16
"P37","Muy mala",0.295,0.077,0.232,0.406,0.141,0.128
"P37","No sabe",0.071,0.03,0.075,0.048,0.127,0.162
"P38","Muy buena",0.04,0.083,0.03,0.025,0.09,0.019
"P38","Buena",0.045,0.214,0.074,0.075,0.08,0.12
"P38","Ni buena ni mala",0.268,0.389,0.348,0.216,0.371,0.35
"P38","Mala",0.165,0.095,0.123,0.063,0.175,0.12
"P38","Muy mala",0.38,0.13,0.24,0.457,0.106,0.107
"P38","No sabe",0.102,0.089,0.185,0.164,0.178,0.284
"P39","Muy buena",0.064,0.109,0.077,0.09,0.06,0.058
"P39","Buena",0.067,0.172,0.077,0.092,0.148,0.143
"P39","Ni buena ni mala",0.362,0.391,0.409,0.242,0.364,0.456
"P39","Mala",0.132,0.146,0.181,0.066,0.122,0.05
"P39","Muy mala",0.262,0.105,0.173,0.409,0.127,0.084
"P39","No sabe",0.113,0.077,0.083,0.101,0.179,0.209
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.122,0.661,0.509,0.139,0.239,0.273
"P42","A Daniel Passerini por Hacemos por Cordoba",0.516,0.201,0.174,0.115,0.321,0.218
"P42","Al candidato del frente de todos",0.272,0.038,0.016,0.057,0.095,0.03
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.002,0.013,0.201,0.067,0.01,0.096
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.022,0.033,0.02,0.039,0.218,0.104
"P42","Al candidato del frente de izquierda",0.021,0.003,0.003,0.462,0.035,0.037
"P42","Votaría en blanco",0.017,0.012,0.015,0.026,0.011,0.024
"P42","No sabe",0.028,0.039,0.062,0.095,0.071,0.218
"P44","A Luis Juez por Juntos por el Cambio",0.102,0.585,0.378,0.085,0.246,0.149
"P44","A Daniel Passerini por Hacemos por Cordoba",0.547,0.214,0.166,0.149,0.318,0.305
"P44","Al candidato del frente de todos",0.242,0.017,0.01,0.06,0.007,0.014
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.009,0.031,0.28,0.099,0.012,0.07
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.02,0.063,0.048,0.04,0.192,0.151
"P44","Al candidato del frente de izquierda",0.028,0.003,0.008,0.521,0.127,0.004
"P44","Votaría en blanco",0.025,0.029,0.012,0.009,0.005,0.049
"P44","No sabe",0.027,0.058,0.098,0.037,0.093,0.258
"P46","Lo votaría",0.107,0.635,0.447,0.128,0.201,0.22
"P46","Puede que lo vote",0.093,0.221,0.29,0.181,0.251,0.311
"P46","Nunca lo votaría",0.798,0.133,0.224,0.66,0.511,0.42
"P46","No sabe",0.002,0.011,0.039,0.031,0.037,0.049
"P47","Lo votaría",0.514,0.217,0.131,0.209,0.313,0.285
"P47","Puede que lo vote",0.198,0.164,0.151,0.178,0.254,0.162
"P47","Nunca lo votaría",0.288,0.605,0.67,0.582,0.41,0.507
"P47","No sabe",0,0.014,0.048,0.031,0.023,0.046
"P48","Lo votaría",0.128,0.479,0.278,0.167,0.114,0.24
"P48","Puede que lo vote",0.093,0.259,0.219,0.119,0.175,0.193
"P48","Nunca lo votaría",0.779,0.246,0.46,0.683,0.7,0.521
"P48","No sabe",0,0.016,0.043,0.031,0.011,0.046
"P49","Lo votaría",0.064,0.126,0.143,0.145,0.251,0.107
"P49","Puede que lo vote",0.211,0.252,0.264,0.165,0.283,0.287
"P49","Nunca lo votaría",0.701,0.607,0.58,0.592,0.425,0.537
"P49","No sabe",0.024,0.015,0.013,0.098,0.041,0.069
"P50","Lo votaría",0.234,0.031,0.042,0.101,0.116,0.056
"P50","Puede que lo vote",0.355,0.132,0.107,0.156,0.17,0.158
"P50","Nunca lo votaría",0.393,0.82,0.839,0.726,0.692,0.711
"P50","No sabe",0.018,0.017,0.012,0.017,0.022,0.075
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.071,0.716,0.456,0.179,0.305,0.352
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.574,0.168,0.139,0.213,0.365,0.3
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.292,0.008,0.02,0.05,0,0.026
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.008,0.005,0.283,0.062,0.043,0
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.006,0.037,0.072,0.039,0.18,0.031
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.019,0.01,0,0.406,0.04,0.023
"P51","Votaría en blanco",0.014,0.016,0.006,0,0.025,0.04
"P51","No sabe",0.016,0.04,0.024,0.051,0.042,0.228
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.071,0.634,0.396,0.194,0.173,0.225
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.561,0.159,0.156,0.181,0.351,0.328
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.289,0.009,0.006,0.05,0.105,0.008
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0,0.016,0.325,0.062,0.06,0
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.019,0.046,0.066,0.056,0.207,0.12
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.014,0.01,0,0.373,0.017,0.031
"P52","Votaría en blanco",0.01,0.03,0.006,0,0.025,0.041
"P52","No sabe",0.036,0.096,0.045,0.084,0.062,0.247
