"var","categoria","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.098,0.046,0.431,0.792,0.039,0.073,0.039,0.056
"P36","Javier Milei por la Libertad Avanza",0.091,0.037,0.277,0.05,0.873,0.413,0.033,0.088
"P36","Al candidato del Frente de Izquierda",0.019,0.023,0.004,0.016,0.009,0.339,0.117,0.01
"P36","En blanco",0.051,0.024,0.09,0.029,0.011,0.026,0.581,0.093
"P36","No sabe",0.13,0.053,0.163,0.04,0.022,0.018,0.112,0.545
"P37","Axel Kicillof por el Frente de Todos",0.639,0.831,0.035,0.111,0.044,0.134,0.134,0.202
"P37","Patricia Bullrich por Juntos por el Cambio",0.106,0.047,0.845,0.556,0.087,0.067,0.07,0.057
"P37","Javier Milei por la Libertad Avanza",0.067,0.034,0.076,0.083,0.834,0.409,0.045,0.075
"P37","Al candidato del Frente de Izquierda",0.021,0.02,0.003,0.054,0.005,0.343,0.085,0.006
"P37","En blanco",0.053,0.018,0.016,0.107,0.014,0.027,0.562,0.123
"P37","No sabe",0.114,0.05,0.025,0.089,0.016,0.02,0.104,0.537
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.08,0.057,0.565,0.808,0.273,0.115,0.113,0.113
"P38","Sergio Massa por el Frente de Todos",0.803,0.747,0.063,0.083,0.094,0.218,0.076,0.193
"P38","En blanco",0.048,0.07,0.158,0.026,0.382,0.348,0.577,0.121
"P38","No sabe",0.069,0.126,0.214,0.083,0.251,0.319,0.234,0.573
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.142,0.06,0.608,0.831,0.314,0.138,0.085,0.136
"P39","Wado de Pedro por el Frente de Todos",0.638,0.884,0.036,0.066,0.065,0.3,0.103,0.243
"P39","En blanco",0.078,0.02,0.166,0.036,0.422,0.398,0.677,0.131
"P39","No sabe",0.142,0.036,0.19,0.067,0.199,0.164,0.135,0.49
"P40","Patricia Bullrich por Juntos por el Cambio",0.107,0.068,0.933,0.656,0.599,0.284,0.129,0.141
"P40","Sergio Massa por el Frente de Todos",0.852,0.775,0.026,0.135,0.083,0.245,0.088,0.228
"P40","En blanco",0.019,0.065,0.02,0.104,0.213,0.336,0.673,0.151
"P40","No sabe",0.022,0.092,0.021,0.105,0.105,0.135,0.11,0.48
"P41","Patricia Bullrich por Juntos por el Cambio",0.167,0.07,0.952,0.669,0.647,0.328,0.133,0.174
"P41","Wado de Pedro  por el Frente de Todos",0.623,0.893,0.03,0.113,0.06,0.323,0.099,0.229
"P41","En blanco",0.088,0.017,0.008,0.113,0.195,0.242,0.718,0.107
"P41","No sabe",0.122,0.02,0.01,0.105,0.098,0.107,0.05,0.49
"P42","Patricia Bullrich por Juntos por el Cambio",0.142,0.075,0.943,0.693,0.644,0.293,0.136,0.12
"P42","Daniel Scioli por el Frente de Todos",0.637,0.711,0.036,0.129,0.079,0.293,0.214,0.264
"P42","En blanco",0.097,0.115,0.015,0.076,0.186,0.242,0.557,0.124
"P42","No sabe",0.124,0.099,0.006,0.102,0.091,0.172,0.093,0.492
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.167,0.066,0.625,0.844,0.351,0.145,0.114,0.136
"P43","Daniel Scioli por el Frente de Todos",0.614,0.707,0.044,0.08,0.092,0.303,0.263,0.239
"P43","En blanco",0.09,0.125,0.156,0.043,0.401,0.404,0.515,0.14
"P43","No sabe",0.129,0.102,0.175,0.033,0.156,0.148,0.108,0.485
"P44","Patricia Bullrich por Juntos por el Cambio",0.133,0.059,0.923,0.713,0.606,0.305,0.167,0.176
"P44","Axel Kicillof por el Frente de Todos",0.69,0.867,0.034,0.082,0.078,0.292,0.131,0.237
"P44","En blanco",0.054,0.033,0.026,0.094,0.213,0.297,0.694,0.151
"P44","No sabe",0.123,0.041,0.017,0.111,0.103,0.106,0.008,0.436
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.148,0.063,0.65,0.829,0.375,0.232,0.134,0.178
"P45","Axel Kicillof por el Frente de Todos",0.683,0.867,0.033,0.084,0.06,0.299,0.148,0.213
"P45","En blanco",0.05,0.032,0.156,0.03,0.414,0.342,0.679,0.099
"P45","No sabe",0.119,0.038,0.161,0.057,0.151,0.127,0.039,0.51
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.175,0.102,0.462,0.794,0.09,0.194,0.106,0.174
"P46","Javier Milei por los liberales libertarios",0.191,0.133,0.314,0.072,0.8,0.303,0.073,0.071
"P46","En blanco",0.372,0.528,0.095,0.081,0.075,0.445,0.711,0.178
"P46","No sabe",0.262,0.237,0.129,0.053,0.035,0.058,0.11,0.577
"P47","Patricia Bullrich por Juntos por el Cambio",0.152,0.061,0.873,0.69,0.101,0.148,0.097,0.155
"P47","Javier Milei por los liberales libertarios",0.141,0.054,0.083,0.075,0.836,0.384,0.057,0.067
"P47","En blanco",0.517,0.677,0.022,0.13,0.038,0.437,0.752,0.207
"P47","No sabe",0.19,0.208,0.022,0.105,0.025,0.031,0.094,0.571
"P48","Javier Milei por los liberales libertarios",0.091,0.044,0.559,0.348,0.821,0.364,0.088,0.128
"P48","Sergio Massa por el Frente de Todos",0.8,0.744,0.045,0.151,0.127,0.335,0.096,0.261
"P48","En blanco",0.065,0.152,0.193,0.279,0.028,0.272,0.777,0.154
"P48","No sabe",0.044,0.06,0.203,0.222,0.024,0.029,0.039,0.457
"P49","Javier Milei por los liberales libertarios",0.099,0.036,0.557,0.349,0.908,0.455,0.063,0.131
"P49","Wado de Pedro  por el Frente de Todos",0.704,0.909,0.027,0.135,0.045,0.239,0.141,0.26
"P49","En blanco",0.09,0.03,0.217,0.287,0.016,0.284,0.747,0.118
"P49","No sabe",0.107,0.025,0.199,0.229,0.031,0.022,0.049,0.491
"P50","Javier Milei por los liberales libertarios",0.102,0.04,0.556,0.347,0.906,0.448,0.08,0.116
"P50","Daniel Scioli por el Frente de Todos",0.661,0.782,0.041,0.145,0.059,0.249,0.237,0.272
"P50","En blanco",0.131,0.108,0.221,0.301,0.009,0.284,0.557,0.153
"P50","No sabe",0.106,0.07,0.182,0.207,0.026,0.019,0.126,0.459
"P51","Javier Milei por los liberales libertarios",0.119,0.059,0.576,0.368,0.906,0.467,0.093,0.122
"P51","Axel Kicillof por el Frente de Todos",0.702,0.878,0.03,0.13,0.051,0.248,0.144,0.305
"P51","En blanco",0.091,0.037,0.214,0.337,0.018,0.257,0.636,0.163
"P51","No sabe",0.088,0.026,0.18,0.165,0.025,0.028,0.127,0.41
"P52","Lo votaría",0.715,0.429,0.095,0.118,0.143,0.114,0.035,0.078
"P52","Puede que lo vote",0.166,0.377,0.022,0.127,0.065,0.14,0.134,0.226
"P52","Nunca lo votaría",0.085,0.131,0.843,0.611,0.756,0.664,0.711,0.318
"P52","No sabe",0.034,0.063,0.04,0.144,0.036,0.082,0.12,0.378
"P53","Lo votaría",0.506,0.821,0.03,0.103,0.072,0.097,0.06,0.083
"P53","Puede que lo vote",0.237,0.099,0.023,0.08,0.047,0.209,0.124,0.22
"P53","Nunca lo votaría",0.215,0.064,0.92,0.712,0.842,0.655,0.684,0.377
"P53","No sabe",0.042,0.016,0.027,0.105,0.039,0.039,0.132,0.32
"P54","Lo votaría",0.434,0.404,0.034,0.081,0.056,0.078,0.181,0.128
"P54","Puede que lo vote",0.262,0.344,0.052,0.112,0.065,0.191,0.072,0.188
"P54","Nunca lo votaría",0.225,0.175,0.889,0.717,0.847,0.688,0.618,0.378
"P54","No sabe",0.079,0.077,0.025,0.09,0.032,0.043,0.129,0.306
"P55","Lo votaría",0.563,0.78,0.031,0.074,0.05,0.118,0.138,0.17
"P55","Puede que lo vote",0.201,0.102,0.02,0.049,0.04,0.172,0.03,0.152
"P55","Nunca lo votaría",0.178,0.103,0.932,0.83,0.89,0.662,0.748,0.406
"P55","No sabe",0.058,0.015,0.017,0.047,0.02,0.048,0.084,0.272
"P56","La votaría",0.129,0.129,0.846,0.406,0.285,0.084,0.066,0.062
"P56","Puede que la vote",0.07,0.045,0.038,0.28,0.381,0.292,0.233,0.138
"P56","Nunca la votaría",0.752,0.805,0.113,0.261,0.294,0.561,0.585,0.571
"P56","No sabe",0.049,0.021,0.003,0.053,0.04,0.063,0.116,0.229
"P57","Lo votaría",0.107,0.046,0.328,0.659,0.109,0.123,0.041,0.051
"P57","Puede que lo vote",0.11,0.074,0.377,0.16,0.234,0.114,0.082,0.207
"P57","Nunca lo votaría",0.72,0.846,0.231,0.128,0.605,0.672,0.745,0.476
"P57","No sabe",0.063,0.034,0.064,0.053,0.052,0.091,0.132,0.266
"P58","Lo votaría",0.065,0.041,0.194,0.21,0.777,0.411,0.02,0.068
"P58","Puede que lo vote",0.105,0.03,0.397,0.237,0.109,0.049,0.096,0.118
"P58","Nunca lo votaría",0.775,0.903,0.334,0.474,0.102,0.527,0.783,0.574
"P58","No sabe",0.055,0.026,0.075,0.079,0.012,0.013,0.101,0.24
"P59","Lo votaría",0.062,0.033,0.058,0.122,0.146,0.183,0.149,0.076
"P59","Puede que lo vote",0.165,0.078,0.163,0.282,0.117,0.085,0.039,0.107
"P59","Nunca lo votaría",0.646,0.841,0.7,0.468,0.654,0.633,0.701,0.488
"P59","No sabe",0.127,0.048,0.079,0.128,0.083,0.099,0.111,0.329
"P60","Lo votaría",0.035,0.024,0.199,0.149,0.199,0.089,0.122,0.013
"P60","Puede que lo vote",0.141,0.034,0.441,0.327,0.297,0.126,0.022,0.178
"P60","Nunca lo votaría",0.728,0.924,0.273,0.382,0.426,0.685,0.765,0.478
"P60","No sabe",0.096,0.018,0.087,0.142,0.078,0.1,0.091,0.331
"P61","Muy buena",0.426,0.144,0.038,0.048,0.057,0.108,0,0.058
"P61","Buena",0.31,0.368,0.056,0.057,0.072,0.094,0.085,0.111
"P61","Ni buena ni mala",0.197,0.335,0.079,0.21,0.105,0.213,0.174,0.294
"P61","Mala",0.04,0.078,0.162,0.238,0.158,0.202,0.285,0.212
"P61","Muy mala",0.026,0.073,0.65,0.436,0.594,0.378,0.445,0.202
"P61","No sabe",0.001,0.002,0.015,0.011,0.014,0.005,0.011,0.123
"P62","Muy buena",0.311,0.693,0.024,0.063,0.037,0.144,0.082,0.091
"P62","Buena",0.348,0.178,0.01,0.063,0.036,0.097,0.033,0.125
"P62","Ni buena ni mala",0.164,0.062,0.111,0.24,0.128,0.205,0.242,0.3
"P62","Mala",0.079,0.02,0.213,0.18,0.176,0.133,0.187,0.141
"P62","Muy mala",0.067,0.037,0.605,0.404,0.601,0.34,0.415,0.186
"P62","No sabe",0.031,0.01,0.037,0.05,0.022,0.081,0.041,0.157
"P63","Muy buena",0.28,0.182,0.023,0.051,0.039,0.168,0.221,0.123
"P63","Buena",0.274,0.353,0.033,0.075,0.059,0.036,0.028,0.155
"P63","Ni buena ni mala",0.252,0.311,0.131,0.201,0.146,0.286,0.127,0.223
"P63","Mala",0.116,0.093,0.243,0.239,0.21,0.125,0.101,0.161
"P63","Muy mala",0.056,0.057,0.559,0.415,0.539,0.374,0.499,0.151
"P63","No sabe",0.022,0.004,0.011,0.019,0.007,0.011,0.024,0.187
"P64","Muy buena",0.498,0.713,0.03,0.072,0.042,0.148,0.132,0.158
"P64","Buena",0.207,0.136,0.011,0.032,0.037,0.066,0.031,0.14
"P64","Ni buena ni mala",0.137,0.063,0.031,0.105,0.096,0.192,0.059,0.171
"P64","Mala",0.067,0.026,0.155,0.198,0.105,0.123,0.154,0.103
"P64","Muy mala",0.078,0.057,0.753,0.574,0.711,0.471,0.607,0.255
"P64","No sabe",0.013,0.005,0.02,0.019,0.009,0,0.017,0.173
"P65","Muy buena",0.15,0.094,0.704,0.267,0.314,0.134,0.07,0.041
"P65","Buena",0.044,0.034,0.184,0.266,0.259,0.161,0.11,0.116
"P65","Ni buena ni mala",0.109,0.049,0.021,0.188,0.179,0.198,0.295,0.176
"P65","Mala",0.225,0.169,0.019,0.138,0.098,0.138,0.04,0.135
"P65","Muy mala",0.439,0.65,0.07,0.122,0.146,0.369,0.458,0.385
"P65","No sabe",0.033,0.004,0.002,0.019,0.004,0,0.027,0.147
"P66","Muy buena",0.052,0.021,0.185,0.475,0.111,0.071,0.011,0.023
"P66","Buena",0.102,0.05,0.308,0.33,0.127,0.118,0.058,0.128
"P66","Ni buena ni mala",0.189,0.095,0.255,0.077,0.207,0.226,0.255,0.243
"P66","Mala",0.324,0.234,0.147,0.058,0.196,0.196,0.205,0.158
"P66","Muy mala",0.306,0.599,0.095,0.058,0.357,0.387,0.433,0.254
"P66","No sabe",0.027,0.001,0.01,0.002,0.002,0.002,0.038,0.194
"P67","Muy buena",0.035,0.028,0.125,0.105,0.672,0.241,0,0.007
"P67","Buena",0.068,0.029,0.241,0.211,0.16,0.198,0.027,0.066
"P67","Ni buena ni mala",0.166,0.056,0.358,0.231,0.074,0.086,0.281,0.204
"P67","Mala",0.163,0.115,0.129,0.162,0.034,0.101,0.096,0.181
"P67","Muy mala",0.542,0.769,0.121,0.265,0.055,0.349,0.493,0.399
"P67","No sabe",0.026,0.003,0.026,0.026,0.005,0.025,0.103,0.143
"P68","Muy buena",0.027,0.014,0.052,0.084,0.123,0.115,0.13,0.059
"P68","Buena",0.084,0.039,0.083,0.122,0.103,0.128,0.028,0.096
"P68","Ni buena ni mala",0.342,0.204,0.289,0.447,0.271,0.219,0.231,0.309
"P68","Mala",0.23,0.242,0.201,0.138,0.147,0.174,0.116,0.13
"P68","Muy mala",0.253,0.479,0.317,0.167,0.295,0.284,0.43,0.187
"P68","No sabe",0.064,0.022,0.058,0.042,0.061,0.08,0.065,0.219
"P69","Muy buena",0.036,0.019,0.166,0.085,0.16,0.056,0.047,0.017
"P69","Buena",0.083,0.039,0.361,0.267,0.221,0.107,0.083,0.094
"P69","Ni buena ni mala",0.197,0.099,0.318,0.412,0.295,0.325,0.145,0.242
