"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.285,0.032,0.057,0.029,0.029
"P25","Javier Milei por la Libertad Avanza",0.028,0.024,0.604,0.024,0.019,0.028
"P25","Al candidato del Frente de Izquierda",0.046,0.002,0.018,0.513,0.019,0.006
"P25","En blanco",0.039,0.004,0.006,0.011,0.207,0.02
"P25","No sabe",0.09,0.016,0.017,0.033,0.104,0.289
"P26","Wado de Pedro por el Frente de Todos",0.782,0.029,0.01,0.12,0.056,0.061
"P26","Daniel Scioli por el Frente de Todos",0.129,0.043,0.019,0.226,0.088,0.07
"P26","Patricia Bullrich por Juntos por el Cambio",0.015,0.604,0.267,0.049,0.448,0.455
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.285,0.007,0.041,0.026,0.037
"P26","Javier Milei por la Libertad Avanza",0.011,0.018,0.662,0.003,0.045,0.054
"P26","Al candidato del Frente de Izquierda",0.014,0.002,0.014,0.506,0.018,0.004
"P26","En blanco",0.011,0.004,0.004,0.014,0.213,0.015
"P26","No sabe",0.029,0.015,0.017,0.041,0.106,0.304
"P27","Sergio Massa por el Frente de Todos",0.764,0.042,0.016,0.153,0.113,0.112
"P27","Patricia Bullrich por Juntos por el Cambio",0.023,0.564,0.26,0.104,0.459,0.444
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.34,0.027,0.03,0.029,0.062
"P27","Javier Milei por la Libertad Avanza",0.017,0.018,0.636,0.009,0.005,0.046
"P27","Al candidato del Frente de Izquierda",0.046,0.014,0.042,0.616,0.043,0.013
"P27","En blanco",0.037,0.002,0.009,0.068,0.21,0.008
"P27","No sabe",0.103,0.02,0.01,0.02,0.141,0.315
"P28","Wado de Pedro por el Frente de Todos",0.901,0.021,0.01,0.198,0.055,0.053
"P28","Patricia Bullrich por Juntos por el Cambio",0.013,0.615,0.268,0.088,0.473,0.472
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.311,0.01,0,0.018,0.032
"P28","Javier Milei por la Libertad Avanza",0.016,0.012,0.672,0.011,0.007,0.038
"P28","Al candidato del Frente de Izquierda",0.023,0.005,0.014,0.654,0.025,0.013
"P28","En blanco",0.01,0.005,0.011,0.022,0.319,0.02
"P28","No sabe",0.029,0.031,0.015,0.027,0.103,0.372
"P29","Axel Kicillof por el Frente de Todos",0.877,0.028,0.024,0.242,0.09,0.12
"P29","Patricia Bullrich por Juntos por el Cambio",0.013,0.611,0.262,0.114,0.457,0.472
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.325,0.013,0.033,0.013,0.043
"P29","Javier Milei por la Libertad Avanza",0.02,0.011,0.678,0.049,0.012,0.035
"P29","Al candidato del Frente de Izquierda",0.018,0.003,0.006,0.51,0.038,0.012
"P29","En blanco",0.012,0.003,0.007,0.024,0.295,0.013
"P29","No sabe",0.052,0.019,0.01,0.028,0.095,0.305
"P30","Sergio Massa  por el Frente de Todos",0.808,0.045,0.023,0.107,0.115,0.133
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.788,0.029,0.005,0.073,0.056
"P30","Javier Milei por la Libertad Avanza",0.015,0.054,0.887,0.066,0.039,0.043
"P30","Al candidato del Frente de Izquierda",0.05,0.012,0.015,0.671,0.02,0.003
"P30","En blanco",0.034,0.018,0.006,0.075,0.551,0.057
"P30","No sabe",0.084,0.083,0.04,0.076,0.202,0.708
"P31","Sergio Massa  por el Frente de Todos",0.822,0.049,0.028,0.139,0.115,0.124
"P31","Patricia Bullrich por Juntos por el Cambio",0.009,0.815,0.219,0.08,0.423,0.416
"P31","Javier Milei por la Libertad Avanza",0.007,0.025,0.72,0.043,0.017,0.027
"P31","Al candidato del Frente de Izquierda",0.049,0.015,0.007,0.67,0.013,0.004
"P31","En blanco",0.036,0.04,0.002,0.013,0.336,0.037
"P31","No sabe",0.077,0.056,0.024,0.055,0.096,0.392
"P33","Wado de Pedro por el Frente de Todos",0.952,0.026,0.014,0.189,0.009,0.037
"P33","Patricia Bullrich por Juntos por el Cambio",0.009,0.837,0.24,0.051,0.42,0.452
"P33","Javier Milei por la Libertad Avanza",0.007,0.023,0.725,0.025,0.041,0.028
"P33","Al candidato del Frente de Izquierda",0.01,0.008,0.004,0.698,0.002,0.008
"P33","En blanco",0.005,0.049,0.005,0.008,0.464,0.022
"P33","No sabe",0.017,0.057,0.012,0.029,0.064,0.453
"P34","Daniel Scioli por el Frente de Todos",0.692,0.042,0.028,0.212,0.128,0.117
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.85,0.027,0.027,0.077,0.107
"P34","Javier Milei por la Libertad Avanza",0.013,0.035,0.908,0.104,0.02,0.079
"P34","Al candidato del Frente de Izquierda",0.065,0.008,0.011,0.611,0.018,0.006
"P34","En blanco",0.069,0.028,0.007,0.014,0.686,0.039
"P34","No sabe",0.14,0.037,0.019,0.032,0.071,0.652
"P35","Daniel Scioli por el Frente de Todos",0.694,0.059,0.028,0.218,0.123,0.102
"P35","Patricia Bullrich por Juntos por el Cambio",0.015,0.797,0.237,0.079,0.469,0.478
"P35","Javier Milei por la Libertad Avanza",0.014,0.023,0.715,0.015,0.01,0.045
"P35","Al candidato del Frente de Izquierda",0.07,0.016,0.002,0.626,0.02,0.013
"P35","En blanco",0.077,0.043,0.004,0.031,0.32,0.019
"P35","No sabe",0.13,0.062,0.014,0.031,0.058,0.343
"P36","Axel Kicillof por el Frente de Todos",0.865,0.031,0.027,0.205,0.111,0.093
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.874,0.034,0,0.108,0.125
"P36","Javier Milei por la Libertad Avanza",0.019,0.041,0.917,0.019,0.035,0.078
"P36","Al candidato del Frente de Izquierda",0.021,0.002,0.009,0.653,0.024,0.007
"P36","En blanco",0.024,0.015,0.004,0.055,0.656,0.046
"P36","No sabe",0.057,0.037,0.009,0.068,0.066,0.651
"P37","Axel Kicillof por el Frente de Todos",0.879,0.042,0.026,0.226,0.12,0.116
"P37","Patricia Bullrich por Juntos por el Cambio",0.014,0.792,0.235,0.056,0.457,0.494
"P37","Javier Milei por la Libertad Avanza",0.022,0.04,0.715,0.003,0.004,0.049
"P37","Al candidato del Frente de Izquierda",0.021,0.02,0.004,0.649,0.02,0.003
"P37","En blanco",0.016,0.051,0.007,0.049,0.367,0.019
"P37","No sabe",0.048,0.055,0.013,0.017,0.032,0.319
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.842,0.318,0.073,0.147,0.187
"P38","Sergio Massa por el Frente de Todos",0.829,0.067,0.083,0.303,0.157,0.163
"P38","En blanco",0.06,0.029,0.345,0.371,0.568,0.06
"P38","No sabe",0.092,0.062,0.254,0.253,0.128,0.59
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.892,0.366,0.059,0.18,0.244
"P39","Wado de Pedro por el Frente de Todos",0.953,0.034,0.043,0.434,0.038,0.094
"P39","En blanco",0.014,0.023,0.387,0.304,0.717,0.08
"P39","No sabe",0.025,0.051,0.204,0.203,0.065,0.582
"P40","Patricia Bullrich por Juntos por el Cambio",0.013,0.843,0.684,0.094,0.536,0.564
"P40","Sergio Massa por el Frente de Todos",0.867,0.063,0.063,0.382,0.119,0.169
"P40","En blanco",0.047,0.052,0.167,0.369,0.316,0.033
"P40","No sabe",0.073,0.042,0.086,0.155,0.029,0.234
"P41","Patricia Bullrich por Juntos por el Cambio",0.017,0.853,0.748,0.087,0.564,0.585
"P41","Wado de Pedro  por el Frente de Todos",0.957,0.046,0.033,0.476,0.046,0.079
"P41","En blanco",0.006,0.059,0.143,0.298,0.348,0.055
"P41","No sabe",0.02,0.042,0.076,0.139,0.042,0.281
"P42","Patricia Bullrich por Juntos por el Cambio",0.022,0.851,0.731,0.109,0.544,0.574
"P42","Daniel Scioli por el Frente de Todos",0.785,0.062,0.056,0.443,0.144,0.12
"P42","En blanco",0.1,0.044,0.138,0.317,0.263,0.053
"P42","No sabe",0.093,0.043,0.075,0.131,0.049,0.253
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.894,0.408,0.082,0.206,0.264
"P43","Daniel Scioli por el Frente de Todos",0.779,0.048,0.065,0.425,0.165,0.104
"P43","En blanco",0.11,0.027,0.356,0.36,0.571,0.099
"P43","No sabe",0.087,0.031,0.171,0.133,0.058,0.533
"P44","Patricia Bullrich por Juntos por el Cambio",0.018,0.864,0.691,0.119,0.526,0.583
"P44","Axel Kicillof por el Frente de Todos",0.92,0.045,0.047,0.505,0.096,0.113
"P44","En blanco",0.023,0.048,0.17,0.266,0.356,0.055
"P44","No sabe",0.039,0.043,0.092,0.11,0.022,0.249
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.891,0.451,0.075,0.227,0.3
"P45","Axel Kicillof por el Frente de Todos",0.928,0.029,0.038,0.498,0.104,0.105
"P45","En blanco",0.023,0.039,0.359,0.288,0.569,0.088
"P45","No sabe",0.033,0.041,0.152,0.139,0.1,0.507
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.086,0.866,0.086,0.078,0.206,0.219
"P46","Javier Milei por los liberales libertarios",0.152,0.055,0.825,0.151,0.07,0.117
"P46","En blanco",0.522,0.038,0.053,0.552,0.65,0.129
"P46","No sabe",0.24,0.041,0.036,0.219,0.074,0.535
"P47","Patricia Bullrich por Juntos por el Cambio",0.033,0.859,0.281,0.098,0.48,0.558
"P47","Javier Milei por los liberales libertarios",0.06,0.039,0.687,0.126,0.05,0.066
"P47","En blanco",0.691,0.068,0.013,0.604,0.41,0.095
"P47","No sabe",0.216,0.034,0.019,0.172,0.06,0.281
"P48","Javier Milei por los liberales libertarios",0.014,0.461,0.849,0.091,0.16,0.242
"P48","Sergio Massa por el Frente de Todos",0.813,0.085,0.124,0.417,0.128,0.144
"P48","En blanco",0.122,0.261,0.013,0.384,0.639,0.126
"P48","No sabe",0.051,0.193,0.014,0.108,0.073,0.488
"P49","Javier Milei por los liberales libertarios",0.005,0.427,0.953,0.086,0.127,0.234
"P49","Wado de Pedro  por el Frente de Todos",0.961,0.07,0.02,0.438,0.102,0.096
"P49","En blanco",0.013,0.298,0.009,0.292,0.679,0.152
"P49","No sabe",0.021,0.205,0.018,0.184,0.092,0.518
"P50","Javier Milei por los liberales libertarios",0.016,0.44,0.936,0.042,0.126,0.231
"P50","Daniel Scioli por el Frente de Todos",0.835,0.069,0.035,0.531,0.181,0.119
"P50","En blanco",0.085,0.304,0.01,0.328,0.628,0.161
"P50","No sabe",0.064,0.187,0.019,0.099,0.065,0.489
"P51","Javier Milei por los liberales libertarios",0.02,0.467,0.948,0.068,0.149,0.252
"P51","Axel Kicillof por el Frente de Todos",0.936,0.057,0.022,0.492,0.118,0.12
"P51","En blanco",0.019,0.313,0.011,0.295,0.679,0.154
"P51","No sabe",0.025,0.163,0.019,0.145,0.054,0.474
"P52","Lo votaría",0.508,0.134,0.151,0.162,0.09,0.104
"P52","Puede que lo vote",0.367,0.069,0.039,0.223,0.065,0.061
"P52","Nunca lo votaría",0.074,0.715,0.783,0.515,0.744,0.644
"P52","No sabe",0.051,0.082,0.027,0.1,0.101,0.191
"P53","Lo votaría",0.815,0.066,0.039,0.268,0.017,0.044
"P53","Puede que lo vote",0.154,0.062,0.035,0.255,0.046,0.101
"P53","Nunca lo votaría",0.015,0.818,0.905,0.395,0.828,0.681
"P53","No sabe",0.016,0.054,0.021,0.082,0.109,0.174
"P54","Lo votaría",0.452,0.063,0.035,0.126,0.084,0.096
"P54","Puede que lo vote",0.35,0.074,0.067,0.297,0.085,0.07
"P54","Nunca lo votaría",0.125,0.821,0.876,0.402,0.763,0.665
"P54","No sabe",0.073,0.042,0.022,0.175,0.068,0.169
"P55","Lo votaría",0.795,0.042,0.034,0.287,0.063,0.097
"P55","Puede que lo vote",0.128,0.059,0.02,0.249,0.077,0.074
"P55","Nunca lo votaría",0.044,0.88,0.935,0.358,0.811,0.695
"P55","No sabe",0.033,0.019,0.011,0.106,0.049,0.134
"P56","La votaría",0.103,0.655,0.411,0.192,0.491,0.534
"P56","Puede que la vote",0.039,0.135,0.314,0.032,0.079,0.08
"P56","Nunca la votaría",0.828,0.191,0.25,0.71,0.378,0.272
"P56","No sabe",0.03,0.019,0.025,0.066,0.052,0.114
"P57","Lo votaría",0.022,0.647,0.112,0.1,0.132,0.104
"P57","Puede que lo vote",0.064,0.263,0.3,0.053,0.165,0.326
"P57","Nunca lo votaría",0.869,0.075,0.539,0.728,0.616,0.341
"P57","No sabe",0.045,0.015,0.049,0.119,0.087,0.229
"P58","Lo votaría",0.016,0.182,0.692,0.108,0.062,0.07
