"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Juan Schiaretti por Juntos por el Cambio","Jose Luis Espert por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P09","A Gerardo Morales",0.048,0.023,0.095,0.293,0.145,0.034,0.279,0.196,0.175
"P10","Sergio Massa por el Frente de Todos",0.437,0.051,0.283,0.022,0.323,0.042,0.047,0.118,0.11
"P10","Patricia Bullrich por Juntos por el Cambio",0.062,0.554,0.104,0.05,0.024,0.215,0.009,0.008,0.02
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.02,0.397,0.027,0.034,0.006,0.018,0.005,0.019
"P10","Juan Schiaretti por Juntos por el Cambio",0.01,0.034,0.048,0.381,0.077,0.171,0,0.019,0.012
"P10","Jose Luis Espert por Juntos por el Cambio",0.16,0.01,0.067,0.015,0.234,0.021,0.093,0.069,0.059
"P10","Javier Milei por la Libertad Avanza",0.067,0.294,0.052,0.469,0.084,0.522,0.003,0.047,0.015
"P10","Al candidato del Frente de Izquierda",0.043,0.001,0.005,0.002,0.035,0.002,0.73,0.013,0.01
"P10","En blanco",0.021,0.008,0.002,0.003,0.035,0.006,0.01,0.595,0.041
"P10","No sabe",0.142,0.028,0.042,0.031,0.154,0.015,0.09,0.126,0.714
"P16","Sergio Massa por el Frente de Todos",0.238,0.036,0.075,0.021,0.169,0.052,0.108,0.138,0.13
"P16","Wado de Pedro por el Frente de Todos",0.491,0.033,0.02,0.053,0.505,0.019,0.126,0.055,0.05
"P16","Daniel Scioli por el Frente de Todos",0.039,0.034,0.056,0.02,0.069,0.036,0.029,0.105,0.076
"P16","Patricia Bullrich por Juntos por el Cambio",0.085,0.759,0.144,0.093,0.036,0.344,0.023,0.022,0.032
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.091,0.054,0.572,0.086,0.043,0.02,0.003,0.003,0.022
"P16","Javier Milei por la Libertad Avanza",0.038,0.062,0.075,0.631,0.126,0.509,0.027,0.014,0.014
"P16","Al candidato del Frente de Izquierda",0.003,0.003,0.004,0.005,0.005,0.004,0.63,0.004,0.01
"P16","En blanco",0.004,0.002,0.011,0.025,0.01,0.002,0.02,0.573,0.043
"P16","No sabe",0.011,0.017,0.043,0.066,0.037,0.014,0.034,0.086,0.623
"P19","Sergio Massa por el Frente de Todos",0.206,0.047,0.092,0.067,0.207,0.034,0.094,0.107,0.165
"P19","Wado de Pedro por el Frente de Todos",0.538,0.038,0.042,0.041,0.51,0.035,0.158,0.056,0.091
"P19","Patricia Bullrich por Juntos por el Cambio",0.084,0.773,0.139,0.03,0.042,0.358,0.066,0.044,0.05
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.106,0.055,0.579,0.043,0.043,0.021,0.006,0.02,0.044
"P19","Javier Milei por la Libertad Avanza",0.037,0.053,0.064,0.714,0.108,0.5,0.006,0.02,0.037
"P19","Al candidato del Frente de Izquierda",0.004,0.007,0.023,0.023,0.045,0.037,0.458,0.052,0.007
"P19","En blanco",0.006,0.003,0.025,0.022,0.012,0.004,0.189,0.355,0.057
"P19","No sabe",0.019,0.024,0.036,0.06,0.033,0.011,0.023,0.346,0.549
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.651,0.046,0.099,0.061,0.668,0.066,0.23,0.22,0.285
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.118,0.771,0.221,0.07,0.054,0.347,0.02,0.015,0.06
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.084,0.079,0.463,0.112,0.027,0.034,0.044,0.03,0.06
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.017,0.024,0.075,0.035,0.046,0.022,0.002,0.014,0.013
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.041,0.049,0.063,0.668,0.114,0.499,0.046,0.018,0.034
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.015,0.004,0.005,0.02,0.032,0.014,0.556,0.018,0.023
"P22","En blanco",0.016,0.004,0.028,0.006,0.01,0.009,0.075,0.384,0.038
"P22","No sabe",0.058,0.023,0.046,0.028,0.049,0.009,0.027,0.301,0.487
"P25","Sergio Massa por el Frente de Todos",0.457,0.06,0.069,0.053,0.43,0.07,0.172,0.143,0.223
"P25","Daniel Scioli por el Frente de Todos",0.159,0.054,0.04,0.031,0.146,0.047,0.079,0.087,0.12
"P25","Patricia Bullrich por Juntos por el Cambio",0.11,0.767,0.168,0.05,0.059,0.338,0.05,0.027,0.042
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.093,0.043,0.567,0.064,0.039,0.033,0.013,0.049,0.048
"P25","Javier Milei por la Libertad Avanza",0.039,0.038,0.09,0.706,0.107,0.468,0.036,0.009,0.021
"P25","Al candidato del Frente de Izquierda",0.035,0.001,0.003,0.003,0.058,0.019,0.578,0.031,0.024
"P25","En blanco",0.027,0.008,0.011,0.025,0.052,0.006,0.059,0.401,0.042
"P25","No sabe",0.08,0.029,0.052,0.068,0.109,0.019,0.013,0.253,0.48
"P26","Wado de Pedro por el Frente de Todos",0.632,0.03,0.031,0.03,0.607,0.046,0.127,0.143,0.167
"P26","Daniel Scioli por el Frente de Todos",0.11,0.036,0.037,0.043,0.089,0.031,0.119,0.163,0.14
"P26","Patricia Bullrich por Juntos por el Cambio",0.09,0.831,0.197,0.055,0.042,0.357,0.027,0.024,0.038
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.094,0.032,0.604,0.049,0.027,0.008,0.004,0.024,0.037
"P26","Javier Milei por la Libertad Avanza",0.03,0.033,0.069,0.738,0.142,0.517,0.034,0.021,0.025
"P26","Al candidato del Frente de Izquierda",0.008,0.002,0.006,0.008,0.029,0.012,0.543,0.006,0.006
"P26","En blanco",0.009,0.007,0.005,0.021,0.032,0.004,0.103,0.414,0.048
"P26","No sabe",0.027,0.029,0.051,0.056,0.032,0.025,0.043,0.205,0.539
"P27","Sergio Massa por el Frente de Todos",0.624,0.051,0.044,0.026,0.549,0.057,0.156,0.185,0.28
"P27","Patricia Bullrich por Juntos por el Cambio",0.092,0.784,0.191,0.065,0.029,0.365,0.019,0.055,0.052
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.093,0.084,0.59,0.042,0.047,0.037,0.033,0.009,0.042
"P27","Javier Milei por la Libertad Avanza",0.031,0.037,0.118,0.708,0.127,0.489,0.04,0.027,0.024
"P27","Al candidato del Frente de Izquierda",0.046,0.009,0.008,0.081,0.063,0.026,0.576,0.052,0.017
"P27","En blanco",0.027,0.005,0.013,0.017,0.047,0.015,0.106,0.394,0.042
"P27","No sabe",0.087,0.03,0.036,0.061,0.138,0.011,0.07,0.278,0.543
"P28","Wado de Pedro por el Frente de Todos",0.73,0.038,0.025,0.026,0.7,0.062,0.126,0.181,0.198
"P28","Patricia Bullrich por Juntos por el Cambio",0.095,0.835,0.209,0.064,0.045,0.378,0.017,0.027,0.059
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.087,0.043,0.61,0.046,0.019,0.01,0.081,0.005,0.046
"P28","Javier Milei por la Libertad Avanza",0.024,0.039,0.067,0.716,0.119,0.516,0.03,0.026,0.034
"P28","Al candidato del Frente de Izquierda",0.02,0.002,0.009,0.048,0.026,0.001,0.514,0.009,0.029
"P28","En blanco",0.009,0.011,0.007,0.017,0.051,0.018,0.086,0.503,0.07
"P28","No sabe",0.035,0.032,0.073,0.083,0.04,0.015,0.146,0.249,0.564
"P29","Axel Kicillof por el Frente de Todos",0.709,0.041,0.022,0.034,0.681,0.064,0.288,0.261,0.275
"P29","Patricia Bullrich por Juntos por el Cambio",0.098,0.846,0.209,0.045,0.046,0.378,0.021,0.014,0.049
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.096,0.049,0.66,0.041,0.032,0.006,0.014,0.01,0.067
"P29","Javier Milei por la Libertad Avanza",0.034,0.025,0.062,0.781,0.121,0.524,0.041,0.026,0.02
"P29","Al candidato del Frente de Izquierda",0.014,0.003,0.004,0.02,0.025,0.004,0.501,0.011,0.021
"P29","En blanco",0.012,0.006,0.006,0.021,0.03,0.016,0.038,0.533,0.041
"P29","No sabe",0.037,0.03,0.037,0.058,0.065,0.008,0.097,0.145,0.527
"P30","Sergio Massa  por el Frente de Todos",0.642,0.05,0.075,0.038,0.629,0.068,0.227,0.314,0.311
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.124,0.351,0.731,0.045,0.061,0.146,0.044,0.019,0.07
"P30","Javier Milei por la Libertad Avanza",0.04,0.214,0.106,0.788,0.135,0.635,0.063,0.023,0.038
"P30","Al candidato del Frente de Izquierda",0.048,0.012,0.006,0.017,0.051,0.014,0.605,0.02,0.013
"P30","En blanco",0.036,0.097,0.013,0.036,0.054,0.044,0.03,0.42,0.061
"P30","No sabe",0.11,0.276,0.069,0.076,0.07,0.093,0.031,0.204,0.507
"P31","Sergio Massa  por el Frente de Todos",0.659,0.037,0.084,0.041,0.634,0.064,0.293,0.287,0.342
"P31","Patricia Bullrich por Juntos por el Cambio",0.128,0.836,0.522,0.062,0.053,0.364,0.024,0.033,0.078
"P31","Javier Milei por la Libertad Avanza",0.033,0.051,0.11,0.751,0.121,0.537,0.018,0.012,0.029
"P31","Al candidato del Frente de Izquierda",0.048,0.007,0.035,0.01,0.038,0.005,0.604,0.006,0.024
"P31","En blanco",0.037,0.015,0.092,0.048,0.061,0.009,0.041,0.497,0.069
"P31","No sabe",0.095,0.054,0.157,0.088,0.093,0.021,0.02,0.165,0.458
"P32","Wado de Pedro por el Frente de Todos",0.736,0.026,0.034,0.028,0.712,0.057,0.279,0.153,0.217
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.146,0.418,0.774,0.056,0.041,0.174,0.035,0.031,0.061
"P32","Javier Milei por la Libertad Avanza",0.048,0.225,0.112,0.815,0.147,0.637,0.006,0.055,0.058
"P32","Al candidato del Frente de Izquierda",0.017,0.009,0,0.009,0.014,0.002,0.499,0.004,0.018
"P32","En blanco",0.014,0.099,0.03,0.021,0.042,0.058,0.082,0.619,0.092
"P32","No sabe",0.039,0.223,0.05,0.071,0.044,0.072,0.099,0.138,0.554
"P33","Wado de Pedro por el Frente de Todos",0.749,0.032,0.048,0.038,0.72,0.049,0.275,0.127,0.245
"P33","Patricia Bullrich por Juntos por el Cambio",0.139,0.865,0.602,0.071,0.044,0.384,0.036,0.042,0.077
"P33","Javier Milei por la Libertad Avanza",0.027,0.048,0.087,0.776,0.147,0.528,0.015,0.058,0.026
"P33","Al candidato del Frente de Izquierda",0.025,0.002,0.009,0.01,0.018,0.001,0.533,0.004,0.01
"P33","En blanco",0.019,0.021,0.099,0.039,0.023,0.016,0.073,0.631,0.101
"P33","No sabe",0.041,0.032,0.155,0.066,0.048,0.022,0.068,0.138,0.541
"P34","Daniel Scioli por el Frente de Todos",0.552,0.033,0.067,0.037,0.525,0.065,0.3,0.238,0.334
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.148,0.439,0.756,0.046,0.045,0.179,0.044,0.007,0.063
"P34","Javier Milei por la Libertad Avanza",0.052,0.237,0.094,0.785,0.144,0.638,0.028,0.026,0.033
"P34","Al candidato del Frente de Izquierda",0.058,0.01,0.001,0.027,0.058,0.004,0.567,0.005,0.02
"P34","En blanco",0.069,0.084,0.034,0.033,0.081,0.051,0.045,0.577,0.089
"P34","No sabe",0.121,0.197,0.048,0.072,0.147,0.063,0.016,0.147,0.461
"P35","Daniel Scioli por el Frente de Todos",0.554,0.036,0.073,0.051,0.582,0.056,0.313,0.295,0.253
"P35","Patricia Bullrich por Juntos por el Cambio",0.149,0.865,0.574,0.069,0.054,0.368,0.036,0.041,0.088
"P35","Javier Milei por la Libertad Avanza",0.033,0.057,0.108,0.773,0.117,0.53,0,0.013,0.035
"P35","Al candidato del Frente de Izquierda",0.071,0,0.018,0.014,0.064,0.003,0.567,0.021,0.028
"P35","En blanco",0.072,0.007,0.078,0.028,0.095,0.017,0.033,0.564,0.059
"P35","No sabe",0.121,0.035,0.149,0.065,0.088,0.026,0.051,0.066,0.537
"P36","Axel Kicillof por el Frente de Todos",0.688,0.043,0.043,0.038,0.683,0.056,0.305,0.286,0.296
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.156,0.448,0.787,0.055,0.068,0.185,0.034,0.019,0.06
"P36","Javier Milei por la Libertad Avanza",0.049,0.233,0.118,0.802,0.153,0.646,0.003,0.029,0.045
"P36","Al candidato del Frente de Izquierda",0.021,0.007,0.001,0.013,0.035,0.006,0.547,0.009,0.013
"P36","En blanco",0.025,0.079,0.016,0.025,0.021,0.051,0.069,0.552,0.09
"P36","No sabe",0.061,0.19,0.035,0.067,0.04,0.056,0.042,0.105,0.496
"P37","Axel Kicillof por el Frente de Todos",0.715,0.04,0.051,0.047,0.69,0.06,0.296,0.293,0.33
"P37","Patricia Bullrich por Juntos por el Cambio",0.155,0.846,0.571,0.063,0.061,0.374,0.039,0.036,0.082
"P37","Javier Milei por la Libertad Avanza",0.03,0.061,0.12,0.762,0.159,0.528,0.004,0.03,0.033
"P37","Al candidato del Frente de Izquierda",0.032,0.006,0.04,0.013,0.006,0.001,0.592,0.01,0.025
"P37","En blanco",0.028,0.012,0.103,0.048,0.035,0.015,0.029,0.548,0.071
"P37","No sabe",0.04,0.035,0.115,0.067,0.049,0.022,0.04,0.083,0.459
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.157,0.566,0.822,0.274,0.107,0.355,0.048,0.057,0.134
"P38","Sergio Massa por el Frente de Todos",0.673,0.075,0.067,0.12,0.656,0.097,0.316,0.325,0.412
"P38","En blanco",0.05,0.138,0.043,0.295,0.117,0.315,0.462,0.442,0.075
"P38","No sabe",0.12,0.221,0.068,0.311,0.12,0.233,0.174,0.176,0.379
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.172,0.608,0.877,0.32,0.127,0.389,0.093,0.057,0.164
"P39","Wado de Pedro por el Frente de Todos",0.751,0.05,0.019,0.054,0.739,0.078,0.417,0.245,0.314
"P39","En blanco",0.022,0.133,0.035,0.38,0.086,0.349,0.356,0.616,0.098
"P39","No sabe",0.055,0.209,0.069,0.246,0.048,0.184,0.134,0.082,0.424
"P40","Patricia Bullrich por Juntos por el Cambio",0.169,0.918,0.697,0.555,0.158,0.701,0.044,0.089,0.146
"P40","Sergio Massa por el Frente de Todos",0.712,0.046,0.095,0.095,0.676,0.083,0.374,0.357,0.433
"P40","En blanco",0.059,0.016,0.075,0.191,0.075,0.147,0.46,0.483,0.096
"P40","No sabe",0.06,0.02,0.133,0.159,0.091,0.069,0.122,0.071,0.325
"P41","Patricia Bullrich por Juntos por el Cambio",0.188,0.929,0.743,0.598,0.198,0.746,0.041,0.087,0.135
"P41","Wado de Pedro  por el Frente de Todos",0.749,0.043,0.056,0.076,0.731,0.064,0.5,0.311,0.289
"P41","En blanco",0.022,0.014,0.105,0.183,0.046,0.138,0.359,0.543,0.083
"P41","No sabe",0.041,0.014,0.096,0.143,0.025,0.052,0.1,0.059,0.493
"P42","Patricia Bullrich por Juntos por el Cambio",0.191,0.923,0.716,0.6,0.18,0.746,0.025,0.081,0.11
"P42","Daniel Scioli por el Frente de Todos",0.627,0.045,0.088,0.072,0.627,0.083,0.461,0.339,0.368
"P42","En blanco",0.086,0.013,0.094,0.169,0.101,0.124,0.452,0.523,0.092
"P42","No sabe",0.096,0.019,0.102,0.159,0.092,0.047,0.062,0.057,0.43
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.187,0.624,0.879,0.378,0.162,0.417,0.084,0.075,0.112
"P43","Daniel Scioli por el Frente de Todos",0.616,0.06,0.064,0.089,0.616,0.087,0.43,0.38,0.333
"P43","En blanco",0.098,0.128,0.033,0.339,0.125,0.339,0.431,0.489,0.115
"P43","No sabe",0.099,0.188,0.024,0.194,0.097,0.157,0.055,0.056,0.44
"P44","Patricia Bullrich por Juntos por el Cambio",0.177,0.906,0.752,0.555,0.194,0.709,0.029,0.122,0.128
"P44","Axel Kicillof por el Frente de Todos",0.733,0.046,0.058,0.069,0.715,0.077,0.588,0.307,0.375
"P44","En blanco",0.031,0.02,0.119,0.208,0.04,0.154,0.349,0.523,0.107
"P44","No sabe",0.059,0.028,0.071,0.168,0.051,0.06,0.034,0.048,0.39
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.181,0.651,0.854,0.389,0.158,0.458,0.085,0.084,0.131
"P45","Axel Kicillof por el Frente de Todos",0.727,0.047,0.035,0.048,0.743,0.069,0.53,0.324,0.366
"P45","En blanco",0.039,0.116,0.063,0.365,0.056,0.333,0.319,0.543,0.068
"P45","No sabe",0.053,0.186,0.048,0.198,0.043,0.14,0.066,0.049,0.435
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.204,0.473,0.809,0.145,0.156,0.219,0.048,0.118,0.171
"P46","Javier Milei por los liberales libertarios",0.138,0.273,0.105,0.685,0.258,0.592,0.135,0.076,0.081
"P46","En blanco",0.429,0.084,0.073,0.086,0.427,0.113,0.721,0.732,0.225
"P46","No sabe",0.229,0.17,0.013,0.084,0.159,0.076,0.096,0.074,0.523
"P47","Patricia Bullrich por Juntos por el Cambio",0.174,0.886,0.692,0.084,0.113,0.406,0.048,0.137,0.189
"P47","Javier Milei por los liberales libertarios",0.075,0.051,0.1,0.8,0.179,0.5,0.049,0.044,0.046
"P47","En blanco",0.558,0.026,0.145,0.058,0.571,0.061,0.718,0.752,0.254
"P47","No sabe",0.193,0.037,0.063,0.058,0.137,0.033,0.185,0.067,0.511
"P48","Javier Milei por los liberales libertarios",0.113,0.523,0.368,0.748,0.148,0.695,0.08,0.097,0.079
"P48","Sergio Massa por el Frente de Todos",0.661,0.054,0.124,0.17,0.692,0.128,0.472,0.325,0.35
"P48","En blanco",0.123,0.198,0.315,0.049,0.119,0.109,0.41,0.518,0.184
"P48","No sabe",0.103,0.225,0.193,0.033,0.041,0.068,0.038,0.06,0.387
"P49","Javier Milei por los liberales libertarios",0.119,0.496,0.367,0.834,0.159,0.754,0.026,0.088,0.104
"P49","Wado de Pedro  por el Frente de Todos",0.755,0.037,0.096,0.07,0.79,0.066,0.603,0.236,0.299
"P49","En blanco",0.048,0.224,0.304,0.062,0.028,0.111,0.358,0.61,0.157
"P49","No sabe",0.078,0.243,0.233,0.034,0.023,0.069,0.013,0.066,0.44
"P50","Javier Milei por los liberales libertarios",0.116,0.508,0.356,0.844,0.182,0.74,0.025,0.093,0.082
"P50","Daniel Scioli por el Frente de Todos",0.67,0.059,0.134,0.061,0.653,0.079,0.511,0.297,0.372
"P50","En blanco",0.113,0.216,0.306,0.047,0.097,0.114,0.442,0.542,0.153
"P50","No sabe",0.101,0.217,0.204,0.048,0.068,0.067,0.022,0.068,0.393
"P51","Javier Milei por los liberales libertarios",0.129,0.526,0.435,0.834,0.187,0.753,0.072,0.115,0.09
"P51","Axel Kicillof por el Frente de Todos",0.734,0.046,0.064,0.05,0.758,0.07,0.529,0.294,0.395
"P51","En blanco",0.068,0.213,0.377,0.051,0.032,0.114,0.358,0.527,0.153
"P51","No sabe",0.069,0.215,0.124,0.065,0.023,0.063,0.041,0.064,0.362
"P52","Lo votaría",0.434,0.084,0.189,0.159,0.465,0.125,0.211,0.244,0.255
"P52","Puede que lo vote",0.296,0.031,0.066,0.077,0.301,0.058,0.254,0.145,0.187
"P52","Nunca lo votaría",0.206,0.81,0.661,0.715,0.194,0.772,0.497,0.482,0.298
"P52","No sabe",0.064,0.075,0.084,0.049,0.04,0.045,0.038,0.129,0.26
"P53","Lo votaría",0.676,0.033,0.054,0.048,0.636,0.079,0.246,0.184,0.185
"P53","Puede que lo vote",0.122,0.028,0.08,0.057,0.145,0.041,0.223,0.205,0.213
"P53","Nunca lo votaría",0.172,0.905,0.794,0.844,0.213,0.848,0.409,0.462,0.321
"P53","No sabe",0.03,0.034,0.072,0.051,0.006,0.032,0.122,0.149,0.281
"P54","Lo votaría",0.369,0.034,0.058,0.044,0.378,0.059,0.199,0.244,0.228
"P54","Puede que lo vote",0.297,0.055,0.101,0.092,0.284,0.07,0.203,0.146,0.188
"P54","Nunca lo votaría",0.248,0.888,0.812,0.822,0.267,0.839,0.48,0.472,0.317
"P54","No sabe",0.086,0.023,0.029,0.042,0.071,0.032,0.118,0.138,0.267
"P55","Lo votaría",0.653,0.024,0.02,0.05,0.636,0.061,0.396,0.25,0.279
"P55","Puede que lo vote",0.114,0.03,0.05,0.029,0.126,0.037,0.164,0.129,0.162
"P55","Nunca lo votaría",0.196,0.919,0.913,0.908,0.222,0.882,0.404,0.511,0.328
"P55","No sabe",0.037,0.027,0.017,0.013,0.016,0.02,0.036,0.11,0.231
"P56","La votaría",0.191,0.836,0.356,0.269,0.143,0.51,0.116,0.061,0.073
"P56","Puede que la vote",0.068,0.036,0.295,0.357,0.109,0.229,0.046,0.167,0.164
"P56","Nunca la votaría",0.712,0.118,0.295,0.337,0.732,0.236,0.827,0.649,0.533
"P56","No sabe",0.029,0.01,0.054,0.037,0.016,0.025,0.011,0.123,0.23
"P57","Lo votaría",0.142,0.331,0.637,0.105,0.081,0.186,0.032,0.105,0.075
"P57","Puede que lo vote",0.1,0.369,0.209,0.276,0.114,0.263,0.065,0.089,0.147
"P57","Nunca lo votaría",0.722,0.224,0.095,0.554,0.765,0.497,0.853,0.671,0.547
"P57","No sabe",0.036,0.076,0.059,0.065,0.04,0.054,0.05,0.135,0.231
"P58","Lo votaría",0.076,0.179,0.167,0.728,0.117,0.531,0.012,0.12,0.018
"P58","Puede que lo vote",0.089,0.382,0.262,0.111,0.072,0.218,0.051,0.044,0.115
"P58","Nunca lo votaría",0.787,0.358,0.499,0.141,0.784,0.223,0.937,0.729,0.65
"P58","No sabe",0.048,0.081,0.072,0.02,0.027,0.028,0,0.107,0.217
"P59","Lo votaría",0.057,0.058,0.087,0.232,0.052,0.096,0.012,0.112,0.035
"P59","Puede que lo vote",0.131,0.184,0.238,0.108,0.111,0.115,0.08,0.059,0.144
"P59","Nunca lo votaría",0.748,0.687,0.497,0.578,0.76,0.711,0.805,0.687,0.49
"P59","No sabe",0.064,0.071,0.178,0.082,0.077,0.078,0.103,0.142,0.331
"P60","Lo votaría",0.047,0.183,0.237,0.183,0.087,0.166,0.034,0.078,0.019
"P60","Puede que lo vote",0.105,0.441,0.292,0.256,0.063,0.381,0.012,0.033,0.138
"P60","Nunca lo votaría",0.795,0.264,0.362,0.471,0.787,0.4,0.845,0.752,0.554
"P60","No sabe",0.053,0.112,0.109,0.09,0.063,0.053,0.109,0.137,0.289
"P61","Muy buena",0.219,0.022,0.059,0.068,0.165,0.052,0.087,0.231,0.145
"P61","Buena",0.323,0.08,0.088,0.071,0.244,0.083,0.067,0.087,0.167
"P61","Ni buena ni mala",0.251,0.091,0.12,0.138,0.36,0.101,0.291,0.21,0.237
"P61","Mala",0.089,0.172,0.246,0.117,0.12,0.153,0.266,0.119,0.17
"P61","Muy mala",0.115,0.617,0.48,0.578,0.103,0.606,0.286,0.34,0.179
"P61","No sabe",0.003,0.018,0.007,0.028,0.008,0.005,0.003,0.013,0.102
"P62","Muy buena",0.557,0.019,0.014,0.029,0.477,0.049,0.179,0.263,0.141
"P62","Buena",0.195,0.015,0.055,0.034,0.232,0.033,0.187,0.08,0.159
"P62","Ni buena ni mala",0.085,0.12,0.265,0.197,0.11,0.111,0.22,0.153,0.247
"P62","Mala",0.057,0.222,0.144,0.15,0.073,0.174,0.2,0.165,0.143
"P62","Muy mala",0.093,0.582,0.454,0.561,0.085,0.609,0.199,0.32,0.133
"P62","No sabe",0.013,0.042,0.068,0.029,0.023,0.024,0.015,0.019,0.177
"P63","Muy buena",0.216,0.016,0.032,0.042,0.183,0.031,0.181,0.259,0.175
"P63","Buena",0.305,0.04,0.045,0.039,0.261,0.068,0.076,0.131,0.194
"P63","Ni buena ni mala",0.26,0.136,0.2,0.16,0.326,0.137,0.213,0.168,0.281
"P63","Mala",0.096,0.256,0.219,0.206,0.115,0.229,0.235,0.096,0.108
"P63","Muy mala",0.11,0.547,0.483,0.541,0.092,0.529,0.292,0.314,0.098
"P63","No sabe",0.013,0.005,0.021,0.012,0.023,0.006,0.003,0.032,0.144
"P64","Muy buena",0.608,0.022,0.022,0.026,0.568,0.048,0.313,0.272,0.273
"P64","Buena",0.136,0.008,0.011,0.048,0.137,0.04,0.109,0.053,0.161
"P64","Ni buena ni mala",0.075,0.046,0.129,0.087,0.093,0.064,0.198,0.117,0.154
"P64","Mala",0.042,0.16,0.171,0.086,0.076,0.137,0.086,0.136,0.101
"P64","Muy mala",0.132,0.74,0.66,0.747,0.12,0.701,0.294,0.403,0.138
"P64","No sabe",0.007,0.024,0.007,0.006,0.006,0.01,0,0.019,0.173
"P65","Muy buena",0.157,0.699,0.221,0.274,0.148,0.468,0.077,0.047,0.075
"P65","Buena",0.075,0.163,0.257,0.216,0.098,0.233,0.009,0.053,0.1
