"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P32","Al candidato del Frente de Izquierda",0.008,0.008,0.032,0.025
"P32","En blanco",0.013,0.054,0.086,0.062
"P32","No sabe",0.029,0.139,0.107,0.475
"P33","Wado de Pedro por el Frente de Todos",0.016,0.057,0.549,0.201
"P33","Patricia Bullrich por Juntos por el Cambio",0.229,0.76,0.247,0.462
"P33","Javier Milei por la Libertad Avanza",0.722,0.098,0.041,0.026
"P33","Al candidato del Frente de Izquierda",0.015,0.006,0.033,0
"P33","En blanco",0.006,0.022,0.061,0.062
"P33","No sabe",0.012,0.057,0.069,0.249
"P34","Daniel Scioli por el Frente de Todos",0.029,0.079,0.432,0.103
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.137,0.35,0.187,0.276
"P34","Javier Milei por la Libertad Avanza",0.788,0.364,0.056,0.065
"P34","Al candidato del Frente de Izquierda",0.018,0.011,0.066,0.009
"P34","En blanco",0.015,0.05,0.107,0.066
"P34","No sabe",0.013,0.146,0.152,0.481
"P35","Daniel Scioli por el Frente de Todos",0.031,0.071,0.433,0.162
"P35","Patricia Bullrich por Juntos por el Cambio",0.229,0.731,0.244,0.478
"P35","Javier Milei por la Libertad Avanza",0.701,0.133,0.043,0.013
"P35","Al candidato del Frente de Izquierda",0.012,0.009,0.077,0
"P35","En blanco",0.009,0.021,0.086,0.057
"P35","No sabe",0.018,0.035,0.117,0.29
"P36","Axel Kicillof por el Frente de Todos",0.022,0.053,0.542,0.185
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.144,0.373,0.195,0.265
"P36","Javier Milei por la Libertad Avanza",0.807,0.405,0.049,0.03
"P36","Al candidato del Frente de Izquierda",0.014,0.006,0.037,0.01
"P36","En blanco",0.004,0.05,0.075,0.061
"P36","No sabe",0.009,0.113,0.102,0.449
"P37","Axel Kicillof por el Frente de Todos",0.025,0.06,0.546,0.189
"P37","Patricia Bullrich por Juntos por el Cambio",0.232,0.738,0.236,0.451
"P37","Javier Milei por la Libertad Avanza",0.722,0.133,0.046,0.022
"P37","Al candidato del Frente de Izquierda",0.006,0.006,0.041,0.022
"P37","En blanco",0.006,0.021,0.062,0.056
"P37","No sabe",0.009,0.042,0.069,0.26
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.367,0.543,0.196,0.293
"P38","Sergio Massa por el Frente de Todos",0.066,0.12,0.527,0.224
"P38","En blanco",0.311,0.142,0.136,0.039
"P38","No sabe",0.256,0.195,0.141,0.444
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.397,0.606,0.216,0.293
"P39","Wado de Pedro por el Frente de Todos",0.045,0.074,0.565,0.247
"P39","En blanco",0.359,0.145,0.117,0.069
"P39","No sabe",0.199,0.175,0.102,0.391
"P40","Patricia Bullrich por Juntos por el Cambio",0.677,0.826,0.283,0.484
"P40","Sergio Massa por el Frente de Todos",0.055,0.096,0.538,0.254
"P40","En blanco",0.169,0.029,0.105,0.044
"P40","No sabe",0.099,0.049,0.074,0.218
"P41","Patricia Bullrich por Juntos por el Cambio",0.729,0.864,0.293,0.496
"P41","Wado de Pedro  por el Frente de Todos",0.033,0.071,0.575,0.205
"P41","En blanco",0.163,0.026,0.084,0.042
"P41","No sabe",0.075,0.039,0.048,0.257
"P42","Patricia Bullrich por Juntos por el Cambio",0.715,0.852,0.29,0.531
"P42","Daniel Scioli por el Frente de Todos",0.056,0.082,0.509,0.17
"P42","En blanco",0.148,0.019,0.119,0.077
"P42","No sabe",0.081,0.047,0.082,0.222
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.453,0.649,0.225,0.293
"P43","Daniel Scioli por el Frente de Todos",0.047,0.083,0.503,0.182
"P43","En blanco",0.338,0.12,0.159,0.095
"P43","No sabe",0.162,0.148,0.113,0.43
"P44","Patricia Bullrich por Juntos por el Cambio",0.698,0.835,0.284,0.495
"P44","Axel Kicillof por el Frente de Todos",0.038,0.071,0.57,0.208
"P44","En blanco",0.169,0.037,0.094,0.051
"P44","No sabe",0.095,0.057,0.052,0.246
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.497,0.664,0.224,0.326
"P45","Axel Kicillof por el Frente de Todos",0.038,0.062,0.574,0.188
"P45","En blanco",0.329,0.13,0.118,0.061
"P45","No sabe",0.136,0.144,0.084,0.425
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.197,0.415,0.256,0.289
"P46","Javier Milei por los liberales libertarios",0.716,0.442,0.105,0.128
"P46","En blanco",0.05,0.055,0.426,0.073
"P46","No sabe",0.037,0.088,0.213,0.51
"P47","Patricia Bullrich por Juntos por el Cambio",0.259,0.768,0.274,0.497
"P47","Javier Milei por los liberales libertarios",0.7,0.164,0.062,0.093
"P47","En blanco",0.014,0.035,0.513,0.105
"P47","No sabe",0.027,0.033,0.151,0.305
"P48","Javier Milei por los liberales libertarios",0.85,0.645,0.091,0.196
"P48","Sergio Massa por el Frente de Todos",0.093,0.128,0.531,0.246
