"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P16","Sergio Massa por el Frente de Todos",0.127,0.111,0.079,0.1
"P16","Wado de Pedro por el Frente de Todos",0.183,0.197,0.13,0.12
"P16","Daniel Scioli por el Frente de Todos",0.036,0.046,0.052,0.049
"P16","Patricia Bullrich por Juntos por el Cambio",0.304,0.264,0.227,0.158
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.077,0.085,0.084,0.055
"P16","Javier Milei por la Libertad Avanza",0.181,0.192,0.264,0.246
"P16","Al candidato del Frente de Izquierda",0.015,0.021,0.021,0.024
"P16","En blanco",0.022,0.018,0.041,0.051
"P16","No sabe",0.055,0.066,0.102,0.197
"P19","Sergio Massa por el Frente de Todos",0.138,0.11,0.083,0.085
"P19","Wado de Pedro por el Frente de Todos",0.201,0.216,0.146,0.153
"P19","Patricia Bullrich por Juntos por el Cambio",0.293,0.277,0.242,0.156
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.084,0.09,0.076,0.061
"P19","Javier Milei por la Libertad Avanza",0.18,0.192,0.27,0.283
"P19","Al candidato del Frente de Izquierda",0.025,0.03,0.046,0.027
"P19","En blanco",0.021,0.022,0.036,0.054
"P19","No sabe",0.058,0.063,0.101,0.181
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.302,0.287,0.201,0.237
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.308,0.292,0.244,0.165
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.085,0.095,0.085,0.055
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.029,0.02,0.024,0.053
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.173,0.191,0.278,0.263
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.025,0.032,0.03,0.016
"P22","En blanco",0.016,0.023,0.035,0.043
"P22","No sabe",0.062,0.06,0.103,0.168
"P25","Sergio Massa por el Frente de Todos",0.228,0.202,0.156,0.178
"P25","Daniel Scioli por el Frente de Todos",0.083,0.092,0.075,0.101
"P25","Patricia Bullrich por Juntos por el Cambio",0.307,0.289,0.228,0.146
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.082,0.092,0.076,0.063
"P25","Javier Milei por la Libertad Avanza",0.165,0.179,0.28,0.272
"P25","Al candidato del Frente de Izquierda",0.032,0.035,0.033,0.03
"P25","En blanco",0.023,0.03,0.041,0.053
"P25","No sabe",0.08,0.081,0.111,0.157
"P26","Wado de Pedro por el Frente de Todos",0.259,0.247,0.183,0.165
"P26","Daniel Scioli por el Frente de Todos",0.069,0.073,0.058,0.08
"P26","Patricia Bullrich por Juntos por el Cambio",0.31,0.303,0.244,0.185
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.073,0.082,0.065,0.049
"P26","Javier Milei por la Libertad Avanza",0.182,0.194,0.292,0.295
"P26","Al candidato del Frente de Izquierda",0.023,0.019,0.023,0.02
"P26","En blanco",0.021,0.023,0.033,0.05
"P26","No sabe",0.063,0.059,0.102,0.156
"P27","Sergio Massa por el Frente de Todos",0.272,0.255,0.178,0.226
"P27","Patricia Bullrich por Juntos por el Cambio",0.313,0.287,0.237,0.197
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.084,0.104,0.086,0.063
"P27","Javier Milei por la Libertad Avanza",0.172,0.191,0.297,0.263
"P27","Al candidato del Frente de Izquierda",0.046,0.043,0.053,0.043
"P27","En blanco",0.023,0.033,0.042,0.046
"P27","No sabe",0.09,0.087,0.107,0.162
"P28","Wado de Pedro por el Frente de Todos",0.284,0.29,0.203,0.242
"P28","Patricia Bullrich por Juntos por el Cambio",0.341,0.304,0.245,0.211
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.075,0.09,0.065,0.036
"P28","Javier Milei por la Libertad Avanza",0.173,0.193,0.309,0.258
"P28","Al candidato del Frente de Izquierda",0.024,0.023,0.032,0.028
"P28","En blanco",0.029,0.033,0.048,0.041
"P28","No sabe",0.074,0.067,0.098,0.184
"P29","Axel Kicillof por el Frente de Todos",0.306,0.292,0.204,0.25
"P29","Patricia Bullrich por Juntos por el Cambio",0.337,0.307,0.256,0.194
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.073,0.099,0.078,0.04
"P29","Javier Milei por la Libertad Avanza",0.181,0.196,0.311,0.277
"P29","Al candidato del Frente de Izquierda",0.022,0.019,0.023,0.029
"P29","En blanco",0.021,0.027,0.041,0.052
"P29","No sabe",0.06,0.06,0.087,0.158
"P30","Sergio Massa  por el Frente de Todos",0.296,0.281,0.198,0.238
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.213,0.211,0.138,0.104
"P30","Javier Milei por la Libertad Avanza",0.245,0.262,0.396,0.363
"P30","Al candidato del Frente de Izquierda",0.038,0.034,0.039,0.033
"P30","En blanco",0.058,0.06,0.074,0.048
"P30","No sabe",0.15,0.152,0.155,0.214
"P31","Sergio Massa  por el Frente de Todos",0.293,0.29,0.198,0.242
"P31","Patricia Bullrich por Juntos por el Cambio",0.364,0.338,0.267,0.233
