"var","categoria","Axel Kicillof por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.028,0.253,0.025,0.026,0.066,0.076
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.016,0.047,0.022,0.02,0.05,0.017
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.022,0.037,0.615,0.034,0.027,0.027
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.029,0.01,0.008,0.443,0.017,0.006
"P22","En blanco",0.017,0.005,0.003,0.01,0.185,0.014
"P22","No sabe",0.054,0.023,0.009,0.031,0.079,0.256
"P25","Sergio Massa por el Frente de Todos",0.554,0.058,0.046,0.117,0.112,0.126
"P25","Daniel Scioli por el Frente de Todos",0.203,0.039,0.029,0.128,0.1,0.072
"P25","Patricia Bullrich por Juntos por el Cambio",0.04,0.551,0.274,0.041,0.435,0.42
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.276,0.022,0.046,0.047,0.036
"P25","Javier Milei por la Libertad Avanza",0.026,0.036,0.601,0.091,0.025,0.02
"P25","Al candidato del Frente de Izquierda",0.043,0.011,0.007,0.491,0.011,0.008
"P25","En blanco",0.033,0.002,0.003,0.058,0.202,0.033
"P25","No sabe",0.079,0.027,0.018,0.028,0.068,0.285
"P26","Wado de Pedro por el Frente de Todos",0.746,0.023,0.015,0.108,0.102,0.127
"P26","Daniel Scioli por el Frente de Todos",0.167,0.021,0.016,0.171,0.062,0.052
"P26","Patricia Bullrich por Juntos por el Cambio",0.013,0.616,0.279,0.128,0.452,0.45
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.285,0.009,0.031,0.044,0.026
"P26","Javier Milei por la Libertad Avanza",0.013,0.025,0.659,0.024,0.042,0.022
"P26","Al candidato del Frente de Izquierda",0.013,0.007,0.007,0.472,0.01,0.002
"P26","En blanco",0.01,0.002,0.004,0.035,0.217,0.022
"P26","No sabe",0.031,0.021,0.011,0.031,0.071,0.299
"P27","Sergio Massa por el Frente de Todos",0.759,0.03,0.012,0.124,0.122,0.141
"P27","Patricia Bullrich por Juntos por el Cambio",0.032,0.569,0.268,0.109,0.471,0.434
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.336,0.032,0.027,0.052,0.055
"P27","Javier Milei por la Libertad Avanza",0.012,0.023,0.631,0.078,0.004,0.019
"P27","Al candidato del Frente de Izquierda",0.052,0.013,0.041,0.579,0.024,0.019
"P27","En blanco",0.034,0.006,0.008,0.041,0.197,0.013
"P27","No sabe",0.105,0.023,0.008,0.042,0.13,0.319
"P28","Wado de Pedro por el Frente de Todos",0.84,0.018,0.013,0.235,0.145,0.134
"P28","Patricia Bullrich por Juntos por el Cambio",0.024,0.6,0.288,0.179,0.457,0.467
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.31,0.006,0.023,0.022,0.027
"P28","Javier Milei por la Libertad Avanza",0.011,0.02,0.665,0.024,0.018,0.032
"P28","Al candidato del Frente de Izquierda",0.027,0.01,0.01,0.507,0.02,0.01
"P28","En blanco",0.026,0.008,0.009,0.023,0.256,0.03
"P28","No sabe",0.063,0.034,0.009,0.009,0.082,0.3
"P29","Axel Kicillof por el Frente de Todos",0.933,0.009,0.012,0.161,0.068,0.069
"P29","Patricia Bullrich por Juntos por el Cambio",0.015,0.614,0.279,0.131,0.475,0.452
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.334,0.006,0.047,0.046,0.032
"P29","Javier Milei por la Libertad Avanza",0.005,0.013,0.69,0.041,0.013,0.021
"P29","Al candidato del Frente de Izquierda",0.006,0.008,0.002,0.577,0.023,0.018
"P29","En blanco",0.011,0.004,0.005,0.025,0.295,0.015
"P29","No sabe",0.025,0.018,0.006,0.018,0.08,0.393
"P30","Sergio Massa  por el Frente de Todos",0.797,0.029,0.023,0.142,0.143,0.171
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.767,0.025,0.031,0.058,0.045
"P30","Javier Milei por la Libertad Avanza",0.022,0.062,0.887,0.079,0.042,0.026
"P30","Al candidato del Frente de Izquierda",0.052,0.015,0.007,0.581,0.015,0.007
"P30","En blanco",0.036,0.024,0.009,0.103,0.522,0.059
"P30","No sabe",0.076,0.103,0.049,0.064,0.22,0.692
"P31","Sergio Massa  por el Frente de Todos",0.806,0.034,0.028,0.167,0.158,0.158
"P31","Patricia Bullrich por Juntos por el Cambio",0.019,0.777,0.243,0.141,0.441,0.412
"P31","Javier Milei por la Libertad Avanza",0.011,0.041,0.701,0.034,0.006,0.023
"P31","Al candidato del Frente de Izquierda",0.057,0.011,0.002,0.595,0.01,0.005
"P31","En blanco",0.036,0.05,0.002,0.009,0.297,0.039
"P31","No sabe",0.071,0.087,0.024,0.054,0.088,0.363
"P32","Wado de Pedro por el Frente de Todos",0.866,0.016,0.017,0.248,0.116,0.143
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.844,0.029,0.019,0.056,0.075
"P32","Javier Milei por la Libertad Avanza",0.03,0.047,0.916,0.117,0.02,0.025
"P32","Al candidato del Frente de Izquierda",0.014,0,0.001,0.52,0.018,0.012
"P32","En blanco",0.025,0.029,0.007,0.061,0.694,0.037
"P32","No sabe",0.04,0.064,0.03,0.035,0.096,0.708
"P33","Wado de Pedro por el Frente de Todos",0.882,0.027,0.02,0.239,0.102,0.151
"P33","Patricia Bullrich por Juntos por el Cambio",0.026,0.808,0.259,0.027,0.422,0.442
"P33","Javier Milei por la Libertad Avanza",0.015,0.035,0.708,0.08,0.016,0.005
"P33","Al candidato del Frente de Izquierda",0.014,0.006,0,0.582,0.028,0.004
"P33","En blanco",0.025,0.052,0,0.048,0.386,0.013
"P33","No sabe",0.038,0.072,0.013,0.024,0.046,0.385
"P34","Daniel Scioli por el Frente de Todos",0.734,0.019,0.021,0.204,0.117,0.101
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.856,0.026,0.019,0.062,0.082
"P34","Javier Milei por la Libertad Avanza",0.017,0.039,0.926,0.032,0.025,0.025
"P34","Al candidato del Frente de Izquierda",0.058,0.01,0.005,0.666,0.007,0.003
"P34","En blanco",0.068,0.035,0.002,0.054,0.688,0.05
"P34","No sabe",0.116,0.041,0.02,0.025,0.101,0.739
"P35","Daniel Scioli por el Frente de Todos",0.739,0.038,0.018,0.144,0.081,0.091
"P35","Patricia Bullrich por Juntos por el Cambio",0.016,0.825,0.233,0.092,0.442,0.433
"P35","Javier Milei por la Libertad Avanza",0.003,0.021,0.737,0.032,0.014,0.005
"P35","Al candidato del Frente de Izquierda",0.061,0.015,0.003,0.715,0.003,0.004
"P35","En blanco",0.065,0.043,0,0.01,0.421,0.023
"P35","No sabe",0.116,0.058,0.009,0.007,0.039,0.444
"P37","Axel Kicillof por el Frente de Todos",0.957,0.02,0.008,0.12,0.066,0.057
"P37","Patricia Bullrich por Juntos por el Cambio",0.009,0.839,0.234,0.07,0.433,0.432
"P37","Javier Milei por la Libertad Avanza",0.004,0.024,0.748,0.073,0.008,0.006
"P37","Al candidato del Frente de Izquierda",0.007,0.018,0.002,0.7,0.015,0.008
"P37","En blanco",0.008,0.055,0,0.024,0.447,0.024
"P37","No sabe",0.015,0.044,0.008,0.013,0.031,0.473
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.857,0.308,0.141,0.108,0.118
"P38","Sergio Massa por el Frente de Todos",0.819,0.056,0.072,0.32,0.189,0.194
"P38","En blanco",0.066,0.031,0.346,0.345,0.556,0.055
"P38","No sabe",0.083,0.056,0.274,0.194,0.147,0.633
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.901,0.358,0.071,0.139,0.145
"P39","Wado de Pedro por el Frente de Todos",0.89,0.028,0.04,0.475,0.132,0.176
"P39","En blanco",0.037,0.025,0.384,0.295,0.666,0.071
"P39","No sabe",0.032,0.046,0.218,0.159,0.063,0.608
"P40","Patricia Bullrich por Juntos por el Cambio",0.025,0.855,0.692,0.091,0.517,0.503
"P40","Sergio Massa por el Frente de Todos",0.861,0.052,0.051,0.405,0.167,0.183
"P40","En blanco",0.055,0.053,0.16,0.37,0.291,0.042
"P40","No sabe",0.059,0.04,0.097,0.134,0.025,0.272
"P41","Patricia Bullrich por Juntos por el Cambio",0.032,0.862,0.755,0.133,0.542,0.527
"P41","Wado de Pedro  por el Frente de Todos",0.902,0.037,0.032,0.437,0.148,0.144
"P41","En blanco",0.03,0.057,0.139,0.316,0.291,0.041
"P41","No sabe",0.036,0.044,0.074,0.114,0.019,0.288
"P42","Patricia Bullrich por Juntos por el Cambio",0.021,0.87,0.742,0.126,0.536,0.525
"P42","Daniel Scioli por el Frente de Todos",0.817,0.036,0.042,0.399,0.1,0.122
"P42","En blanco",0.085,0.046,0.137,0.357,0.342,0.043
"P42","No sabe",0.077,0.048,0.079,0.118,0.022,0.31
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.907,0.418,0.079,0.227,0.179
"P43","Daniel Scioli por el Frente de Todos",0.816,0.023,0.049,0.376,0.094,0.121
"P43","En blanco",0.095,0.031,0.357,0.385,0.648,0.098
"P43","No sabe",0.073,0.039,0.176,0.16,0.031,0.602
"P44","Patricia Bullrich por Juntos por el Cambio",0.019,0.889,0.695,0.144,0.551,0.515
"P44","Axel Kicillof por el Frente de Todos",0.94,0.027,0.036,0.423,0.067,0.104
"P44","En blanco",0.017,0.046,0.172,0.331,0.368,0.062
"P44","No sabe",0.024,0.038,0.097,0.102,0.014,0.319
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.916,0.462,0.087,0.224,0.196
"P45","Axel Kicillof por el Frente de Todos",0.961,0.011,0.015,0.47,0.056,0.107
"P45","En blanco",0.016,0.031,0.363,0.321,0.652,0.084
"P45","No sabe",0.015,0.042,0.16,0.122,0.068,0.613
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.089,0.893,0.081,0.083,0.177,0.15
"P46","Javier Milei por los liberales libertarios",0.152,0.051,0.82,0.207,0.065,0.087
"P46","En blanco",0.521,0.025,0.059,0.592,0.67,0.14
"P46","No sabe",0.238,0.031,0.04,0.118,0.088,0.623
"P47","Patricia Bullrich por Juntos por el Cambio",0.041,0.876,0.279,0.074,0.532,0.515
"P47","Javier Milei por los liberales libertarios",0.059,0.038,0.686,0.136,0.039,0.036
"P47","En blanco",0.686,0.057,0.014,0.668,0.386,0.111
"P47","No sabe",0.214,0.029,0.021,0.122,0.043,0.338
"P48","Javier Milei por los liberales libertarios",0.014,0.449,0.864,0.08,0.154,0.183
"P48","Sergio Massa por el Frente de Todos",0.814,0.073,0.106,0.445,0.131,0.167
"P48","En blanco",0.123,0.262,0.018,0.373,0.66,0.129
"P48","No sabe",0.049,0.216,0.012,0.102,0.055,0.521
"P49","Javier Milei por los liberales libertarios",0.026,0.415,0.957,0.058,0.1,0.156
"P49","Wado de Pedro  por el Frente de Todos",0.909,0.056,0.022,0.55,0.163,0.159
"P49","En blanco",0.036,0.306,0.004,0.303,0.677,0.129
"P49","No sabe",0.029,0.223,0.017,0.089,0.06,0.556
"P50","Javier Milei por los liberales libertarios",0.01,0.432,0.958,0.044,0.1,0.16
"P50","Daniel Scioli por el Frente de Todos",0.857,0.051,0.022,0.454,0.137,0.135
"P50","En blanco",0.076,0.318,0.006,0.364,0.712,0.146
"P50","No sabe",0.057,0.199,0.014,0.138,0.051,0.559
"P51","Javier Milei por los liberales libertarios",0.01,0.46,0.973,0.117,0.147,0.156
"P51","Axel Kicillof por el Frente de Todos",0.963,0.037,0.006,0.42,0.102,0.112
"P51","En blanco",0.014,0.327,0.008,0.35,0.709,0.151
"P51","No sabe",0.013,0.176,0.013,0.113,0.042,0.581
"P52","Lo votaría",0.506,0.117,0.154,0.2,0.079,0.101
"P52","Puede que lo vote",0.349,0.066,0.031,0.267,0.106,0.091
"P52","Nunca lo votaría",0.098,0.748,0.786,0.442,0.735,0.543
"P52","No sabe",0.047,0.069,0.029,0.091,0.08,0.265
"P53","Lo votaría",0.766,0.049,0.042,0.3,0.112,0.106
"P53","Puede que lo vote",0.151,0.061,0.037,0.205,0.05,0.108
"P53","Nunca lo votaría",0.058,0.841,0.895,0.415,0.761,0.6
"P53","No sabe",0.025,0.049,0.026,0.08,0.077,0.186
"P54","Lo votaría",0.461,0.043,0.031,0.152,0.124,0.085
"P54","Puede que lo vote",0.358,0.065,0.059,0.301,0.035,0.09
"P54","Nunca lo votaría",0.102,0.844,0.891,0.439,0.775,0.637
"P54","No sabe",0.079,0.048,0.019,0.108,0.066,0.188
"P55","Lo votaría",0.835,0.024,0.017,0.253,0.042,0.049
"P55","Puede que lo vote",0.139,0.04,0.022,0.239,0.019,0.113
"P55","Nunca lo votaría",0.012,0.913,0.948,0.422,0.882,0.646
"P55","No sabe",0.014,0.023,0.013,0.086,0.057,0.192
"P56","La votaría",0.104,0.685,0.419,0.155,0.457,0.501
"P56","Puede que la vote",0.037,0.13,0.306,0.074,0.12,0.075
"P56","Nunca la votaría",0.832,0.166,0.246,0.771,0.354,0.291
"P56","No sabe",0.027,0.019,0.029,0,0.069,0.133
"P57","Lo votaría",0.026,0.652,0.112,0.124,0.076,0.074
"P57","Puede que lo vote",0.055,0.268,0.302,0.034,0.255,0.311
"P57","Nunca lo votaría",0.878,0.057,0.534,0.781,0.571,0.362
"P57","No sabe",0.041,0.023,0.052,0.061,0.098,0.253
"P58","Lo votaría",0.021,0.181,0.688,0.16,0.02,0.027
"P58","Puede que lo vote",0.034,0.316,0.233,0.048,0.185,0.213
"P58","Nunca lo votaría",0.91,0.436,0.074,0.77,0.728,0.508
"P58","No sabe",0.035,0.067,0.005,0.022,0.067,0.252
"P59","Lo votaría",0.026,0.086,0.139,0.164,0.041,0.071
"P59","Puede que lo vote",0.102,0.238,0.121,0.046,0.051,0.135
"P59","Nunca lo votaría",0.807,0.57,0.67,0.754,0.823,0.541
"P59","No sabe",0.065,0.106,0.07,0.036,0.085,0.253
"P60","Lo votaría",0.011,0.192,0.189,0.177,0.133,0.12
"P60","Puede que lo vote",0.047,0.411,0.368,0.022,0.234,0.205
"P60","Nunca lo votaría",0.896,0.296,0.377,0.768,0.549,0.416
"P60","No sabe",0.046,0.101,0.066,0.033,0.084,0.259
"P61","Muy buena",0.234,0.056,0.044,0.175,0.049,0.066
"P61","Buena",0.353,0.072,0.086,0.057,0.044,0.07
"P61","Ni buena ni mala",0.302,0.134,0.081,0.307,0.171,0.191
"P61","Mala",0.062,0.217,0.141,0.2,0.155,0.201
"P61","Muy mala",0.048,0.514,0.631,0.259,0.572,0.4
"P61","No sabe",0.001,0.007,0.017,0.002,0.009,0.072
"P62","Muy buena",0.627,0.019,0.017,0.293,0.061,0.082
"P62","Buena",0.218,0.039,0.035,0.189,0.047,0.084
"P62","Ni buena ni mala",0.091,0.168,0.128,0.189,0.111,0.199
"P62","Mala",0.022,0.235,0.177,0.102,0.164,0.168
"P62","Muy mala",0.031,0.488,0.618,0.2,0.576,0.364
"P62","No sabe",0.011,0.051,0.025,0.027,0.041,0.103
"P63","Muy buena",0.259,0.023,0.025,0.2,0.091,0.042
"P63","Buena",0.357,0.048,0.033,0.197,0.035,0.092
"P63","Ni buena ni mala",0.292,0.142,0.142,0.208,0.149,0.262
"P63","Mala",0.061,0.27,0.227,0.128,0.192,0.193
"P63","Muy mala",0.026,0.497,0.564,0.253,0.507,0.332
"P63","No sabe",0.005,0.02,0.009,0.014,0.026,0.079
"P64","Muy buena",0.753,0.022,0.014,0.328,0.039,0.034
"P64","Buena",0.162,0.019,0.027,0.099,0.022,0.095
"P64","Ni buena ni mala",0.061,0.082,0.072,0.175,0.078,0.139
"P64","Mala",0.005,0.2,0.125,0.091,0.144,0.137
"P64","Muy mala",0.013,0.662,0.756,0.301,0.7,0.477
"P64","No sabe",0.006,0.015,0.006,0.006,0.017,0.118
"P65","Muy buena",0.084,0.505,0.43,0.239,0.383,0.432
"P65","Buena",0.023,0.234,0.239,0.021,0.124,0.148
"P65","Ni buena ni mala",0.045,0.102,0.142,0.102,0.172,0.094
"P65","Mala",0.199,0.062,0.06,0.061,0.127,0.094
"P65","Muy mala",0.644,0.091,0.12,0.563,0.187,0.154
"P65","No sabe",0.005,0.006,0.009,0.014,0.007,0.078
"P66","Muy buena",0.021,0.368,0.097,0.131,0.051,0.065
"P66","Buena",0.018,0.435,0.154,0.009,0.135,0.196
"P66","Ni buena ni mala",0.107,0.136,0.237,0.116,0.291,0.351
"P66","Mala",0.281,0.031,0.207,0.215,0.253,0.184
"P66","Muy mala",0.56,0.022,0.301,0.526,0.248,0.128
"P66","No sabe",0.013,0.008,0.004,0.003,0.022,0.076
"P67","Muy buena",0.014,0.083,0.565,0.13,0.016,0.023
"P67","Buena",0.02,0.213,0.249,0.016,0.058,0.099
"P67","Ni buena ni mala",0.066,0.349,0.125,0.063,0.259,0.366
"P67","Mala",0.125,0.157,0.028,0.121,0.237,0.183
"P67","Muy mala",0.769,0.175,0.03,0.665,0.392,0.195
"P67","No sabe",0.006,0.023,0.003,0.005,0.038,0.134
"P68","Muy buena",0.026,0.059,0.096,0.152,0.031,0.073
"P68","Buena",0.037,0.124,0.107,0.033,0.025,0.081
"P68","Ni buena ni mala",0.222,0.379,0.285,0.148,0.307,0.253
"P68","Mala",0.242,0.187,0.168,0.238,0.136,0.134
"P68","Muy mala",0.443,0.199,0.292,0.415,0.44,0.273
"P68","No sabe",0.03,0.052,0.052,0.014,0.061,0.186
"P69","Muy buena",0.013,0.149,0.15,0.127,0.095,0.095
"P69","Buena",0.021,0.344,0.274,0.087,0.196,0.211
"P69","Ni buena ni mala",0.115,0.31,0.332,0.108,0.357,0.276
"P69","Mala",0.191,0.083,0.095,0.089,0.098,0.08
"P69","Muy mala",0.629,0.081,0.125,0.541,0.187,0.201
"P69","No sabe",0.031,0.033,0.024,0.048,0.067,0.137
"P70","Si",0.586,0.52,0.528,0.58,0.565,0.493
"P70","No",0.414,0.48,0.472,0.42,0.435,0.507
