"var","categoria","Sergio Massa por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P29","Patricia Bullrich por Juntos por el Cambio",0.073,0.16,0.861,0.135,0.056,0.018,0.034,0.039
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.04,0.039,0.651,0.018,0.067,0.039,0.037
"P29","Javier Milei por la Libertad Avanza",0.064,0.076,0.043,0.098,0.862,0.069,0.043,0.064
"P29","Al candidato del Frente de Izquierda",0.008,0.019,0.004,0.012,0.016,0.401,0.021,0.003
"P29","En blanco",0.018,0.056,0.003,0.012,0.003,0.079,0.421,0.048
"P29","No sabe",0.072,0.048,0.011,0.027,0.008,0.009,0.152,0.523
"P30","Sergio Massa  por el Frente de Todos",0.84,0.527,0.052,0.084,0.032,0.099,0.054,0.15
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.085,0.355,0.721,0.023,0.062,0.052,0.053
"P30","Javier Milei por la Libertad Avanza",0.056,0.138,0.241,0.098,0.905,0.075,0.032,0.067
"P30","Al candidato del Frente de Izquierda",0.016,0.042,0.012,0.012,0.014,0.684,0.04,0.008
"P30","En blanco",0.007,0.081,0.092,0.014,0.004,0.035,0.619,0.069
"P30","No sabe",0.035,0.127,0.248,0.071,0.022,0.045,0.203,0.653
"P31","Sergio Massa  por el Frente de Todos",0.849,0.523,0.048,0.094,0.039,0.101,0.112,0.135
"P31","Patricia Bullrich por Juntos por el Cambio",0.066,0.183,0.826,0.499,0.056,0.018,0.037,0.055
"P31","Javier Milei por la Libertad Avanza",0.048,0.088,0.065,0.135,0.87,0.111,0.029,0.069
"P31","Al candidato del Frente de Izquierda",0.008,0.056,0.004,0.018,0.007,0.679,0.042,0.003
"P31","En blanco",0.008,0.053,0.012,0.114,0.01,0.028,0.576,0.101
"P31","No sabe",0.021,0.097,0.045,0.14,0.018,0.063,0.204,0.637
"P32","Wado de Pedro por el Frente de Todos",0.741,0.507,0.051,0.068,0.038,0.411,0.356,0.321
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.076,0.149,0.399,0.734,0.026,0.018,0.026,0.044
"P32","Javier Milei por la Libertad Avanza",0.065,0.125,0.259,0.118,0.91,0.179,0.059,0.067
"P32","Al candidato del Frente de Izquierda",0.009,0.049,0.003,0.013,0.002,0.325,0.007,0.008
"P32","En blanco",0.034,0.085,0.094,0.023,0.006,0.041,0.467,0.09
"P32","No sabe",0.075,0.085,0.194,0.044,0.018,0.026,0.085,0.47
"P33","Wado de Pedro por el Frente de Todos",0.755,0.564,0.047,0.075,0.037,0.425,0.345,0.344
"P33","Patricia Bullrich por Juntos por el Cambio",0.083,0.172,0.845,0.531,0.064,0.018,0.038,0.061
"P33","Javier Milei por la Libertad Avanza",0.055,0.095,0.073,0.111,0.856,0.128,0.025,0.076
"P33","Al candidato del Frente de Izquierda",0.007,0.041,0.001,0.011,0.011,0.334,0.039,0.005
"P33","En blanco",0.036,0.063,0.012,0.118,0.008,0.07,0.399,0.077
"P33","No sabe",0.064,0.065,0.022,0.154,0.024,0.025,0.154,0.437
"P34","Daniel Scioli por el Frente de Todos",0.628,0.717,0.042,0.061,0.03,0.117,0.105,0.157
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.074,0.087,0.42,0.732,0.033,0.033,0.025,0.058
"P34","Javier Milei por la Libertad Avanza",0.068,0.106,0.272,0.084,0.889,0.118,0.034,0.076
"P34","Al candidato del Frente de Izquierda",0.031,0.022,0.007,0.012,0.021,0.616,0.044,0.024
"P34","En blanco",0.061,0.023,0.096,0.051,0.006,0.063,0.668,0.106
"P34","No sabe",0.138,0.045,0.163,0.06,0.021,0.053,0.124,0.579
"P35","Daniel Scioli por el Frente de Todos",0.642,0.682,0.037,0.1,0.04,0.141,0.131,0.124
"P35","Patricia Bullrich por Juntos por el Cambio",0.062,0.194,0.846,0.507,0.057,0.028,0.036,0.077
"P35","Javier Milei por la Libertad Avanza",0.046,0.063,0.083,0.101,0.873,0.062,0.031,0.075
"P35","Al candidato del Frente de Izquierda",0.055,0.017,0.001,0.018,0.007,0.651,0.054,0.029
"P35","En blanco",0.07,0.02,0.017,0.114,0.006,0.016,0.603,0.081
"P35","No sabe",0.125,0.024,0.016,0.16,0.017,0.102,0.145,0.614
"P36","Axel Kicillof por el Frente de Todos",0.751,0.616,0.038,0.071,0.034,0.403,0.333,0.314
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.066,0.099,0.429,0.756,0.04,0.083,0.018,0.09
"P36","Javier Milei por la Libertad Avanza",0.07,0.101,0.29,0.081,0.898,0.069,0.037,0.082
"P36","Al candidato del Frente de Izquierda",0.014,0.034,0.003,0.013,0.01,0.395,0.051,0.01
"P36","En blanco",0.031,0.063,0.084,0.032,0.007,0.022,0.429,0.056
"P36","No sabe",0.068,0.087,0.156,0.047,0.011,0.028,0.132,0.448
"P37","Axel Kicillof por el Frente de Todos",0.78,0.598,0.04,0.08,0.049,0.366,0.357,0.344
"P37","Patricia Bullrich por Juntos por el Cambio",0.077,0.157,0.828,0.533,0.062,0.065,0.037,0.07
"P37","Javier Milei por la Libertad Avanza",0.059,0.092,0.092,0.098,0.856,0.068,0.018,0.08
"P37","Al candidato del Frente de Izquierda",0.008,0.038,0.002,0.051,0.007,0.46,0.028,0.006
"P37","En blanco",0.026,0.049,0.013,0.117,0.013,0.021,0.459,0.062
"P37","No sabe",0.05,0.066,0.025,0.121,0.013,0.02,0.101,0.438
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.085,0.149,0.545,0.807,0.268,0.029,0.068,0.079
"P38","Sergio Massa por el Frente de Todos",0.842,0.574,0.079,0.072,0.086,0.404,0.217,0.234
"P38","En blanco",0.028,0.097,0.155,0.057,0.385,0.38,0.489,0.131
"P38","No sabe",0.045,0.18,0.221,0.064,0.261,0.187,0.226,0.556
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.103,0.182,0.589,0.832,0.303,0.077,0.054,0.096
"P39","Wado de Pedro por el Frente de Todos",0.781,0.575,0.057,0.066,0.064,0.644,0.443,0.445
"P39","En blanco",0.041,0.105,0.157,0.042,0.45,0.229,0.406,0.108
"P39","No sabe",0.075,0.138,0.197,0.06,0.183,0.05,0.097,0.351
"P40","Patricia Bullrich por Juntos por el Cambio",0.103,0.205,0.903,0.636,0.61,0.067,0.092,0.138
"P40","Sergio Massa por el Frente de Todos",0.853,0.589,0.05,0.112,0.083,0.49,0.214,0.3
"P40","En blanco",0.014,0.087,0.023,0.128,0.209,0.379,0.594,0.113
"P40","No sabe",0.03,0.119,0.024,0.124,0.098,0.064,0.1,0.449
"P41","Patricia Bullrich por Juntos por el Cambio",0.136,0.241,0.926,0.67,0.642,0.063,0.092,0.148
"P41","Wado de Pedro  por el Frente de Todos",0.778,0.614,0.049,0.1,0.057,0.611,0.434,0.428
"P41","En blanco",0.026,0.075,0.014,0.136,0.207,0.224,0.404,0.075
"P41","No sabe",0.06,0.07,0.011,0.094,0.094,0.102,0.07,0.349
"P42","Patricia Bullrich por Juntos por el Cambio",0.122,0.212,0.921,0.694,0.638,0.045,0.094,0.142
"P42","Daniel Scioli por el Frente de Todos",0.717,0.735,0.047,0.102,0.064,0.357,0.259,0.216
"P42","En blanco",0.066,0.023,0.021,0.1,0.2,0.461,0.526,0.152
"P42","No sabe",0.095,0.03,0.011,0.104,0.098,0.137,0.121,0.49
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.121,0.164,0.615,0.823,0.343,0.049,0.154,0.103
"P43","Daniel Scioli por el Frente de Todos",0.709,0.752,0.055,0.068,0.064,0.319,0.193,0.233
"P43","En blanco",0.067,0.029,0.157,0.049,0.438,0.532,0.582,0.173
"P43","No sabe",0.103,0.055,0.173,0.06,0.155,0.1,0.071,0.491
"P44","Patricia Bullrich por Juntos por el Cambio",0.113,0.217,0.891,0.715,0.598,0.107,0.157,0.146
"P44","Axel Kicillof por el Frente de Todos",0.805,0.626,0.054,0.078,0.07,0.609,0.368,0.392
"P44","En blanco",0.025,0.075,0.034,0.118,0.226,0.232,0.457,0.08
"P44","No sabe",0.057,0.082,0.021,0.089,0.106,0.052,0.018,0.382
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.104,0.19,0.636,0.811,0.381,0.096,0.118,0.116
"P45","Axel Kicillof por el Frente de Todos",0.804,0.622,0.052,0.073,0.057,0.617,0.402,0.392
"P45","En blanco",0.036,0.098,0.154,0.055,0.42,0.218,0.381,0.09
"P45","No sabe",0.056,0.09,0.158,0.061,0.142,0.069,0.099,0.402
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.155,0.174,0.452,0.798,0.081,0.077,0.101,0.12
"P46","Javier Milei por los liberales libertarios",0.174,0.2,0.293,0.062,0.817,0.117,0.099,0.158
"P46","En blanco",0.453,0.383,0.112,0.074,0.078,0.718,0.684,0.233
"P46","No sabe",0.218,0.243,0.143,0.066,0.024,0.088,0.116,0.489
"P47","Patricia Bullrich por Juntos por el Cambio",0.105,0.199,0.831,0.694,0.083,0.079,0.121,0.118
"P47","Javier Milei por los liberales libertarios",0.104,0.149,0.08,0.091,0.851,0.105,0.059,0.095
"P47","En blanco",0.605,0.47,0.055,0.137,0.04,0.735,0.662,0.31
"P47","No sabe",0.186,0.182,0.034,0.078,0.026,0.081,0.158,0.477
"P48","Javier Milei por los liberales libertarios",0.079,0.197,0.539,0.323,0.833,0.107,0.066,0.116
"P48","Sergio Massa por el Frente de Todos",0.819,0.588,0.065,0.128,0.136,0.442,0.208,0.329
"P48","En blanco",0.069,0.122,0.202,0.331,0.022,0.383,0.674,0.133
"P48","No sabe",0.033,0.093,0.194,0.218,0.009,0.068,0.052,0.422
"P49","Javier Milei por los liberales libertarios",0.088,0.223,0.534,0.331,0.914,0.097,0.083,0.105
"P49","Wado de Pedro  por el Frente de Todos",0.818,0.604,0.053,0.114,0.054,0.639,0.414,0.461
"P49","En blanco",0.047,0.082,0.212,0.351,0.01,0.234,0.417,0.09
"P49","No sabe",0.047,0.091,0.201,0.204,0.022,0.03,0.086,0.344
"P50","Javier Milei por los liberales libertarios",0.111,0.159,0.535,0.327,0.916,0.106,0.08,0.124
"P50","Daniel Scioli por el Frente de Todos",0.727,0.725,0.056,0.116,0.056,0.463,0.291,0.338
"P50","En blanco",0.094,0.05,0.219,0.362,0.009,0.367,0.51,0.154
"P50","No sabe",0.068,0.066,0.19,0.195,0.019,0.064,0.119,0.384
"P51","Javier Milei por los liberales libertarios",0.107,0.195,0.56,0.365,0.927,0.107,0.085,0.106
"P51","Axel Kicillof por el Frente de Todos",0.807,0.632,0.052,0.091,0.049,0.619,0.45,0.447
"P51","En blanco",0.038,0.093,0.215,0.395,0.013,0.246,0.352,0.115
"P51","No sabe",0.048,0.08,0.173,0.149,0.011,0.028,0.113,0.332
"P52","Lo votaría",0.649,0.349,0.099,0.099,0.142,0.127,0.032,0.052
"P52","Puede que lo vote",0.247,0.294,0.051,0.08,0.059,0.306,0.303,0.277
"P52","Nunca lo votaría",0.067,0.266,0.803,0.716,0.779,0.512,0.541,0.299
"P52","No sabe",0.037,0.091,0.047,0.105,0.02,0.055,0.124,0.372
"P53","Lo votaría",0.701,0.46,0.051,0.076,0.076,0.467,0.387,0.349
"P53","Puede que lo vote",0.139,0.149,0.037,0.089,0.045,0.181,0.107,0.151
"P53","Nunca lo votaría",0.122,0.332,0.879,0.756,0.857,0.343,0.415,0.267
"P53","No sabe",0.038,0.059,0.033,0.079,0.022,0.009,0.091,0.233
"P54","Lo votaría",0.413,0.469,0.044,0.073,0.056,0.105,0.107,0.09
"P54","Puede que lo vote",0.326,0.257,0.057,0.118,0.06,0.243,0.157,0.229
"P54","Nunca lo votaría",0.174,0.241,0.868,0.731,0.866,0.524,0.641,0.398
"P54","No sabe",0.087,0.033,0.031,0.078,0.018,0.128,0.095,0.283
"P55","Lo votaría",0.703,0.524,0.034,0.05,0.06,0.454,0.403,0.35
"P55","Puede que lo vote",0.133,0.154,0.035,0.074,0.022,0.119,0.034,0.103
"P55","Nunca lo votaría",0.135,0.277,0.911,0.847,0.911,0.342,0.497,0.328
"P55","No sabe",0.029,0.045,0.02,0.029,0.007,0.085,0.066,0.219
"P56","La votaría",0.149,0.2,0.815,0.335,0.273,0.081,0.09,0.099
"P56","Puede que la vote",0.053,0.066,0.047,0.341,0.405,0.092,0.151,0.095
"P56","Nunca la votaría",0.766,0.687,0.127,0.293,0.294,0.815,0.679,0.598
"P56","No sabe",0.032,0.047,0.011,0.031,0.028,0.012,0.08,0.208
"P57","Lo votaría",0.066,0.115,0.319,0.669,0.113,0.025,0.042,0.052
"P57","Puede que lo vote",0.099,0.126,0.352,0.175,0.228,0.07,0.144,0.168
"P57","Nunca lo votaría",0.784,0.722,0.258,0.126,0.617,0.802,0.717,0.566
"P57","No sabe",0.051,0.037,0.071,0.03,0.042,0.103,0.097,0.214
"P58","Lo votaría",0.058,0.131,0.195,0.191,0.816,0.08,0.029,0.079
"P58","Puede que lo vote",0.09,0.135,0.371,0.198,0.09,0.031,0.072,0.069
"P58","Nunca lo votaría",0.813,0.686,0.364,0.544,0.087,0.832,0.841,0.661
"P58","No sabe",0.039,0.048,0.07,0.067,0.007,0.057,0.058,0.191
"P59","Lo votaría",0.038,0.105,0.067,0.122,0.138,0.027,0.114,0.072
"P59","Puede que lo vote",0.132,0.145,0.15,0.24,0.112,0.109,0.029,0.093
"P59","Nunca lo votaría",0.734,0.69,0.701,0.508,0.676,0.823,0.771,0.571
"P59","No sabe",0.096,0.06,0.082,0.13,0.074,0.041,0.086,0.264
"P60","Lo votaría",0.042,0.085,0.189,0.133,0.199,0.034,0.029,0.02
"P60","Puede que lo vote",0.064,0.104,0.421,0.326,0.326,0.04,0.057,0.134
"P60","Nunca lo votaría",0.824,0.731,0.295,0.431,0.413,0.911,0.84,0.635
"P60","No sabe",0.07,0.08,0.095,0.11,0.062,0.015,0.074,0.211
"P61","Muy buena",0.311,0.13,0.04,0.057,0.061,0.048,0,0.02
"P61","Buena",0.38,0.246,0.077,0.078,0.063,0.142,0.065,0.121
"P61","Ni buena ni mala",0.227,0.334,0.098,0.17,0.084,0.257,0.298,0.392
"P61","Mala",0.038,0.142,0.166,0.224,0.14,0.242,0.276,0.178
"P61","Muy mala",0.043,0.146,0.604,0.458,0.637,0.309,0.356,0.197
"P61","No sabe",0.001,0.002,0.015,0.013,0.015,0.002,0.005,0.092
"P62","Muy buena",0.535,0.409,0.044,0.052,0.04,0.354,0.31,0.295
"P62","Buena",0.258,0.121,0.018,0.05,0.027,0.214,0.143,0.154
"P62","Ni buena ni mala",0.092,0.158,0.108,0.242,0.14,0.15,0.149,0.195
"P62","Mala",0.039,0.103,0.223,0.187,0.156,0.059,0.116,0.074
"P62","Muy mala",0.06,0.168,0.567,0.412,0.62,0.166,0.269,0.177
"P62","No sabe",0.016,0.041,0.04,0.057,0.017,0.057,0.013,0.105
"P63","Muy buena",0.188,0.374,0.026,0.065,0.045,0.053,0.028,0.043
"P63","Buena",0.338,0.293,0.046,0.074,0.035,0.124,0.101,0.172
"P63","Ni buena ni mala",0.306,0.163,0.133,0.196,0.142,0.296,0.307,0.343
"P63","Mala",0.09,0.054,0.261,0.212,0.205,0.199,0.175,0.151
"P63","Muy mala",0.063,0.108,0.525,0.431,0.568,0.314,0.375,0.151
"P63","No sabe",0.015,0.008,0.009,0.022,0.005,0.014,0.014,0.14
"P64","Muy buena",0.632,0.503,0.039,0.057,0.037,0.414,0.389,0.296
"P64","Buena",0.174,0.118,0.017,0.035,0.035,0.117,0.041,0.115
"P64","Ni buena ni mala",0.072,0.1,0.058,0.095,0.078,0.15,0.061,0.157
"P64","Mala",0.038,0.078,0.151,0.171,0.109,0.07,0.125,0.097
"P64","Muy mala",0.075,0.18,0.716,0.621,0.738,0.246,0.379,0.21
"P64","No sabe",0.009,0.021,0.019,0.021,0.003,0.003,0.005,0.125
"P65","Muy buena",0.123,0.197,0.68,0.215,0.315,0.054,0.06,0.038
"P65","Buena",0.045,0.092,0.161,0.326,0.266,0.053,0.08,0.095
"P65","Ni buena ni mala",0.068,0.088,0.036,0.188,0.181,0.087,0.165,0.174
"P65","Mala",0.171,0.16,0.031,0.146,0.08,0.163,0.186,0.183
"P65","Muy mala",0.573,0.454,0.088,0.114,0.154,0.64,0.504,0.403
"P65","No sabe",0.02,0.009,0.004,0.011,0.004,0.003,0.005,0.107
"P66","Muy buena",0.046,0.1,0.179,0.44,0.1,0.032,0,0.024
"P66","Buena",0.072,0.086,0.302,0.351,0.115,0.067,0.046,0.126
"P66","Ni buena ni mala",0.126,0.168,0.25,0.085,0.21,0.086,0.235,0.193
"P66","Mala",0.259,0.257,0.151,0.066,0.191,0.256,0.193,0.166
"P66","Muy mala",0.478,0.375,0.11,0.058,0.382,0.557,0.502,0.374
"P66","No sabe",0.019,0.014,0.008,0,0.002,0.002,0.024,0.117
"P67","Muy buena",0.048,0.088,0.122,0.076,0.696,0.038,0.019,0.076
