"var","categoria","Patricia Bullrich por Juntos por el Cambio","Daniel Scioli por el Frente de Todos","En blanco","No sabe"
"P13","Javier Milei por la Libertad Avanza",0.337,0.07,0.27,0.12
"P13","Al candidato del Frente de Izquierda",0.001,0.032,0.082,0.013
"P13","En blanco",0.003,0.027,0.108,0.014
"P13","No sabe",0.012,0.074,0.048,0.261
"P16","Sergio Massa por el Frente de Todos",0.025,0.239,0.095,0.136
"P16","Wado de Pedro por el Frente de Todos",0.02,0.495,0.191,0.215
"P16","Daniel Scioli por el Frente de Todos",0.012,0.126,0.017,0.031
"P16","Patricia Bullrich por Juntos por el Cambio",0.548,0.021,0.046,0.062
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.111,0.03,0.088,0.088
"P16","Javier Milei por la Libertad Avanza",0.266,0.038,0.336,0.2
"P16","Al candidato del Frente de Izquierda",0.001,0.017,0.071,0.014
"P16","En blanco",0.006,0.005,0.102,0.007
"P16","No sabe",0.011,0.029,0.054,0.247
"P19","Sergio Massa por el Frente de Todos",0.027,0.23,0.091,0.135
"P19","Wado de Pedro por el Frente de Todos",0.031,0.543,0.227,0.226
"P19","Patricia Bullrich por Juntos por el Cambio",0.535,0.038,0.04,0.02
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.113,0.039,0.06,0.093
"P19","Javier Milei por la Libertad Avanza",0.26,0.06,0.363,0.205
"P19","Al candidato del Frente de Izquierda",0.018,0.033,0.07,0.058
"P19","En blanco",0.005,0.014,0.096,0.019
"P19","No sabe",0.011,0.043,0.053,0.244
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.042,0.741,0.201,0.287
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.554,0.057,0.02,0.053
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.094,0.049,0.117,0.099
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.034,0.014,0.025,0.027
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.255,0.039,0.359,0.236
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.004,0.029,0.095,0.039
"P22","En blanco",0.006,0.017,0.105,0.008
"P22","No sabe",0.011,0.054,0.078,0.251
"P25","Sergio Massa por el Frente de Todos",0.047,0.518,0.123,0.208
"P25","Daniel Scioli por el Frente de Todos",0.037,0.242,0.02,0.03
"P25","Patricia Bullrich por Juntos por el Cambio",0.536,0.051,0.058,0.036
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.107,0.029,0.074,0.09
"P25","Javier Milei por la Libertad Avanza",0.247,0.046,0.374,0.213
"P25","Al candidato del Frente de Izquierda",0.003,0.038,0.126,0.043
"P25","En blanco",0.005,0.025,0.133,0.035
"P25","No sabe",0.018,0.051,0.092,0.345
"P26","Wado de Pedro por el Frente de Todos",0.015,0.649,0.259,0.279
"P26","Daniel Scioli por el Frente de Todos",0.013,0.216,0.006,0.02
"P26","Patricia Bullrich por Juntos por el Cambio",0.592,0.017,0.032,0.015
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.1,0.02,0.079,0.082
"P26","Javier Milei por la Libertad Avanza",0.26,0.035,0.387,0.25
"P26","Al candidato del Frente de Izquierda",0.003,0.025,0.075,0.027
"P26","En blanco",0.006,0.013,0.097,0.02
"P26","No sabe",0.011,0.025,0.065,0.307
"P27","Sergio Massa por el Frente de Todos",0.021,0.715,0.158,0.22
"P27","Patricia Bullrich por Juntos por el Cambio",0.552,0.043,0.028,0.055
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.141,0.023,0.096,0.075
"P27","Javier Milei por la Libertad Avanza",0.245,0.041,0.36,0.231
"P27","Al candidato del Frente de Izquierda",0.022,0.057,0.129,0.055
"P27","En blanco",0.005,0.034,0.133,0.014
"P27","No sabe",0.014,0.087,0.096,0.35
"P28","Wado de Pedro por el Frente de Todos",0.011,0.769,0.24,0.284
"P28","Patricia Bullrich por Juntos por el Cambio",0.597,0.027,0.011,0.041
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.101,0.028,0.092,0.08
"P28","Javier Milei por la Libertad Avanza",0.259,0.039,0.399,0.24
"P28","Al candidato del Frente de Izquierda",0.012,0.029,0.079,0.028
"P28","En blanco",0.007,0.039,0.123,0.033
"P28","No sabe",0.013,0.069,0.056,0.294
"P29","Axel Kicillof por el Frente de Todos",0.011,0.828,0.233,0.222
"P29","Patricia Bullrich por Juntos por el Cambio",0.598,0.012,0.023,0.042
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.103,0.029,0.092,0.126
"P29","Javier Milei por la Libertad Avanza",0.267,0.031,0.383,0.249
"P29","Al candidato del Frente de Izquierda",0.005,0.029,0.072,0.017
"P29","En blanco",0.005,0.024,0.123,0.011
"P29","No sabe",0.011,0.047,0.074,0.333
"P30","Sergio Massa  por el Frente de Todos",0.023,0.752,0.183,0.234
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.326,0.031,0.09,0.103
"P30","Javier Milei por la Libertad Avanza",0.419,0.056,0.384,0.236
"P30","Al candidato del Frente de Izquierda",0.008,0.057,0.111,0.045
"P30","En blanco",0.059,0.033,0.139,0.038
"P30","No sabe",0.165,0.071,0.093,0.344
"P31","Sergio Massa  por el Frente de Todos",0.021,0.776,0.182,0.246
"P31","Patricia Bullrich por Juntos por el Cambio",0.623,0.026,0.031,0.06
"P31","Javier Milei por la Libertad Avanza",0.288,0.043,0.39,0.239
"P31","Al candidato del Frente de Izquierda",0.004,0.056,0.122,0.03
"P31","En blanco",0.016,0.037,0.191,0.028
"P31","No sabe",0.048,0.062,0.084,0.397
"P32","Wado de Pedro por el Frente de Todos",0.012,0.777,0.256,0.276
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.364,0.05,0.09,0.103
"P32","Javier Milei por la Libertad Avanza",0.429,0.061,0.391,0.245
"P32","Al candidato del Frente de Izquierda",0.004,0.031,0.058,0.028
"P32","En blanco",0.063,0.031,0.148,0.032
"P32","No sabe",0.128,0.05,0.057,0.316
"P33","Wado de Pedro por el Frente de Todos",0.012,0.807,0.248,0.308
"P33","Patricia Bullrich por Juntos por el Cambio",0.651,0.034,0.031,0.046
"P33","Javier Milei por la Libertad Avanza",0.287,0.049,0.394,0.238
"P33","Al candidato del Frente de Izquierda",0.007,0.028,0.073,0.03
"P33","En blanco",0.017,0.034,0.196,0.007
"P33","No sabe",0.026,0.048,0.058,0.371
"P34","Daniel Scioli por el Frente de Todos",0.015,0.778,0.051,0.039
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.37,0.027,0.083,0.11
"P34","Javier Milei por la Libertad Avanza",0.429,0.04,0.408,0.278
"P34","Al candidato del Frente de Izquierda",0.01,0.05,0.127,0.062
"P34","En blanco",0.062,0.031,0.23,0.062
"P34","No sabe",0.114,0.074,0.101,0.449
"P35","Daniel Scioli por el Frente de Todos",0.011,0.794,0.025,0.064
"P35","Patricia Bullrich por Juntos por el Cambio",0.648,0.019,0.025,0.045
"P35","Javier Milei por la Libertad Avanza",0.295,0.033,0.4,0.24
"P35","Al candidato del Frente de Izquierda",0.003,0.063,0.148,0.063
"P35","En blanco",0.016,0.032,0.309,0.022
"P35","No sabe",0.027,0.059,0.093,0.566
"P36","Axel Kicillof por el Frente de Todos",0.011,0.828,0.223,0.234
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.385,0.03,0.099,0.12
"P36","Javier Milei por la Libertad Avanza",0.441,0.046,0.392,0.265
"P36","Al candidato del Frente de Izquierda",0.006,0.033,0.076,0.029
"P36","En blanco",0.055,0.019,0.17,0.013
"P36","No sabe",0.102,0.044,0.04,0.339
"P37","Axel Kicillof por el Frente de Todos",0.01,0.848,0.223,0.249
"P37","Patricia Bullrich por Juntos por el Cambio",0.639,0.016,0.034,0.046
"P37","Javier Milei por la Libertad Avanza",0.308,0.033,0.39,0.269
"P37","Al candidato del Frente de Izquierda",0.006,0.032,0.09,0.028
"P37","En blanco",0.014,0.025,0.209,0.042
"P37","No sabe",0.023,0.046,0.054,0.366
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.55,0.053,0.107,0.094
"P38","Sergio Massa por el Frente de Todos",0.045,0.833,0.217,0.236
"P38","En blanco",0.194,0.05,0.551,0.054
"P38","No sabe",0.211,0.064,0.125,0.616
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.595,0.063,0.129,0.122
"P39","Wado de Pedro por el Frente de Todos",0.021,0.85,0.268,0.295
"P39","En blanco",0.208,0.046,0.562,0.058
"P39","No sabe",0.176,0.041,0.041,0.525
"P40","Patricia Bullrich por Juntos por el Cambio",0.927,0.034,0.044,0.071
"P40","Sergio Massa por el Frente de Todos",0.023,0.88,0.226,0.25
"P40","En blanco",0.026,0.042,0.69,0.068
"P40","No sabe",0.024,0.044,0.04,0.611
"P41","Patricia Bullrich por Juntos por el Cambio",0.965,0.052,0.031,0.059
"P41","Wado de Pedro  por el Frente de Todos",0.015,0.871,0.287,0.275
"P41","En blanco",0.013,0.048,0.641,0.031
"P41","No sabe",0.007,0.029,0.041,0.635
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.65,0.042,0.113,0.11
"P43","Daniel Scioli por el Frente de Todos",0.021,0.927,0.029,0.042
"P43","En blanco",0.192,0.016,0.835,0.049
"P43","No sabe",0.137,0.015,0.023,0.799
"P44","Patricia Bullrich por Juntos por el Cambio",0.931,0.035,0.056,0.067
"P44","Axel Kicillof por el Frente de Todos",0.011,0.895,0.275,0.243
"P44","En blanco",0.034,0.034,0.652,0.059
"P44","No sabe",0.024,0.036,0.017,0.631
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.669,0.053,0.112,0.111
"P45","Axel Kicillof por el Frente de Todos",0.019,0.866,0.269,0.263
"P45","En blanco",0.186,0.04,0.585,0.054
"P45","No sabe",0.126,0.041,0.034,0.572
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.419,0.114,0.134,0.116
"P46","Javier Milei por los liberales libertarios",0.414,0.181,0.381,0.252
"P46","En blanco",0.075,0.482,0.459,0.144
"P46","No sabe",0.092,0.223,0.026,0.488
"P47","Patricia Bullrich por Juntos por el Cambio",0.671,0.057,0.03,0.06
"P47","Javier Milei por los liberales libertarios",0.298,0.104,0.4,0.268
"P47","En blanco",0.01,0.648,0.54,0.162
"P47","No sabe",0.021,0.191,0.03,0.51
"P48","Javier Milei por los liberales libertarios",0.633,0.051,0.35,0.263
"P48","Sergio Massa por el Frente de Todos",0.071,0.805,0.264,0.265
"P48","En blanco",0.15,0.104,0.373,0.086
"P48","No sabe",0.146,0.04,0.013,0.386
"P49","Javier Milei por los liberales libertarios",0.647,0.074,0.403,0.263
"P49","Wado de Pedro  por el Frente de Todos",0.026,0.849,0.325,0.304
"P49","En blanco",0.166,0.048,0.256,0.082
"P49","No sabe",0.161,0.029,0.016,0.351
"P50","Javier Milei por los liberales libertarios",0.66,0.041,0.396,0.307
"P50","Daniel Scioli por el Frente de Todos",0.018,0.924,0.102,0.129
"P50","En blanco",0.174,0.02,0.461,0.092
"P50","No sabe",0.148,0.015,0.041,0.472
"P51","Javier Milei por los liberales libertarios",0.678,0.054,0.406,0.315
"P51","Axel Kicillof por el Frente de Todos",0.015,0.881,0.294,0.275
"P51","En blanco",0.174,0.037,0.281,0.075
"P51","No sabe",0.133,0.028,0.019,0.335
"P52","Lo votaría",0.129,0.497,0.143,0.178
"P52","Puede que lo vote",0.028,0.365,0.16,0.118
"P52","Nunca lo votaría",0.795,0.098,0.637,0.385
"P52","No sabe",0.048,0.04,0.06,0.319
"P53","Lo votaría",0.043,0.704,0.238,0.23
"P53","Puede que lo vote",0.03,0.161,0.117,0.152
"P53","Nunca lo votaría",0.893,0.105,0.595,0.392
"P53","No sabe",0.034,0.03,0.05,0.226
"P54","Lo votaría",0.034,0.513,0.039,0.029
"P54","Puede que lo vote",0.044,0.385,0.074,0.159
"P54","Nunca lo votaría",0.891,0.062,0.801,0.493
"P54","No sabe",0.031,0.04,0.086,0.319
"P55","Lo votaría",0.019,0.742,0.223,0.226
"P55","Puede que lo vote",0.024,0.154,0.083,0.094
"P55","Nunca lo votaría",0.943,0.076,0.654,0.468
"P55","No sabe",0.014,0.028,0.04,0.212
"P56","La votaría",0.662,0.105,0.061,0.073
"P56","Puede que la vote",0.206,0.058,0.15,0.144
"P56","Nunca la votaría",0.119,0.805,0.739,0.587
"P56","No sabe",0.013,0.032,0.05,0.196
"P57","Lo votaría",0.327,0.041,0.091,0.083
"P57","Puede que lo vote",0.333,0.072,0.094,0.126
"P57","Nunca lo votaría",0.283,0.852,0.749,0.578
"P57","No sabe",0.057,0.035,0.066,0.213
"P58","Lo votaría",0.374,0.053,0.383,0.266
"P58","Puede que lo vote",0.3,0.053,0.034,0.104
"P58","Nunca lo votaría",0.27,0.862,0.543,0.483
"P58","No sabe",0.056,0.032,0.04,0.147
"P59","Lo votaría",0.097,0.041,0.09,0.14
"P59","Puede que lo vote",0.166,0.129,0.047,0.096
"P59","Nunca lo votaría",0.646,0.764,0.796,0.514
"P59","No sabe",0.091,0.066,0.067,0.25
"P60","Lo votaría",0.21,0.02,0.051,0.084
"P60","Puede que lo vote",0.404,0.063,0.126,0.128
"P60","Nunca lo votaría",0.295,0.86,0.763,0.586
"P60","No sabe",0.091,0.057,0.06,0.202
"P61","Muy buena",0.046,0.228,0.068,0.121
"P61","Buena",0.067,0.341,0.119,0.124
"P61","Ni buena ni mala",0.087,0.307,0.198,0.265
"P61","Mala",0.167,0.068,0.198,0.177
"P61","Muy mala",0.623,0.05,0.408,0.227
"P61","No sabe",0.01,0.006,0.009,0.086
"P62","Muy buena",0.016,0.56,0.218,0.211
"P62","Buena",0.023,0.234,0.094,0.105
"P62","Ni buena ni mala",0.127,0.108,0.132,0.264
"P62","Mala",0.205,0.034,0.142,0.109
"P62","Muy mala",0.594,0.046,0.395,0.193
"P62","No sabe",0.035,0.018,0.019,0.118
"P63","Muy buena",0.019,0.297,0.03,0.037
"P63","Buena",0.023,0.395,0.06,0.097
"P63","Ni buena ni mala",0.138,0.255,0.265,0.311
"P63","Mala",0.249,0.038,0.23,0.179
"P63","Muy mala",0.562,0.014,0.397,0.243
"P63","No sabe",0.009,0.001,0.018,0.133
"P64","Muy buena",0.016,0.658,0.203,0.254
"P64","Buena",0.013,0.177,0.091,0.062
"P64","Ni buena ni mala",0.056,0.092,0.127,0.137
"P64","Mala",0.152,0.028,0.109,0.103
"P64","Muy mala",0.75,0.037,0.457,0.334
"P64","No sabe",0.013,0.008,0.013,0.11
"P65","Muy buena",0.57,0.101,0.054,0.07
"P65","Buena",0.245,0.039,0.063,0.112
"P65","Ni buena ni mala",0.077,0.075,0.229,0.181
"P65","Mala",0.031,0.19,0.199,0.191
"P65","Muy mala",0.074,0.585,0.45,0.337
"P65","No sabe",0.003,0.01,0.005,0.109
"P66","Muy buena",0.211,0.028,0.053,0.065
"P66","Buena",0.271,0.055,0.075,0.123
"P66","Ni buena ni mala",0.226,0.128,0.15,0.207
"P66","Mala",0.147,0.278,0.183,0.164
"P66","Muy mala",0.138,0.503,0.532,0.332
"P66","No sabe",0.007,0.008,0.007,0.109
"P67","Muy buena",0.283,0.043,0.313,0.191
"P67","Buena",0.228,0.041,0.052,0.101
"P67","Ni buena ni mala",0.271,0.083,0.067,0.151
"P67","Mala",0.103,0.133,0.111,0.094
"P67","Muy mala",0.094,0.694,0.445,0.353
"P67","No sabe",0.021,0.006,0.012,0.11
"P68","Muy buena",0.06,0.046,0.088,0.114
"P68","Buena",0.108,0.048,0.043,0.084
"P68","Ni buena ni mala",0.314,0.236,0.269,0.258
"P68","Mala",0.187,0.226,0.141,0.148
"P68","Muy mala",0.274,0.409,0.408,0.239
"P68","No sabe",0.057,0.035,0.051,0.157
"P69","Muy buena",0.159,0.031,0.051,0.047
"P69","Buena",0.327,0.029,0.096,0.141
"P69","Ni buena ni mala",0.334,0.141,0.218,0.193
"P69","Mala",0.061,0.201,0.167,0.142
"P69","Muy mala",0.088,0.559,0.437,0.345
"P69","No sabe",0.031,0.039,0.031,0.132
"P70","Si",0.536,0.584,0.464,0.545
"P70","No",0.464,0.416,0.536,0.455
