"var","categoria","Javier Milei por los liberales libertarios","Wado de Pedro  por el Frente de Todos","En blanco","No sabe"
"P19","Wado de Pedro por el Frente de Todos",0.018,0.617,0.048,0.044
"P19","Patricia Bullrich por Juntos por el Cambio",0.383,0.024,0.47,0.468
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.035,0.173,0.151
"P19","Javier Milei por la Libertad Avanza",0.459,0.031,0.026,0.053
"P19","Al candidato del Frente de Izquierda",0.032,0.023,0.064,0.005
"P19","En blanco",0.003,0.009,0.111,0.008
"P19","No sabe",0.014,0.038,0.041,0.183
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.036,0.764,0.063,0.114
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.397,0.038,0.466,0.498
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.062,0.041,0.219,0.127
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.031,0.013,0.037,0.037
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.45,0.028,0.018,0.036
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.008,0.036,0.054,0.005
"P22","En blanco",0.007,0.02,0.085,0.007
"P22","No sabe",0.009,0.06,0.058,0.176
"P25","Sergio Massa por el Frente de Todos",0.042,0.518,0.071,0.076
"P25","Daniel Scioli por el Frente de Todos",0.05,0.182,0.058,0.07
"P25","Patricia Bullrich por Juntos por el Cambio",0.379,0.05,0.476,0.492
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.027,0.198,0.125
"P25","Javier Milei por la Libertad Avanza",0.442,0.035,0.015,0.036
"P25","Al candidato del Frente de Izquierda",0.007,0.059,0.051,0.007
"P25","En blanco",0.006,0.038,0.089,0.02
"P25","No sabe",0.015,0.091,0.042,0.174
"P26","Wado de Pedro por el Frente de Todos",0.015,0.73,0.042,0.029
"P26","Daniel Scioli por el Frente de Todos",0.027,0.133,0.063,0.064
"P26","Patricia Bullrich por Juntos por el Cambio",0.412,0.025,0.502,0.507
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.018,0.192,0.149
"P26","Javier Milei por la Libertad Avanza",0.477,0.021,0.012,0.028
"P26","Al candidato del Frente de Izquierda",0.007,0.027,0.049,0.005
"P26","En blanco",0.003,0.013,0.096,0.01
"P26","No sabe",0.011,0.033,0.044,0.208
"P27","Sergio Massa por el Frente de Todos",0.018,0.705,0.065,0.074
"P27","Patricia Bullrich por Juntos por el Cambio",0.4,0.028,0.478,0.512
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.079,0.023,0.232,0.15
"P27","Javier Milei por la Libertad Avanza",0.449,0.026,0.009,0.025
"P27","Al candidato del Frente de Izquierda",0.033,0.064,0.065,0.028
"P27","En blanco",0.008,0.041,0.088,0.009
"P27","No sabe",0.013,0.113,0.063,0.202
"P28","Wado de Pedro por el Frente de Todos",0.012,0.83,0.041,0.023
"P28","Patricia Bullrich por Juntos por el Cambio",0.418,0.018,0.516,0.543
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.027,0.195,0.123
"P28","Javier Milei por la Libertad Avanza",0.48,0.019,0.007,0.035
"P28","Al candidato del Frente de Izquierda",0.009,0.033,0.056,0.027
"P28","En blanco",0.012,0.02,0.121,0.021
"P28","No sabe",0.013,0.053,0.064,0.228
"P29","Axel Kicillof por el Frente de Todos",0.026,0.822,0.068,0.054
"P29","Patricia Bullrich por Juntos por el Cambio",0.415,0.016,0.511,0.552
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.03,0.203,0.138
"P29","Javier Milei por la Libertad Avanza",0.481,0.026,0.007,0.024
"P29","Al candidato del Frente de Izquierda",0.002,0.033,0.052,0.011
"P29","En blanco",0.009,0.011,0.112,0.01
"P29","No sabe",0.009,0.062,0.047,0.211
"P30","Sergio Massa  por el Frente de Todos",0.018,0.746,0.076,0.076
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.189,0.036,0.429,0.316
"P30","Javier Milei por la Libertad Avanza",0.678,0.024,0.012,0.049
"P30","Al candidato del Frente de Izquierda",0.008,0.072,0.059,0.011
"P30","En blanco",0.024,0.036,0.237,0.046
"P30","No sabe",0.083,0.086,0.187,0.502
"P31","Sergio Massa  por el Frente de Todos",0.021,0.767,0.077,0.087
"P31","Patricia Bullrich por Juntos por el Cambio",0.415,0.025,0.589,0.561
"P31","Javier Milei por la Libertad Avanza",0.523,0.02,0.004,0.028
"P31","Al candidato del Frente de Izquierda",0.003,0.067,0.07,0.017
"P31","En blanco",0.006,0.037,0.182,0.015
"P31","No sabe",0.032,0.084,0.078,0.292
"P32","Wado de Pedro por el Frente de Todos",0.004,0.85,0.027,0.047
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.214,0.047,0.469,0.352
"P32","Javier Milei por la Libertad Avanza",0.697,0.02,0.021,0.044
"P32","Al candidato del Frente de Izquierda",0.004,0.029,0.045,0.031
"P32","En blanco",0.018,0.02,0.308,0.046
"P32","No sabe",0.063,0.034,0.13,0.48
"P33","Wado de Pedro por el Frente de Todos",0.014,0.874,0.021,0.035
"P33","Patricia Bullrich por Juntos por el Cambio",0.435,0.026,0.615,0.597
"P33","Javier Milei por la Libertad Avanza",0.523,0.021,0.018,0.015
"P33","Al candidato del Frente de Izquierda",0.002,0.038,0.048,0.023
"P33","En blanco",0.007,0.008,0.232,0.018
"P33","No sabe",0.019,0.033,0.066,0.312
"P34","Daniel Scioli por el Frente de Todos",0.025,0.662,0.083,0.049
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.206,0.044,0.46,0.38
"P34","Javier Milei por la Libertad Avanza",0.69,0.026,0.011,0.068
"P34","Al candidato del Frente de Izquierda",0.012,0.075,0.045,0.032
"P34","En blanco",0.019,0.064,0.291,0.034
"P34","No sabe",0.048,0.129,0.11,0.437
"P35","Daniel Scioli por el Frente de Todos",0.023,0.66,0.101,0.061
"P35","Patricia Bullrich por Juntos por el Cambio",0.425,0.024,0.613,0.591
"P35","Javier Milei por la Libertad Avanza",0.53,0.019,0.004,0.02
"P35","Al candidato del Frente de Izquierda",0.003,0.098,0.053,0.02
"P35","En blanco",0.008,0.074,0.171,0.016
"P35","No sabe",0.011,0.125,0.058,0.292
"P36","Axel Kicillof por el Frente de Todos",0.018,0.823,0.078,0.067
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.215,0.038,0.499,0.397
"P36","Javier Milei por la Libertad Avanza",0.715,0.022,0.01,0.044
"P36","Al candidato del Frente de Izquierda",0.003,0.04,0.052,0.017
"P36","En blanco",0.012,0.027,0.265,0.026
"P36","No sabe",0.037,0.05,0.096,0.449
"P37","Axel Kicillof por el Frente de Todos",0.021,0.832,0.074,0.07
"P37","Patricia Bullrich por Juntos por el Cambio",0.415,0.026,0.611,0.578
"P37","Javier Milei por la Libertad Avanza",0.541,0.024,0.003,0.045
"P37","Al candidato del Frente de Izquierda",0.005,0.037,0.058,0.03
"P37","En blanco",0.006,0.025,0.196,0.025
"P37","No sabe",0.012,0.056,0.058,0.252
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.44,0.043,0.497,0.384
"P38","Sergio Massa por el Frente de Todos",0.068,0.795,0.087,0.108
"P38","En blanco",0.265,0.074,0.303,0.027
"P38","No sabe",0.227,0.088,0.113,0.481
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.492,0.041,0.529,0.411
"P39","Wado de Pedro por el Frente de Todos",0.02,0.909,0.043,0.073
"P39","En blanco",0.302,0.024,0.346,0.041
"P39","No sabe",0.186,0.026,0.082,0.475
"P40","Patricia Bullrich por Juntos por el Cambio",0.764,0.034,0.635,0.653
"P40","Sergio Massa por el Frente de Todos",0.04,0.84,0.081,0.108
"P40","En blanco",0.125,0.059,0.235,0.02
"P40","No sabe",0.071,0.067,0.049,0.219
"P41","Patricia Bullrich por Juntos por el Cambio",0.809,0.045,0.635,0.669
"P41","Wado de Pedro  por el Frente de Todos",0.024,0.913,0.044,0.045
"P41","En blanco",0.112,0.017,0.285,0.012
"P41","No sabe",0.055,0.025,0.036,0.274
"P42","Patricia Bullrich por Juntos por el Cambio",0.794,0.043,0.641,0.677
"P42","Daniel Scioli por el Frente de Todos",0.05,0.764,0.102,0.066
"P42","En blanco",0.103,0.111,0.205,0.014
"P42","No sabe",0.053,0.082,0.052,0.243
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.525,0.065,0.551,0.429
"P43","Daniel Scioli por el Frente de Todos",0.049,0.745,0.104,0.083
"P43","En blanco",0.28,0.115,0.292,0.04
"P43","No sabe",0.146,0.075,0.053,0.448
"P44","Patricia Bullrich por Juntos por el Cambio",0.76,0.055,0.655,0.636
"P44","Axel Kicillof por el Frente de Todos",0.035,0.874,0.065,0.065
"P44","En blanco",0.137,0.032,0.253,0.017
"P44","No sabe",0.068,0.039,0.027,0.282
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.568,0.053,0.556,0.435
"P45","Axel Kicillof por el Frente de Todos",0.019,0.882,0.076,0.078
"P45","En blanco",0.281,0.027,0.334,0.014
"P45","No sabe",0.132,0.038,0.034,0.473
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.261,0.12,0.557,0.396
"P46","Javier Milei por los liberales libertarios",0.649,0.148,0.018,0.056
"P46","En blanco",0.049,0.506,0.38,0.036
"P46","No sabe",0.041,0.226,0.045,0.512
"P47","Patricia Bullrich por Juntos por el Cambio",0.448,0.053,0.651,0.637
"P47","Javier Milei por los liberales libertarios",0.527,0.075,0.008,0.032
"P47","En blanco",0.009,0.677,0.311,0.024
"P47","No sabe",0.016,0.195,0.03,0.307
"P48","Javier Milei por los liberales libertarios",0.872,0.014,0.103,0.133
"P48","Sergio Massa por el Frente de Todos",0.084,0.833,0.069,0.079
"P48","En blanco",0.026,0.114,0.756,0.051
"P48","No sabe",0.018,0.039,0.072,0.737
"P50","Javier Milei por los liberales libertarios",0.945,0.032,0.023,0.071
"P50","Daniel Scioli por el Frente de Todos",0.036,0.821,0.09,0.062
"P50","En blanco",0.01,0.095,0.846,0.041
"P50","No sabe",0.009,0.052,0.041,0.826
"P51","Javier Milei por los liberales libertarios",0.959,0.034,0.047,0.106
"P51","Axel Kicillof por el Frente de Todos",0.017,0.911,0.06,0.076
"P51","En blanco",0.008,0.03,0.851,0.086
"P51","No sabe",0.016,0.025,0.042,0.732
"P52","Lo votaría",0.147,0.493,0.052,0.109
"P52","Puede que lo vote",0.042,0.368,0.047,0.039
"P52","Nunca lo votaría",0.776,0.088,0.838,0.601
"P52","No sabe",0.035,0.051,0.063,0.251
"P53","Lo votaría",0.04,0.76,0.017,0.057
"P53","Puede que lo vote",0.025,0.184,0.056,0.087
"P53","Nunca lo votaría",0.907,0.034,0.868,0.661
"P53","No sabe",0.028,0.022,0.059,0.195
"P54","Lo votaría",0.04,0.434,0.048,0.072
"P54","Puede que lo vote",0.052,0.349,0.078,0.087
"P54","Nunca lo votaría",0.883,0.14,0.831,0.652
"P54","No sabe",0.025,0.077,0.043,0.189
"P55","Lo votaría",0.032,0.751,0.04,0.056
"P55","Puede que lo vote",0.018,0.155,0.041,0.089
"P55","Nunca lo votaría",0.938,0.066,0.888,0.698
"P55","No sabe",0.012,0.028,0.031,0.157
"P56","La votaría",0.516,0.112,0.485,0.57
"P56","Puede que la vote",0.247,0.05,0.149,0.093
"P56","Nunca la votaría",0.216,0.816,0.326,0.204
"P56","No sabe",0.021,0.022,0.04,0.133
"P57","Lo votaría",0.218,0.044,0.392,0.333
"P57","Puede que lo vote",0.317,0.081,0.193,0.233
"P57","Nunca lo votaría",0.421,0.835,0.357,0.22
"P57","No sabe",0.044,0.04,0.058,0.214
"P58","Lo votaría",0.572,0.024,0.069,0.102
"P58","Puede que lo vote",0.317,0.041,0.126,0.158
"P58","Nunca lo votaría",0.09,0.899,0.772,0.487
"P58","No sabe",0.021,0.036,0.033,0.253
"P59","Lo votaría",0.127,0.027,0.079,0.087
"P59","Puede que lo vote",0.151,0.11,0.127,0.171
"P59","Nunca lo votaría",0.644,0.797,0.71,0.501
"P59","No sabe",0.078,0.066,0.084,0.241
"P60","Lo votaría",0.203,0.019,0.127,0.153
"P60","Puede que lo vote",0.386,0.046,0.296,0.281
"P60","Nunca lo votaría",0.334,0.892,0.507,0.303
"P60","No sabe",0.077,0.043,0.07,0.263
"P61","Muy buena",0.051,0.215,0.046,0.088
"P61","Buena",0.07,0.344,0.058,0.076
"P61","Ni buena ni mala",0.085,0.317,0.154,0.159
"P61","Mala",0.153,0.08,0.169,0.242
"P61","Muy mala",0.629,0.042,0.565,0.366
"P61","No sabe",0.012,0.002,0.008,0.069
"P62","Muy buena",0.017,0.607,0.034,0.036
"P62","Buena",0.021,0.246,0.028,0.054
"P62","Ni buena ni mala",0.119,0.103,0.152,0.248
"P62","Mala",0.202,0.021,0.192,0.188
"P62","Muy mala",0.62,0.016,0.537,0.333
"P62","No sabe",0.021,0.007,0.057,0.141
"P63","Muy buena",0.03,0.232,0.057,0.059
"P63","Buena",0.037,0.346,0.043,0.066
"P63","Ni buena ni mala",0.132,0.291,0.14,0.263
"P63","Mala",0.234,0.086,0.221,0.198
"P63","Muy mala",0.56,0.033,0.523,0.335
"P63","No sabe",0.007,0.012,0.016,0.079
"P64","Muy buena",0.022,0.679,0.042,0.076
"P64","Buena",0.029,0.168,0.02,0.032
"P64","Ni buena ni mala",0.065,0.082,0.079,0.131
"P64","Mala",0.132,0.031,0.146,0.188
"P64","Muy mala",0.748,0.034,0.693,0.461
"P64","No sabe",0.004,0.006,0.02,0.112
"P65","Muy buena",0.474,0.089,0.385,0.479
"P65","Buena",0.242,0.033,0.19,0.129
"P65","Ni buena ni mala",0.115,0.062,0.127,0.126
"P65","Mala",0.055,0.182,0.119,0.084
"P65","Muy mala",0.109,0.625,0.176,0.109
"P65","No sabe",0.005,0.009,0.003,0.073
"P66","Muy buena",0.148,0.028,0.246,0.201
"P66","Buena",0.21,0.046,0.275,0.295
"P66","Ni buena ni mala",0.227,0.116,0.19,0.241
"P66","Mala",0.175,0.264,0.122,0.126
"P66","Muy mala",0.234,0.535,0.158,0.068
"P66","No sabe",0.006,0.011,0.009,0.069
"P67","Muy buena",0.442,0.019,0.031,0.084
"P67","Buena",0.261,0.031,0.076,0.116
"P67","Ni buena ni mala",0.205,0.065,0.264,0.352
"P67","Mala",0.054,0.132,0.202,0.162
"P67","Muy mala",0.033,0.745,0.399,0.165
"P67","No sabe",0.005,0.008,0.028,0.121
"P68","Muy buena",0.09,0.027,0.064,0.067
"P68","Buena",0.116,0.042,0.065,0.085
"P68","Ni buena ni mala",0.3,0.233,0.305,0.326
"P68","Mala",0.168,0.248,0.16,0.154
"P68","Muy mala",0.271,0.423,0.361,0.203
"P68","No sabe",0.055,0.027,0.045,0.165
"P69","Muy buena",0.165,0.018,0.101,0.096
"P69","Buena",0.295,0.031,0.224,0.299
"P69","Ni buena ni mala",0.329,0.129,0.294,0.282
"P69","Mala",0.081,0.185,0.114,0.082
"P69","Muy mala",0.101,0.612,0.224,0.11
"P69","No sabe",0.029,0.025,0.043,0.131
"P70","Si",0.538,0.578,0.52,0.493
"P70","No",0.462,0.422,0.48,0.507
