"var","categoria","Javier Milei por los liberales libertarios","Sergio Massa por el Frente de Todos","En blanco","No sabe"
"P13","Javier Milei por la Libertad Avanza",0.414,0.097,0.17,0.134
"P13","Al candidato del Frente de Izquierda",0.004,0.031,0.055,0.006
"P13","En blanco",0.005,0.023,0.074,0.011
"P13","No sabe",0.01,0.059,0.064,0.17
"P16","Sergio Massa por el Frente de Todos",0.02,0.251,0.049,0.041
"P16","Wado de Pedro por el Frente de Todos",0.022,0.465,0.162,0.091
"P16","Daniel Scioli por el Frente de Todos",0.02,0.073,0.055,0.046
"P16","Patricia Bullrich por Juntos por el Cambio",0.407,0.053,0.385,0.479
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.079,0.039,0.143,0.137
"P16","Javier Milei por la Libertad Avanza",0.432,0.069,0.046,0.022
"P16","Al candidato del Frente de Izquierda",0.004,0.016,0.049,0.007
"P16","En blanco",0.008,0.008,0.068,0.003
"P16","No sabe",0.008,0.026,0.043,0.174
"P19","Sergio Massa por el Frente de Todos",0.023,0.252,0.041,0.036
"P19","Wado de Pedro por el Frente de Todos",0.023,0.505,0.212,0.106
"P19","Patricia Bullrich por Juntos por el Cambio",0.402,0.042,0.361,0.483
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.07,0.039,0.148,0.149
"P19","Javier Milei por la Libertad Avanza",0.436,0.086,0.039,0.041
"P19","Al candidato del Frente de Izquierda",0.027,0.032,0.053,0.007
"P19","En blanco",0.004,0.006,0.1,0.006
"P19","No sabe",0.015,0.038,0.046,0.172
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.034,0.72,0.168,0.097
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.414,0.061,0.372,0.496
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.066,0.048,0.166,0.138
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.03,0.017,0.03,0.036
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.429,0.081,0.028,0.02
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.009,0.025,0.065,0.009
"P22","En blanco",0.007,0.011,0.091,0.01
"P22","No sabe",0.011,0.037,0.08,0.194
"P25","Sergio Massa por el Frente de Todos",0.039,0.517,0.09,0.053
"P25","Daniel Scioli por el Frente de Todos",0.046,0.176,0.075,0.072
"P25","Patricia Bullrich por Juntos por el Cambio",0.401,0.062,0.392,0.477
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.061,0.031,0.162,0.135
"P25","Javier Milei por la Libertad Avanza",0.422,0.088,0.029,0.015
"P25","Al candidato del Frente de Izquierda",0.008,0.041,0.073,0.016
"P25","En blanco",0.005,0.019,0.124,0.012
"P25","No sabe",0.018,0.066,0.055,0.22
"P26","Wado de Pedro por el Frente de Todos",0.019,0.628,0.187,0.092
"P26","Daniel Scioli por el Frente de Todos",0.021,0.142,0.055,0.058
"P26","Patricia Bullrich por Juntos por el Cambio",0.443,0.042,0.391,0.482
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.023,0.167,0.139
"P26","Javier Milei por la Libertad Avanza",0.444,0.091,0.024,0.018
"P26","Al candidato del Frente de Izquierda",0.008,0.018,0.055,0.012
"P26","En blanco",0.004,0.013,0.081,0.012
"P26","No sabe",0.01,0.043,0.04,0.187
"P27","Sergio Massa por el Frente de Todos",0.013,0.683,0.132,0.047
"P27","Patricia Bullrich por Juntos por el Cambio",0.429,0.047,0.377,0.477
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.089,0.021,0.173,0.175
"P27","Javier Milei por la Libertad Avanza",0.422,0.083,0.026,0.019
"P27","Al candidato del Frente de Izquierda",0.026,0.061,0.084,0.028
"P27","En blanco",0.007,0.02,0.122,0.01
"P27","No sabe",0.014,0.085,0.086,0.244
"P28","Wado de Pedro por el Frente de Todos",0.015,0.722,0.2,0.09
"P28","Patricia Bullrich por Juntos por el Cambio",0.448,0.045,0.384,0.522
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.032,0.157,0.133
"P28","Javier Milei por la Libertad Avanza",0.443,0.093,0.026,0.02
"P28","Al candidato del Frente de Izquierda",0.009,0.026,0.064,0.025
"P28","En blanco",0.011,0.022,0.111,0.012
"P28","No sabe",0.016,0.06,0.058,0.198
"P29","Axel Kicillof por el Frente de Todos",0.02,0.731,0.221,0.109
"P29","Patricia Bullrich por Juntos por el Cambio",0.447,0.04,0.395,0.516
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.063,0.037,0.153,0.148
"P29","Javier Milei por la Libertad Avanza",0.447,0.094,0.026,0.011
"P29","Al candidato del Frente de Izquierda",0.002,0.024,0.057,0.019
"P29","En blanco",0.009,0.01,0.1,0.011
"P29","No sabe",0.012,0.064,0.048,0.186
"P30","Sergio Massa  por el Frente de Todos",0.016,0.722,0.14,0.053
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.209,0.043,0.326,0.328
"P30","Javier Milei por la Libertad Avanza",0.643,0.108,0.034,0.024
"P30","Al candidato del Frente de Izquierda",0.01,0.049,0.09,0.016
"P30","En blanco",0.027,0.02,0.233,0.044
"P30","No sabe",0.095,0.058,0.177,0.535
"P31","Sergio Massa  por el Frente de Todos",0.009,0.75,0.152,0.068
"P31","Patricia Bullrich por Juntos por el Cambio",0.451,0.041,0.466,0.535
"P31","Javier Milei por la Libertad Avanza",0.491,0.088,0.016,0.017
"P31","Al candidato del Frente de Izquierda",0.003,0.047,0.098,0.021
"P31","En blanco",0.011,0.019,0.183,0.019
"P31","No sabe",0.035,0.055,0.085,0.34
"P32","Wado de Pedro por el Frente de Todos",0.01,0.718,0.222,0.117
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.242,0.057,0.358,0.335
"P32","Javier Milei por la Libertad Avanza",0.651,0.121,0.025,0.036
"P32","Al candidato del Frente de Izquierda",0.005,0.027,0.052,0.019
"P32","En blanco",0.024,0.025,0.25,0.036
"P32","No sabe",0.068,0.052,0.093,0.457
"P33","Wado de Pedro por el Frente de Todos",0.011,0.744,0.231,0.111
"P33","Patricia Bullrich por Juntos por el Cambio",0.483,0.045,0.47,0.549
"P33","Javier Milei por la Libertad Avanza",0.481,0.101,0.021,0.017
"P33","Al candidato del Frente de Izquierda",0.005,0.032,0.055,0.017
"P33","En blanco",0.009,0.022,0.164,0.021
"P33","No sabe",0.011,0.056,0.059,0.285
"P34","Daniel Scioli por el Frente de Todos",0.021,0.607,0.167,0.078
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.237,0.053,0.349,0.355
"P34","Javier Milei por la Libertad Avanza",0.664,0.107,0.027,0.035
"P34","Al candidato del Frente de Izquierda",0.011,0.062,0.081,0.018
"P34","En blanco",0.023,0.049,0.282,0.028
"P34","No sabe",0.044,0.122,0.094,0.486
"P35","Daniel Scioli por el Frente de Todos",0.014,0.635,0.149,0.074
"P35","Patricia Bullrich por Juntos por el Cambio",0.468,0.04,0.485,0.548
"P35","Javier Milei por la Libertad Avanza",0.489,0.093,0.02,0.022
"P35","Al candidato del Frente de Izquierda",0.004,0.075,0.09,0.023
"P35","En blanco",0.012,0.056,0.175,0.013
"P35","No sabe",0.013,0.101,0.081,0.32
"P36","Axel Kicillof por el Frente de Todos",0.01,0.737,0.227,0.115
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.244,0.051,0.372,0.388
"P36","Javier Milei por la Libertad Avanza",0.676,0.106,0.037,0.031
"P36","Al candidato del Frente de Izquierda",0.005,0.032,0.056,0.019
"P36","En blanco",0.02,0.022,0.225,0.024
"P36","No sabe",0.045,0.052,0.083,0.423
"P37","Axel Kicillof por el Frente de Todos",0.014,0.748,0.22,0.121
"P37","Patricia Bullrich por Juntos por el Cambio",0.459,0.04,0.462,0.562
"P37","Javier Milei por la Libertad Avanza",0.506,0.099,0.025,0.014
"P37","Al candidato del Frente de Izquierda",0.007,0.025,0.071,0.03
"P37","En blanco",0.006,0.026,0.175,0.018
"P37","No sabe",0.008,0.062,0.047,0.255
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.467,0.06,0.393,0.384
"P38","Sergio Massa por el Frente de Todos",0.05,0.796,0.15,0.082
"P38","En blanco",0.254,0.065,0.335,0.03
"P38","No sabe",0.229,0.079,0.122,0.504
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.501,0.09,0.407,0.408
"P39","Wado de Pedro por el Frente de Todos",0.028,0.771,0.238,0.152
"P39","En blanco",0.285,0.075,0.296,0.018
"P39","No sabe",0.186,0.064,0.059,0.422
"P40","Patricia Bullrich por Juntos por el Cambio",0.793,0.087,0.494,0.618
"P40","Sergio Massa por el Frente de Todos",0.027,0.826,0.161,0.079
"P40","En blanco",0.118,0.034,0.3,0.008
"P40","No sabe",0.062,0.053,0.045,0.295
"P41","Patricia Bullrich por Juntos por el Cambio",0.818,0.124,0.496,0.637
"P41","Wado de Pedro  por el Frente de Todos",0.027,0.786,0.24,0.112
"P41","En blanco",0.098,0.048,0.231,0.01
"P41","No sabe",0.057,0.042,0.033,0.241
"P42","Patricia Bullrich por Juntos por el Cambio",0.814,0.117,0.502,0.622
"P42","Daniel Scioli por el Frente de Todos",0.036,0.721,0.191,0.091
"P42","En blanco",0.093,0.089,0.258,0.011
"P42","No sabe",0.057,0.073,0.049,0.276
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.546,0.103,0.419,0.428
"P43","Daniel Scioli por el Frente de Todos",0.037,0.712,0.19,0.076
"P43","En blanco",0.263,0.113,0.35,0.023
"P43","No sabe",0.154,0.072,0.041,0.473
"P44","Patricia Bullrich por Juntos por el Cambio",0.786,0.1,0.512,0.634
"P44","Axel Kicillof por el Frente de Todos",0.027,0.786,0.232,0.105
"P44","En blanco",0.118,0.058,0.233,0.008
"P44","No sabe",0.069,0.056,0.023,0.253
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.583,0.098,0.427,0.431
"P45","Axel Kicillof por el Frente de Todos",0.015,0.787,0.243,0.117
"P45","En blanco",0.266,0.06,0.298,0.017
"P45","No sabe",0.136,0.055,0.032,0.435
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.286,0.139,0.414,0.398
"P46","Javier Milei por los liberales libertarios",0.634,0.177,0.074,0.058
"P46","En blanco",0.036,0.463,0.458,0.028
"P46","No sabe",0.044,0.221,0.054,0.516
"P47","Patricia Bullrich por Juntos por el Cambio",0.498,0.076,0.487,0.594
"P47","Javier Milei por los liberales libertarios",0.476,0.168,0.012,0.033
"P47","En blanco",0.005,0.585,0.471,0.014
"P47","No sabe",0.021,0.171,0.03,0.359
"P49","Javier Milei por los liberales libertarios",0.914,0.111,0.072,0.063
"P49","Wado de Pedro  por el Frente de Todos",0.011,0.829,0.232,0.101
"P49","En blanco",0.034,0.029,0.655,0.081
"P49","No sabe",0.041,0.031,0.041,0.755
"P50","Javier Milei por los liberales libertarios",0.893,0.121,0.08,0.098
"P50","Daniel Scioli por el Frente de Todos",0.027,0.756,0.216,0.083
"P50","En blanco",0.046,0.072,0.66,0.083
"P50","No sabe",0.034,0.051,0.044,0.736
"P51","Javier Milei por los liberales libertarios",0.906,0.129,0.104,0.125
"P51","Axel Kicillof por el Frente de Todos",0.015,0.803,0.252,0.103
"P51","En blanco",0.043,0.038,0.61,0.116
"P51","No sabe",0.036,0.03,0.034,0.656
"P52","Lo votaría",0.125,0.535,0.079,0.048
"P52","Puede que lo vote",0.024,0.341,0.124,0.062
"P52","Nunca lo votaría",0.809,0.083,0.743,0.628
"P52","No sabe",0.042,0.041,0.054,0.262
"P53","Lo votaría",0.04,0.651,0.205,0.099
"P53","Puede que lo vote",0.026,0.179,0.068,0.071
"P53","Nunca lo votaría",0.911,0.136,0.678,0.64
"P53","No sabe",0.023,0.034,0.049,0.19
"P54","Lo votaría",0.037,0.4,0.125,0.066
"P54","Puede que lo vote",0.05,0.343,0.09,0.089
"P54","Nunca lo votaría",0.892,0.188,0.727,0.647
"P54","No sabe",0.021,0.069,0.058,0.198
"P55","Lo votaría",0.026,0.666,0.195,0.092
"P55","Puede que lo vote",0.014,0.157,0.06,0.064
"P55","Nunca lo votaría",0.95,0.149,0.723,0.672
"P55","No sabe",0.01,0.028,0.022,0.172
"P56","La votaría",0.545,0.118,0.432,0.541
"P56","Puede que la vote",0.24,0.072,0.128,0.103
"P56","Nunca la votaría",0.207,0.769,0.398,0.234
"P56","No sabe",0.008,0.041,0.042,0.122
"P57","Lo votaría",0.233,0.067,0.285,0.336
"P57","Puede que lo vote",0.306,0.115,0.172,0.235
"P57","Nunca lo votaría",0.418,0.765,0.487,0.249
"P57","No sabe",0.043,0.053,0.056,0.18
"P58","Lo votaría",0.572,0.079,0.053,0.063
"P58","Puede que lo vote",0.293,0.074,0.135,0.18
"P58","Nunca lo votaría",0.109,0.805,0.784,0.533
"P58","No sabe",0.026,0.042,0.028,0.224
"P59","Lo votaría",0.113,0.069,0.063,0.048
"P59","Puede que lo vote",0.154,0.129,0.103,0.144
"P59","Nunca lo votaría",0.666,0.716,0.766,0.56
"P59","No sabe",0.067,0.086,0.068,0.248
"P60","Lo votaría",0.204,0.04,0.107,0.135
"P60","Puede que lo vote",0.392,0.083,0.221,0.277
"P60","Nunca lo votaría",0.349,0.804,0.607,0.326
"P60","No sabe",0.055,0.073,0.065,0.262
"P61","Muy buena",0.039,0.257,0.032,0.034
"P61","Buena",0.072,0.344,0.068,0.051
"P61","Ni buena ni mala",0.093,0.269,0.202,0.188
"P61","Mala",0.154,0.065,0.175,0.272
"P61","Muy mala",0.635,0.06,0.515,0.38
"P61","No sabe",0.007,0.005,0.008,0.075
"P62","Muy buena",0.014,0.527,0.173,0.069
"P62","Buena",0.013,0.227,0.087,0.056
"P62","Ni buena ni mala",0.124,0.118,0.126,0.217
"P62","Mala",0.208,0.031,0.147,0.203
"P62","Muy mala",0.62,0.081,0.419,0.333
"P62","No sabe",0.021,0.016,0.048,0.122
"P63","Muy buena",0.017,0.235,0.09,0.045
"P63","Buena",0.032,0.324,0.094,0.075
"P63","Ni buena ni mala",0.129,0.281,0.163,0.267
"P63","Mala",0.246,0.079,0.206,0.199
"P63","Muy mala",0.57,0.071,0.436,0.324
"P63","No sabe",0.006,0.01,0.011,0.09
"P64","Muy buena",0.017,0.603,0.172,0.114
"P64","Buena",0.013,0.168,0.062,0.033
"P64","Ni buena ni mala",0.058,0.095,0.08,0.119
"P64","Mala",0.147,0.041,0.107,0.158
"P64","Muy mala",0.761,0.085,0.561,0.469
"P64","No sabe",0.004,0.008,0.018,0.107
"P65","Muy buena",0.48,0.102,0.358,0.473
"P65","Buena",0.258,0.044,0.143,0.121
"P65","Ni buena ni mala",0.102,0.086,0.113,0.124
"P65","Mala",0.049,0.191,0.116,0.073
"P65","Muy mala",0.108,0.565,0.268,0.136
"P65","No sabe",0.003,0.012,0.002,0.073
"P66","Muy buena",0.156,0.047,0.174,0.204
"P66","Buena",0.217,0.064,0.216,0.29
"P66","Ni buena ni mala",0.218,0.135,0.176,0.248
"P66","Mala",0.177,0.258,0.16,0.089
"P66","Muy mala",0.226,0.48,0.268,0.107
"P66","No sabe",0.006,0.016,0.006,0.062
"P67","Muy buena",0.427,0.076,0.034,0.047
"P67","Buena",0.258,0.047,0.062,0.132
"P67","Ni buena ni mala",0.207,0.081,0.216,0.361
"P67","Mala",0.06,0.132,0.191,0.134
"P67","Muy mala",0.04,0.654,0.472,0.221
"P67","No sabe",0.008,0.01,0.025,0.105
"P68","Muy buena",0.078,0.056,0.041,0.062
"P68","Buena",0.107,0.066,0.058,0.069
"P68","Ni buena ni mala",0.305,0.253,0.23,0.353
"P68","Mala",0.181,0.218,0.2,0.136
"P68","Muy mala",0.28,0.365,0.419,0.237
"P68","No sabe",0.049,0.042,0.052,0.143
"P69","Muy buena",0.16,0.039,0.078,0.102
"P69","Buena",0.299,0.053,0.184,0.29
"P69","Ni buena ni mala",0.325,0.156,0.245,0.298
"P69","Mala",0.084,0.189,0.114,0.051
"P69","Muy mala",0.106,0.529,0.344,0.131
"P69","No sabe",0.026,0.034,0.035,0.128
"P70","Si",0.528,0.572,0.54,0.519
"P70","No",0.472,0.428,0.46,0.481
