"var","categoria","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","En blanco","No sabe"
"P51","Javier Milei por los liberales libertarios",0.526,0.898,0.021,0.086
"P51","Axel Kicillof por el Frente de Todos",0.042,0.083,0.818,0.568
"P51","En blanco",0.248,0.005,0.154,0.031
"P51","No sabe",0.184,0.014,0.007,0.315
"P52","Lo votaría",0.096,0.194,0.443,0.347
"P52","Puede que lo vote",0.046,0.068,0.335,0.213
"P52","Nunca lo votaría",0.788,0.712,0.173,0.209
"P52","No sabe",0.07,0.026,0.049,0.231
"P53","Lo votaría",0.049,0.07,0.68,0.493
"P53","Puede que lo vote",0.039,0.081,0.137,0.147
"P53","Nunca lo votaría",0.871,0.819,0.147,0.191
"P53","No sabe",0.041,0.03,0.036,0.169
"P54","Lo votaría",0.044,0.062,0.391,0.333
"P54","Puede que lo vote",0.071,0.083,0.321,0.206
"P54","Nunca lo votaría",0.848,0.832,0.216,0.227
"P54","No sabe",0.037,0.023,0.072,0.234
"P55","Lo votaría",0.035,0.071,0.679,0.518
"P55","Puede que lo vote",0.035,0.043,0.139,0.113
"P55","Nunca lo votaría",0.907,0.871,0.154,0.203
"P55","No sabe",0.023,0.015,0.028,0.166
"P56","La votaría",0.763,0.246,0.097,0.141
"P56","Puede que la vote",0.109,0.37,0.034,0.075
"P56","Nunca la votaría",0.118,0.346,0.843,0.615
"P56","No sabe",0.01,0.038,0.026,0.169
"P57","Lo votaría",0.413,0.096,0.047,0.079
"P57","Puede que lo vote",0.347,0.239,0.056,0.09
"P57","Nunca lo votaría",0.176,0.612,0.86,0.666
"P57","No sabe",0.064,0.053,0.037,0.165
"P58","Lo votaría",0.19,0.745,0.015,0.07
"P58","Puede que lo vote",0.38,0.118,0.024,0.059
"P58","Nunca lo votaría",0.357,0.117,0.939,0.709
"P58","No sabe",0.073,0.02,0.022,0.162
"P59","Lo votaría",0.076,0.156,0.03,0.07
"P59","Puede que lo vote",0.183,0.131,0.089,0.11
"P59","Nunca lo votaría",0.649,0.639,0.823,0.573
"P59","No sabe",0.092,0.074,0.058,0.247
"P60","Lo votaría",0.19,0.179,0.021,0.056
"P60","Puede que lo vote",0.426,0.299,0.041,0.06
"P60","Nunca lo votaría",0.285,0.447,0.898,0.693
"P60","No sabe",0.099,0.075,0.04,0.191
"P61","Muy buena",0.052,0.07,0.193,0.176
"P61","Buena",0.063,0.1,0.311,0.233
"P61","Ni buena ni mala",0.104,0.116,0.314,0.242
"P61","Mala",0.178,0.138,0.09,0.162
"P61","Muy mala",0.59,0.563,0.09,0.127
"P61","No sabe",0.013,0.013,0.002,0.06
"P62","Muy buena",0.02,0.057,0.556,0.384
"P62","Buena",0.033,0.057,0.215,0.137
"P62","Ni buena ni mala",0.147,0.13,0.092,0.203
"P62","Mala",0.208,0.158,0.049,0.091
"P62","Muy mala",0.552,0.573,0.074,0.085
"P62","No sabe",0.04,0.025,0.014,0.1
"P63","Muy buena",0.026,0.065,0.219,0.166
"P63","Buena",0.036,0.057,0.32,0.259
"P63","Ni buena ni mala",0.144,0.156,0.279,0.302
"P63","Mala",0.257,0.2,0.093,0.079
"P63","Muy mala",0.525,0.515,0.08,0.101
"P63","No sabe",0.012,0.007,0.009,0.093
"P64","Muy buena",0.029,0.065,0.625,0.455
"P64","Buena",0.022,0.049,0.144,0.132
"P64","Ni buena ni mala",0.051,0.085,0.096,0.136
"P64","Mala",0.169,0.111,0.041,0.048
"P64","Muy mala",0.708,0.687,0.086,0.143
"P64","No sabe",0.021,0.003,0.008,0.086
"P65","Muy buena",0.607,0.302,0.08,0.124
"P65","Buena",0.21,0.251,0.024,0.057
"P65","Ni buena ni mala",0.065,0.185,0.072,0.103
"P65","Mala",0.04,0.105,0.17,0.201
"P65","Muy mala",0.076,0.149,0.652,0.412
"P65","No sabe",0.002,0.008,0.002,0.103
"P66","Muy buena",0.236,0.109,0.027,0.056
"P66","Buena",0.34,0.122,0.036,0.071
"P66","Ni buena ni mala",0.228,0.211,0.101,0.212
"P66","Mala",0.119,0.201,0.271,0.214
"P66","Muy mala",0.067,0.354,0.555,0.367
"P66","No sabe",0.01,0.003,0.01,0.08
"P67","Muy buena",0.109,0.631,0.012,0.034
"P67","Buena",0.244,0.171,0.014,0.061
"P67","Ni buena ni mala",0.346,0.099,0.059,0.142
"P67","Mala",0.137,0.046,0.119,0.166
"P67","Muy mala",0.136,0.051,0.787,0.508
"P67","No sabe",0.028,0.002,0.009,0.089
"P68","Muy buena",0.047,0.136,0.016,0.066
"P68","Buena",0.108,0.092,0.046,0.054
"P68","Ni buena ni mala",0.333,0.286,0.21,0.275
"P68","Mala",0.197,0.149,0.228,0.172
"P68","Muy mala",0.263,0.273,0.473,0.287
"P68","No sabe",0.052,0.064,0.027,0.146
"P69","Muy buena",0.16,0.129,0.012,0.05
"P69","Buena",0.345,0.222,0.034,0.057
"P69","Ni buena ni mala",0.318,0.346,0.111,0.167
"P69","Mala",0.062,0.113,0.173,0.202
"P69","Muy mala",0.077,0.163,0.648,0.38
"P69","No sabe",0.038,0.027,0.022,0.144
"P70","Si",0.524,0.559,0.58,0.475
"P70","No",0.476,0.441,0.42,0.525
