"var","categoria","Axel Kicillof por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P19","Al candidato del Frente de Izquierda",0.012,0.002,0.022,0.045,0.41,0.095,0.016
"P19","En blanco",0.007,0.003,0.007,0.007,0.075,0.408,0.053
"P19","No sabe",0.035,0.008,0.031,0.014,0.024,0.21,0.518
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.782,0.043,0.082,0.05,0.197,0.207,0.259
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.047,0.823,0.17,0.058,0.062,0.019,0.048
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.024,0.045,0.567,0.035,0.029,0.077,0.13
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.016,0.022,0.061,0.024,0.038,0.095,0.012
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.031,0.053,0.037,0.803,0.089,0.01,0.026
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.021,0.001,0.022,0.014,0.519,0.094,0.004
"P22","En blanco",0.019,0.005,0.017,0.007,0.015,0.343,0.052
"P22","No sabe",0.06,0.008,0.044,0.009,0.051,0.155,0.469
"P25","Sergio Massa por el Frente de Todos",0.561,0.05,0.046,0.058,0.08,0.118,0.199
"P25","Daniel Scioli por el Frente de Todos",0.192,0.047,0.044,0.03,0.076,0.159,0.056
"P25","Patricia Bullrich por Juntos por el Cambio",0.04,0.809,0.131,0.054,0.043,0.029,0.041
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.038,0.658,0.036,0.047,0.033,0.03
"P25","Javier Milei por la Libertad Avanza",0.028,0.039,0.044,0.783,0.15,0.018,0.022
"P25","Al candidato del Frente de Izquierda",0.039,0.002,0.025,0.009,0.56,0.078,0.004
"P25","En blanco",0.034,0.004,0.015,0.006,0.031,0.436,0.065
"P25","No sabe",0.087,0.011,0.037,0.024,0.013,0.129,0.583
"P26","Wado de Pedro por el Frente de Todos",0.747,0.017,0.018,0.025,0.134,0.133,0.143
"P26","Daniel Scioli por el Frente de Todos",0.168,0.022,0.042,0.015,0.07,0.158,0.088
"P26","Patricia Bullrich por Juntos por el Cambio",0.016,0.911,0.089,0.034,0.055,0.014,0.017
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.012,0.732,0.009,0.065,0.033,0.016
"P26","Javier Milei por la Libertad Avanza",0.013,0.023,0.039,0.895,0.049,0.03,0.041
"P26","Al candidato del Frente de Izquierda",0.011,0.002,0.019,0.006,0.488,0.08,0.005
"P26","En blanco",0.012,0.004,0.02,0.004,0.056,0.432,0.052
"P26","No sabe",0.028,0.009,0.041,0.012,0.083,0.12,0.638
"P27","Sergio Massa por el Frente de Todos",0.756,0.022,0.049,0.02,0.098,0.149,0.216
"P27","Patricia Bullrich por Juntos por el Cambio",0.032,0.873,0.053,0.04,0.045,0.053,0.03
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.072,0.764,0.014,0.009,0.006,0.011
"P27","Javier Milei por la Libertad Avanza",0.019,0.02,0.06,0.851,0.065,0.017,0.016
"P27","Al candidato del Frente de Izquierda",0.049,0.004,0.017,0.057,0.611,0.017,0.025
"P27","En blanco",0.032,0.002,0.005,0.007,0.127,0.571,0.019
"P27","No sabe",0.098,0.007,0.052,0.011,0.045,0.187,0.683
"P28","Wado de Pedro por el Frente de Todos",0.86,0.018,0.045,0.022,0.13,0.099,0.15
"P28","Patricia Bullrich por Juntos por el Cambio",0.021,0.936,0.025,0.041,0.041,0.01,0.031
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.014,0.8,0.013,0.015,0.006,0.014
"P28","Javier Milei por la Libertad Avanza",0.022,0.019,0.019,0.895,0.039,0.009,0.034
"P28","Al candidato del Frente de Izquierda",0.013,0.004,0.024,0.011,0.685,0.026,0.013
"P28","En blanco",0.02,0.003,0.012,0.008,0.06,0.701,0.029
"P28","No sabe",0.054,0.006,0.075,0.01,0.03,0.149,0.729
"P30","Sergio Massa  por el Frente de Todos",0.794,0.025,0.054,0.033,0.133,0.193,0.267
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.356,0.85,0.014,0.012,0.027,0.052
"P30","Javier Milei por la Libertad Avanza",0.023,0.249,0.019,0.914,0.071,0.095,0.022
"P30","Al candidato del Frente de Izquierda",0.051,0.009,0.022,0.015,0.635,0.017,0.003
"P30","En blanco",0.035,0.1,0.005,0.003,0.059,0.534,0.051
"P30","No sabe",0.084,0.261,0.05,0.021,0.09,0.134,0.605
"P31","Sergio Massa  por el Frente de Todos",0.798,0.017,0.078,0.041,0.16,0.225,0.265
"P31","Patricia Bullrich por Juntos por el Cambio",0.018,0.864,0.517,0.027,0.067,0.059,0.049
"P31","Javier Milei por la Libertad Avanza",0.017,0.059,0.065,0.905,0.024,0.067,0.016
"P31","Al candidato del Frente de Izquierda",0.054,0.002,0.049,0.002,0.562,0.014,0.005
"P31","En blanco",0.035,0.013,0.099,0.005,0.12,0.555,0.08
"P31","No sabe",0.078,0.045,0.192,0.02,0.067,0.08,0.585
"P32","Wado de Pedro por el Frente de Todos",0.86,0.012,0.027,0.025,0.225,0.118,0.216
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.427,0.841,0.01,0.031,0.027,0.06
"P32","Javier Milei por la Libertad Avanza",0.026,0.262,0.049,0.937,0.091,0.076,0.044
"P32","Al candidato del Frente de Izquierda",0.017,0.007,0.008,0.004,0.466,0.017,0.008
"P32","En blanco",0.021,0.099,0.01,0.004,0.119,0.702,0.096
"P32","No sabe",0.054,0.193,0.065,0.02,0.068,0.06,0.576
"P33","Wado de Pedro por el Frente de Todos",0.882,0.007,0.056,0.029,0.181,0.083,0.241
"P33","Patricia Bullrich por Juntos por el Cambio",0.022,0.894,0.565,0.035,0.021,0.022,0.049
"P33","Javier Milei por la Libertad Avanza",0.018,0.061,0.051,0.913,0.045,0.088,0.029
"P33","Al candidato del Frente de Izquierda",0.015,0.006,0.02,0,0.54,0.026,0.006
"P33","En blanco",0.018,0.015,0.125,0.005,0.154,0.668,0.068
"P33","No sabe",0.045,0.017,0.183,0.018,0.059,0.113,0.607
"P34","Daniel Scioli por el Frente de Todos",0.72,0.019,0.04,0.014,0.225,0.225,0.178
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.437,0.824,0.021,0.02,0.028,0.058
"P34","Javier Milei por la Libertad Avanza",0.022,0.266,0.028,0.932,0.042,0.059,0.043
"P34","Al candidato del Frente de Izquierda",0.055,0.013,0.012,0.007,0.61,0.014,0.022
"P34","En blanco",0.065,0.099,0.059,0.009,0.058,0.514,0.089
"P34","No sabe",0.122,0.166,0.037,0.017,0.045,0.16,0.61
"P35","Daniel Scioli por el Frente de Todos",0.72,0.013,0.065,0.026,0.21,0.191,0.197
"P35","Patricia Bullrich por Juntos por el Cambio",0.017,0.878,0.564,0.032,0.058,0.079,0.068
"P35","Javier Milei por la Libertad Avanza",0.009,0.066,0.055,0.918,0.027,0.081,0.018
"P35","Al candidato del Frente de Izquierda",0.066,0.006,0.039,0.005,0.572,0.029,0.022
"P35","En blanco",0.071,0.017,0.105,0.005,0.08,0.537,0.062
"P35","No sabe",0.117,0.02,0.172,0.014,0.053,0.083,0.633
"P36","Axel Kicillof por el Frente de Todos",0.925,0.013,0.017,0.006,0.078,0.12,0.113
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.453,0.879,0.013,0.086,0.039,0.069
"P36","Javier Milei por la Libertad Avanza",0.013,0.279,0.021,0.963,0.027,0.066,0.033
"P36","Al candidato del Frente de Izquierda",0.014,0.01,0.013,0.004,0.651,0.024,0.007
"P36","En blanco",0.014,0.087,0.03,0.004,0.064,0.686,0.075
"P36","No sabe",0.027,0.158,0.04,0.01,0.094,0.065,0.703
"P37","Axel Kicillof por el Frente de Todos",0.94,0.009,0.028,0.013,0.138,0.119,0.138
"P37","Patricia Bullrich por Juntos por el Cambio",0.008,0.886,0.57,0.031,0.038,0.044,0.048
"P37","Javier Milei por la Libertad Avanza",0.014,0.066,0.071,0.933,0.082,0.061,0.026
"P37","Al candidato del Frente de Izquierda",0.012,0.008,0.056,0.002,0.614,0.045,0.006
"P37","En blanco",0.006,0.012,0.142,0.009,0.084,0.68,0.088
"P37","No sabe",0.02,0.019,0.133,0.012,0.044,0.051,0.694
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.56,0.861,0.246,0.097,0.063,0.067
"P38","Sergio Massa por el Frente de Todos",0.812,0.05,0.073,0.083,0.281,0.33,0.379
"P38","En blanco",0.062,0.157,0.007,0.391,0.448,0.493,0.057
"P38","No sabe",0.083,0.233,0.059,0.28,0.174,0.114,0.497
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.05,0.601,0.926,0.293,0.035,0.058,0.088
"P39","Wado de Pedro por el Frente de Todos",0.889,0.024,0.043,0.056,0.467,0.212,0.322
"P39","En blanco",0.026,0.166,0.008,0.444,0.369,0.67,0.089
"P39","No sabe",0.035,0.209,0.023,0.207,0.129,0.06,0.501
"P40","Patricia Bullrich por Juntos por el Cambio",0.035,0.937,0.658,0.583,0.08,0.076,0.11
"P40","Sergio Massa por el Frente de Todos",0.856,0.02,0.11,0.067,0.411,0.285,0.385
"P40","En blanco",0.047,0.021,0.12,0.224,0.441,0.603,0.077
"P40","No sabe",0.062,0.022,0.112,0.126,0.068,0.036,0.428
"P41","Patricia Bullrich por Juntos por el Cambio",0.04,0.966,0.651,0.653,0.142,0.08,0.118
"P41","Wado de Pedro  por el Frente de Todos",0.9,0.017,0.076,0.042,0.456,0.257,0.297
"P41","En blanco",0.025,0.006,0.147,0.204,0.363,0.611,0.092
"P41","No sabe",0.035,0.011,0.126,0.101,0.039,0.052,0.493
"P42","Patricia Bullrich por Juntos por el Cambio",0.02,0.969,0.644,0.655,0.128,0.107,0.098
"P42","Daniel Scioli por el Frente de Todos",0.818,0.011,0.098,0.041,0.404,0.284,0.228
"P42","En blanco",0.089,0.008,0.118,0.195,0.388,0.566,0.138
"P42","No sabe",0.073,0.012,0.14,0.109,0.08,0.043,0.536
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.649,0.918,0.355,0.051,0.075,0.081
"P43","Daniel Scioli por el Frente de Todos",0.812,0.019,0.024,0.054,0.348,0.333,0.226
"P43","En blanco",0.09,0.157,0.035,0.419,0.458,0.538,0.15
"P43","No sabe",0.072,0.175,0.023,0.172,0.143,0.054,0.543
"P44","Patricia Bullrich por Juntos por el Cambio",0.02,0.938,0.728,0.601,0.153,0.175,0.108
"P44","Axel Kicillof por el Frente de Todos",0.946,0.007,0.046,0.05,0.466,0.118,0.201
"P44","En blanco",0.014,0.027,0.128,0.227,0.337,0.693,0.145
"P44","No sabe",0.02,0.028,0.098,0.122,0.044,0.014,0.546
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.669,0.901,0.385,0.071,0.14,0.107
"P45","Axel Kicillof por el Frente de Todos",0.954,0.013,0.007,0.026,0.484,0.111,0.207
"P45","En blanco",0.009,0.154,0.048,0.423,0.346,0.691,0.119
"P45","No sabe",0.017,0.164,0.044,0.166,0.099,0.058,0.567
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.09,0.469,0.915,0.075,0.064,0.086,0.119
"P46","Javier Milei por los liberales libertarios",0.159,0.298,0.033,0.816,0.171,0.087,0.104
"P46","En blanco",0.522,0.088,0.036,0.072,0.692,0.763,0.178
"P46","No sabe",0.229,0.145,0.016,0.037,0.073,0.064,0.599
"P47","Patricia Bullrich por Juntos por el Cambio",0.048,0.878,0.703,0.073,0.072,0.081,0.107
"P47","Javier Milei por los liberales libertarios",0.066,0.074,0.08,0.898,0.149,0.097,0.053
"P47","En blanco",0.683,0.014,0.14,0.016,0.682,0.755,0.264
"P47","No sabe",0.203,0.034,0.077,0.013,0.097,0.067,0.576
"P48","Javier Milei por los liberales libertarios",0.028,0.569,0.322,0.837,0.049,0.155,0.085
"P48","Sergio Massa por el Frente de Todos",0.807,0.04,0.149,0.138,0.387,0.133,0.368
"P48","En blanco",0.119,0.192,0.3,0.019,0.446,0.655,0.134
"P48","No sabe",0.046,0.199,0.229,0.006,0.118,0.057,0.413
"P49","Javier Milei por los liberales libertarios",0.039,0.553,0.313,0.944,0.049,0.159,0.066
"P49","Wado de Pedro  por el Frente de Todos",0.906,0.017,0.121,0.038,0.53,0.151,0.353
"P49","En blanco",0.032,0.216,0.348,0.004,0.351,0.636,0.113
"P49","No sabe",0.023,0.214,0.218,0.014,0.07,0.054,0.468
"P50","Javier Milei por los liberales libertarios",0.018,0.559,0.319,0.959,0.06,0.129,0.08
"P50","Daniel Scioli por el Frente de Todos",0.852,0.021,0.121,0.022,0.445,0.259,0.266
"P50","En blanco",0.08,0.222,0.372,0.006,0.393,0.52,0.178
"P50","No sabe",0.05,0.198,0.188,0.013,0.102,0.092,0.476
"P51","Javier Milei por los liberales libertarios",0.018,0.576,0.36,0.974,0.12,0.152,0.089
"P51","Axel Kicillof por el Frente de Todos",0.956,0.013,0.102,0.011,0.455,0.115,0.222
"P51","En blanco",0.014,0.22,0.399,0.005,0.355,0.646,0.185
"P51","No sabe",0.012,0.191,0.139,0.01,0.07,0.087,0.504
"P52","Lo votaría",0.506,0.099,0.138,0.159,0.131,0.136,0.203
"P52","Puede que lo vote",0.349,0.022,0.112,0.041,0.283,0.162,0.21
"P52","Nunca lo votaría",0.105,0.823,0.63,0.767,0.525,0.499,0.245
"P52","No sabe",0.04,0.056,0.12,0.033,0.061,0.203,0.342
"P53","Lo votaría",0.777,0.032,0.081,0.045,0.273,0.119,0.179
"P53","Puede que lo vote",0.143,0.022,0.106,0.054,0.246,0.107,0.214
"P53","Nunca lo votaría",0.063,0.913,0.699,0.873,0.466,0.597,0.308
"P53","No sabe",0.017,0.033,0.114,0.028,0.015,0.177,0.299
"P54","Lo votaría",0.462,0.038,0.063,0.026,0.183,0.133,0.141
"P54","Puede que lo vote",0.36,0.035,0.11,0.067,0.286,0.107,0.152
"P54","Nunca lo votaría",0.112,0.896,0.737,0.886,0.479,0.629,0.348
"P54","No sabe",0.066,0.031,0.09,0.021,0.052,0.131,0.359
"P55","Lo votaría",0.838,0.014,0.008,0.018,0.25,0.042,0.146
"P55","Puede que lo vote",0.13,0.025,0.093,0.031,0.188,0.117,0.142
"P55","Nunca lo votaría",0.019,0.937,0.861,0.941,0.463,0.743,0.394
"P55","No sabe",0.013,0.024,0.038,0.01,0.099,0.098,0.318
"P56","La votaría",0.111,0.849,0.338,0.237,0.093,0.033,0.089
"P56","Puede que la vote",0.039,0.037,0.304,0.419,0.087,0.23,0.139
"P56","Nunca la votaría",0.824,0.111,0.292,0.307,0.804,0.607,0.526
"P56","No sabe",0.026,0.003,0.066,0.037,0.016,0.13,0.246
"P57","Lo votaría",0.029,0.342,0.702,0.104,0.088,0.026,0.073
"P57","Puede que lo vote",0.052,0.377,0.193,0.235,0.048,0.14,0.169
"P57","Nunca lo votaría",0.879,0.218,0.052,0.611,0.779,0.719,0.497
"P57","No sabe",0.04,0.063,0.053,0.05,0.085,0.115,0.261
"P58","Lo votaría",0.028,0.196,0.177,0.833,0.099,0.084,0.044
"P58","Puede que lo vote",0.032,0.413,0.206,0.082,0.079,0.134,0.087
"P58","Nunca lo votaría",0.903,0.322,0.533,0.08,0.816,0.671,0.638
"P58","No sabe",0.037,0.069,0.084,0.005,0.006,0.111,0.231
"P59","Lo votaría",0.025,0.062,0.112,0.174,0.085,0.062,0.13
"P59","Puede que lo vote",0.104,0.17,0.259,0.105,0.067,0.151,0.092
"P59","Nunca lo votaría",0.813,0.688,0.451,0.64,0.789,0.642,0.459
"P59","No sabe",0.058,0.08,0.178,0.081,0.059,0.145,0.319
"P60","Lo votaría",0.017,0.215,0.132,0.175,0.09,0.088,0.035
"P60","Puede que lo vote",0.047,0.427,0.361,0.311,0.075,0.076,0.082
"P60","Nunca lo votaría",0.893,0.274,0.365,0.435,0.806,0.713,0.577
"P60","No sabe",0.043,0.084,0.142,0.079,0.029,0.123,0.306
"P61","Muy buena",0.235,0.038,0.056,0.048,0.111,0.091,0.148
"P61","Buena",0.351,0.061,0.09,0.086,0.089,0.061,0.123
"P61","Ni buena ni mala",0.298,0.082,0.223,0.107,0.208,0.274,0.264
"P61","Mala",0.066,0.171,0.23,0.142,0.25,0.171,0.224
"P61","Muy mala",0.049,0.634,0.39,0.603,0.339,0.394,0.13
"P61","No sabe",0.001,0.014,0.011,0.014,0.003,0.009,0.111
"P62","Muy buena",0.637,0.014,0.019,0.022,0.273,0.069,0.145
"P62","Buena",0.215,0.014,0.102,0.045,0.176,0.048,0.182
"P62","Ni buena ni mala",0.091,0.12,0.258,0.128,0.212,0.215,0.233
"P62","Mala",0.018,0.222,0.189,0.168,0.119,0.189,0.131
"P62","Muy mala",0.032,0.591,0.362,0.619,0.217,0.343,0.145
"P62","No sabe",0.007,0.039,0.07,0.018,0.003,0.136,0.164
"P63","Muy buena",0.272,0.02,0.028,0.021,0.155,0.172,0.053
"P63","Buena",0.353,0.033,0.063,0.033,0.188,0.094,0.186
"P63","Ni buena ni mala",0.286,0.12,0.246,0.159,0.22,0.229,0.284
"P63","Mala",0.059,0.264,0.253,0.212,0.147,0.115,0.145
"P63","Muy mala",0.024,0.557,0.366,0.568,0.287,0.353,0.16
"P63","No sabe",0.006,0.006,0.044,0.007,0.003,0.037,0.172
"P64","Muy buena",0.765,0.013,0.03,0.011,0.238,0.03,0.106
"P64","Buena",0.16,0.013,0.042,0.028,0.115,0.062,0.176
"P64","Ni buena ni mala",0.057,0.043,0.139,0.098,0.231,0.162,0.179
"P64","Mala",0.004,0.159,0.217,0.113,0.113,0.185,0.159
"P64","Muy mala",0.013,0.755,0.552,0.747,0.303,0.484,0.194
"P64","No sabe",0.001,0.017,0.02,0.003,0,0.077,0.186
"P65","Muy buena",0.107,0.706,0.168,0.292,0.082,0.022,0.043
"P65","Buena",0.023,0.183,0.306,0.267,0.01,0.102,0.108
"P65","Ni buena ni mala",0.045,0.022,0.242,0.201,0.162,0.341,0.144
"P65","Mala",0.188,0.016,0.163,0.088,0.093,0.201,0.193
"P65","Muy mala",0.632,0.072,0.1,0.145,0.653,0.31,0.342
"P65","No sabe",0.005,0.001,0.021,0.007,0,0.024,0.17
"P66","Muy buena",0.027,0.188,0.481,0.092,0.069,0.02,0.057
"P66","Buena",0.023,0.326,0.359,0.126,0.047,0.165,0.088
"P66","Ni buena ni mala",0.102,0.252,0.121,0.223,0.117,0.165,0.264
"P66","Mala",0.284,0.148,0.024,0.183,0.127,0.328,0.169
"P66","Muy mala",0.551,0.077,0.011,0.372,0.637,0.29,0.284
"P66","No sabe",0.013,0.009,0.004,0.004,0.003,0.032,0.138
"P67","Muy buena",0.026,0.117,0.089,0.707,0.072,0.006,0.008
"P67","Buena",0.016,0.258,0.216,0.152,0.015,0.151,0.074
"P67","Ni buena ni mala",0.065,0.369,0.215,0.074,0.066,0.178,0.189
"P67","Mala",0.135,0.12,0.205,0.028,0.097,0.136,0.154
"P67","Muy mala",0.751,0.109,0.251,0.038,0.728,0.468,0.411
"P67","No sabe",0.007,0.027,0.024,0.001,0.022,0.061,0.164
"P68","Muy buena",0.031,0.047,0.069,0.111,0.083,0.097,0.117
"P68","Buena",0.036,0.095,0.151,0.102,0.019,0.109,0.084
"P68","Ni buena ni mala",0.218,0.3,0.476,0.288,0.168,0.303,0.259
"P68","Mala",0.241,0.209,0.121,0.14,0.261,0.077,0.128
"P68","Muy mala",0.442,0.292,0.117,0.292,0.443,0.388,0.228
"P68","No sabe",0.032,0.057,0.066,0.067,0.026,0.026,0.184
"P69","Muy buena",0.025,0.169,0.077,0.135,0.076,0.062,0.025
"P69","Buena",0.026,0.357,0.3,0.222,0.065,0.08,0.081
"P69","Ni buena ni mala",0.108,0.309,0.421,0.337,0.097,0.302,0.19
"P69","Mala",0.184,0.06,0.077,0.119,0.073,0.129,0.201
"P69","Muy mala",0.631,0.066,0.092,0.158,0.647,0.279,0.336
"P69","No sabe",0.026,0.039,0.033,0.029,0.042,0.148,0.167
"P70","Si",0.588,0.518,0.525,0.559,0.477,0.528,0.429
"P70","No",0.412,0.482,0.475,0.441,0.523,0.472,0.571
