"var","categoria","Javier Milei por los liberales libertarios","Daniel Scioli por el Frente de Todos","En blanco","No sabe"
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.215,0.034,0.432,0.343
"P34","Javier Milei por la Libertad Avanza",0.697,0.027,0.016,0.045
"P34","Al candidato del Frente de Izquierda",0.009,0.064,0.078,0.035
"P34","En blanco",0.018,0.043,0.298,0.034
"P34","No sabe",0.05,0.077,0.14,0.504
"P35","Daniel Scioli por el Frente de Todos",0.012,0.761,0.03,0.047
"P35","Patricia Bullrich por Juntos por el Cambio",0.422,0.038,0.556,0.529
"P35","Javier Milei por la Libertad Avanza",0.539,0.01,0.009,0.017
"P35","Al candidato del Frente de Izquierda",0.005,0.078,0.092,0.026
"P35","En blanco",0.009,0.039,0.224,0.015
"P35","No sabe",0.013,0.074,0.089,0.366
"P36","Axel Kicillof por el Frente de Todos",0.007,0.835,0.143,0.133
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.224,0.038,0.454,0.349
"P36","Javier Milei por la Libertad Avanza",0.718,0.023,0.011,0.037
"P36","Al candidato del Frente de Izquierda",0.002,0.036,0.055,0.026
"P36","En blanco",0.012,0.024,0.245,0.021
"P36","No sabe",0.037,0.044,0.092,0.434
"P37","Axel Kicillof por el Frente de Todos",0.009,0.849,0.139,0.13
"P37","Patricia Bullrich por Juntos por el Cambio",0.423,0.029,0.555,0.522
"P37","Javier Milei por la Libertad Avanza",0.546,0.017,0.002,0.042
"P37","Al candidato del Frente de Izquierda",0.006,0.032,0.064,0.03
"P37","En blanco",0.004,0.031,0.169,0.014
"P37","No sabe",0.012,0.042,0.071,0.262
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.443,0.059,0.432,0.345
"P38","Sergio Massa por el Frente de Todos",0.064,0.812,0.165,0.115
"P38","En blanco",0.267,0.068,0.287,0.025
"P38","No sabe",0.226,0.061,0.116,0.515
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.484,0.075,0.47,0.353
"P39","Wado de Pedro por el Frente de Todos",0.034,0.843,0.19,0.155
"P39","En blanco",0.298,0.05,0.267,0.036
"P39","No sabe",0.184,0.032,0.073,0.456
"P40","Patricia Bullrich por Juntos por el Cambio",0.768,0.049,0.573,0.574
"P40","Sergio Massa por el Frente de Todos",0.04,0.851,0.149,0.139
"P40","En blanco",0.122,0.054,0.229,0.013
"P40","No sabe",0.07,0.046,0.049,0.274
"P41","Patricia Bullrich por Juntos por el Cambio",0.814,0.058,0.568,0.612
"P41","Wado de Pedro  por el Frente de Todos",0.03,0.859,0.195,0.124
"P41","En blanco",0.104,0.053,0.195,0.025
"P41","No sabe",0.052,0.03,0.042,0.239
"P42","Patricia Bullrich por Juntos por el Cambio",0.811,0.033,0.588,0.619
"P42","Daniel Scioli por el Frente de Todos",0.028,0.894,0.037,0.034
"P42","En blanco",0.101,0.037,0.325,0.035
"P42","No sabe",0.06,0.036,0.05,0.312
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.544,0.051,0.508,0.374
"P43","Daniel Scioli por el Frente de Todos",0.027,0.87,0.041,0.05
"P43","En blanco",0.281,0.047,0.395,0.044
"P43","No sabe",0.148,0.032,0.056,0.532
"P44","Patricia Bullrich por Juntos por el Cambio",0.779,0.048,0.582,0.587
"P44","Axel Kicillof por el Frente de Todos",0.02,0.878,0.172,0.127
"P44","En blanco",0.131,0.042,0.206,0.025
"P44","No sabe",0.07,0.032,0.04,0.261
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.575,0.058,0.505,0.382
"P45","Axel Kicillof por el Frente de Todos",0.018,0.867,0.166,0.156
"P45","En blanco",0.275,0.044,0.274,0.022
"P45","No sabe",0.132,0.031,0.055,0.44
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.269,0.122,0.506,0.356
"P46","Javier Milei por los liberales libertarios",0.645,0.163,0.029,0.052
"P46","En blanco",0.047,0.497,0.409,0.052
"P46","No sabe",0.039,0.218,0.056,0.54
"P47","Patricia Bullrich por Juntos por el Cambio",0.444,0.075,0.586,0.581
"P47","Javier Milei por los liberales libertarios",0.533,0.072,0.012,0.033
"P47","En blanco",0.009,0.672,0.361,0.055
"P47","No sabe",0.014,0.181,0.041,0.331
"P48","Javier Milei por los liberales libertarios",0.851,0.036,0.123,0.11
"P48","Sergio Massa por el Frente de Todos",0.092,0.818,0.15,0.132
"P48","En blanco",0.029,0.112,0.663,0.054
"P48","No sabe",0.028,0.034,0.064,0.704
"P49","Javier Milei por los liberales libertarios",0.948,0.051,0.027,0.031
"P49","Wado de Pedro  por el Frente de Todos",0.024,0.883,0.198,0.132
"P49","En blanco",0.008,0.041,0.743,0.044
"P49","No sabe",0.02,0.025,0.032,0.793
"P51","Javier Milei por los liberales libertarios",0.976,0.032,0.04,0.069
"P51","Axel Kicillof por el Frente de Todos",0.011,0.906,0.175,0.122
"P51","En blanco",0.003,0.041,0.763,0.064
"P51","No sabe",0.01,0.021,0.022,0.745
"P52","Lo votaría",0.156,0.476,0.097,0.141
"P52","Puede que lo vote",0.036,0.373,0.091,0.05
"P52","Nunca lo votaría",0.776,0.102,0.767,0.533
"P52","No sabe",0.032,0.049,0.045,0.276
"P53","Lo votaría",0.036,0.716,0.151,0.144
"P53","Puede que lo vote",0.043,0.155,0.086,0.076
"P53","Nunca lo votaría",0.894,0.098,0.72,0.595
"P53","No sabe",0.027,0.031,0.043,0.185
"P54","Lo votaría",0.028,0.493,0.033,0.063
"P54","Puede que lo vote",0.047,0.39,0.056,0.082
"P54","Nunca lo votaría",0.904,0.059,0.861,0.62
"P54","No sabe",0.021,0.058,0.05,0.235
"P55","Lo votaría",0.018,0.746,0.123,0.139
"P55","Puede que lo vote",0.027,0.15,0.064,0.061
"P55","Nunca lo votaría",0.945,0.08,0.781,0.638
"P55","No sabe",0.01,0.024,0.032,0.162
"P56","La votaría",0.522,0.117,0.453,0.511
"P56","Puede que la vote",0.248,0.058,0.131,0.08
"P56","Nunca la votaría",0.212,0.798,0.378,0.282
"P56","No sabe",0.018,0.027,0.038,0.127
"P57","Lo votaría",0.219,0.048,0.361,0.3
"P57","Puede que lo vote",0.327,0.074,0.187,0.205
"P57","Nunca lo votaría",0.407,0.846,0.401,0.276
"P57","No sabe",0.047,0.032,0.051,0.219
"P58","Lo votaría",0.573,0.03,0.063,0.091
"P58","Puede que lo vote",0.324,0.05,0.115,0.116
"P58","Nunca lo votaría",0.084,0.885,0.778,0.558
"P58","No sabe",0.019,0.035,0.044,0.235
"P59","Lo votaría",0.123,0.034,0.063,0.092
"P59","Puede que lo vote",0.157,0.12,0.125,0.122
"P59","Nunca lo votaría",0.646,0.784,0.737,0.52
"P59","No sabe",0.074,0.062,0.075,0.266
"P60","Lo votaría",0.2,0.02,0.12,0.148
"P60","Puede que lo vote",0.381,0.074,0.274,0.219
"P60","Nunca lo votaría",0.341,0.858,0.556,0.376
"P60","No sabe",0.078,0.048,0.05,0.257
"P61","Muy buena",0.051,0.219,0.06,0.09
"P61","Buena",0.073,0.333,0.093,0.096
"P61","Ni buena ni mala",0.081,0.312,0.163,0.201
"P61","Mala",0.155,0.084,0.156,0.224
"P61","Muy mala",0.629,0.051,0.522,0.319
"P61","No sabe",0.011,0.001,0.006,0.07
"P62","Muy buena",0.017,0.565,0.138,0.106
"P62","Buena",0.03,0.23,0.058,0.067
"P62","Ni buena ni mala",0.122,0.113,0.122,0.236
"P62","Mala",0.2,0.032,0.161,0.175
"P62","Muy mala",0.61,0.047,0.479,0.285
"P62","No sabe",0.021,0.013,0.042,0.131
"P63","Muy buena",0.017,0.283,0.037,0.038
"P63","Buena",0.029,0.392,0.024,0.062
"P63","Ni buena ni mala",0.128,0.259,0.188,0.312
"P63","Mala",0.246,0.048,0.25,0.186
"P63","Muy mala",0.573,0.016,0.479,0.311
"P63","No sabe",0.007,0.002,0.022,0.091
"P64","Muy buena",0.018,0.656,0.136,0.137
"P64","Buena",0.026,0.171,0.047,0.028
"P64","Ni buena ni mala",0.065,0.092,0.067,0.12
"P64","Mala",0.136,0.037,0.117,0.171
"P64","Muy mala",0.751,0.036,0.626,0.429
"P64","No sabe",0.004,0.008,0.007,0.115
"P65","Muy buena",0.469,0.101,0.367,0.429
"P65","Buena",0.25,0.034,0.157,0.12
"P65","Ni buena ni mala",0.117,0.071,0.1,0.122
"P65","Mala",0.05,0.187,0.115,0.105
"P65","Muy mala",0.109,0.6,0.255,0.152
"P65","No sabe",0.005,0.007,0.006,0.072
"P66","Muy buena",0.152,0.029,0.222,0.18
"P66","Buena",0.217,0.048,0.26,0.241
"P66","Ni buena ni mala",0.231,0.121,0.166,0.231
"P66","Mala",0.166,0.276,0.121,0.152
"P66","Muy mala",0.229,0.518,0.225,0.114
"P66","No sabe",0.005,0.008,0.006,0.082
"P67","Muy buena",0.439,0.032,0.02,0.082
"P67","Buena",0.27,0.029,0.076,0.083
"P67","Ni buena ni mala",0.208,0.08,0.211,0.332
"P67","Mala",0.049,0.135,0.213,0.147
"P67","Muy mala",0.028,0.72,0.45,0.239
"P67","No sabe",0.006,0.004,0.03,0.117
"P68","Muy buena",0.091,0.027,0.04,0.083
"P68","Buena",0.116,0.049,0.062,0.069
"P68","Ni buena ni mala",0.299,0.241,0.279,0.328
"P68","Mala",0.176,0.234,0.189,0.137
"P68","Muy mala",0.268,0.424,0.371,0.218
"P68","No sabe",0.05,0.025,0.059,0.165
"P69","Muy buena",0.158,0.033,0.095,0.081
"P69","Buena",0.3,0.039,0.202,0.254
"P69","Ni buena ni mala",0.324,0.138,0.273,0.276
"P69","Mala",0.083,0.185,0.12,0.08
"P69","Muy mala",0.107,0.578,0.28,0.171
"P69","No sabe",0.028,0.027,0.03,0.138
"P70","Si",0.537,0.595,0.503,0.489
"P70","No",0.463,0.405,0.497,0.511
