"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P25","Daniel Scioli por el Frente de Todos",0.182,0.046,0.037,0.181,0.122,0.073
"P25","Patricia Bullrich por Juntos por el Cambio",0.049,0.718,0.09,0.016,0.074,0.079
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.13,0.039,0.043,0.209,0.159
"P25","Javier Milei por la Libertad Avanza",0.027,0.038,0.743,0.111,0.036,0.06
"P25","Al candidato del Frente de Izquierda",0.047,0.002,0.017,0.506,0.046,0.009
"P25","En blanco",0.034,0.003,0.003,0.053,0.237,0.053
"P25","No sabe",0.093,0.013,0.024,0.017,0.123,0.407
"P26","Wado de Pedro por el Frente de Todos",0.782,0.013,0.008,0.144,0.056,0.066
"P26","Daniel Scioli por el Frente de Todos",0.138,0.026,0.018,0.142,0.145,0.098
"P26","Patricia Bullrich por Juntos por el Cambio",0.013,0.804,0.078,0.057,0.078,0.061
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.118,0.016,0.09,0.234,0.172
"P26","Javier Milei por la Libertad Avanza",0.007,0.026,0.845,0,0.062,0.062
"P26","Al candidato del Frente de Izquierda",0.014,0.001,0.014,0.53,0.026,0.007
"P26","En blanco",0.011,0.002,0.005,0.014,0.272,0.039
"P26","No sabe",0.024,0.01,0.016,0.023,0.127,0.495
"P27","Sergio Massa por el Frente de Todos",0.748,0.019,0.017,0.153,0.177,0.181
"P27","Patricia Bullrich por Juntos por el Cambio",0.022,0.754,0.089,0.094,0.132,0.063
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.173,0.03,0.096,0.206,0.16
"P27","Javier Milei por la Libertad Avanza",0.022,0.03,0.782,0.048,0.011,0.075
"P27","Al candidato del Frente de Izquierda",0.051,0.008,0.063,0.512,0.049,0.011
"P27","En blanco",0.036,0.002,0.011,0.06,0.234,0.041
"P27","No sabe",0.105,0.014,0.008,0.037,0.191,0.469
"P28","Wado de Pedro por el Frente de Todos",0.898,0.007,0.009,0.156,0.073,0.062
"P28","Patricia Bullrich por Juntos por el Cambio",0.006,0.812,0.087,0.122,0.107,0.07
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.135,0.02,0.045,0.211,0.164
"P28","Javier Milei por la Libertad Avanza",0.019,0.02,0.846,0.047,0.008,0.058
"P28","Al candidato del Frente de Izquierda",0.021,0.005,0.013,0.585,0.086,0.012
"P28","En blanco",0.011,0.004,0.017,0.014,0.379,0.049
"P28","No sabe",0.032,0.017,0.008,0.031,0.136,0.585
"P29","Axel Kicillof por el Frente de Todos",0.875,0.018,0.022,0.198,0.106,0.156
"P29","Patricia Bullrich por Juntos por el Cambio",0.007,0.809,0.08,0.099,0.099,0.063
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.138,0.018,0.08,0.22,0.188
"P29","Javier Milei por la Libertad Avanza",0.023,0.023,0.858,0.003,0.023,0.048
"P29","Al candidato del Frente de Izquierda",0.014,0.001,0.004,0.564,0.07,0.016
"P29","En blanco",0.008,0.002,0.01,0.035,0.388,0.038
"P29","No sabe",0.056,0.009,0.008,0.021,0.094,0.491
"P30","Sergio Massa  por el Frente de Todos",0.793,0.024,0.026,0.11,0.175,0.192
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.46,0.027,0.05,0.237,0.171
"P30","Javier Milei por la Libertad Avanza",0.016,0.214,0.906,0.102,0.031,0.039
"P30","Al candidato del Frente de Izquierda",0.06,0.007,0.013,0.564,0.035,0.003
"P30","En blanco",0.033,0.077,0.005,0.103,0.367,0.056
"P30","No sabe",0.08,0.218,0.023,0.071,0.155,0.539
"P31","Sergio Massa  por el Frente de Todos",0.82,0.011,0.028,0.151,0.192,0.196
"P31","Patricia Bullrich por Juntos por el Cambio",0.004,0.904,0.035,0.111,0.077,0.07
"P31","Javier Milei por la Libertad Avanza",0.008,0.038,0.903,0.04,0.006,0.045
"P31","Al candidato del Frente de Izquierda",0.056,0.006,0.006,0.612,0.037,0.004
"P31","En blanco",0.03,0.008,0.01,0.046,0.561,0.067
"P31","No sabe",0.082,0.033,0.018,0.04,0.127,0.618
"P32","Wado de Pedro por el Frente de Todos",0.933,0.007,0.007,0.131,0.028,0.059
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.53,0.021,0.087,0.222,0.151
"P32","Javier Milei por la Libertad Avanza",0.016,0.215,0.943,0.066,0.032,0.046
"P32","Al candidato del Frente de Izquierda",0.013,0.003,0.002,0.661,0.003,0.007
"P32","En blanco",0.002,0.082,0.012,0.006,0.657,0.053
"P32","No sabe",0.016,0.163,0.015,0.049,0.058,0.684
"P34","Daniel Scioli por el Frente de Todos",0.692,0.026,0.024,0.208,0.174,0.156
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.533,0.024,0.065,0.186,0.179
"P34","Javier Milei por la Libertad Avanza",0.023,0.216,0.922,0.066,0.013,0.045
"P34","Al candidato del Frente de Izquierda",0.062,0.005,0.012,0.608,0.032,0.011
"P34","En blanco",0.063,0.081,0.006,0.051,0.518,0.057
"P34","No sabe",0.136,0.139,0.012,0.002,0.077,0.552
"P35","Daniel Scioli por el Frente de Todos",0.707,0.021,0.025,0.207,0.182,0.143
"P35","Patricia Bullrich por Juntos por el Cambio",0.015,0.905,0.049,0.021,0.116,0.088
"P35","Javier Milei por la Libertad Avanza",0.013,0.04,0.911,0,0.006,0.06
"P35","Al candidato del Frente de Izquierda",0.069,0.007,0.005,0.636,0.03,0.01
"P35","En blanco",0.069,0.012,0.002,0.049,0.583,0.044
"P35","No sabe",0.127,0.015,0.008,0.087,0.083,0.655
"P36","Axel Kicillof por el Frente de Todos",0.858,0.02,0.017,0.184,0.158,0.14
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.536,0.034,0.061,0.275,0.216
"P36","Javier Milei por la Libertad Avanza",0.021,0.233,0.934,0,0.002,0.051
"P36","Al candidato del Frente de Izquierda",0.02,0.002,0.008,0.658,0.026,0.008
"P36","En blanco",0.021,0.07,0.004,0.078,0.506,0.034
"P36","No sabe",0.058,0.139,0.003,0.019,0.033,0.551
"P37","Axel Kicillof por el Frente de Todos",0.884,0.017,0.021,0.182,0.168,0.163
"P37","Patricia Bullrich por Juntos por el Cambio",0.009,0.906,0.04,0.068,0.084,0.106
"P37","Javier Milei por la Libertad Avanza",0.021,0.043,0.921,0.055,0.008,0.033
"P37","Al candidato del Frente de Izquierda",0.018,0.007,0.006,0.637,0.053,0.009
"P37","En blanco",0.017,0.008,0.007,0.041,0.675,0.057
"P37","No sabe",0.051,0.019,0.005,0.017,0.012,0.632
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.628,0.263,0.128,0.283,0.272
"P38","Sergio Massa por el Frente de Todos",0.82,0.053,0.082,0.247,0.204,0.262
"P38","En blanco",0.053,0.126,0.382,0.366,0.427,0.051
"P38","No sabe",0.1,0.193,0.273,0.259,0.086,0.415
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.682,0.299,0.12,0.317,0.298
"P39","Wado de Pedro por el Frente de Todos",0.938,0.017,0.052,0.409,0.042,0.142
"P39","En blanco",0.007,0.128,0.441,0.314,0.595,0.066
"P39","No sabe",0.026,0.173,0.208,0.157,0.046,0.494
"P40","Patricia Bullrich por Juntos por el Cambio",0.014,0.949,0.591,0.037,0.197,0.213
"P40","Sergio Massa por el Frente de Todos",0.862,0.016,0.077,0.438,0.214,0.285
"P40","En blanco",0.05,0.016,0.218,0.382,0.557,0.072
"P40","No sabe",0.074,0.019,0.114,0.143,0.032,0.43
"P41","Patricia Bullrich por Juntos por el Cambio",0.021,0.959,0.674,0.091,0.192,0.221
"P41","Wado de Pedro  por el Frente de Todos",0.947,0.01,0.035,0.508,0.085,0.133
"P41","En blanco",0.006,0.015,0.196,0.283,0.694,0.088
"P41","No sabe",0.026,0.016,0.095,0.118,0.029,0.558
"P42","Patricia Bullrich por Juntos por el Cambio",0.022,0.952,0.657,0.153,0.219,0.2
"P42","Daniel Scioli por el Frente de Todos",0.785,0.027,0.06,0.357,0.235,0.199
"P42","En blanco",0.093,0.009,0.186,0.361,0.529,0.092
"P42","No sabe",0.1,0.012,0.097,0.129,0.017,0.509
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.692,0.353,0.126,0.314,0.295
"P43","Daniel Scioli por el Frente de Todos",0.776,0.031,0.064,0.316,0.252,0.175
"P43","En blanco",0.1,0.126,0.411,0.381,0.423,0.096
"P43","No sabe",0.087,0.151,0.172,0.177,0.011,0.434
"P44","Patricia Bullrich por Juntos por el Cambio",0.027,0.938,0.606,0.089,0.244,0.241
"P44","Axel Kicillof por el Frente de Todos",0.917,0.02,0.056,0.456,0.149,0.143
"P44","En blanco",0.018,0.022,0.227,0.29,0.598,0.122
"P44","No sabe",0.038,0.02,0.111,0.165,0.009,0.494
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.706,0.41,0.11,0.316,0.281
"P45","Axel Kicillof por el Frente de Todos",0.917,0.018,0.034,0.509,0.138,0.153
"P45","En blanco",0.017,0.134,0.405,0.263,0.513,0.074
"P45","No sabe",0.035,0.142,0.151,0.118,0.033,0.492
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.094,0.558,0.089,0.078,0.312,0.266
"P46","Javier Milei por los liberales libertarios",0.158,0.251,0.807,0.171,0.035,0.065
"P46","En blanco",0.514,0.074,0.071,0.577,0.632,0.129
"P46","No sabe",0.234,0.117,0.033,0.174,0.021,0.54
"P47","Patricia Bullrich por Juntos por el Cambio",0.048,0.909,0.075,0.046,0.232,0.208
"P47","Javier Milei por los liberales libertarios",0.059,0.051,0.889,0.103,0.027,0.101
"P47","En blanco",0.692,0.016,0.02,0.589,0.73,0.137
"P47","No sabe",0.201,0.024,0.016,0.262,0.011,0.554
"P48","Javier Milei por los liberales libertarios",0.015,0.559,0.839,0.079,0.096,0.068
"P48","Sergio Massa por el Frente de Todos",0.814,0.041,0.138,0.45,0.184,0.267
"P48","En blanco",0.124,0.208,0.014,0.379,0.655,0.138
"P48","No sabe",0.047,0.192,0.009,0.092,0.065,0.527
"P49","Javier Milei por los liberales libertarios",0.02,0.529,0.953,0.033,0.076,0.12
"P49","Wado de Pedro  por el Frente de Todos",0.955,0.023,0.029,0.546,0.065,0.158
"P49","En blanco",0.01,0.237,0.01,0.291,0.8,0.136
"P49","No sabe",0.015,0.211,0.008,0.13,0.059,0.586
"P50","Javier Milei por los liberales libertarios",0.019,0.53,0.955,0.027,0.051,0.13
"P50","Daniel Scioli por el Frente de Todos",0.846,0.037,0.027,0.412,0.254,0.177
"P50","En blanco",0.081,0.246,0.01,0.374,0.623,0.146
"P50","No sabe",0.054,0.187,0.008,0.187,0.072,0.547
"P51","Javier Milei por los liberales libertarios",0.03,0.544,0.96,0.144,0.081,0.154
"P51","Axel Kicillof por el Frente de Todos",0.931,0.028,0.023,0.456,0.152,0.173
"P51","En blanco",0.019,0.246,0.011,0.301,0.72,0.151
"P51","No sabe",0.02,0.182,0.006,0.099,0.047,0.522
"P52","Lo votaría",0.497,0.078,0.183,0.297,0.118,0.207
"P52","Puede que lo vote",0.37,0.038,0.03,0.19,0.114,0.136
"P52","Nunca lo votaría",0.083,0.816,0.758,0.42,0.643,0.369
"P52","No sabe",0.05,0.068,0.029,0.093,0.125,0.288
"P53","Lo votaría",0.815,0.026,0.035,0.377,0.01,0.066
"P53","Puede que lo vote",0.156,0.031,0.036,0.201,0.073,0.232
"P53","Nunca lo votaría",0.017,0.904,0.903,0.345,0.757,0.391
"P53","No sabe",0.012,0.039,0.026,0.077,0.16,0.311
"P54","Lo votaría",0.448,0.03,0.041,0.27,0.132,0.135
"P54","Puede que lo vote",0.362,0.056,0.047,0.17,0.145,0.137
"P54","Nunca lo votaría",0.118,0.881,0.889,0.403,0.646,0.427
"P54","No sabe",0.072,0.033,0.023,0.157,0.077,0.301
"P55","Lo votaría",0.791,0.024,0.019,0.355,0.096,0.14
"P55","Puede que lo vote",0.136,0.027,0.028,0.202,0.088,0.153
"P55","Nunca lo votaría",0.045,0.93,0.94,0.349,0.747,0.473
"P55","No sabe",0.028,0.019,0.013,0.094,0.069,0.234
"P56","La votaría",0.106,0.816,0.262,0.19,0.096,0.068
"P56","Puede que la vote",0.038,0.085,0.397,0.04,0.156,0.181
"P56","Nunca la votaría",0.825,0.093,0.308,0.76,0.656,0.514
"P56","No sabe",0.031,0.006,0.033,0.01,0.092,0.237
"P57","Lo votaría",0.034,0.405,0.112,0.204,0.208,0.154
"P57","Puede que lo vote",0.066,0.349,0.232,0.041,0.146,0.206
"P57","Nunca lo votaría",0.854,0.188,0.609,0.698,0.536,0.403
"P57","No sabe",0.046,0.058,0.047,0.057,0.11,0.237
"P58","Lo votaría",0.015,0.18,0.834,0.196,0.038,0.055
"P58","Puede que lo vote",0.036,0.402,0.076,0.051,0.107,0.171
"P58","Nunca lo votaría",0.911,0.345,0.084,0.753,0.767,0.551
"P58","No sabe",0.038,0.073,0.006,0,0.088,0.223
"P59","Lo votaría",0.031,0.063,0.165,0.221,0.068,0.096
"P59","Puede que lo vote",0.094,0.176,0.125,0.117,0.127,0.18
"P59","Nunca lo votaría",0.814,0.662,0.638,0.641,0.703,0.386
"P59","No sabe",0.061,0.099,0.072,0.021,0.102,0.338
"P60","Lo votaría",0.014,0.202,0.182,0.2,0.084,0.048
"P60","Puede que lo vote",0.037,0.439,0.312,0.022,0.142,0.156
"P60","Nunca lo votaría",0.903,0.266,0.439,0.733,0.677,0.465
"P60","No sabe",0.046,0.093,0.067,0.045,0.097,0.331
"P61","Muy buena",0.223,0.037,0.053,0.201,0.105,0.128
"P61","Buena",0.355,0.064,0.08,0.112,0.046,0.104
"P61","Ni buena ni mala",0.32,0.092,0.103,0.15,0.239,0.235
"P61","Mala",0.063,0.179,0.147,0.252,0.17,0.245
"P61","Muy mala",0.037,0.615,0.609,0.282,0.433,0.168
"P61","No sabe",0.002,0.013,0.008,0.003,0.007,0.12
"P62","Muy buena",0.649,0.011,0.023,0.366,0.017,0.024
"P62","Buena",0.254,0.012,0.034,0.126,0.046,0.112
"P62","Ni buena ni mala",0.074,0.148,0.12,0.169,0.217,0.323
"P62","Mala",0.012,0.217,0.174,0.112,0.188,0.182
"P62","Muy mala",0.007,0.571,0.624,0.207,0.476,0.17
"P62","No sabe",0.004,0.041,0.025,0.02,0.056,0.189
"P63","Muy buena",0.253,0.01,0.033,0.248,0.135,0.089
"P63","Buena",0.363,0.038,0.038,0.076,0.091,0.106
"P63","Ni buena ni mala",0.283,0.148,0.139,0.277,0.205,0.29
"P63","Mala",0.066,0.259,0.221,0.131,0.153,0.16
"P63","Muy mala",0.025,0.535,0.562,0.255,0.406,0.202
"P63","No sabe",0.01,0.01,0.007,0.013,0.01,0.153
"P64","Muy buena",0.725,0.013,0.022,0.323,0.083,0.132
"P64","Buena",0.167,0.018,0.032,0.089,0.043,0.1
"P64","Ni buena ni mala",0.068,0.051,0.083,0.234,0.15,0.196
"P64","Mala",0.02,0.169,0.125,0.061,0.136,0.113
"P64","Muy mala",0.018,0.731,0.735,0.286,0.546,0.294
"P64","No sabe",0.002,0.018,0.003,0.007,0.042,0.165
"P65","Muy buena",0.101,0.64,0.318,0.172,0.08,0.068
"P65","Buena",0.018,0.219,0.269,0.009,0.041,0.137
"P65","Ni buena ni mala",0.049,0.047,0.183,0.121,0.281,0.222
"P65","Mala",0.183,0.03,0.09,0.104,0.232,0.176
"P65","Muy mala",0.641,0.062,0.131,0.591,0.363,0.255
"P65","No sabe",0.008,0.002,0.009,0.003,0.003,0.142
"P66","Muy buena",0.029,0.223,0.117,0.138,0.141,0.113
"P66","Buena",0.03,0.339,0.135,0.025,0.15,0.172
"P66","Ni buena ni mala",0.11,0.232,0.206,0.104,0.185,0.274
"P66","Mala",0.271,0.126,0.198,0.141,0.197,0.154
"P66","Muy mala",0.55,0.072,0.341,0.589,0.308,0.152
"P66","No sabe",0.01,0.008,0.003,0.003,0.019,0.135
"P67","Muy buena",0.027,0.096,0.688,0.141,0.022,0.021
"P67","Buena",0.015,0.272,0.157,0.019,0.02,0.121
"P67","Ni buena ni mala",0.06,0.347,0.097,0.051,0.183,0.254
"P67","Mala",0.131,0.139,0.027,0.136,0.154,0.159
"P67","Muy mala",0.76,0.12,0.03,0.653,0.563,0.295
"P67","No sabe",0.007,0.026,0.001,0,0.058,0.15
"P68","Muy buena",0.024,0.04,0.133,0.154,0.049,0.096
"P68","Buena",0.045,0.097,0.104,0.042,0.04,0.128
"P68","Ni buena ni mala",0.222,0.322,0.286,0.19,0.36,0.315
"P68","Mala",0.233,0.205,0.155,0.205,0.126,0.077
"P68","Muy mala",0.451,0.278,0.264,0.399,0.377,0.145
"P68","No sabe",0.025,0.058,0.058,0.01,0.048,0.239
"P69","Muy buena",0.022,0.162,0.135,0.138,0.038,0.037
"P69","Buena",0.024,0.349,0.242,0.031,0.099,0.175
"P69","Ni buena ni mala",0.113,0.325,0.336,0.126,0.307,0.23
"P69","Mala",0.194,0.056,0.119,0.086,0.134,0.12
"P69","Muy mala",0.631,0.072,0.148,0.504,0.301,0.235
"P69","No sabe",0.016,0.036,0.02,0.115,0.121,0.203
"P70","Si",0.583,0.529,0.54,0.522,0.577,0.426
"P70","No",0.417,0.471,0.46,0.478,0.423,0.574
