"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.025,0.046,0.197,0.062,0,0,0
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.019,0.007,0.016,0.386,0,0,0
"P34","En blanco",0.067,0.271,0.189,0,0,0,0
"P34","No sabe",0.024,0.021,0.037,0,0,0,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.281,0.434,0.485,0.268,0.596,0.159,0.482
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.181,0.292,0.262,0.076,0.069,0.089,0.062
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.317,0.163,0.094,0.34,0.074,0.255,0.242
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.083,0.061,0.047,0.215,0.052,0.397,0
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.059,0.033,0.051,0.076,0.016,0.075,0.051
"P36","No sabe",0.079,0.017,0.061,0.025,0.193,0.025,0.163
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.673,0.118,0.12,0.792,0.601,0,0
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.203,0.741,0.571,0.051,0.122,0,0
"P37","En blanco",0.082,0.092,0.19,0.087,0.016,0.731,0.43
"P37","No sabe",0.042,0.049,0.119,0.07,0.261,0.269,0.57
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.34,0.619,0.358,0.127,0.16,0.18,0.229
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.154,0.205,0.455,0.164,0.109,0,0
"P38","En blanco",0.321,0.065,0.108,0.504,0.073,0.497,0.093
"P38","No sabe",0.185,0.111,0.079,0.205,0.658,0.323,0.678
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.686,0.222,0.143,0.686,0.62,0.075,0
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.195,0.388,0.603,0.115,0.075,0,0
"P39","En blanco",0.072,0.207,0.137,0.148,0,0.459,0.298
"P39","No sabe",0.047,0.183,0.117,0.051,0.305,0.466,0.702
"P45","Lo votaría",0.664,0.132,0.126,0.576,0.586,0.294,0.279
"P45","Puede que lo vote",0.036,0.121,0.18,0.192,0.05,0.036,0.024
"P45","Nunca lo votaría",0.272,0.667,0.583,0.2,0.317,0.604,0.566
"P45","No sabe",0.028,0.08,0.111,0.032,0.047,0.066,0.131
"P46","Lo votaría",0.263,0.608,0.367,0.167,0.123,0.272,0.279
"P46","Puede que lo vote",0.095,0.147,0.273,0.079,0.171,0.17,0.199
"P46","Nunca lo votaría",0.57,0.2,0.287,0.741,0.532,0.492,0.392
"P46","No sabe",0.072,0.045,0.073,0.013,0.174,0.066,0.13
"P47","Lo votaría",0.131,0.14,0.386,0.078,0.042,0,0.183
"P47","Puede que lo vote",0.149,0.329,0.247,0.041,0.067,0.062,0.036
"P47","Nunca lo votaría",0.64,0.443,0.274,0.859,0.711,0.766,0.686
"P47","No sabe",0.08,0.088,0.093,0.022,0.18,0.172,0.095
"P48","Lo votaría",0.167,0.054,0.139,0.39,0.462,0.145,0.411
"P48","Puede que lo vote",0.323,0.206,0.269,0.3,0.074,0.115,0
"P48","Nunca lo votaría",0.453,0.665,0.526,0.28,0.464,0.74,0.44
"P48","No sabe",0.057,0.075,0.066,0.03,0,0,0.149
"P49","Lo votaría",0.168,0.162,0.075,0.179,0.299,0.023,0.353
"P49","Puede que lo vote",0.215,0.251,0.319,0.278,0.102,0.255,0.056
"P49","Nunca lo votaría",0.515,0.47,0.512,0.485,0.599,0.652,0.398
"P49","No sabe",0.102,0.117,0.094,0.058,0,0.07,0.193
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.9,0,0.336,0.225,0.364,0.116,0.045
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.004,0.923,0.43,0,0.526,0.002,0.178
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.004,0.042,0.155,0,0,0.218,0.026
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.008,0,0.013,0.775,0,0,0.32
"P52","En blanco",0.023,0,0.02,0,0.11,0.07,0.17
"P52","No sabe",0.061,0.035,0.046,0,0,0.594,0.261
"P53","Sergio Massa y Javier Milei",0.693,0.34,0.559,0.742,0.61,0.756,0.764
"P53","Patricia Bullrich y Javier Milei",0.176,0.569,0.405,0.157,0.281,0.191,0.217
"P53","Sergio Massa y Patricia Bullrich",0.131,0.091,0.036,0.101,0.109,0.053,0.019
"P54","Muy buena",0.065,0.011,0.024,0.1,0.014,0,0
"P54","Buena",0.11,0.034,0.051,0.112,0.013,0.021,0
"P54","Regular",0.309,0.097,0.072,0.16,0.546,0.3,0.178
"P54","Mala",0.238,0.359,0.273,0.332,0.108,0.251,0.471
"P54","Muy mala",0.278,0.499,0.58,0.296,0.319,0.428,0.351
"P55","Muy buena",0.109,0.007,0.034,0.043,0.015,0.022,0.018
"P55","Buena",0.174,0.022,0.019,0.215,0.136,0.224,0.152
"P55","Regular",0.239,0.092,0.072,0.423,0.463,0.172,0.142
"P55","Mala",0.2,0.226,0.234,0.144,0.103,0.105,0.332
"P55","Muy mala",0.278,0.653,0.641,0.175,0.283,0.477,0.356
"P56","Muy buena",0.18,0.02,0.07,0.101,0.014,0.022,0
"P56","Buena",0.266,0.125,0.139,0.323,0.318,0.264,0.143
"P56","Regular",0.321,0.394,0.387,0.338,0.465,0.254,0.285
"P56","Mala",0.173,0.308,0.241,0.189,0.151,0.46,0.572
"P56","Muy mala",0.06,0.153,0.163,0.049,0.052,0,0
"P57","Muy buena",0.067,0.008,0.022,0.097,0.014,0.022,0
"P57","Buena",0.269,0.183,0.076,0.148,0.04,0.391,0.081
"P57","Regular",0.386,0.459,0.481,0.524,0.259,0.423,0.329
"P57","Mala",0.202,0.199,0.247,0.217,0.496,0.126,0.565
"P57","Muy mala",0.076,0.151,0.174,0.014,0.191,0.038,0.025
"P58","Muy buena",0.114,0.024,0.016,0.083,0.015,0.391,0
"P58","Buena",0.233,0.126,0.07,0.203,0.133,0.148,0.018
"P58","Regular",0.305,0.333,0.327,0.36,0.581,0.25,0.349
"P58","Mala",0.225,0.265,0.241,0.269,0.073,0.211,0.599
"P58","Muy mala",0.123,0.252,0.346,0.085,0.198,0,0.034
"P59","Muy buena",0.154,0.056,0.051,0.15,0.015,0.022,0
"P59","Buena",0.303,0.135,0.187,0.291,0.342,0.501,0.334
"P59","Regular",0.361,0.499,0.452,0.391,0.566,0.439,0.313
"P59","Mala",0.137,0.178,0.168,0.159,0.039,0.038,0.319
"P59","Muy mala",0.045,0.132,0.142,0.009,0.038,0,0.034
"P60","Ha aumentado significativamente",0.103,0.008,0.051,0.164,0,0,0
"P60","Ha aumentado ligeramente",0.2,0.159,0.145,0.218,0.065,0.105,0.061
"P60","Se mantiene igual",0.276,0.258,0.262,0.381,0.277,0.327,0.282
"P60","Ha disminuido ligeramente",0.173,0.282,0.177,0.126,0.015,0.053,0.475
"P60","Ha disminuido significativamente",0.248,0.293,0.365,0.111,0.643,0.515,0.182
"P61","Muy baja",0.098,0.065,0.034,0.011,0.393,0,0
"P61","Baja",0.079,0.065,0.025,0.016,0.018,0,0
"P61","Moderada",0.124,0.04,0.067,0.107,0.038,0.093,0.065
"P61","Alta",0.263,0.134,0.155,0.368,0.114,0.069,0.449
"P61","Muy alta",0.436,0.696,0.719,0.498,0.437,0.838,0.486
"P62","Muy bajas",0.043,0.063,0.079,0.021,0,0,0
"P62","Bajas",0.066,0.126,0.095,0.033,0.059,0.027,0
"P62","Adecuadas",0.265,0.26,0.241,0.337,0.063,0.07,0.087
"P62","Altas",0.39,0.255,0.275,0.369,0.231,0.294,0.424
"P62","Muy altas",0.236,0.296,0.31,0.24,0.647,0.609,0.489
"P63","No, ninguna dificultad",0.354,0.304,0.21,0.26,0.129,0.285,0.209
"P63","Alguna dificultad ocasional",0.253,0.368,0.344,0.398,0.167,0.041,0.227
"P63","Sí, dificultades frecuentes",0.393,0.328,0.446,0.342,0.704,0.674,0.564
"P64","Sí, absolutamente",0.56,0.291,0.317,0.554,0.829,0.218,0.404
"P64","Sí, en cierta medida",0.309,0.425,0.38,0.354,0.073,0.658,0.596
"P64","No, en absoluto",0.131,0.284,0.303,0.092,0.098,0.124,0
"P65","Reducir la inflación",0.466,0.401,0.431,0.512,0.413,0.746,0.257
"P65","Implementar reformas fiscales",0.099,0.072,0.086,0.205,0,0.02,0.369
"P65","Establecer políticas de control de precios",0.097,0.067,0.084,0.136,0.053,0.17,0.221
"P65","Reducir el gasto público",0.176,0.375,0.348,0.106,0.128,0.06,0.153
"P65","Estimular la inversión extranjera",0.136,0.041,0.037,0.034,0,0.004,0
"P65","Aumentar los subsidios a los servicios públicos",0.026,0.044,0.014,0.007,0.406,0,0
"P66","Fomentar la competencia entre proveedores",0.316,0.343,0.422,0.299,0.21,0.581,0.462
"P66","Incrementar la inversión en infraestructura",0.137,0.204,0.167,0.173,0.179,0.004,0.151
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.156,0.211,0.107,0.166,0,0.057,0.165
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.391,0.242,0.304,0.362,0.611,0.358,0.222
"P67","Muy positiva",0.295,0.151,0.148,0.149,0.075,0.018,0.096
"P67","Positiva",0.205,0.16,0.192,0.207,0.109,0.682,0.616
"P67","Neutral",0.279,0.326,0.29,0.414,0.56,0.033,0
"P67","Algo negativa",0.101,0.093,0.161,0.087,0.082,0.14,0.126
"P67","Negativa",0.051,0.141,0.118,0.032,0.037,0,0
"P67","No sabe",0.069,0.129,0.091,0.111,0.137,0.127,0.162
"P68","Muy positivo",0.251,0.024,0.061,0.251,0.081,0.019,0.071
"P68","Positivo",0.199,0.166,0.147,0.267,0.115,0.22,0.504
"P68","Neutral",0.32,0.393,0.402,0.269,0.239,0.568,0.035
"P68","Algo negativo",0.06,0.138,0.135,0.126,0.027,0.124,0
"P68","Negativo",0.046,0.135,0.105,0.036,0.041,0,0.163
"P68","No sabe",0.124,0.144,0.15,0.051,0.497,0.069,0.227
"P69","Muy positivo",0.124,0.036,0.025,0.113,0,0,0.44
"P69","Positivo",0.185,0.067,0.112,0.141,0.048,0.231,0.128
"P69","Neutral",0.499,0.496,0.503,0.662,0.404,0.553,0.025
"P69","Algo negativo",0.025,0.101,0.11,0.033,0,0,0
"P69","Negativo",0.038,0.074,0.089,0.026,0.055,0,0.15
"P69","No sabe",0.129,0.226,0.161,0.025,0.493,0.216,0.257
"P70","Muy positiva",0.467,0.072,0.19,0.414,0.712,0.311,0.638
"P70","Positiva",0.337,0.222,0.251,0.274,0.103,0.003,0
"P70","Neutral",0.129,0.378,0.242,0.214,0.033,0.686,0.173
"P70","Algo negativa",0.043,0.125,0.137,0.044,0.058,0,0
"P70","Negativa",0.023,0.093,0.115,0.019,0.094,0,0
"P70","No sabe",0.001,0.11,0.065,0.035,0,0,0.189
"P71","Muy positivo",0.427,0.136,0.209,0.369,0.329,0.237,0.129
"P71","Positivo",0.331,0.158,0.217,0.153,0.073,0.023,0.07
"P71","Neutral",0.141,0.393,0.292,0.297,0.039,0.597,0.24
"P71","Algo negativo",0.057,0.156,0.13,0.045,0.042,0,0
"P71","Negativo",0.039,0.074,0.111,0.055,0.094,0.143,0.374
"P71","No sabe",0.005,0.083,0.041,0.081,0.423,0,0.187
"P72","Muy positivo",0.364,0.134,0.226,0.273,0.297,0.287,0.334
"P72","Positivo",0.338,0.188,0.29,0.368,0.092,0.092,0.09
"P72","Neutral",0.172,0.473,0.313,0.284,0.443,0.621,0.037
"P72","Algo negativo",0.056,0.074,0.066,0.014,0,0,0.282
"P72","Negativo",0.037,0.062,0.076,0.043,0.168,0,0
"P72","No sabe",0.033,0.069,0.029,0.018,0,0,0.257
"P73","Muy positiva",0.25,0.069,0.132,0.282,0.105,0.19,0.24
"P73","Positiva",0.389,0.224,0.188,0.342,0.107,0.028,0.077
"P73","Neutral",0.167,0.177,0.308,0.211,0.635,0.631,0.393
"P73","Algo negativa",0.077,0.219,0.125,0.043,0,0,0.29
"P73","Negativa",0.058,0.192,0.182,0.099,0.112,0.151,0
"P73","No sabe",0.059,0.119,0.065,0.023,0.041,0,0
"P74","Muy positivo",0.242,0.081,0.14,0.187,0.072,0.017,0.106
"P74","Positivo",0.372,0.143,0.175,0.37,0.102,0.216,0.329
"P74","Neutral",0.197,0.317,0.335,0.154,0.646,0.534,0.429
"P74","Algo negativo",0.066,0.147,0.131,0.045,0,0.078,0.136
"P74","Negativo",0.042,0.197,0.153,0.035,0.117,0.155,0
"P74","No sabe",0.081,0.115,0.066,0.209,0.063,0,0
"P75","Muy positivo",0.197,0.077,0.166,0.161,0.073,0.036,0
"P75","Positivo",0.391,0.065,0.142,0.216,0.527,0.188,0.436
"P75","Neutral",0.243,0.35,0.417,0.43,0.225,0.619,0.564
"P75","Algo negativo",0.052,0.177,0.074,0.043,0.032,0,0
"P75","Negativo",0.036,0.221,0.113,0.033,0.058,0.157,0
"P75","No sabe",0.081,0.11,0.088,0.117,0.085,0,0
"P76","Muy positiva",0.514,0.252,0.265,0.248,0.684,0.479,0.104
"P76","Positiva",0.228,0.217,0.224,0.457,0.144,0.337,0.466
"P76","Neutral",0.153,0.245,0.242,0.172,0.04,0.026,0.43
"P76","Algo negativa",0.048,0.077,0.072,0.023,0,0.158,0
"P76","Negativa",0.041,0.084,0.112,0.005,0.093,0,0
"P76","No sabe",0.016,0.125,0.085,0.095,0.039,0,0
"P77","Muy positivo",0.488,0.15,0.267,0.252,0.295,0.495,0.11
"P77","Positivo",0.282,0.372,0.246,0.338,0.138,0.242,0.753
"P77","Neutral",0.109,0.193,0.242,0.171,0,0.102,0.137
"P77","Algo negativo",0.07,0.093,0.096,0.11,0.047,0.002,0
"P77","Negativo",0.046,0.093,0.114,0.014,0.076,0.159,0
"P77","No sabe",0.005,0.099,0.035,0.115,0.444,0,0
"P78","Muy positivo",0.367,0.083,0.264,0.251,0.24,0.492,0.109
"P78","Positivo",0.311,0.19,0.285,0.161,0.086,0.24,0.75
"P78","Neutral",0.221,0.445,0.271,0.45,0.532,0.268,0.141
"P78","Algo negativo",0.053,0.07,0.062,0.019,0,0,0
"P78","Negativo",0.022,0.095,0.073,0.014,0.076,0,0
"P78","No sabe",0.026,0.117,0.045,0.105,0.066,0,0
"P79","Si",0.577,0.448,0.546,0.33,0.195,0.715,0.569
"P79","No",0.423,0.552,0.454,0.67,0.805,0.285,0.431
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",1,0,0,0,0,0,0
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0,0,0,0,0
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,1,0,0,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0,0,1,0,0,0
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0,0,0,0,1,0,0
"PRESIDENTE","En blanco",0,0,0,0,0,1,0
"PRESIDENTE","No sabe",0,0,0,0,0,0,1
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.772,0.006,0.335,0.228,0.369,0.106,0.044
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.128,0.887,0.432,0,0.517,0.002,0.2
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.026,0.084,0.155,0,0,0.218,0.024
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.006,0,0.014,0.772,0,0,0.299
"GOBERNADOR","En blanco",0.021,0,0.019,0,0.114,0.066,0.167
"GOBERNADOR","No sabe",0.047,0.023,0.045,0,0,0.608,0.266
"CORTA_PRESIDENTE","Si",0.337,0.309,0.623,0.995,0.645,0.603,0.729
"CORTA_PRESIDENTE","No",0.663,0.691,0.377,0.005,0.355,0.397,0.271
"CORTA_GOBERNADOR","Si",0.283,0.418,0.641,0.844,0.892,0.959,0.643
"CORTA_GOBERNADOR","No",0.717,0.582,0.359,0.156,0.108,0.041,0.357
