"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P15","No sabe",0.018,0.02,0.011,0,0.031,0.047,0.009,0.145,0.698,0.684
"P18","Lo votaría",0.758,0.233,0.318,0.143,0.212,0.134,0.341,0.235,0,0.08
"P18","Puede que lo vote",0.06,0.157,0.497,0.065,0.021,0.129,0.099,0.021,0.047,0.044
"P18","Nunca lo votaría",0.159,0.507,0.162,0.709,0.708,0.703,0.552,0.502,0.372,0.464
"P18","No sabe",0.023,0.103,0.023,0.083,0.059,0.034,0.008,0.242,0.581,0.412
"P19","Lo votaría",0.386,0.034,0.526,0.217,0.173,0.118,0.191,0.241,0,0.007
"P19","Puede que lo vote",0.243,0.133,0.175,0.322,0.035,0.159,0.146,0.236,0.009,0.012
"P19","Nunca lo votaría",0.308,0.742,0.276,0.38,0.779,0.69,0.628,0.503,0.415,0.566
"P19","No sabe",0.063,0.091,0.023,0.081,0.013,0.033,0.035,0.02,0.576,0.415
"P20","Lo votaría",0.39,0.552,0.08,0.202,0.182,0.164,0.184,0.236,0.146,0.046
"P20","Puede que lo vote",0.239,0.131,0.594,0.089,0.054,0.11,0.175,0.021,0.108,0.218
"P20","Nunca lo votaría",0.292,0.309,0.279,0.629,0.748,0.678,0.584,0.5,0.553,0.382
"P20","No sabe",0.079,0.008,0.047,0.08,0.016,0.048,0.057,0.243,0.193,0.354
"P21","Lo votaría",0.308,0.388,0.339,0.587,0.199,0.149,0.217,0.478,0,0
"P21","Puede que lo vote",0.176,0.138,0.196,0.112,0.014,0.107,0.04,0.021,0.074,0.113
"P21","Nunca lo votaría",0.4,0.417,0.284,0.217,0.771,0.716,0.648,0.48,0.587,0.446
"P21","No sabe",0.116,0.057,0.181,0.084,0.016,0.028,0.095,0.021,0.339,0.441
"P22","Lo votaría",0.35,0.572,0.242,0.689,0.188,0.148,0.265,0,0,0
"P22","Puede que lo vote",0.225,0.079,0.293,0.118,0.037,0.111,0.028,0.277,0.011,0.149
"P22","Nunca lo votaría",0.342,0.345,0.273,0.161,0.756,0.715,0.648,0.416,0.752,0.452
"P22","No sabe",0.083,0.004,0.192,0.032,0.019,0.026,0.059,0.307,0.237,0.399
"P23","Lo votaría",0.28,0.141,0.08,0.107,0.75,0.263,0.235,0,0,0
"P23","Puede que lo vote",0.053,0.124,0.067,0.061,0.092,0.424,0.261,0.38,0,0.121
"P23","Nunca lo votaría",0.656,0.71,0.497,0.794,0.151,0.281,0.435,0.532,0.778,0.357
"P23","No sabe",0.011,0.025,0.356,0.038,0.007,0.032,0.069,0.088,0.222,0.522
"P24","Lo votaría",0.196,0.102,0.039,0,0.396,0.819,0.157,0,0,0
"P24","Puede que lo vote",0.087,0.195,0.188,0.052,0.405,0.103,0.129,0.221,0.067,0.146
"P24","Nunca lo votaría",0.7,0.683,0.534,0.908,0.163,0.03,0.652,0.263,0.708,0.281
"P24","No sabe",0.017,0.02,0.239,0.04,0.036,0.048,0.062,0.516,0.225,0.573
"P25","Lo votaría",0.138,0.058,0.016,0,0.222,0.174,0.67,0,0,0
"P25","Puede que lo vote",0.103,0.127,0.352,0.016,0.327,0.139,0.023,0.073,0.04,0.067
"P25","Nunca lo votaría",0.745,0.795,0.373,0.943,0.415,0.656,0.231,0.583,0.736,0.469
"P25","No sabe",0.014,0.02,0.259,0.041,0.036,0.031,0.076,0.344,0.224,0.464
"P26","Si",0.469,0.485,0.265,0.804,0.383,0.331,0.464,0.059,0.066,0.059
"P26","No",0.531,0.515,0.735,0.196,0.617,0.669,0.536,0.941,0.934,0.941
