"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro.","En blanco","No sabe"
"P21","No sabe",0.074,0.038,0.101,0.103,0.015,0.278,0.21,0.358
"P22","Lo votaría",0.558,0.118,0.032,0.284,0.02,0.067,0.047,0.166
"P22","Puede que lo vote",0.163,0.04,0.069,0.172,0.239,0.086,0.047,0.211
"P22","Nunca lo votaría",0.211,0.81,0.883,0.38,0.727,0.678,0.848,0.263
"P22","No sabe",0.068,0.032,0.016,0.164,0.014,0.169,0.058,0.36
"P23","Lo votaría",0.311,0.549,0.118,0,0.163,0.081,0,0.054
"P23","Puede que lo vote",0.071,0.21,0.354,0.078,0.056,0.059,0.095,0.191
"P23","Nunca lo votaría",0.605,0.204,0.463,0.868,0.781,0.755,0.581,0.326
"P23","No sabe",0.013,0.037,0.065,0.054,0,0.105,0.324,0.429
"P24","Lo votaría",0.258,0.465,0.063,0,0.121,0.08,0.13,0.079
"P24","Puede que lo vote",0.054,0.325,0.18,0.217,0.103,0.125,0.054,0.241
"P24","Nunca lo votaría",0.677,0.154,0.695,0.578,0.776,0.694,0.497,0.201
"P24","No sabe",0.011,0.056,0.062,0.205,0,0.101,0.319,0.479
"P25","Lo votaría",0.239,0.094,0.76,0,0.268,0.055,0.088,0.05
"P25","Puede que lo vote",0.009,0.358,0.106,0.206,0.119,0.012,0.029,0.053
"P25","Nunca lo votaría",0.725,0.51,0.118,0.723,0.613,0.751,0.549,0.458
"P25","No sabe",0.027,0.038,0.016,0.071,0,0.182,0.334,0.439
"P26","Si",0.582,0.348,0.391,0.38,0.324,0.049,0.201,0.064
"P26","No",0.418,0.652,0.609,0.62,0.676,0.951,0.799,0.936
