"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P16","Wado de Pedro por el Frente de Todos",0.269,0.197,0.411,0.706
"P16","Daniel Scioli por el Frente de Todos",0.052,0.335,0.09,0.042
"P16","Patricia Bullrich por Juntos por el Cambio",0.032,0.085,0.104,0.026
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.028,0.046,0.014
"P16","Javier Milei por la Libertad Avanza",0.049,0.067,0.094,0.017
"P16","Al candidato del Frente de Izquierda",0.005,0.005,0.004,0.01
"P16","En blanco",0.01,0.013,0.044,0.02
"P16","No sabe",0.037,0.037,0.089,0.032
"P19","Sergio Massa por el Frente de Todos",0.527,0.262,0.163,0.094Unión
"P19","Wado de Pedro por el Frente de Todos",0.304,0.352,0.433,0.753
"P19","Patricia Bullrich por Juntos por el Cambio",0.053,0.105,0.094,0.039
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.079,0.051,0.028
"P19","Javier Milei por la Libertad Avanza",0.032,0.08,0.096,0.025
"P19","Al candidato del Frente de Izquierda",0.019,0.016,0.018,0.008
"P19","En blanco",0.004,0.012,0.036,0.015
"P19","No sabe",0.027,0.094,0.109,0.038
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y AlUnión Fernandez",0.797,0.648,0.549,0.757
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.052,0.121,0.089,0.059
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.029,0.049,0.105,0.015
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.011,0.036,0.013,0.019
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.047,0.038,0.095,0.022
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.019,0.007,0.033,0.02
"P22","En blanco",0.011,0.003,0.026,0.034
"P22","No sabe",0.034,0.098,0.09,0.074
"P25","Sergio Massa por el Frente de Todos",0.683,0.233,0.359,0.499Unión
"P25","Daniel Scioli por el Frente de Todos",0.084,0.51,0.157,0.169
"P25","Patricia Bullrich por Juntos por el Cambio",0.062,0.09,0.132,0.04
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.042,0.041,0.018
"P25","Javier Milei por la Libertad Avanza",0.036,0.079,0.091,0.03
"P25","Al candidato del Frente de Izquierda",0.024,0.009,0.038,0.052
"P25","En blanco",0.018,0,0.056,0.059
"P25","No sabe",0.051,0.037,0.126,0.133
"P26","Wado de Pedro por el Frente de Todos",0.662,0.235,0.528,0.8Unión
"P26","Daniel Scioli por el Frente de Todos",0.127,0.565,0.077,0.074
"P26","Patricia Bullrich por Juntos por el Cambio",0.031,0.089,0.112,0.02
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.064,0.046,0.014
"P26","Javier Milei por la Libertad Avanza",0.032,0.036,0.112,0.025
"P26","Al candidato del Frente de Izquierda",0.025,0.002,0.011,0.016
"P26","En blanco",0.027,0.002,0.035,0.018
"P26","No sabe",0.059,0.007,0.079,0.033
"P27","Sergio Massa por el Frente de Todos",0.81,0.482,0.481,0.699Unión
"P27","Patricia Bullrich por Juntos por el Cambio",0.04,0.159,0.11,0.034
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.085,0.066,0.012
"P27","Javier Milei por la Libertad Avanza",0.027,0.066,0.092,0.021
"P27","Al candidato del Frente de Izquierda",0.025,0.043,0.033,0.048
"P27","En blanco",0.012,0.022,0.044,0.058
"P27","No sabe",0.057,0.143,0.174,0.128
"P28","Wado de Pedro por el Frente de Todos",0.735,0.51,0.597,0.868
"P28","Patricia Bullrich por Juntos por el Cambio",0.038,0.146,0.094,0.033
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.067,0.081,0.008
"P28","Javier Milei por la Libertad Avanza",0.047,0.043,0.078,0.013
"P28","Al candidato del Frente de Izquierda",0.027,0.003,0.04,0.017
"P28","En blanco",0.048,0.045,0.027,0.02
"P28","No sabe",0.086,0.186,0.083,0.041
"P29","Axel Kicillof por el Frente de Todos",0.746,0.59,0.565,0.907
"P29","Patricia Bullrich por Juntos por el Cambio",0.035,0.108,0.106,0.018
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.069,0.063,0.006
"P29","Javier Milei por la Libertad Avanza",0.048,0.074,0.076,0.014
"P29","Al candidato del Frente de Izquierda",0.018,0.003,0.044,0.013
"P29","En blanco",0.031,0.045,0.027,0.006
"P29","No sabe",0.087,0.111,0.119,0.036
"P30","Sergio Massa  por el Frente de Todos",0.842,0.559,0.506,0.74
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.091,0.158,0.025
"P30","Javier Milei por la Libertad Avanza",0.026,0.12,0.084,0.023
"P30","Al candidato del Frente de Izquierda",0.039,0.051,0.058,0.052
"P30","En blanco",0.009,0.044,0.07,0.055
"P30","No sabe",0.052,0.135,0.124,0.105
"P31","Sergio Massa  por el Frente de Todos",0.889,0.615,0.482,0.74
"P31","Patricia Bullrich por Juntos por el Cambio",0.024,0.154,0.169,0.033
"P31","Javier Milei por la Libertad Avanza",0.021,0.039,0.086,0.01
"P31","Al candidato del Frente de Izquierda",0.012,0.032,0.036,0.066
"P31","En blanco",0.006,0.084,0.091,0.049
"P31","No sabe",0.048,0.076,0.136,0.102
"P32","Wado de Pedro por el Frente de Todos",0.787,0.502,0.585,0.892
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.214,0.162,0.024
"P32","Javier Milei por la Libertad Avanza",0.037,0.065,0.096,0.02
"P32","Al candidato del Frente de Izquierda",0.021,0.002,0.016,0.009
"P32","En blanco",0.032,0.066,0.054,0.018
"P32","No sabe",0.075,0.151,0.087,0.037
"P33","Wado de Pedro por el Frente de Todos",0.799,0.59,0.588,0.887
"P33","Patricia Bullrich por Juntos por el Cambio",0.037,0.124,0.16,0.037
"P33","Javier Milei por la Libertad Avanza",0.03,0.087,0.104,0.014
"P33","Al candidato del Frente de Izquierda",0.007,0.015,0.031,0.022
"P33","En blanco",0.038,0.093,0.043,0.008
"P33","No sabe",0.089,0.091,0.074,0.032
"P34","Daniel Scioli por el Frente de Todos",0.631,0.666,0.457,0.671
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.131,0.127,0.021
"P34","Javier Milei por la Libertad Avanza",0.055,0.11,0.105,0.014
"P34","Al candidato del Frente de Izquierda",0.026,0,0.046,0.069
"P34","En blanco",0.068,0.067,0.106,0.086
"P34","No sabe",0.181,0.026,0.159,0.139
"P35","Daniel Scioli por el Frente de Todos",0.664,0.73,0.447,0.657
"P35","Patricia Bullrich por Juntos por el Cambio",0.026,0.188,0.171,0.027
"P35","Javier Milei por la Libertad Avanza",0.019,0.006,0.08,0.013
"P35","Al candidato del Frente de Izquierda",0.028,0.01,0.07,0.068
"P35","En blanco",0.088,0.012,0.081,0.084
"P35","No sabe",0.175,0.054,0.151,0.151
"P36","Axel Kicillof por el Frente de Todos",0.764,0.536,0.523,0.914
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.147,0.207,0.016
"P36","Javier Milei por la Libertad Avanza",0.029,0.126,0.108,0.012
"P36","Al candidato del Frente de Izquierda",0.005,0.014,0.021,0.014
"P36","En blanco",0.055,0.041,0.043,0.01
"P36","No sabe",0.101,0.136,0.098,0.034
"P37","Axel Kicillof por el Frente de Todos",0.79,0.585,0.549,0.925
"P37","Patricia Bullrich por Juntos por el Cambio",0.057,0.132,0.17,0.018
"P37","Javier Milei por la Libertad Avanza",0.031,0.123,0.102,0.008
"P37","Al candidato del Frente de Izquierda",0.006,0,0.022,0.013
"P37","En blanco",0.051,0.028,0.057,0.001
"P37","No sabe",0.065,0.132,0.1,0.035
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.242,0.214,0.049
"P38","Sergio Massa por el Frente de Todos",0.846,0.591,0.525,0.774
"P38","En blanco",0.037,0.039,0.062,0.074
"P38","No sabe",0.079,0.128,0.199,0.103
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.068,0.237,0.234,0.044
"P39","Wado de Pedro por el Frente de Todos",0.799,0.639,0.613,0.916
"P39","En blanco",0.042,0.071,0.045,0.024
"P39","No sabe",0.091,0.053,0.108,0.016
"P40","Patricia Bullrich por Juntos por el Cambio",0.033,0.19,0.242,0.038
"P40","Sergio Massa por el Frente de Todos",0.894,0.671,0.543,0.83
"P40","En blanco",0.041,0.097,0.078,0.063
"P40","No sabe",0.032,0.042,0.137,0.069
"P41","Patricia Bullrich por Juntos por el Cambio",0.053,0.227,0.256,0.052
"P41","Wado de Pedro  por el Frente de Todos",0.793,0.626,0.626,0.917
"P41","En blanco",0.038,0.086,0.052,0.016
"P41","No sabe",0.116,0.061,0.066,0.015
"P42","Patricia Bullrich por Juntos por el Cambio",0.05,0.187,0.248,0.03
"P42","Daniel Scioli por el Frente de Todos",0.707,0.746,0.532,0.769
"P42","En blanco",0.118,0.061,0.104,0.091
"P42","No sabe",0.125,0.006,0.116,0.11
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.085,0.225,0.243,0.022
"P43","Daniel Scioli por el Frente de Todos",0.668,0.731,0.501,0.764
"P43","En blanco",0.125,0.029,0.094,0.101
"P43","No sabe",0.122,0.015,0.162,0.113
"P44","Patricia Bullrich por Juntos por el Cambio",0.076,0.152,0.264,0.022
"P44","Axel Kicillof por el Frente de Todos",0.804,0.667,0.549,0.924
"P44","En blanco",0.038,0.061,0.069,0.008
"P44","No sabe",0.082,0.12,0.118,0.046
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.231,0.277,0.029
"P45","Axel Kicillof por el Frente de Todos",0.838,0.565,0.544,0.939
"P45","En blanco",0.03,0.063,0.073,0.003
"P45","No sabe",0.076,0.141,0.106,0.029
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.147,0.129,0.299,0.087
"P46","Javier Milei por los liberales libertarios",0.197,0.225,0.155,0.121
"P46","En blanco",0.429,0.406,0.363,0.536
"P46","No sabe",0.227,0.24,0.183,0.256
"P47","Patricia Bullrich por Juntos por el Cambio",0.085,0.17,0.275,0.042
"P47","Javier Milei por los liberales libertarios",0.123,0.082,0.102,0.039
"P47","En blanco",0.591,0.511,0.404,0.685
"P47","No sabe",0.201,0.237,0.219,0.234
"P48","Javier Milei por los liberales libertarios",0.052,0.188,0.191,0.036
"P48","Sergio Massa por el Frente de Todos",0.799,0.66,0.495,0.802
"P48","En blanco",0.113,0.084,0.174,0.095
"P48","No sabe",0.036,0.068,0.14,0.067
"P49","Javier Milei por los liberales libertarios",0.065,0.194,0.191,0.026
"P49","Wado de Pedro  por el Frente de Todos",0.859,0.684,0.578,0.915
"P49","En blanco",0.035,0.044,0.135,0.017
"P49","No sabe",0.041,0.078,0.096,0.042
"P50","Javier Milei por los liberales libertarios",0.079,0.137,0.179,0.013
"P50","Daniel Scioli por el Frente de Todos",0.751,0.779,0.566,0.819
"P50","En blanco",0.079,0.058,0.161,0.078
"P50","No sabe",0.091,0.026,0.094,0.09
"P51","Javier Milei por los liberales libertarios",0.069,0.253,0.226,0.012
"P51","Axel Kicillof por el Frente de Todos",0.837,0.634,0.544,0.943
"P51","En blanco",0.036,0.081,0.139,0.008
"P51","No sabe",0.058,0.032,0.091,0.037
"P52","Lo votaría",0.651,0.538,0.297,0.442
"P52","Puede que lo vote",0.258,0.19,0.26,0.38
"P52","Nunca lo votaría",0.065,0.191,0.353,0.108
"P52","No sabe",0.026,0.081,0.09,0.07
"P53","Lo votaría",0.691,0.646,0.43,0.842
"P53","Puede que lo vote",0.196,0.116,0.21,0.067
"P53","Nunca lo votaría",0.072,0.212,0.296,0.083
"P53","No sabe",0.041,0.026,0.064,0.008
"P54","Lo votaría",0.472,0.66,0.245,0.429
"P54","Puede que lo vote",0.265,0.18,0.277,0.378
"P54","Nunca lo votaría",0.177,0.143,0.361,0.129
"P54","No sabe",0.086,0.017,0.117,0.064
"P55","Lo votaría",0.703,0.65,0.425,0.871
"P55","Puede que lo vote",0.153,0.124,0.106,0.081
"P55","Nunca lo votaría",0.101,0.196,0.367,0.035
"P55","No sabe",0.043,0.03,0.102,0.013
"P56","La votaría",0.162,0.163,0.205,0.096
"P56","Puede que la vote",0.052,0.06,0.103,0.017
"P56","Nunca la votaría",0.753,0.745,0.648,0.871
"P56","No sabe",0.033,0.032,0.044,0.016
"P57","Lo votaría",0.046,0.196,0.179,0.035
"P57","Puede que lo vote",0.112,0.032,0.15,0.035
"P57","Nunca lo votaría",0.774,0.753,0.649,0.898
"P57","No sabe",0.068,0.019,0.022,0.032
"P58","Lo votaría",0.043,0.086,0.146,0.025
"P58","Puede que lo vote",0.06,0.15,0.147,0.019
"P58","Nunca lo votaría",0.842,0.671,0.696,0.946
"P58","No sabe",0.055,0.093,0.011,0.01
"P59","Lo votaría",0.029,0.1,0.156,0.015
"P59","Puede que lo vote",0.11,0.239,0.08,0.089
"P59","Nunca lo votaría",0.762,0.59,0.635,0.85
"P59","No sabe",0.099,0.071,0.129,0.046
"P60","Lo votaría",0.016,0.072,0.083,0.022
"P60","Puede que lo vote",0.061,0.08,0.102,0.027
"P60","Nunca lo votaría",0.855,0.801,0.699,0.924
"P60","No sabe",0.068,0.047,0.116,0.027
"P61","Muy buena",0.374,0.376,0.063,0.165
"P61","Buena",0.3,0.211,0.266,0.361
"P61","Ni buena ni mala",0.287,0.236,0.273,0.312
"P61","Mala",0.029,0.09,0.216,0.083
"P61","Muy mala",0.01,0.087,0.178,0.078
"P61","No sabe",0,0,0.004,0.001
"P62","Muy buena",0.514,0.458,0.289,0.716
"P62","Buena",0.281,0.262,0.236,0.139
"P62","Ni buena ni mala",0.138,0.099,0.155,0.069
"P62","Mala",0.031,0.064,0.171,0.012
"P62","Muy mala",0.022,0.098,0.14,0.06
"P62","No sabe",0.014,0.019,0.009,0.004
"P63","Muy buena",0.219,0.632,0.105,0.169
"P63","Buena",0.382,0.222,0.232,0.387
"P63","Ni buena ni mala",0.263,0.054,0.339,0.313
"P63","Mala",0.1,0.015,0.144,0.063
"P63","Muy mala",0.026,0.077,0.167,0.056
"P63","No sabe",0.01,0,0.013,0.012
"P64","Muy buena",0.566,0.51,0.343,0.813
"P64","Buena",0.24,0.242,0.15,0.083
"P64","Ni buena ni mala",0.1,0.077,0.166,0.055
"P64","Mala",0.042,0.028,0.074,0.017
"P64","Muy mala",0.042,0.135,0.263,0.029
"P64","No sabe",0.01,0.008,0.004,0.003
"P65","Muy buena",0.111,0.167,0.122,0.069
"P65","Buena",0.025,0.025,0.041,0.02
"P65","Ni buena ni mala",0.095,0.045,0.149,0.049
"P65","Mala",0.234,0.172,0.168,0.141
"P65","Muy mala",0.508,0.575,0.52,0.718
"P65","No sabe",0.027,0.016,0,0.003
"P66","Muy buena",0.022,0.037,0.114,0.007
"P66","Buena",0.046,0.095,0.14,0.02
"P66","Ni buena ni mala",0.177,0.138,0.203,0.068
"P66","Mala",0.324,0.23,0.197,0.242
"P66","Muy mala",0.414,0.5,0.344,0.649
"P66","No sabe",0.017,0,0.002,0.014
"P67","Muy buena",0.023,0.109,0.068,0.013
"P67","Buena",0.028,0.097,0.116,0.003
"P67","Ni buena ni mala",0.08,0.12,0.18,0.027
"P67","Mala",0.221,0.163,0.106,0.083
"P67","Muy mala",0.631,0.478,0.492,0.874
"P67","No sabe",0.017,0.033,0.038,0
"P68","Muy buena",0.019,0.032,0.042,0.002
"P68","Buena",0.042,0.168,0.181,0.016
"P68","Ni buena ni mala",0.341,0.206,0.243,0.157
"P68","Mala",0.255,0.241,0.193,0.248
"P68","Muy mala",0.305,0.33,0.298,0.55
"P68","No sabe",0.038,0.023,0.043,0.027
"P69","Muy buena",0.016,0.082,0.04,0.002
"P69","Buena",0.03,0.044,0.123,0.014
"P69","Ni buena ni mala",0.181,0.163,0.169,0.073
"P69","Mala",0.305,0.199,0.099,0.146
"P69","Muy mala",0.439,0.476,0.482,0.738
"P69","No sabe",0.029,0.036,0.087,0.027
"P70","Si",0.661,0.339,0.702,0.605
"P70","No",0.339,0.661,0.298,0.395
