"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P37","Mala",0.118,0.289,0.119,0.205,0.063,0.055
"P37","Muy mala",0.385,0.244,0.231,0.116,0.283,0.498
"P37","No sabe",0.035,0.019,0.045,0.009,0.003,0.354
"P38","Muy buena",0.129,0.107,0.021,0.041,0.078,0.033
"P38","Buena",0.322,0.266,0.129,0.05,0.063,0
"P38","Ni buena ni mala",0.174,0.218,0.213,0.111,0.053,0.111
"P38","Mala",0.153,0.182,0.236,0.224,0.049,0.143
"P38","Muy mala",0.222,0.207,0.373,0.568,0.743,0.253
"P38","No sabe",0,0.02,0.028,0.006,0.014,0.46
"P39","Muy buena",0.145,0.148,0.256,0.353,0.525,0.048
"P39","Buena",0.096,0.115,0.285,0.333,0.115,0.075
"P39","Ni buena ni mala",0.095,0.11,0.196,0.032,0.045,0.025
"P39","Mala",0.157,0.228,0.069,0.052,0.061,0.032
"P39","Muy mala",0.437,0.384,0.152,0.216,0.246,0.343
"P39","No sabe",0.07,0.015,0.042,0.014,0.008,0.477
"P40","Muy buena",0.112,0.09,0.204,0.237,0.288,0.189
"P40","Buena",0.071,0.094,0.149,0.241,0.254,0.093
"P40","Ni buena ni mala",0.143,0.175,0.35,0.266,0.185,0
"P40","Mala",0.204,0.104,0.124,0.043,0.101,0.029
"P40","Muy mala",0.464,0.433,0.135,0.205,0.168,0.208
"P40","No sabe",0.006,0.104,0.038,0.008,0.004,0.481
