"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P34","Muy buena",0.135,0.11,0.141,0.067,0.065
"P34","Buena",0.202,0.093,0.008,0.181,0.091
"P34","Ni buena ni mala",0.312,0.044,0.042,0.325,0.15
"P34","Mala",0.153,0.12,0.045,0.121,0.115
"P34","Muy mala",0.165,0.633,0.764,0.285,0.54
"P34","No sabe",0.033,0,0,0.021,0.039
"P35","Muy buena",0.048,0.324,0.181,0.009,0.113
"P35","Buena",0.065,0.274,0.117,0.039,0.158
"P35","Ni buena ni mala",0.124,0.164,0.256,0.047,0.175
"P35","Mala",0.201,0.111,0.243,0.102,0.256
"P35","Muy mala",0.542,0.127,0.203,0.803,0.276
"P35","No sabe",0.02,0,0,0,0.022
"P36","Muy buena",0.394,0.094,0.135,0.193,0.118
"P36","Buena",0.143,0.028,0.002,0.293,0.063
"P36","Ni buena ni mala",0.139,0.019,0.006,0.071,0.07
"P36","Mala",0.072,0.057,0.067,0.056,0.208
"P36","Muy mala",0.24,0.757,0.79,0.387,0.525
"P36","No sabe",0.012,0.045,0,0,0.016
"P37","Muy buena",0.06,0.228,0.149,0.037,0.099
"P37","Buena",0.06,0.411,0.178,0.317,0.146
"P37","Ni buena ni mala",0.231,0.184,0.142,0.029,0.284
"P37","Mala",0.236,0.076,0.132,0.16,0.232
"P37","Muy mala",0.369,0.089,0.391,0.457,0.138
"P37","No sabe",0.044,0.012,0.008,0,0.101
"P38","Muy buena",0.133,0.049,0.024,0.047,0.031
"P38","Buena",0.298,0.12,0.018,0.332,0.088
"P38","Ni buena ni mala",0.269,0.082,0.115,0.075,0.21
"P38","Mala",0.112,0.183,0.263,0.191,0.242
"P38","Muy mala",0.162,0.557,0.58,0.355,0.339
"P38","No sabe",0.026,0.009,0,0,0.09
"P39","Muy buena",0.09,0.517,0.267,0.029,0.137
"P39","Buena",0.05,0.283,0.334,0.04,0.233
"P39","Ni buena ni mala",0.102,0.058,0.098,0.197,0.218
"P39","Mala",0.234,0.025,0.088,0.182,0.046
"P39","Muy mala",0.48,0.095,0.209,0.54,0.242
"P39","No sabe",0.044,0.022,0.004,0.012,0.124
"P40","Muy buena",0.052,0.15,0.601,0.01,0.101
"P40","Buena",0.075,0.242,0.142,0.064,0.17
"P40","Ni buena ni mala",0.135,0.39,0.096,0.204,0.265
"P40","Mala",0.131,0.098,0.09,0.116,0.143
"P40","Muy mala",0.55,0.083,0.067,0.594,0.224
"P40","No sabe",0.057,0.037,0.004,0.012,0.097
