"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P22","Son adversarios políticos",0.572,0.398,0.274,0.427
"P22","No sabe",0.277,0.373,0.297,0.27
"P23","Son lo mismo, ambos son de Massa",0.125,0.119,0.22,0.333
"P23","Son aliados en el Frente de Todos pero compiten",0.496,0.414,0.338,0.215
"P23","Son enemigos porque Zamora traicionó a Massa",0.182,0.166,0.247,0.284
"P23","No sabe",0.197,0.301,0.195,0.168
"P24","La seguridad",0.281,0.213,0.306,0.208
"P24","El tránsito",0.133,0.115,0.058,0.036
"P24","El arreglo de las calles",0.136,0.196,0.137,0.066
"P24","El estado de las escuelas y la educación",0.12,0.071,0.016,0.048
"P24","El sistema de salud",0.096,0.074,0.044,0.079
"P24","El deporte y la cultura",0.079,0.05,0.091,0.096
"P24","La obra pública",0.075,0.077,0.022,0.015
"P24","La luminaria",0.034,0.082,0.098,0.113
"P24","No sabe",0.046,0.122,0.228,0.339
"P25","La seguridad",0.169,0.156,0.147,0.175
"P25","El tránsito",0.062,0.141,0.163,0.126
"P25","El arreglo de las calles",0.098,0.138,0.141,0.197
"P25","El estado de las escuelas y la educación",0.145,0.182,0.148,0.109
"P25","El sistema de salud",0.201,0.16,0.232,0.183
"P25","El deporte y la cultura",0.034,0.028,0.035,0.002
"P25","La obra pública",0.023,0.013,0.049,0.064
"P25","La luminaria",0.02,0.039,0.025,0.015
"P25","No sabe",0.248,0.143,0.06,0.129
"P26","Agua corriente y cloacas",0.399,0.421,0.448,0.488
"P26","Energía eléctrica",0.066,0.173,0.053,0.108
"P26","Red de gas natural",0.081,0.065,0.119,0.095
"P26","Recolección de residuos",0.014,0.091,0.152,0.139
"P26","Ninguno",0.44,0.25,0.228,0.17
"P27","Los robos",0.307,0.289,0.285,0.292
"P27","El narcotráfico",0.149,0.28,0.32,0.354
"P27","La ausencia de patrulleros y personal policial",0.104,0.134,0.144,0.149
"P27","Otro",0.185,0.234,0.153,0.136
"P27","Ninguno",0.255,0.063,0.098,0.069
"P28","Frente de Todos y el peronismo",0.691,0.456,0.243,0.102
"P28","Cambiemos",0.092,0.144,0.302,0.523
"P28","Liberales Libertarios",0.059,0.092,0.188,0.243
"P28","Izquierda",0.016,0.051,0.041,0.027
"P28","No sabe",0.142,0.257,0.226,0.105
"P30","A Alberto Fernández",0.24,0.164,0.119,0.058
"P30","A Sergio Massa",0.501,0.315,0.167,0.12
"P30","A algún candidato del peronismo",0.183,0.208,0.297,0.67
"P30","A algún candidato del kirchnerismo",0.076,0.313,0.417,0.152
"P31","A Alberto Fernández",0.201,0.027,0.051,0.094
"P31","A Sergio Massa",0.348,0.301,0.502,0.073
"P31","A algún candidato del peronismo",0.132,0.207,0.084,0.751
"P31","A Cristina Fernández de Kirchner",0.319,0.465,0.363,0.082
"P32","A Horacio Rodriguez Larreta",0.502,0.31,0.204,0.184
"P32","A Mauricio Macri",0.151,0.105,0.035,0.324
"P32","A Patricia Bullrich",0.087,0.093,0.355,0.345
"P32","A Facundo Manes",0.194,0.341,0.285,0.091
"P32","A Gerardo Morales",0.066,0.151,0.121,0.056
"P33","Seguro lo votaria",0.209,0.139,0.233,0.347
"P33","Quizás lo votaría",0.216,0.233,0.258,0.307
"P33","Nunca lo votaría",0.575,0.628,0.509,0.346
"P34","Muy buena",0.212,0.09,0.102,0.095
"P34","Buena",0.171,0.201,0.054,0.079
"P34","Ni buena ni mala",0.273,0.275,0.127,0.065
"P34","Mala",0.141,0.129,0.132,0.097
"P34","Muy mala",0.16,0.264,0.585,0.664
"P34","No sabe",0.043,0.041,0,0
"P35","Muy buena",0.083,0.043,0.12,0.284
"P35","Buena",0.138,0.082,0.155,0.196
"P35","Ni buena ni mala",0.136,0.12,0.149,0.2
"P35","Mala",0.146,0.247,0.182,0.161
"P35","Muy mala",0.497,0.478,0.378,0.159
"P35","No sabe",0,0.03,0.016,0
"P36","Muy buena",0.395,0.316,0.14,0.102
"P36","Buena",0.161,0.113,0.064,0.033
"P36","Ni buena ni mala",0.128,0.118,0.06,0.015
"P36","Mala",0.018,0.087,0.129,0.09
"P36","Muy mala",0.28,0.322,0.594,0.747
"P36","No sabe",0.018,0.044,0.013,0.013
"P37","Muy buena",0.101,0.065,0.077,0.204
"P37","Buena",0.115,0.151,0.351,0.244
"P37","Ni buena ni mala",0.211,0.201,0.114,0.224
"P37","Mala",0.09,0.236,0.206,0.137
"P37","Muy mala",0.416,0.281,0.231,0.184
"P37","No sabe",0.067,0.066,0.021,0.007
"P38","Muy buena",0.074,0.125,0.042,0.051
"P38","Buena",0.264,0.267,0.161,0.078
"P38","Ni buena ni mala",0.233,0.273,0.146,0.09
"P38","Mala",0.143,0.202,0.227,0.168
"P38","Muy mala",0.242,0.089,0.411,0.604
"P38","No sabe",0.044,0.044,0.013,0.009
"P39","Muy buena",0.075,0.091,0.251,0.431
"P39","Buena",0.106,0.122,0.193,0.274
"P39","Ni buena ni mala",0.08,0.114,0.137,0.102
"P39","Mala",0.176,0.181,0.133,0.047
"P39","Muy mala",0.463,0.422,0.27,0.137
"P39","No sabe",0.1,0.07,0.016,0.009
"P40","Muy buena",0.109,0.102,0.164,0.255
"P40","Buena",0.099,0.051,0.186,0.215
"P40","Ni buena ni mala",0.095,0.2,0.313,0.274
"P40","Mala",0.181,0.112,0.119,0.087
"P40","Muy mala",0.476,0.433,0.179,0.149
"P40","No sabe",0.04,0.102,0.039,0.02
