"var","categoria","Son lo mismo aunque estén en espacios politoca diferentes","Son aliados tácticos pero lo ocultan","Son adversarios políticos","No sabe"
"P19","Muy mala",0.216,0.078,0.151,0.079
"P19","No sabe",0.006,0.019,0.002,0.047
"P20","Que continúe el intendente Julio Zamora",0.166,0.016,0.241,0.164
"P20","Que continúe Julio Zamora pero con mejoras",0.111,0.31,0.231,0.304
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.233,0.237,0.098,0.15
"P20","Que cambie el intendente Julio Zamora",0.49,0.437,0.43,0.382
"P21","Es kirchnerista",0.282,0.169,0.186,0.105
"P21","Forma parte del Frente de Todos",0.157,0.346,0.341,0.219
"P21","Es un hombre de Massa",0.16,0.111,0.141,0.147
"P21","Es un peronista independiente de centro",0.064,0.04,0.1,0.108
"P21","Es un oportunista y está donde le conviene",0.257,0.286,0.168,0.165
"P21","No sabe",0.08,0.048,0.064,0.256
"P23","Son lo mismo, ambos son de Massa",0.423,0.19,0.249,0.117
"P23","Son aliados en el Frente de Todos pero compiten",0.225,0.368,0.411,0.259
"P23","Son enemigos porque Zamora traicionó a Massa",0.238,0.313,0.251,0.167
"P23","No sabe",0.114,0.129,0.089,0.457
"P24","La seguridad",0.332,0.144,0.268,0.184
"P24","El tránsito",0.043,0.131,0.089,0.048
"P24","El arreglo de las calles",0.158,0.182,0.103,0.101
"P24","El estado de las escuelas y la educación",0.093,0.028,0.023,0.113
"P24","El sistema de salud",0.01,0.096,0.118,0.038
"P24","El deporte y la cultura",0.05,0.078,0.076,0.105
"P24","La obra pública",0.017,0.024,0.07,0.023
"P24","La luminaria",0.045,0.192,0.073,0.091
"P24","No sabe",0.252,0.125,0.18,0.297
"P25","La seguridad",0.185,0.048,0.196,0.16
"P25","El tránsito",0.146,0.151,0.128,0.099
"P25","El arreglo de las calles",0.212,0.133,0.182,0.104
"P25","El estado de las escuelas y la educación",0.11,0.191,0.131,0.141
"P25","El sistema de salud",0.184,0.283,0.173,0.17
"P25","El deporte y la cultura",0,0.028,0.016,0.029
"P25","La obra pública",0.04,0.086,0.026,0.048
"P25","La luminaria",0.016,0.019,0.034,0.013
"P25","No sabe",0.107,0.061,0.114,0.236
"P26","Agua corriente y cloacas",0.416,0.284,0.52,0.439
"P26","Energía eléctrica",0.079,0.094,0.124,0.107
"P26","Red de gas natural",0.167,0.112,0.065,0.074
"P26","Recolección de residuos",0.171,0.164,0.09,0.077
"P26","Ninguno",0.167,0.346,0.201,0.303
"P27","Los robos",0.46,0.177,0.284,0.271
"P27","El narcotráfico",0.252,0.429,0.312,0.237
"P27","La ausencia de patrulleros y personal policial",0.082,0.097,0.149,0.165
"P27","Otro",0.121,0.149,0.175,0.198
"P27","Ninguno",0.085,0.148,0.08,0.129
"P28","Frente de Todos y el peronismo",0.286,0.311,0.342,0.272
"P28","Cambiemos",0.211,0.241,0.446,0.233
"P28","Liberales Libertarios",0.264,0.218,0.129,0.152
"P28","Izquierda",0.049,0.111,0.012,0.022
"P28","No sabe",0.19,0.119,0.071,0.321
"P30","A Alberto Fernández",0.129,0,0.114,0.164
"P30","A Sergio Massa",0.216,0.22,0.293,0.178
"P30","A algún candidato del peronismo",0.319,0.536,0.313,0.61
"P30","A algún candidato del kirchnerismo",0.336,0.244,0.28,0.048
"P31","A Alberto Fernández",0.135,0,0.098,0.044
"P31","A Sergio Massa",0.338,0.219,0.29,0.081
"P31","A algún candidato del peronismo",0.168,0.558,0.309,0.695
"P31","A Cristina Fernández de Kirchner",0.359,0.223,0.303,0.18
"P32","A Horacio Rodriguez Larreta",0.214,0.177,0.297,0.291
"P32","A Mauricio Macri",0.127,0.11,0.254,0.162
"P32","A Patricia Bullrich",0.234,0.175,0.189,0.36
"P32","A Facundo Manes",0.203,0.472,0.188,0.119
"P32","A Gerardo Morales",0.222,0.066,0.072,0.068
"P33","Seguro lo votaria",0.388,0.245,0.195,0.292
"P33","Quizás lo votaría",0.215,0.236,0.298,0.249
"P33","Nunca lo votaría",0.397,0.519,0.507,0.459
"P34","Muy buena",0.073,0.11,0.143,0.099
"P34","Buena",0.111,0.144,0.145,0.07
"P34","Ni buena ni mala",0.128,0.197,0.164,0.147
"P34","Mala",0.097,0.074,0.094,0.184
"P34","Muy mala",0.541,0.45,0.452,0.482
"P34","No sabe",0.05,0.025,0.002,0.018
"P35","Muy buena",0.136,0.064,0.218,0.157
"P35","Buena",0.078,0.123,0.157,0.203
"P35","Ni buena ni mala",0.117,0.202,0.13,0.218
"P35","Mala",0.191,0.179,0.159,0.211
"P35","Muy mala",0.455,0.407,0.331,0.209
"P35","No sabe",0.023,0.025,0.005,0.002
"P36","Muy buena",0.215,0.14,0.251,0.168
"P36","Buena",0.028,0.093,0.102,0.061
"P36","Ni buena ni mala",0.12,0.051,0.06,0.051
"P36","Mala",0.222,0.056,0.028,0.107
"P36","Muy mala",0.415,0.635,0.533,0.591
"P36","No sabe",0,0.025,0.026,0.022
"P37","Muy buena",0.048,0.04,0.158,0.188
"P37","Buena",0.126,0.205,0.272,0.189
"P37","Ni buena ni mala",0.177,0.169,0.204,0.218
"P37","Mala",0.292,0.191,0.115,0.152
"P37","Muy mala",0.336,0.36,0.236,0.186
"P37","No sabe",0.021,0.035,0.015,0.067
"P38","Muy buena",0.073,0.04,0.087,0.056
"P38","Buena",0.194,0.182,0.187,0.113
"P38","Ni buena ni mala",0.174,0.126,0.16,0.189
"P38","Mala",0.184,0.246,0.134,0.221
"P38","Muy mala",0.354,0.381,0.418,0.381
"P38","No sabe",0.021,0.025,0.014,0.04
"P39","Muy buena",0.206,0.157,0.322,0.252
"P39","Buena",0.152,0.21,0.185,0.235
"P39","Ni buena ni mala",0.201,0.069,0.06,0.148
"P39","Mala",0.087,0.125,0.094,0.154
"P39","Muy mala",0.331,0.391,0.309,0.151
"P39","No sabe",0.023,0.048,0.03,0.06
"P40","Muy buena",0.301,0.207,0.143,0.161
"P40","Buena",0.075,0.14,0.165,0.182
"P40","Ni buena ni mala",0.179,0.226,0.251,0.234
"P40","Mala",0.145,0.107,0.112,0.105
"P40","Muy mala",0.271,0.291,0.31,0.215
"P40","No sabe",0.029,0.029,0.019,0.103
