"var","categoria","Sergio Massa","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.142,0.017
"P23","Patricia Bullrich por Juntos por el Cambio",0.012,0.367,0.157
"P23","María Eugenia Vidal por Juntos por el Cambio",0.002,0.059,0.025
"P23","Facundo Manes por Juntos por el Cambio",0.029,0.054,0.041
"P23","Alberto Fernández por el Frente de Todos",0.248,0.006,0.101
"P23","Sergio Massa por el Frente de Todos",0.476,0.005,0.014
"P23","Javier Milei por los liberales libertarios",0.033,0.12,0.35
"P23","Al candidato del Frente de Izquierda",0.065,0.002,0.05
"P23","No sabe",0.112,0.024,0.176
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.268,0.032
"P24","Mauricio Macri por Juntos por el Cambio",0.018,0.419,0.115
"P24","Alberto Fernández por el Frente de Todos",0.222,0.034,0.116
"P24","Sergio Massa por el Frente de Todos",0.51,0.011,0.02
"P24","Javier Milei por los liberales libertarios",0.047,0.192,0.408
"P24","Al candidato del Frente de Izquierda",0.077,0.019,0.05
"P24","No sabe",0.122,0.057,0.259
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.245,0.032
"P25","Patricia Bullrich por Juntos por el Cambio",0.018,0.522,0.178
"P25","Alberto Fernández por el Frente de Todos",0.24,0.003,0.103
"P25","Sergio Massa por el Frente de Todos",0.551,0.012,0.01
"P25","Javier Milei por los liberales libertarios",0.035,0.177,0.399
"P25","Al candidato del Frente de Izquierda",0.059,0.006,0.046
"P25","No sabe",0.085,0.035,0.232
"P26","Sergio Massa por el Frente de Todos",0.75,0.024,0.023
"P26","Mauricio Macri por Juntos por el Cambio",0.028,0.636,0.126
"P26","Javier Milei por los liberales libertarios",0.05,0.239,0.439
"P26","Al candidato del Frente de Izquierda",0.069,0.008,0.054
"P26","No sabe",0.103,0.093,0.358
"P27","Alberto Fernández por el Frente de Todos",0.666,0.015,0.1
"P27","Mauricio Macri por Juntos por el Cambio",0.02,0.662,0.134
"P27","Javier Milei por los liberales libertarios",0.057,0.229,0.421
"P27","Al candidato del Frente de Izquierda",0.086,0.006,0.059
"P27","No sabe",0.171,0.088,0.286
"P28","Alberto Fernández por el Frente de Todos",0.665,0.013,0.098
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.642,0.07
"P28","Javier Milei por los liberales libertarios",0.059,0.265,0.432
"P28","Al candidato del Frente de Izquierda",0.082,0.004,0.06
"P28","No sabe",0.161,0.076,0.34
"P29","Sergio Massa por el Frente de Todos",0.78,0.015,0.026
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.655,0.06
"P29","Javier Milei por los liberales libertarios",0.059,0.255,0.446
"P29","Al candidato del Frente de Izquierda",0.056,0.008,0.07
"P29","No sabe",0.093,0.067,0.398
"P30","Sergio Massa por el Frente de Todos",0.735,0.057,0.019
"P30","Patricia Bullrich por Juntos por el Cambio",0.062,0.672,0.199
"P30","Javier Milei por los liberales libertarios",0.058,0.188,0.385
"P30","Al candidato del Frente de Izquierda",0.068,0.005,0.053
"P30","No sabe",0.077,0.078,0.344
"P32","Alberto Fernández por el Frente de Todos",0.633,0.081,0.103
"P32","Patricia Bullrich por Juntos por el Cambio",0.068,0.641,0.184
"P32","Javier Milei por los liberales libertarios",0.061,0.189,0.394
"P32","Al candidato del Frente de Izquierda",0.097,0.005,0.063
"P32","No sabe",0.141,0.084,0.256
"P34","Sergio Massa por el Frente de Todos",0.944,0.027,0.026
"P34","Mauricio Macri por Juntos por el Cambio",0.031,0.891,0.254
"P34","No sabe",0.025,0.082,0.72
"P36","Alberto Fernández por el Frente de Todos",0.833,0.017,0.12
"P36","Mauricio Macri por Juntos por el Cambio",0.052,0.91,0.284
"P36","No sabe",0.115,0.073,0.596
"P37","Alberto Fernández",0.831,0.023,0.111
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.929,0.113
"P37","No sabe",0.12,0.048,0.776
"P38","Sergio Massa por el Frente de Todos",0.946,0.022,0.052
"P38","Patricia Bullrich por Juntos por el Cambio",0.032,0.9,0.38
"P38","No sabe",0.022,0.078,0.568
"P39","Alberto Fernández por el Frente de Todos",0.856,0.014,0.129
"P39","Patricia Bullrich por Juntos por el Cambio",0.04,0.917,0.421
"P39","No sabe",0.104,0.069,0.45
"P40","Mauricio Macri por Juntos por el Cambio",0.114,0.617,0.141
"P40","Javier Milei por los liberales libertarios",0.09,0.31,0.433
"P40","No sabe",0.796,0.073,0.426
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.1,0.68,0.08
"P41","Javier Milei por los liberales libertarios",0.09,0.264,0.483
"P41","No sabe",0.81,0.056,0.437
"P42","Patricia Bullrich por Juntos por el Cambio",0.037,0.709,0.204
"P42","Javier Milei por los liberales libertarios",0.106,0.224,0.412
"P42","No sabe",0.857,0.067,0.384
"P43","Muy buena",0.104,0.09,0.056
"P43","Buena",0.329,0.039,0.087
"P43","Ni buena ni mala",0.4,0.019,0.165
"P43","Mala",0.111,0.081,0.14
"P43","Muy mala",0.055,0.765,0.54
"P43","No sabe",0.001,0.006,0.012
"P44","Muy buena",0.117,0.01,0.038
"P44","Buena",0.334,0.007,0.053
"P44","Ni buena ni mala",0.342,0.028,0.154
"P44","Mala",0.145,0.091,0.137
"P44","Muy mala",0.059,0.858,0.609
"P44","No sabe",0.003,0.006,0.009
"P45","Muy buena",0.614,0.011,0.126
"P45","Buena",0.165,0.003,0.055
"P45","Ni buena ni mala",0.098,0.014,0.072
"P45","Mala",0.059,0.039,0.075
"P45","Muy mala",0.06,0.931,0.651
"P45","No sabe",0.004,0.002,0.021
"P46","Muy buena",0.079,0.274,0.073
"P46","Buena",0.03,0.306,0.102
"P46","Ni buena ni mala",0.054,0.207,0.237
"P46","Mala",0.154,0.082,0.172
"P46","Muy mala",0.674,0.129,0.386
"P46","No sabe",0.009,0.002,0.03
"P47","Muy buena",0.021,0.235,0.033
"P47","Buena",0.035,0.417,0.12
"P47","Ni buena ni mala",0.1,0.247,0.235
"P47","Mala",0.258,0.051,0.202
"P47","Muy mala",0.571,0.042,0.359
"P47","No sabe",0.015,0.008,0.051
"P48","Muy buena",0.201,0.035,0.011
"P48","Buena",0.356,0.065,0.066
"P48","Ni buena ni mala",0.269,0.087,0.166
"P48","Mala",0.085,0.175,0.198
"P48","Muy mala",0.084,0.634,0.486
"P48","No sabe",0.005,0.004,0.073
"P49","Muy buena",0.028,0.446,0.178
"P49","Buena",0.066,0.259,0.188
"P49","Ni buena ni mala",0.067,0.146,0.224
"P49","Mala",0.13,0.049,0.081
"P49","Muy mala",0.695,0.094,0.273
"P49","No sabe",0.014,0.006,0.056
"P50","Muy buena",0.029,0.197,0.286
"P50","Buena",0.028,0.21,0.162
"P50","Ni buena ni mala",0.087,0.31,0.198
"P50","Mala",0.144,0.139,0.066
"P50","Muy mala",0.696,0.121,0.226
"P50","No sabe",0.016,0.023,0.062
"P51","Muy buena",0.012,0.246,0.061
"P51","Buena",0.021,0.389,0.175
"P51","Ni buena ni mala",0.058,0.235,0.233
"P51","Mala",0.166,0.071,0.142
"P51","Muy mala",0.72,0.045,0.336
"P51","No sabe",0.023,0.014,0.053
"P52","Muy buena",0.035,0.109,0.038
"P52","Buena",0.082,0.214,0.094
"P52","Ni buena ni mala",0.377,0.367,0.357
"P52","Mala",0.175,0.139,0.137
"P52","Muy mala",0.281,0.116,0.254
"P52","No sabe",0.05,0.055,0.12
"P53","Siempre",0.344,0.316,0.241
"P53","Casi siempre",0.425,0.43,0.377
"P53","Casi nunca",0.15,0.181,0.277
"P53","Nunca, pero esta es una excepción",0.081,0.073,0.105
"P54","Si",0.59,0.588,0.575
"P54","No",0.41,0.412,0.425
