"var","categoria","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.696,0.107,0.058
"P29","Javier Milei por los liberales libertarios",0.145,0.756,0.032
"P29","Al candidato del Frente de Izquierda",0.011,0.021,0.079
"P29","No sabe",0.122,0.04,0.242
"P30","Sergio Massa por el Frente de Todos",0.06,0.1,0.55
"P30","Patricia Bullrich por Juntos por el Cambio",0.843,0.08,0.071
"P30","Javier Milei por los liberales libertarios",0.025,0.766,0.03
"P30","Al candidato del Frente de Izquierda",0.01,0.009,0.083
"P30","No sabe",0.062,0.045,0.266
"P32","Alberto Fernández por el Frente de Todos",0.079,0.104,0.527
"P32","Patricia Bullrich por Juntos por el Cambio",0.827,0.063,0.058
"P32","Javier Milei por los liberales libertarios",0.024,0.779,0.033
"P32","Al candidato del Frente de Izquierda",0.014,0.009,0.106
"P32","No sabe",0.056,0.045,0.276
"P34","Sergio Massa por el Frente de Todos",0.036,0.122,0.695
"P34","Mauricio Macri por Juntos por el Cambio",0.873,0.529,0.054
"P34","No sabe",0.091,0.349,0.251
"P35","Sergio Massa",0.031,0.145,0.69
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.84,0.431,0.077
"P35","No sabe",0.129,0.424,0.233
"P36","Alberto Fernández por el Frente de Todos",0.026,0.111,0.672
"P36","Mauricio Macri por Juntos por el Cambio",0.895,0.565,0.064
"P36","No sabe",0.079,0.324,0.264
"P37","Alberto Fernández",0.031,0.128,0.655
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.858,0.433,0.093
"P37","No sabe",0.111,0.439,0.252
"P38","Sergio Massa por el Frente de Todos",0.028,0.133,0.711
"P38","Patricia Bullrich por Juntos por el Cambio",0.931,0.559,0.06
"P38","No sabe",0.041,0.308,0.229
"P39","Alberto Fernández por el Frente de Todos",0.024,0.103,0.696
"P39","Patricia Bullrich por Juntos por el Cambio",0.957,0.595,0.064
"P39","No sabe",0.019,0.302,0.24
"P40","Mauricio Macri por Juntos por el Cambio",0.754,0.088,0.103
"P40","Javier Milei por los liberales libertarios",0.17,0.838,0.036
"P40","No sabe",0.076,0.074,0.861
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.755,0.1,0.115
"P41","Javier Milei por los liberales libertarios",0.147,0.85,0.027
"P41","No sabe",0.098,0.05,0.858
"P43","Muy buena",0.127,0.017,0.088
"P43","Buena",0.007,0.147,0.268
"P43","Ni buena ni mala",0.018,0.057,0.394
"P43","Mala",0.085,0.091,0.132
"P43","Muy mala",0.761,0.683,0.108
"P43","No sabe",0.002,0.005,0.01
"P44","Muy buena",0.014,0.014,0.108
"P44","Buena",0.007,0.056,0.27
"P44","Ni buena ni mala",0.026,0.094,0.322
"P44","Mala",0.091,0.101,0.157
"P44","Muy mala",0.857,0.727,0.138
"P44","No sabe",0.005,0.008,0.005
"P45","Muy buena",0.014,0.077,0.53
"P45","Buena",0.011,0.022,0.147
"P45","Ni buena ni mala",0.015,0.042,0.1
"P45","Mala",0.044,0.061,0.059
"P45","Muy mala",0.908,0.795,0.155
"P45","No sabe",0.008,0.003,0.009
"P46","Muy buena",0.321,0.067,0.07
"P46","Buena",0.311,0.181,0.028
"P46","Ni buena ni mala",0.187,0.24,0.101
"P46","Mala",0.052,0.212,0.147
"P46","Muy mala",0.126,0.289,0.636
"P46","No sabe",0.003,0.011,0.018
"P47","Muy buena",0.241,0.07,0.03
"P47","Buena",0.416,0.197,0.057
"P47","Ni buena ni mala",0.238,0.224,0.142
"P47","Mala",0.059,0.176,0.229
"P47","Muy mala",0.033,0.31,0.515
"P47","No sabe",0.013,0.023,0.027
"P48","Muy buena",0.045,0.048,0.138
"P48","Buena",0.079,0.077,0.281
"P48","Ni buena ni mala",0.075,0.13,0.268
"P48","Mala",0.178,0.15,0.127
"P48","Muy mala",0.616,0.571,0.153
"P48","No sabe",0.007,0.024,0.033
"P49","Muy buena",0.514,0.182,0.033
"P49","Buena",0.271,0.238,0.06
"P49","Ni buena ni mala",0.11,0.243,0.107
"P49","Mala",0.026,0.126,0.111
"P49","Muy mala",0.075,0.193,0.65
"P49","No sabe",0.004,0.018,0.039
"P50","Muy buena",0.128,0.468,0.021
"P50","Buena",0.189,0.262,0.023
"P50","Ni buena ni mala",0.369,0.138,0.104
"P50","Mala",0.156,0.033,0.145
"P50","Muy mala",0.128,0.087,0.666
"P50","No sabe",0.03,0.012,0.041
"P51","Muy buena",0.243,0.114,0.024
"P51","Buena",0.406,0.213,0.048
"P51","Ni buena ni mala",0.231,0.217,0.103
"P51","Mala",0.065,0.156,0.148
"P51","Muy mala",0.039,0.277,0.639
"P51","No sabe",0.016,0.023,0.038
"P52","Muy buena",0.101,0.072,0.035
"P52","Buena",0.213,0.133,0.082
"P52","Ni buena ni mala",0.375,0.347,0.374
"P52","Mala",0.161,0.119,0.157
"P52","Muy mala",0.11,0.239,0.267
"P52","No sabe",0.04,0.09,0.085
"P53","Siempre",0.323,0.265,0.316
"P53","Casi siempre",0.443,0.37,0.416
"P53","Casi nunca",0.17,0.26,0.179
"P53","Nunca, pero esta es una excepción",0.064,0.105,0.089
"P54","Si",0.589,0.613,0.566
"P54","No",0.411,0.387,0.434
