"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P11","A algún candidato del peronismo",0.062,0.589,0.386,0.061,0.173
"P11","A Cristina Fernández de Kirchner",0.627,0.009,0.345,0.919,0.607
"P12","A Horacio Rodriguez Larreta",0.175,0.26,0.106,0,0.131
"P12","A Mauricio Macri",0.101,0.339,0.267,0.183,0.402
"P12","A Patricia Bullrich",0.164,0.329,0.577,0.426,0.365
"P12","A Facundo Manes",0.343,0.031,0.035,0.299,0.05
"P12","A Gerardo Morales",0.217,0.041,0.015,0.092,0.052
"P13","Seguro lo votaria",0.023,0.121,0.305,0,0.123
"P13","Quizás lo votaría",0.203,0.309,0.471,0.079,0.299
"P13","Nunca lo votaría",0.774,0.57,0.224,0.921,0.578
"P14","Lo votaría",0.019,0.5,0.187,0.035,0.185
"P14","Puede que lo vote",0.043,0.305,0.376,0.044,0.099
"P14","Nunca lo votaría",0.851,0.144,0.374,0.826,0.553
"P14","No sabe",0.087,0.051,0.063,0.095,0.163
"P15","Lo votaría",0.391,0.086,0.057,0.018,0.051
"P15","Puede que lo vote",0.421,0.067,0.043,0.256,0.165
"P15","Nunca lo votaría",0.116,0.825,0.867,0.571,0.587
"P15","No sabe",0.072,0.022,0.033,0.155,0.197
"P16","Lo votaría",0.253,0.02,0.017,0.057,0.085
"P16","Puede que lo vote",0.489,0.03,0.032,0.277,0.188
"P16","Nunca lo votaría",0.147,0.939,0.943,0.577,0.62
"P16","No sabe",0.111,0.011,0.008,0.089,0.107
"P17","La votaría",0.756,0.012,0.024,0.435,0.287
"P17","Puede que la vote",0.114,0.025,0.025,0.181,0.066
"P17","Nunca la votaría",0.106,0.956,0.943,0.353,0.57
"P17","No sabe",0.024,0.007,0.008,0.031,0.077
"P18","Lo votaría",0.103,0.355,0.034,0.024,0.037
"P18","Puede que lo vote",0.069,0.477,0.297,0.105,0.139
"P18","Nunca lo votaría",0.798,0.134,0.638,0.842,0.64
"P18","No sabe",0.03,0.034,0.031,0.029,0.184
"P19","Lo votaría",0.04,0.166,0.035,0.074,0.037
"P19","Puede que lo vote",0.167,0.37,0.237,0.264,0.169
"P19","Nunca lo votaría",0.67,0.359,0.65,0.562,0.569
"P19","No sabe",0.123,0.105,0.078,0.1,0.225
"P20","La votaría",0.03,0.537,0.333,0.044,0.174
"P20","Puede que la vote",0.046,0.303,0.367,0.097,0.128
"P20","Nunca la votaría",0.89,0.122,0.269,0.821,0.527
"P20","No sabe",0.034,0.038,0.031,0.038,0.171
"P21","Lo votaría",0.016,0.119,0.695,0.11,0.035
"P21","Puede que lo vote",0.044,0.298,0.242,0.052,0.133
"P21","Nunca lo votaría",0.916,0.511,0.053,0.819,0.66
"P21","No sabe",0.024,0.072,0.01,0.019,0.172
"P22","La votaría",0.016,0.275,0.16,0.033,0.068
"P22","Puede que la vote",0.039,0.41,0.282,0.057,0.129
"P22","Nunca la votaría",0.89,0.223,0.51,0.842,0.624
"P22","No sabe",0.055,0.092,0.048,0.068,0.179
"P23","Mauricio Macri por Juntos por el Cambio",0.009,0.253,0.077,0.009,0.115
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.207,0.004,0,0.019
"P23","Patricia Bullrich por Juntos por el Cambio",0.021,0.359,0.233,0.027,0.154
"P23","María Eugenia Vidal por Juntos por el Cambio",0.002,0.075,0.021,0,0.044
"P23","Facundo Manes por Juntos por el Cambio",0.024,0.06,0.023,0.075,0.067
"P23","Alberto Fernández por el Frente de Todos",0.292,0.01,0.008,0.115,0.154
"P23","Sergio Massa por el Frente de Todos",0.525,0.006,0.015,0.044,0.061
"P23","Javier Milei por los liberales libertarios",0.003,0.015,0.604,0.081,0.01
"P23","Al candidato del Frente de Izquierda",0.025,0,0.006,0.6,0.01
"P23","No sabe",0.095,0.015,0.009,0.049,0.366
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.372,0.027,0,0.044
"P24","Mauricio Macri por Juntos por el Cambio",0.009,0.475,0.144,0.028,0.163
"P24","Alberto Fernández por el Frente de Todos",0.26,0.044,0.02,0.12,0.155
"P24","Sergio Massa por el Frente de Todos",0.565,0.009,0.027,0.021,0.073
"P24","Javier Milei por los liberales libertarios",0.013,0.026,0.75,0.165,0.044
"P24","Al candidato del Frente de Izquierda",0.036,0.019,0.015,0.622,0.025
"P24","No sabe",0.11,0.055,0.017,0.044,0.496
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.359,0.011,0,0.045
"P25","Patricia Bullrich por Juntos por el Cambio",0.022,0.543,0.242,0.055,0.215
"P25","Alberto Fernández por el Frente de Todos",0.27,0.011,0.009,0.119,0.153
"P25","Sergio Massa por el Frente de Todos",0.612,0.015,0.015,0.031,0.063
"P25","Javier Milei por los liberales libertarios",0.004,0.044,0.711,0.113,0.026
"P25","Al candidato del Frente de Izquierda",0.017,0.009,0.002,0.635,0.033
"P25","No sabe",0.07,0.019,0.01,0.047,0.465
"P26","Sergio Massa por el Frente de Todos",0.87,0.028,0.015,0.052,0.073
"P26","Mauricio Macri por Juntos por el Cambio",0.032,0.777,0.147,0.03,0.186
"P26","Javier Milei por los liberales libertarios",0.009,0.077,0.804,0.073,0.022
"P26","Al candidato del Frente de Izquierda",0.024,0.004,0.008,0.779,0.006
"P26","No sabe",0.065,0.114,0.026,0.066,0.713
"P27","Alberto Fernández por el Frente de Todos",0.767,0.022,0.011,0.135,0.173
"P27","Mauricio Macri por Juntos por el Cambio",0.018,0.817,0.165,0.02,0.207
"P27","Javier Milei por los liberales libertarios",0.005,0.065,0.803,0.069,0.009
"P27","Al candidato del Frente de Izquierda",0.05,0.006,0.007,0.699,0.009
"P27","No sabe",0.16,0.09,0.014,0.077,0.602
"P28","Alberto Fernández por el Frente de Todos",0.792,0.016,0.01,0.114,0.145
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.914,0.027,0.005,0.081
"P28","Javier Milei por los liberales libertarios",0.012,0.029,0.939,0.033,0.011
"P28","Al candidato del Frente de Izquierda",0.038,0.004,0.004,0.788,0.013
"P28","No sabe",0.13,0.037,0.02,0.06,0.75
"P30","Sergio Massa por el Frente de Todos",0.852,0.085,0.005,0.015,0.064
"P30","Patricia Bullrich por Juntos por el Cambio",0.086,0.762,0.262,0.036,0.229
"P30","Javier Milei por los liberales libertarios",0.007,0.067,0.726,0.065,0.002
"P30","Al candidato del Frente de Izquierda",0.018,0.003,0.001,0.812,0.006
"P30","No sabe",0.037,0.083,0.006,0.072,0.699
"P32","Alberto Fernández por el Frente de Todos",0.754,0.098,0.034,0.126,0.15
"P32","Patricia Bullrich por Juntos por el Cambio",0.07,0.726,0.244,0.034,0.249
"P32","Javier Milei por los liberales libertarios",0.01,0.078,0.718,0.069,0.003
"P32","Al candidato del Frente de Izquierda",0.05,0.009,0.001,0.762,0.014
"P32","No sabe",0.116,0.089,0.003,0.009,0.584
"P34","Sergio Massa por el Frente de Todos",0.943,0.034,0.061,0.452,0.193
"P34","Mauricio Macri por Juntos por el Cambio",0.03,0.867,0.609,0.071,0.251
"P34","No sabe",0.027,0.099,0.33,0.477,0.556
"P35","Sergio Massa",0.952,0.013,0.08,0.47,0.194
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.939,0.466,0.087,0.186
"P35","No sabe",0.024,0.048,0.454,0.443,0.62
"P36","Alberto Fernández por el Frente de Todos",0.868,0.014,0.044,0.57,0.256
"P36","Mauricio Macri por Juntos por el Cambio",0.036,0.896,0.669,0.039,0.248
"P36","No sabe",0.096,0.09,0.287,0.391,0.496
"P37","Alberto Fernández",0.86,0.014,0.063,0.605,0.229
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.939,0.493,0.103,0.187
"P37","No sabe",0.092,0.047,0.444,0.292,0.584
"P38","Sergio Massa por el Frente de Todos",0.955,0.023,0.066,0.525,0.219
"P38","Patricia Bullrich por Juntos por el Cambio",0.02,0.904,0.692,0.089,0.286
"P38","No sabe",0.025,0.073,0.242,0.386,0.495
"P39","Alberto Fernández por el Frente de Todos",0.892,0.023,0.033,0.579,0.26
"P39","Patricia Bullrich por Juntos por el Cambio",0.021,0.914,0.74,0.105,0.332
"P39","No sabe",0.087,0.063,0.227,0.316,0.408
"P40","Mauricio Macri por Juntos por el Cambio",0.117,0.753,0.154,0.095,0.254
"P40","Javier Milei por los liberales libertarios",0.05,0.164,0.785,0.125,0.094
"P40","No sabe",0.833,0.083,0.061,0.78,0.652
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.096,0.89,0.073,0.152,0.196
"P41","Javier Milei por los liberales libertarios",0.052,0.051,0.888,0.082,0.099
"P41","No sabe",0.852,0.059,0.039,0.766,0.705
"P42","Patricia Bullrich por Juntos por el Cambio",0.038,0.847,0.226,0.105,0.306
"P42","Javier Milei por los liberales libertarios",0.068,0.08,0.722,0.123,0.061
"P42","No sabe",0.894,0.073,0.052,0.772,0.633
"P43","Muy buena",0.115,0.099,0.031,0.097,0.099
"P43","Buena",0.355,0.021,0.089,0.1,0.119
"P43","Ni buena ni mala",0.4,0.021,0.026,0.373,0.289
"P43","Mala",0.104,0.102,0.082,0.251,0.109
"P43","Muy mala",0.024,0.755,0.766,0.175,0.365
"P43","No sabe",0.002,0.002,0.006,0.004,0.019
"P44","Muy buena",0.135,0.019,0.004,0.007,0.058
"P44","Buena",0.374,0.01,0.008,0.111,0.1
"P44","Ni buena ni mala",0.348,0.022,0.047,0.288,0.253
"P44","Mala",0.107,0.111,0.089,0.419,0.122
"P44","Muy mala",0.033,0.829,0.85,0.175,0.456
"P44","No sabe",0.003,0.009,0.002,0,0.011
"P45","Muy buena",0.646,0.017,0.021,0.397,0.24
"P45","Buena",0.171,0.004,0.011,0.172,0.076
"P45","Ni buena ni mala",0.098,0.012,0.015,0.081,0.123
"P45","Mala",0.038,0.049,0.054,0.141,0.067
"P45","Muy mala",0.042,0.91,0.897,0.209,0.472
"P45","No sabe",0.005,0.008,0.002,0,0.022
"P46","Muy buena",0.071,0.317,0.099,0.07,0.146
"P46","Buena",0.029,0.311,0.224,0.013,0.078
"P46","Ni buena ni mala",0.042,0.211,0.246,0.087,0.176
"P46","Mala",0.166,0.057,0.173,0.118,0.125
"P46","Muy mala",0.679,0.102,0.248,0.708,0.447
"P46","No sabe",0.013,0.002,0.01,0.004,0.028
"P47","Muy buena",0.012,0.308,0.052,0.02,0.051
"P47","Buena",0.024,0.484,0.206,0.027,0.122
"P47","Ni buena ni mala",0.119,0.182,0.264,0.178,0.264
"P47","Mala",0.25,0.011,0.19,0.29,0.179
"P47","Muy mala",0.579,0.007,0.274,0.485,0.314
"P47","No sabe",0.016,0.008,0.014,0,0.07
"P48","Muy buena",0.216,0.049,0.03,0.02,0.019
"P48","Buena",0.397,0.088,0.05,0.061,0.088
"P48","Ni buena ni mala",0.237,0.089,0.082,0.349,0.271
"P48","Mala",0.079,0.195,0.165,0.214,0.15
"P48","Muy mala",0.067,0.575,0.649,0.296,0.403
"P48","No sabe",0.004,0.004,0.024,0.06,0.069
"P49","Muy buena",0.025,0.439,0.325,0.033,0.18
"P49","Buena",0.055,0.287,0.232,0.067,0.125
"P49","Ni buena ni mala",0.058,0.149,0.2,0.122,0.167
"P49","Mala",0.117,0.045,0.092,0.134,0.069
"P49","Muy mala",0.729,0.078,0.142,0.644,0.367
"P49","No sabe",0.016,0.002,0.009,0,0.092
"P50","Muy buena",0.003,0.09,0.528,0.006,0.046
"P50","Buena",0.025,0.177,0.295,0.053,0.038
"P50","Ni buena ni mala",0.089,0.37,0.117,0.044,0.303
"P50","Mala",0.153,0.183,0.012,0.111,0.133
"P50","Muy mala",0.712,0.148,0.047,0.736,0.391
"P50","No sabe",0.018,0.032,0.001,0.05,0.089
"P51","Muy buena",0.007,0.284,0.126,0.01,0.05
"P51","Buena",0.013,0.416,0.243,0.075,0.185
"P51","Ni buena ni mala",0.076,0.201,0.255,0.028,0.223
"P51","Mala",0.161,0.049,0.14,0.313,0.098
"P51","Muy mala",0.721,0.03,0.229,0.559,0.363
"P51","No sabe",0.022,0.02,0.007,0.015,0.081
"P52","Muy buena",0.022,0.133,0.052,0.003,0.062
"P52","Buena",0.093,0.211,0.138,0.086,0.115
"P52","Ni buena ni mala",0.394,0.383,0.326,0.453,0.338
"P52","Mala",0.158,0.135,0.148,0.237,0.145
"P52","Muy mala",0.275,0.09,0.266,0.193,0.199
"P52","No sabe",0.058,0.048,0.07,0.028,0.141
"P53","Siempre",0.348,0.304,0.309,0.205,0.267
"P53","Casi siempre",0.411,0.455,0.345,0.546,0.423
"P53","Casi nunca",0.147,0.18,0.267,0.167,0.192
"P53","Nunca, pero esta es una excepción",0.094,0.061,0.079,0.082,0.118
"P54","Si",0.611,0.564,0.633,0.443,0.545
"P54","No",0.389,0.436,0.367,0.557,0.455
