"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P12","A Facundo Manes",0.034,0.03,0.117
"P12","A Gerardo Morales",0.04,0.028,0.095
"P13","Seguro lo votaria",0.102,0.298,0.114
"P13","Quizás lo votaría",0.292,0.515,0.27
"P13","Nunca lo votaría",0.606,0.187,0.616
"P14","Lo votaría",0.449,0.191,0.068
"P14","Puede que lo vote",0.286,0.335,0.071
"P14","Nunca lo votaría",0.203,0.416,0.749
"P14","No sabe",0.062,0.058,0.112
"P15","Lo votaría",0.111,0.082,0.236
"P15","Puede que lo vote",0.098,0.051,0.325
"P15","Nunca lo votaría",0.768,0.834,0.318
"P15","No sabe",0.023,0.033,0.121
"P16","Lo votaría",0.03,0.026,0.177
"P16","Puede que lo vote",0.069,0.056,0.38
"P16","Nunca lo votaría",0.879,0.899,0.327
"P16","No sabe",0.022,0.019,0.116
"P17","La votaría",0.056,0.048,0.617
"P17","Puede que la vote",0.029,0.03,0.097
"P17","Nunca la votaría",0.896,0.914,0.25
"P17","No sabe",0.019,0.008,0.036
"P18","Lo votaría",0.314,0.035,0.088
"P18","Puede que lo vote",0.444,0.302,0.073
"P18","Nunca lo votaría",0.2,0.631,0.766
"P18","No sabe",0.042,0.032,0.073
"P19","Lo votaría",0.144,0.045,0.043
"P19","Puede que lo vote",0.334,0.268,0.174
"P19","Nunca lo votaría",0.414,0.607,0.649
"P19","No sabe",0.108,0.08,0.134
"P20","La votaría",0.507,0.32,0.07
"P20","Puede que la vote",0.266,0.357,0.081
"P20","Nunca la votaría",0.186,0.3,0.778
"P20","No sabe",0.041,0.023,0.071
"P21","Lo votaría",0.098,0.622,0.03
"P21","Puede que lo vote",0.266,0.265,0.054
"P21","Nunca lo votaría",0.567,0.091,0.851
"P21","No sabe",0.069,0.022,0.065
"P22","La votaría",0.255,0.139,0.027
"P22","Puede que la vote",0.366,0.264,0.077
"P22","Nunca la votaría",0.29,0.544,0.803
"P22","No sabe",0.089,0.053,0.093
"P23","Mauricio Macri por Juntos por el Cambio",0.238,0.089,0.037
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.172,0.009,0.013
"P23","Patricia Bullrich por Juntos por el Cambio",0.351,0.218,0.065
"P23","María Eugenia Vidal por Juntos por el Cambio",0.057,0.019,0.01
"P23","Facundo Manes por Juntos por el Cambio",0.064,0.026,0.034
"P23","Alberto Fernández por el Frente de Todos",0.022,0.034,0.235
"P23","Sergio Massa por el Frente de Todos",0.048,0.038,0.339
"P23","Javier Milei por los liberales libertarios",0.007,0.542,0.01
"P23","Al candidato del Frente de Izquierda",0.009,0.006,0.08
"P23","No sabe",0.032,0.019,0.177
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.304,0.041,0.022
"P24","Mauricio Macri por Juntos por el Cambio",0.473,0.136,0.054
"P24","Alberto Fernández por el Frente de Todos",0.047,0.031,0.225
"P24","Sergio Massa por el Frente de Todos",0.047,0.064,0.365
"P24","Javier Milei por los liberales libertarios",0.033,0.67,0.026
"P24","Al candidato del Frente de Izquierda",0.026,0.018,0.083
"P24","No sabe",0.07,0.04,0.225
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.302,0.014,0.02
"P25","Patricia Bullrich por Juntos por el Cambio",0.548,0.225,0.077
"P25","Alberto Fernández por el Frente de Todos",0.022,0.023,0.221
"P25","Sergio Massa por el Frente de Todos",0.06,0.05,0.396
"P25","Javier Milei por los liberales libertarios",0.017,0.656,0.016
"P25","Al candidato del Frente de Izquierda",0.014,0.001,0.075
"P25","No sabe",0.037,0.031,0.195
"P26","Sergio Massa por el Frente de Todos",0.087,0.058,0.544
"P26","Mauricio Macri por Juntos por el Cambio",0.723,0.146,0.086
"P26","Javier Milei por los liberales libertarios",0.059,0.736,0.025
"P26","Al candidato del Frente de Izquierda",0.021,0.009,0.081
"P26","No sabe",0.11,0.051,0.264
"P27","Alberto Fernández por el Frente de Todos",0.059,0.054,0.527
"P27","Mauricio Macri por Juntos por el Cambio",0.753,0.158,0.081
"P27","Javier Milei por los liberales libertarios",0.053,0.733,0.023
"P27","Al candidato del Frente de Izquierda",0.021,0.007,0.097
"P27","No sabe",0.114,0.048,0.272
"P28","Alberto Fernández por el Frente de Todos",0.057,0.045,0.531
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.787,0.059,0.053
"P28","Javier Milei por los liberales libertarios",0.056,0.819,0.024
"P28","Al candidato del Frente de Izquierda",0.017,0.002,0.097
"P28","No sabe",0.083,0.075,0.295
"P29","Sergio Massa por el Frente de Todos",0.07,0.051,0.573
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.781,0.06,0.048
"P29","Javier Milei por los liberales libertarios",0.049,0.819,0.025
"P29","Al candidato del Frente de Izquierda",0.017,0.013,0.079
"P29","No sabe",0.083,0.057,0.275
"P30","Sergio Massa por el Frente de Todos",0.127,0.053,0.526
"P30","Patricia Bullrich por Juntos por el Cambio",0.712,0.255,0.124
"P30","Javier Milei por los liberales libertarios",0.04,0.654,0.03
"P30","Al candidato del Frente de Izquierda",0.02,0.001,0.08
"P30","No sabe",0.101,0.037,0.24
"P32","Alberto Fernández por el Frente de Todos",0.127,0.078,0.512
"P32","Patricia Bullrich por Juntos por el Cambio",0.694,0.224,0.116
"P32","Javier Milei por los liberales libertarios",0.05,0.664,0.025
"P32","Al candidato del Frente de Izquierda",0.024,0.001,0.104
"P32","No sabe",0.105,0.033,0.243
"P34","Sergio Massa por el Frente de Todos",0.105,0.09,0.66
"P34","Mauricio Macri por Juntos por el Cambio",0.806,0.578,0.096
"P34","No sabe",0.089,0.332,0.244
"P35","Sergio Massa",0.089,0.108,0.665
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.858,0.453,0.065
"P35","No sabe",0.053,0.439,0.27
"P36","Alberto Fernández por el Frente de Todos",0.084,0.067,0.652
"P36","Mauricio Macri por Juntos por el Cambio",0.831,0.631,0.092
"P36","No sabe",0.085,0.302,0.256
"P37","Alberto Fernández",0.072,0.085,0.651
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.885,0.471,0.062
"P37","No sabe",0.043,0.444,0.287
"P38","Sergio Massa por el Frente de Todos",0.103,0.092,0.674
"P38","Patricia Bullrich por Juntos por el Cambio",0.817,0.672,0.1
"P38","No sabe",0.08,0.236,0.226
"P39","Alberto Fernández por el Frente de Todos",0.091,0.067,0.665
"P39","Patricia Bullrich por Juntos por el Cambio",0.833,0.704,0.118
"P39","No sabe",0.076,0.229,0.217
"P40","Mauricio Macri por Juntos por el Cambio",0.747,0.131,0.118
"P40","Javier Milei por los liberales libertarios",0.144,0.813,0.023
"P40","No sabe",0.109,0.056,0.859
"P42","Patricia Bullrich por Juntos por el Cambio",0.807,0.211,0.096
"P42","Javier Milei por los liberales libertarios",0.065,0.749,0.03
"P42","No sabe",0.128,0.04,0.874
"P43","Muy buena",0.114,0.033,0.098
"P43","Buena",0.046,0.094,0.262
"P43","Ni buena ni mala",0.039,0.049,0.385
"P43","Mala",0.094,0.09,0.124
"P43","Muy mala",0.702,0.728,0.125
"P43","No sabe",0.005,0.006,0.006
"P44","Muy buena",0.019,0.01,0.107
"P44","Buena",0.04,0.023,0.263
"P44","Ni buena ni mala",0.039,0.07,0.326
"P44","Mala",0.109,0.096,0.144
"P44","Muy mala",0.786,0.798,0.153
"P44","No sabe",0.007,0.003,0.007
"P45","Muy buena",0.046,0.044,0.525
"P45","Buena",0.017,0.021,0.144
"P45","Ni buena ni mala",0.03,0.026,0.097
"P45","Mala",0.045,0.054,0.062
"P45","Muy mala",0.854,0.851,0.163
"P45","No sabe",0.008,0.004,0.009
"P46","Muy buena",0.288,0.096,0.098
"P46","Buena",0.291,0.196,0.041
"P46","Ni buena ni mala",0.201,0.241,0.081
"P46","Mala",0.059,0.18,0.152
"P46","Muy mala",0.156,0.277,0.611
"P46","No sabe",0.005,0.01,0.017
"P47","Muy buena",0.277,0.052,0.019
"P47","Buena",0.425,0.203,0.056
"P47","Ni buena ni mala",0.203,0.256,0.153
"P47","Mala",0.054,0.189,0.218
"P47","Muy mala",0.028,0.277,0.528
"P47","No sabe",0.013,0.023,0.026
"P48","Muy buena",0.057,0.038,0.135
"P48","Buena",0.108,0.071,0.263
"P48","Ni buena ni mala",0.095,0.101,0.269
"P48","Mala",0.173,0.164,0.124
"P48","Muy mala",0.559,0.603,0.179
"P48","No sabe",0.008,0.023,0.03
"P49","Muy buena",0.424,0.294,0.058
"P49","Buena",0.247,0.241,0.079
"P49","Ni buena ni mala",0.141,0.201,0.096
"P49","Mala",0.051,0.085,0.109
"P49","Muy mala",0.128,0.16,0.625
"P49","No sabe",0.009,0.019,0.033
"P50","Muy buena",0.091,0.493,0.009
"P50","Buena",0.153,0.283,0.032
"P50","Ni buena ni mala",0.347,0.147,0.133
"P50","Mala",0.176,0.018,0.146
"P50","Muy mala",0.199,0.048,0.641
"P50","No sabe",0.034,0.011,0.039
"P51","Muy buena",0.249,0.116,0.024
"P51","Buena",0.372,0.237,0.072
"P51","Ni buena ni mala",0.209,0.253,0.098
"P51","Mala",0.064,0.142,0.153
"P51","Muy mala",0.08,0.236,0.62
"P51","No sabe",0.026,0.016,0.033
"P52","Muy buena",0.109,0.068,0.032
"P52","Buena",0.206,0.147,0.083
"P52","Ni buena ni mala",0.373,0.343,0.381
"P52","Mala",0.153,0.127,0.163
"P52","Muy mala",0.1,0.24,0.268
"P52","No sabe",0.059,0.075,0.073
"P53","Siempre",0.302,0.316,0.306
"P53","Casi siempre",0.456,0.363,0.414
"P53","Casi nunca",0.17,0.246,0.181
"P53","Nunca, pero esta es una excepción",0.072,0.075,0.099
"P54","Si",0.556,0.638,0.577
"P54","No",0.444,0.362,0.423
