"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Horacio Rodriguez Larreta","Muy mala",0.285,0.282,0.289,0.404,0.313,0.248,0.18,0.205,0.314,0.316,0.287,0.203,0.19,0.333,0.513,0.097,0.126
"Horacio Rodriguez Larreta","No sabe",0.021,0.016,0.025,0,0.043,0.006,0.015,0.038,0.018,0.009,0.021,0.047,0.021,0.009,0.023,0.006,0.019
"Maria Eugenia Vidal","Muy buena",0.128,0.113,0.141,0.087,0.113,0.145,0.168,0.115,0.129,0.137,0.119,0.15,0.13,0.125,0.018,0.24,0.111
"Maria Eugenia Vidal","Buena",0.221,0.233,0.211,0.143,0.217,0.256,0.25,0.275,0.198,0.205,0.229,0.273,0.212,0.193,0.063,0.362,0.335
"Maria Eugenia Vidal","Ni buena ni mala",0.178,0.176,0.18,0.171,0.165,0.18,0.206,0.181,0.193,0.157,0.191,0.177,0.233,0.159,0.093,0.227,0.22
"Maria Eugenia Vidal","Mala",0.118,0.158,0.082,0.134,0.123,0.1,0.121,0.141,0.126,0.09,0.107,0.168,0.098,0.109,0.151,0.067,0.116
"Maria Eugenia Vidal","Muy mala",0.329,0.3,0.355,0.445,0.346,0.31,0.221,0.232,0.334,0.401,0.319,0.194,0.28,0.404,0.644,0.095,0.211
"Maria Eugenia Vidal","No sabe",0.026,0.02,0.031,0.02,0.036,0.009,0.034,0.056,0.02,0.01,0.035,0.038,0.047,0.01,0.031,0.009,0.007
"Javier Milei","Muy buena",0.165,0.225,0.11,0.269,0.19,0.115,0.092,0.185,0.183,0.126,0.18,0.206,0.128,0.139,0.047,0.213,0.157
"Javier Milei","Buena",0.14,0.156,0.127,0.156,0.128,0.151,0.139,0.137,0.153,0.128,0.146,0.15,0.124,0.134,0.055,0.189,0.19
"Javier Milei","Ni buena ni mala",0.212,0.211,0.213,0.132,0.173,0.25,0.306,0.23,0.212,0.197,0.206,0.233,0.211,0.208,0.114,0.295,0.305
"Javier Milei","Mala",0.123,0.116,0.13,0.062,0.14,0.12,0.147,0.144,0.106,0.127,0.119,0.154,0.116,0.114,0.147,0.116,0.136
"Javier Milei","Muy mala",0.33,0.273,0.381,0.381,0.323,0.35,0.27,0.247,0.319,0.411,0.32,0.204,0.398,0.384,0.605,0.165,0.199
"Javier Milei","No sabe",0.03,0.019,0.039,0,0.046,0.014,0.046,0.057,0.027,0.011,0.029,0.053,0.023,0.021,0.032,0.022,0.013
"Mauricio Macri","Muy buena",0.165,0.133,0.194,0.076,0.14,0.195,0.248,0.205,0.138,0.164,0.198,0.171,0.109,0.14,0.07,0.302,0.023
"Mauricio Macri","Buena",0.17,0.176,0.164,0.106,0.149,0.206,0.218,0.177,0.154,0.183,0.176,0.166,0.177,0.165,0.061,0.3,0.082
"Mauricio Macri","Ni buena ni mala",0.165,0.198,0.135,0.26,0.16,0.136,0.133,0.157,0.189,0.144,0.135,0.224,0.271,0.151,0.068,0.177,0.398
"Mauricio Macri","Mala",0.126,0.153,0.102,0.155,0.126,0.115,0.118,0.152,0.125,0.106,0.142,0.135,0.133,0.108,0.162,0.056,0.144
"Mauricio Macri","Muy mala",0.363,0.33,0.394,0.378,0.42,0.342,0.268,0.297,0.379,0.398,0.334,0.3,0.281,0.428,0.626,0.163,0.346
"Mauricio Macri","No sabe",0.011,0.01,0.011,0.025,0.005,0.006,0.015,0.012,0.015,0.005,0.015,0.004,0.029,0.008,0.013,0.002,0.007
"Sergio Massa","Muy buena",0.082,0.079,0.085,0.094,0.077,0.064,0.107,0.091,0.082,0.075,0.062,0.105,0.112,0.085,0.153,0.049,0.085
"Sergio Massa","Buena",0.158,0.145,0.17,0.103,0.152,0.182,0.187,0.179,0.155,0.144,0.149,0.137,0.182,0.172,0.288,0.075,0.207
"Sergio Massa","Ni buena ni mala",0.163,0.158,0.169,0.14,0.188,0.149,0.155,0.145,0.177,0.162,0.163,0.17,0.118,0.167,0.245,0.096,0.148
"Sergio Massa","Mala",0.152,0.185,0.121,0.169,0.133,0.143,0.185,0.141,0.161,0.149,0.17,0.191,0.138,0.121,0.1,0.166,0.201
"Sergio Massa","Muy mala",0.424,0.421,0.427,0.474,0.417,0.453,0.354,0.396,0.41,0.465,0.431,0.377,0.427,0.438,0.183,0.605,0.346
"Sergio Massa","No sabe",0.021,0.012,0.028,0.02,0.033,0.009,0.012,0.048,0.015,0.005,0.025,0.02,0.023,0.017,0.031,0.009,0.013
"CFK","Muy buena",0.23,0.213,0.246,0.181,0.229,0.24,0.263,0.234,0.222,0.236,0.191,0.214,0.221,0.272,0.553,0.046,0.037
"CFK","Buena",0.067,0.062,0.071,0.068,0.073,0.064,0.057,0.065,0.065,0.07,0.073,0.054,0.051,0.07,0.151,0.008,0.035
"CFK","Ni buena ni mala",0.055,0.056,0.054,0.05,0.064,0.052,0.044,0.074,0.055,0.039,0.072,0.048,0.039,0.045,0.083,0.014,0.098
"CFK","Mala",0.054,0.057,0.051,0.047,0.061,0.043,0.059,0.043,0.064,0.051,0.065,0.054,0.075,0.041,0.047,0.041,0.063
"CFK","Muy mala",0.587,0.608,0.568,0.654,0.569,0.593,0.557,0.571,0.588,0.6,0.598,0.624,0.599,0.56,0.16,0.886,0.758
"CFK","No sabe",0.007,0.004,0.01,0,0.004,0.008,0.02,0.013,0.006,0.004,0.001,0.006,0.015,0.012,0.006,0.005,0.009
"Alberto Fernandez","Muy buena",0.051,0.047,0.054,0.054,0.05,0.045,0.057,0.079,0.042,0.038,0.052,0.044,0.065,0.051,0.103,0.023,0.005
"Alberto Fernandez","Buena",0.121,0.099,0.142,0.047,0.108,0.147,0.179,0.138,0.109,0.122,0.111,0.102,0.108,0.14,0.292,0.018,0.056
"Alberto Fernandez","Ni buena ni mala",0.157,0.158,0.157,0.155,0.193,0.129,0.127,0.154,0.166,0.149,0.143,0.189,0.101,0.164,0.313,0.031,0.113
"Alberto Fernandez","Mala",0.119,0.123,0.115,0.133,0.117,0.11,0.122,0.095,0.126,0.13,0.122,0.105,0.132,0.121,0.142,0.097,0.139
"Alberto Fernandez","Muy mala",0.546,0.566,0.527,0.6,0.53,0.562,0.507,0.52,0.553,0.559,0.57,0.56,0.543,0.519,0.148,0.826,0.68
"Alberto Fernandez","No sabe",0.006,0.007,0.005,0.011,0.002,0.007,0.008,0.014,0.004,0.002,0.002,0,0.051,0.005,0.002,0.005,0.007
