"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P47","Buena",0.463,0.398,0.064,0.033,0.192,0.054,0.089
"P47","Ni buena ni mala",0.091,0.285,0.141,0.118,0.238,0.067,0.253
"P47","Mala",0.008,0.07,0.239,0.262,0.198,0.293,0.132
"P47","Muy mala",0.01,0.048,0.508,0.549,0.315,0.548,0.427
"P47","No sabe",0.016,0.008,0.034,0.014,0.019,0.015,0.07
"P48","Muy buena",0.069,0.03,0.097,0.284,0.005,0.031,0.009
"P48","Buena",0.112,0.06,0.257,0.432,0.049,0.084,0.103
"P48","Ni buena ni mala",0.123,0.066,0.35,0.176,0.101,0.337,0.339
"P48","Mala",0.215,0.161,0.107,0.061,0.192,0.26,0.153
"P48","Muy mala",0.474,0.677,0.141,0.046,0.623,0.27,0.32
"P48","No sabe",0.007,0.006,0.048,0.001,0.03,0.018,0.076
"P49","Muy buena",0.221,0.618,0.023,0.034,0.2,0.006,0.035
"P49","Buena",0.296,0.24,0.073,0.059,0.263,0.021,0.109
"P49","Ni buena ni mala",0.305,0.042,0.094,0.059,0.278,0.03,0.195
"P49","Mala",0.07,0.018,0.139,0.119,0.094,0.147,0.112
"P49","Muy mala",0.087,0.08,0.625,0.708,0.153,0.796,0.475
"P49","No sabe",0.021,0.002,0.046,0.021,0.012,0,0.074
"P50","Muy buena",0.065,0.167,0.023,0.02,0.558,0,0.004
"P50","Buena",0.15,0.218,0.012,0.021,0.269,0.013,0.064
"P50","Ni buena ni mala",0.338,0.366,0.146,0.088,0.095,0.017,0.212
"P50","Mala",0.191,0.137,0.171,0.138,0.009,0.085,0.158
"P50","Muy mala",0.188,0.098,0.58,0.718,0.069,0.873,0.478
"P50","No sabe",0.068,0.014,0.068,0.015,0,0.012,0.084
"P51","Muy buena",0.286,0.237,0.007,0.018,0.109,0.01,0.027
"P51","Buena",0.387,0.394,0.046,0.012,0.216,0.088,0.151
"P51","Ni buena ni mala",0.199,0.236,0.057,0.076,0.257,0.047,0.198
"P51","Mala",0.067,0.071,0.182,0.15,0.165,0.219,0.068
"P51","Muy mala",0.02,0.048,0.667,0.721,0.244,0.636,0.481
"P51","No sabe",0.041,0.014,0.041,0.023,0.009,0,0.075
"P52","Muy buena",0.189,0.072,0.035,0.033,0.048,0.032,0.066
"P52","Buena",0.237,0.193,0.07,0.095,0.131,0.07,0.098
"P52","Ni buena ni mala",0.327,0.377,0.38,0.406,0.331,0.352,0.383
"P52","Mala",0.081,0.184,0.189,0.15,0.134,0.255,0.09
"P52","Muy mala",0.053,0.142,0.239,0.278,0.278,0.281,0.197
"P52","No sabe",0.113,0.032,0.087,0.038,0.078,0.01,0.166
"P53","Siempre",0.322,0.329,0.381,0.326,0.268,0.231,0.218
"P53","Casi siempre",0.419,0.434,0.357,0.445,0.359,0.498,0.441
"P53","Casi nunca",0.18,0.17,0.173,0.14,0.283,0.156,0.251
"P53","Nunca, pero esta es una excepción",0.079,0.067,0.089,0.089,0.09,0.115,0.09
"P54","Si",0.585,0.557,0.63,0.586,0.666,0.445,0.517
"P54","No",0.415,0.443,0.37,0.414,0.334,0.555,0.483
