"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P24","Sergio Massa por el Frente de Todos",0.502,0.013,0.024
"P24","Javier Milei por los liberales libertarios",0.028,0.262,0.328
"P24","Al candidato del Frente de Izquierda",0.088,0.014,0.053
"P24","No sabe",0.127,0.058,0.302
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.191,0.1
"P25","Patricia Bullrich por Juntos por el Cambio",0.013,0.526,0.065
"P25","Alberto Fernández por el Frente de Todos",0.238,0.011,0.106
"P25","Sergio Massa por el Frente de Todos",0.545,0.008,0.02
"P25","Javier Milei por los liberales libertarios",0.026,0.237,0.333
"P25","Al candidato del Frente de Izquierda",0.065,0.004,0.059
"P25","No sabe",0.094,0.023,0.317
"P26","Sergio Massa por el Frente de Todos",0.74,0.014,0.043
"P26","Mauricio Macri por Juntos por el Cambio",0.032,0.592,0.089
"P26","Javier Milei por los liberales libertarios",0.033,0.3,0.369
"P26","Al candidato del Frente de Izquierda",0.08,0.007,0.058
"P26","No sabe",0.115,0.087,0.441
"P27","Alberto Fernández por el Frente de Todos",0.672,0.017,0.095
"P27","Mauricio Macri por Juntos por el Cambio",0.027,0.614,0.101
"P27","Javier Milei por los liberales libertarios",0.037,0.297,0.341
"P27","Al candidato del Frente de Izquierda",0.097,0.007,0.06
"P27","No sabe",0.167,0.065,0.403
"P28","Alberto Fernández por el Frente de Todos",0.67,0.013,0.083
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.545,0.152
"P28","Javier Milei por los liberales libertarios",0.046,0.338,0.322
"P28","Al candidato del Frente de Izquierda",0.088,0.005,0.066
"P28","No sabe",0.154,0.099,0.377
"P29","Sergio Massa por el Frente de Todos",0.766,0.01,0.037
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.562,0.127
"P29","Javier Milei por los liberales libertarios",0.048,0.333,0.327
"P29","Al candidato del Frente de Izquierda",0.062,0.007,0.084
"P29","No sabe",0.102,0.088,0.425
"P30","Sergio Massa por el Frente de Todos",0.732,0.041,0.027
"P30","Patricia Bullrich por Juntos por el Cambio",0.063,0.665,0.068
"P30","Javier Milei por los liberales libertarios",0.041,0.241,0.353
"P30","Al candidato del Frente de Izquierda",0.077,0.003,0.06
"P30","No sabe",0.087,0.05,0.492
"P32","Alberto Fernández por el Frente de Todos",0.639,0.071,0.113
"P32","Patricia Bullrich por Juntos por el Cambio",0.061,0.635,0.069
"P32","Javier Milei por los liberales libertarios",0.042,0.25,0.348
"P32","Al candidato del Frente de Izquierda",0.1,0.002,0.078
"P32","No sabe",0.158,0.042,0.392
"P34","Sergio Massa por el Frente de Todos",0.935,0.017,0.03
"P34","Mauricio Macri por Juntos por el Cambio",0.022,0.85,0.202
"P34","No sabe",0.043,0.133,0.768
"P35","Sergio Massa",0.932,0.021,0.039
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.796,0.195
"P35","No sabe",0.038,0.183,0.766
"P36","Alberto Fernández por el Frente de Todos",0.837,0.016,0.131
"P36","Mauricio Macri por Juntos por el Cambio",0.051,0.875,0.184
"P36","No sabe",0.112,0.109,0.685
"P37","Alberto Fernández",0.836,0.017,0.125
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.814,0.164
"P37","No sabe",0.105,0.169,0.711
"P39","Alberto Fernández por el Frente de Todos",0.88,0.008,0.114
"P39","Patricia Bullrich por Juntos por el Cambio",0.026,0.981,0.125
"P39","No sabe",0.094,0.011,0.761
"P40","Mauricio Macri por Juntos por el Cambio",0.123,0.565,0.123
"P40","Javier Milei por los liberales libertarios",0.076,0.372,0.328
"P40","No sabe",0.801,0.063,0.549
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.115,0.576,0.16
"P41","Javier Milei por los liberales libertarios",0.075,0.348,0.349
"P41","No sabe",0.81,0.076,0.491
"P42","Patricia Bullrich por Juntos por el Cambio",0.033,0.697,0.086
"P42","Javier Milei por los liberales libertarios",0.096,0.256,0.405
"P42","No sabe",0.871,0.047,0.509
"P43","Muy buena",0.104,0.084,0.061
"P43","Buena",0.326,0.038,0.103
"P43","Ni buena ni mala",0.41,0.016,0.199
"P43","Mala",0.115,0.076,0.169
"P43","Muy mala",0.044,0.783,0.447
"P43","No sabe",0.001,0.003,0.021
"P44","Muy buena",0.114,0.012,0.045
"P44","Buena",0.336,0.007,0.057
"P44","Ni buena ni mala",0.349,0.021,0.201
"P44","Mala",0.142,0.082,0.183
"P44","Muy mala",0.056,0.87,0.509
"P44","No sabe",0.003,0.008,0.005
"P45","Muy buena",0.62,0.011,0.146
"P45","Buena",0.161,0.005,0.071
"P45","Ni buena ni mala",0.099,0.009,0.104
"P45","Mala",0.056,0.04,0.09
"P45","Muy mala",0.062,0.93,0.564
"P45","No sabe",0.002,0.005,0.025
"P46","Muy buena",0.075,0.255,0.067
"P46","Buena",0.029,0.297,0.059
"P46","Ni buena ni mala",0.064,0.224,0.184
"P46","Mala",0.152,0.088,0.191
"P46","Muy mala",0.671,0.133,0.462
"P46","No sabe",0.009,0.003,0.037
"P47","Muy buena",0.022,0.195,0.077
"P47","Buena",0.045,0.37,0.138
"P47","Ni buena ni mala",0.104,0.248,0.225
"P47","Mala",0.246,0.101,0.128
"P47","Muy mala",0.561,0.075,0.384
"P47","No sabe",0.022,0.011,0.048
"P48","Muy buena",0.201,0.033,0.004
"P48","Buena",0.358,0.059,0.075
"P48","Ni buena ni mala",0.266,0.079,0.219
"P48","Mala",0.082,0.179,0.203
"P48","Muy mala",0.081,0.644,0.42
"P48","No sabe",0.012,0.006,0.079
"P49","Muy buena",0.025,0.461,0.049
"P49","Buena",0.052,0.294,0.091
"P49","Ni buena ni mala",0.071,0.135,0.276
"P49","Mala",0.131,0.027,0.153
"P49","Muy mala",0.702,0.081,0.353
"P49","No sabe",0.019,0.002,0.078
"P50","Muy buena",0.019,0.249,0.188
"P50","Buena",0.026,0.22,0.121
"P50","Ni buena ni mala",0.085,0.298,0.198
"P50","Mala",0.143,0.116,0.109
"P50","Muy mala",0.706,0.096,0.311
"P50","No sabe",0.021,0.021,0.073
"P51","Muy buena",0.005,0.222,0.082
"P51","Buena",0.038,0.358,0.161
"P51","Ni buena ni mala",0.063,0.251,0.177
"P51","Mala",0.156,0.091,0.128
"P51","Muy mala",0.712,0.067,0.381
"P51","No sabe",0.026,0.011,0.071
"P52","Muy buena",0.029,0.096,0.062
"P52","Buena",0.089,0.188,0.113
"P52","Ni buena ni mala",0.389,0.369,0.328
"P52","Mala",0.171,0.154,0.101
"P52","Muy mala",0.269,0.144,0.242
"P52","No sabe",0.053,0.049,0.154
"P53","Siempre",0.337,0.319,0.218
"P53","Casi siempre",0.418,0.422,0.391
"P53","Casi nunca",0.163,0.185,0.279
"P53","Nunca, pero esta es una excepción",0.082,0.074,0.112
"P54","Si",0.589,0.588,0.574
"P54","No",0.411,0.412,0.426
