"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P32","Patricia Bullrich por Juntos por el Cambio",0.66,0.385,0.13,0.102
"P32","Javier Milei por los liberales libertarios",0.133,0.353,0.198,0.205
"P32","Al candidato del Frente de Izquierda",0.011,0.023,0.082,0.172
"P32","No sabe",0.053,0.163,0.182,0.318
"P34","Sergio Massa por el Frente de Todos",0.103,0.089,0.537,0.281
"P34","Mauricio Macri por Juntos por el Cambio",0.846,0.587,0.186,0.148
"P34","No sabe",0.051,0.324,0.277,0.571
"P35","Sergio Massa",0.103,0.103,0.537,0.268
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.773,0.557,0.193,0.065
"P35","No sabe",0.124,0.34,0.27,0.667
"P36","Alberto Fernández por el Frente de Todos",0.085,0.101,0.515,0.325
"P36","Mauricio Macri por Juntos por el Cambio",0.879,0.644,0.187,0.076
"P36","No sabe",0.036,0.255,0.298,0.599
"P37","Alberto Fernández",0.093,0.099,0.51,0.314
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.77,0.601,0.209,0.072
"P37","No sabe",0.137,0.3,0.281,0.614
"P38","Sergio Massa por el Frente de Todos",0.1,0.124,0.539,0.268
"P38","Patricia Bullrich por Juntos por el Cambio",0.834,0.682,0.228,0.127
"P38","No sabe",0.066,0.194,0.233,0.605
"P39","Alberto Fernández por el Frente de Todos",0.09,0.114,0.521,0.314
"P39","Patricia Bullrich por Juntos por el Cambio",0.87,0.701,0.238,0.096
"P39","No sabe",0.04,0.185,0.241,0.59
"P40","Mauricio Macri por Juntos por el Cambio",0.701,0.32,0.113,0.143
"P40","Javier Milei por los liberales libertarios",0.209,0.432,0.258,0.28
"P40","No sabe",0.09,0.248,0.629,0.577
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.612,0.429,0.155,0.15
"P41","Javier Milei por los liberales libertarios",0.228,0.381,0.244,0.248
"P41","No sabe",0.16,0.19,0.601,0.602
"P42","Patricia Bullrich por Juntos por el Cambio",0.715,0.428,0.138,0.098
"P42","Javier Milei por los liberales libertarios",0.17,0.333,0.235,0.235
"P42","No sabe",0.115,0.239,0.627,0.667
"P43","Positiva",0.173,0.121,0.301,0.315
"P43","Neutra",0.063,0.082,0.281,0.074
"P43","Negativa",0.764,0.781,0.417,0.455
"P43","No sabe",0,0.016,0.001,0.156
"P44","Positiva",0.064,0.075,0.278,0.112
"P44","Neutra",0.057,0.082,0.247,0.354
"P44","Negativa",0.873,0.838,0.473,0.416
"P44","No sabe",0.006,0.005,0.002,0.118
"P45","Positiva",0.113,0.082,0.5,0.059
"P45","Neutra",0.009,0.074,0.07,0.474
"P45","Negativa",0.873,0.843,0.426,0.147
"P45","No sabe",0.005,0.001,0.004,0.32
"P47","Positiva",0.654,0.389,0.122,0.11
"P47","Neutra",0.19,0.383,0.139,0.199
"P47","Negativa",0.151,0.196,0.718,0.383
"P47","No sabe",0.005,0.032,0.021,0.308
"P48","Positiva",0.122,0.115,0.366,0.134
"P48","Neutra",0.08,0.142,0.231,0.015
"P48","Negativa",0.794,0.722,0.38,0.401
"P48","No sabe",0.004,0.021,0.023,0.45
"P49","Positiva",0.766,0.547,0.164,0.243
"P49","Neutra",0.073,0.263,0.139,0.323
"P49","Negativa",0.159,0.145,0.675,0.251
"P49","No sabe",0.002,0.045,0.022,0.183
"P50","Positiva",0.387,0.407,0.214,0.327
"P50","Neutra",0.299,0.317,0.118,0.22
"P50","Negativa",0.29,0.231,0.642,0.289
"P50","No sabe",0.024,0.045,0.026,0.164
"P51","Positiva",0.632,0.455,0.125,0.141
"P51","Neutra",0.201,0.31,0.116,0.29
"P51","Negativa",0.158,0.21,0.726,0.337
"P51","No sabe",0.009,0.025,0.033,0.232
"P52","Positiva",0.267,0.243,0.164,0.201
"P52","Neutra",0.382,0.388,0.357,0.178
"P52","Negativa",0.32,0.236,0.412,0.283
"P52","No sabe",0.031,0.133,0.067,0.338
"P53","Siempre",0.35,0.238,0.306,0.134
"P53","Casi siempre",0.43,0.371,0.418,0.542
"P53","Casi nunca",0.167,0.256,0.19,0.255
"P53","Nunca, pero esta es una excepción",0.053,0.135,0.086,0.069
"P54","Si",0.594,0.585,0.582,0.53
"P54","No",0.406,0.415,0.418,0.47
