"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P24","Al candidato del Frente de Izquierda",0.034,0.022,0.008,0.573,0.009
"P24","No sabe",0.103,0.078,0.019,0.084,0.466
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.19,0.074,0.044,0.178
"P25","Patricia Bullrich por Juntos por el Cambio",0.085,0.675,0.053,0.028,0.045
"P25","Alberto Fernández por el Frente de Todos",0.319,0.018,0.012,0.052,0.06
"P25","Sergio Massa por el Frente de Todos",0.454,0.037,0.027,0.225,0.205
"P25","Javier Milei por los liberales libertarios",0.025,0.047,0.82,0.007,0.024
"P25","Al candidato del Frente de Izquierda",0.014,0.001,0.003,0.597,0.022
"P25","No sabe",0.069,0.032,0.011,0.047,0.466
"P26","Sergio Massa por el Frente de Todos",0.705,0.065,0.024,0.199,0.195
"P26","Mauricio Macri por Juntos por el Cambio",0.12,0.719,0.082,0.028,0.126
"P26","Javier Milei por los liberales libertarios",0.033,0.117,0.852,0.006,0.026
"P26","Al candidato del Frente de Izquierda",0.018,0.003,0.009,0.68,0.006
"P26","No sabe",0.124,0.096,0.033,0.087,0.647
"P27","Alberto Fernández por el Frente de Todos",0.782,0.057,0.001,0.074,0.08
"P27","Mauricio Macri por Juntos por el Cambio",0.117,0.752,0.098,0.03,0.133
"P27","Javier Milei por los liberales libertarios",0.014,0.106,0.868,0.002,0.02
"P27","Al candidato del Frente de Izquierda",0.011,0.008,0.008,0.755,0.016
"P27","No sabe",0.076,0.077,0.025,0.139,0.751
"P28","Alberto Fernández por el Frente de Todos",0.778,0.054,0.003,0.079,0.083
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.12,0.63,0.11,0.084,0.202
"P28","Javier Milei por los liberales libertarios",0.027,0.177,0.852,0,0.011
"P28","Al candidato del Frente de Izquierda",0.011,0.007,0,0.782,0.019
"P28","No sabe",0.064,0.132,0.035,0.055,0.685
"P29","Sergio Massa por el Frente de Todos",0.74,0.053,0.012,0.262,0.191
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.113,0.645,0.116,0.052,0.172
"P29","Javier Milei por los liberales libertarios",0.031,0.174,0.856,0.002,0.005
"P29","Al candidato del Frente de Izquierda",0.019,0.004,0.014,0.635,0.002
"P29","No sabe",0.097,0.124,0.002,0.049,0.63
"P30","Sergio Massa por el Frente de Todos",0.694,0.09,0.031,0.213,0.193
"P30","Patricia Bullrich por Juntos por el Cambio",0.18,0.863,0.033,0.024,0.064
"P30","Javier Milei por los liberales libertarios",0.008,0.022,0.926,0.002,0.012
"P30","Al candidato del Frente de Izquierda",0.015,0.001,0,0.711,0.002
"P30","No sabe",0.103,0.024,0.01,0.05,0.729
"P34","Sergio Massa por el Frente de Todos",0.773,0.069,0.077,0.631,0.331
"P34","Mauricio Macri por Juntos por el Cambio",0.128,0.854,0.514,0.04,0.18
"P34","No sabe",0.099,0.077,0.409,0.329,0.489
"P35","Sergio Massa",0.774,0.064,0.099,0.644,0.318
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.132,0.807,0.416,0.044,0.252
"P35","No sabe",0.094,0.129,0.485,0.312,0.43
"P36","Alberto Fernández por el Frente de Todos",0.837,0.048,0.048,0.566,0.22
"P36","Mauricio Macri por Juntos por el Cambio",0.133,0.851,0.601,0.076,0.205
"P36","No sabe",0.03,0.101,0.351,0.358,0.575
"P37","Alberto Fernández",0.816,0.053,0.057,0.616,0.2
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.141,0.819,0.458,0.081,0.252
"P37","No sabe",0.043,0.128,0.485,0.303,0.548
"P38","Sergio Massa por el Frente de Todos",0.791,0.057,0.069,0.687,0.365
"P38","Patricia Bullrich por Juntos por el Cambio",0.133,0.908,0.623,0.021,0.146
"P38","No sabe",0.076,0.035,0.308,0.292,0.489
"P39","Alberto Fernández por el Frente de Todos",0.824,0.052,0.037,0.639,0.26
"P39","Patricia Bullrich por Juntos por el Cambio",0.142,0.939,0.658,0.024,0.163
"P39","No sabe",0.034,0.009,0.305,0.337,0.577
"P40","Mauricio Macri por Juntos por el Cambio",0.18,0.739,0.06,0.083,0.164
"P40","Javier Milei por los liberales libertarios",0.096,0.17,0.859,0.058,0.077
"P40","No sabe",0.724,0.091,0.081,0.859,0.759
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.172,0.705,0.088,0.174,0.268
"P41","Javier Milei por los liberales libertarios",0.078,0.167,0.864,0.008,0.062
"P41","No sabe",0.75,0.128,0.048,0.818,0.67
"P42","Patricia Bullrich por Juntos por el Cambio",0.114,0.894,0.045,0.106,0.151
"P42","Javier Milei por los liberales libertarios",0.093,0.041,0.891,0.044,0.074
"P42","No sabe",0.793,0.065,0.064,0.85,0.775
"P43","Muy buena",0.162,0.094,0.004,0.083,0.046
"P43","Buena",0.352,0.011,0.112,0.116,0.126
"P43","Ni buena ni mala",0.335,0.038,0.041,0.383,0.336
"P43","Mala",0.053,0.082,0.105,0.316,0.183
"P43","Muy mala",0.097,0.772,0.731,0.102,0.288
"P43","No sabe",0.001,0.003,0.007,0,0.021
"P44","Muy buena",0.146,0.012,0.005,0.04,0.039
"P44","Buena",0.358,0.016,0.01,0.103,0.106
"P44","Ni buena ni mala",0.285,0.032,0.072,0.292,0.311
"P44","Mala",0.068,0.098,0.104,0.431,0.18
"P44","Muy mala",0.136,0.835,0.807,0.132,0.356
"P44","No sabe",0.007,0.007,0.002,0.002,0.008
"P45","Muy buena",0.591,0.028,0.02,0.427,0.288
"P45","Buena",0.169,0.011,0.011,0.149,0.067
"P45","Ni buena ni mala",0.068,0.018,0.014,0.137,0.15
"P45","Mala",0.028,0.045,0.066,0.125,0.085
"P45","Muy mala",0.136,0.895,0.887,0.162,0.384
"P45","No sabe",0.008,0.003,0.002,0,0.026
"P46","Muy buena",0.107,0.315,0.06,0.063,0.082
"P46","Buena",0.075,0.317,0.161,0.011,0.046
"P46","Ni buena ni mala",0.048,0.182,0.289,0.076,0.197
"P46","Mala",0.156,0.05,0.218,0.106,0.138
"P46","Muy mala",0.606,0.133,0.261,0.707,0.512
"P46","No sabe",0.008,0.003,0.011,0.037,0.025
"P47","Muy buena",0.063,0.222,0.064,0.025,0.077
"P47","Buena",0.05,0.384,0.238,0.06,0.196
"P47","Ni buena ni mala",0.133,0.254,0.209,0.07,0.203
"P47","Mala",0.238,0.071,0.179,0.3,0.106
"P47","Muy mala",0.487,0.06,0.293,0.529,0.375
"P47","No sabe",0.029,0.009,0.017,0.016,0.043
"P48","Muy buena",0.175,0.047,0.034,0.042,0.079
"P48","Buena",0.326,0.076,0.052,0.141,0.207
"P48","Ni buena ni mala",0.251,0.077,0.103,0.293,0.259
"P48","Mala",0.083,0.164,0.19,0.284,0.149
"P48","Muy mala",0.134,0.631,0.594,0.228,0.271
"P48","No sabe",0.031,0.005,0.027,0.012,0.035
"P49","Muy buena",0.083,0.545,0.161,0.005,0.027
"P49","Buena",0.081,0.27,0.262,0.025,0.08
"P49","Ni buena ni mala",0.069,0.074,0.292,0.075,0.241
"P49","Mala",0.108,0.015,0.117,0.171,0.122
"P49","Muy mala",0.626,0.093,0.159,0.716,0.466
"P49","No sabe",0.033,0.003,0.009,0.008,0.064
"P50","Muy buena",0.051,0.134,0.514,0.002,0.003
"P50","Buena",0.063,0.179,0.275,0.008,0.041
"P50","Ni buena ni mala",0.1,0.357,0.128,0.024,0.248
"P50","Mala",0.151,0.148,0.014,0.147,0.157
"P50","Muy mala",0.588,0.153,0.066,0.819,0.5
"P50","No sabe",0.047,0.029,0.003,0,0.051
"P51","Muy buena",0.052,0.244,0.112,0,0.045
"P51","Buena",0.063,0.39,0.225,0.083,0.133
"P51","Ni buena ni mala",0.087,0.208,0.252,0.057,0.211
"P51","Mala",0.147,0.07,0.149,0.19,0.115
"P51","Muy mala",0.618,0.072,0.254,0.664,0.423
"P51","No sabe",0.033,0.016,0.008,0.006,0.073
"P52","Muy buena",0.039,0.085,0.071,0.026,0.094
"P52","Buena",0.119,0.182,0.124,0.095,0.137
"P52","Ni buena ni mala",0.396,0.366,0.344,0.377,0.353
"P52","Mala",0.144,0.172,0.129,0.24,0.101
"P52","Muy mala",0.23,0.148,0.253,0.253,0.19
"P52","No sabe",0.072,0.047,0.079,0.009,0.125
"P53","Siempre",0.359,0.326,0.253,0.294,0.242
"P53","Casi siempre",0.391,0.442,0.36,0.495,0.45
"P53","Casi nunca",0.17,0.163,0.297,0.123,0.195
"P53","Nunca, pero esta es una excepción",0.08,0.069,0.09,0.088,0.113
"P54","Si",0.608,0.573,0.613,0.567,0.542
"P54","No",0.392,0.427,0.387,0.433,0.458
