"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P23","No sabe",0.112,0.024,0.195
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.21,0.1
"P24","Mauricio Macri por Juntos por el Cambio",0.011,0.451,0.024
"P24","Alberto Fernández por el Frente de Todos",0.228,0.038,0.11
"P24","Sergio Massa por el Frente de Todos",0.504,0.01,0.027
"P24","Javier Milei por los liberales libertarios",0.033,0.227,0.38
"P24","Al candidato del Frente de Izquierda",0.074,0.018,0.061
"P24","No sabe",0.129,0.046,0.298
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.196,0.102
"P25","Patricia Bullrich por Juntos por el Cambio",0.017,0.54,0.1
"P25","Alberto Fernández por el Frente de Todos",0.244,0.004,0.111
"P25","Sergio Massa por el Frente de Todos",0.552,0.006,0.019
"P25","Javier Milei por los liberales libertarios",0.027,0.217,0.353
"P25","Al candidato del Frente de Izquierda",0.057,0.004,0.057
"P25","No sabe",0.086,0.033,0.258
"P26","Sergio Massa por el Frente de Todos",0.758,0.013,0.029
"P26","Mauricio Macri por Juntos por el Cambio",0.028,0.651,0.034
"P26","Javier Milei por los liberales libertarios",0.042,0.261,0.428
"P26","Al candidato del Frente de Izquierda",0.068,0.008,0.062
"P26","No sabe",0.104,0.067,0.447
"P27","Alberto Fernández por el Frente de Todos",0.666,0.014,0.107
"P27","Mauricio Macri por Juntos por el Cambio",0.024,0.677,0.037
"P27","Javier Milei por los liberales libertarios",0.045,0.257,0.405
"P27","Al candidato del Frente de Izquierda",0.086,0.003,0.07
"P27","No sabe",0.179,0.049,0.381
"P28","Alberto Fernández por el Frente de Todos",0.663,0.017,0.108
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.567,0.138
"P28","Javier Milei por los liberales libertarios",0.05,0.319,0.355
"P28","Al candidato del Frente de Izquierda",0.079,0.006,0.062
"P28","No sabe",0.161,0.091,0.337
"P29","Sergio Massa por el Frente de Todos",0.777,0.017,0.032
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.573,0.136
"P29","Javier Milei por los liberales libertarios",0.045,0.318,0.357
"P29","Al candidato del Frente de Izquierda",0.053,0.006,0.082
"P29","No sabe",0.093,0.086,0.393
"P30","Sergio Massa por el Frente de Todos",0.746,0.044,0.029
"P30","Patricia Bullrich por Juntos por el Cambio",0.065,0.667,0.151
"P30","Javier Milei por los liberales libertarios",0.045,0.221,0.361
"P30","Al candidato del Frente de Izquierda",0.067,0.003,0.061
"P30","No sabe",0.077,0.065,0.398
"P32","Alberto Fernández por el Frente de Todos",0.636,0.074,0.119
"P32","Patricia Bullrich por Juntos por el Cambio",0.073,0.641,0.12
"P32","Javier Milei por los liberales libertarios",0.047,0.224,0.368
"P32","Al candidato del Frente de Izquierda",0.095,0.004,0.073
"P32","No sabe",0.149,0.057,0.32
"P35","Sergio Massa",0.945,0.022,0.037
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.844,0.164
"P35","No sabe",0.019,0.134,0.799
"P36","Alberto Fernández por el Frente de Todos",0.825,0.018,0.144
"P36","Mauricio Macri por Juntos por el Cambio",0.056,0.945,0.13
"P36","No sabe",0.119,0.037,0.726
"P37","Alberto Fernández",0.811,0.031,0.137
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.077,0.82,0.212
"P37","No sabe",0.112,0.149,0.651
"P38","Sergio Massa por el Frente de Todos",0.956,0.015,0.066
"P38","Patricia Bullrich por Juntos por el Cambio",0.027,0.908,0.305
"P38","No sabe",0.017,0.077,0.629
"P39","Alberto Fernández por el Frente de Todos",0.855,0.013,0.152
"P39","Patricia Bullrich por Juntos por el Cambio",0.038,0.94,0.318
"P39","No sabe",0.107,0.047,0.53
"P40","Mauricio Macri por Juntos por el Cambio",0.118,0.629,0.05
"P40","Javier Milei por los liberales libertarios",0.083,0.33,0.411
"P40","No sabe",0.799,0.041,0.539
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.118,0.604,0.149
"P41","Javier Milei por los liberales libertarios",0.075,0.318,0.409
"P41","No sabe",0.807,0.078,0.442
"P42","Patricia Bullrich por Juntos por el Cambio",0.043,0.696,0.162
"P42","Javier Milei por los liberales libertarios",0.09,0.259,0.378
"P42","No sabe",0.867,0.045,0.46
"P43","Muy buena",0.103,0.086,0.064
"P43","Buena",0.328,0.045,0.082
"P43","Ni buena ni mala",0.4,0.01,0.204
"P43","Mala",0.124,0.071,0.151
"P43","Muy mala",0.044,0.786,0.478
"P43","No sabe",0.001,0.002,0.021
"P44","Muy buena",0.114,0.012,0.044
"P44","Buena",0.331,0.013,0.052
"P44","Ni buena ni mala",0.344,0.016,0.195
"P44","Mala",0.154,0.084,0.146
"P44","Muy mala",0.054,0.869,0.553
"P44","No sabe",0.003,0.006,0.01
"P45","Muy buena",0.612,0.011,0.151
"P45","Buena",0.166,0.004,0.059
"P45","Ni buena ni mala",0.096,0.016,0.078
"P45","Mala",0.06,0.042,0.07
"P45","Muy mala",0.064,0.92,0.625
"P45","No sabe",0.002,0.007,0.017
"P46","Muy buena",0.078,0.287,0.021
"P46","Buena",0.031,0.312,0.059
"P46","Ni buena ni mala",0.047,0.205,0.252
"P46","Mala",0.158,0.076,0.192
"P46","Muy mala",0.677,0.117,0.447
"P46","No sabe",0.009,0.003,0.029
"P47","Muy buena",0.025,0.209,0.059
"P47","Buena",0.045,0.37,0.169
"P47","Ni buena ni mala",0.097,0.246,0.238
"P47","Mala",0.255,0.087,0.146
"P47","Muy mala",0.562,0.075,0.342
"P47","No sabe",0.016,0.013,0.046
"P48","Muy buena",0.2,0.033,0.017
"P48","Buena",0.369,0.057,0.069
"P48","Ni buena ni mala",0.259,0.088,0.191
"P48","Mala",0.085,0.163,0.225
"P48","Muy mala",0.081,0.653,0.424
"P48","No sabe",0.006,0.006,0.074
"P49","Muy buena",0.033,0.459,0.101
"P49","Buena",0.055,0.275,0.157
"P49","Ni buena ni mala",0.064,0.133,0.266
"P49","Mala",0.127,0.037,0.117
"P49","Muy mala",0.706,0.094,0.289
"P49","No sabe",0.015,0.002,0.07
"P50","Muy buena",0.02,0.231,0.233
"P50","Buena",0.019,0.206,0.177
"P50","Ni buena ni mala",0.087,0.304,0.193
"P50","Mala",0.144,0.125,0.088
"P50","Muy mala",0.715,0.11,0.244
"P50","No sabe",0.015,0.024,0.065
"P51","Muy buena",0.012,0.227,0.078
"P51","Buena",0.031,0.376,0.158
"P51","Ni buena ni mala",0.061,0.241,0.213
"P51","Mala",0.16,0.078,0.146
"P51","Muy mala",0.718,0.06,0.349
"P51","No sabe",0.018,0.018,0.056
"P52","Muy buena",0.034,0.086,0.082
"P52","Buena",0.092,0.195,0.105
"P52","Ni buena ni mala",0.387,0.358,0.361
"P52","Mala",0.176,0.157,0.095
"P52","Muy mala",0.268,0.146,0.226
"P52","No sabe",0.043,0.058,0.131
"P53","Siempre",0.342,0.312,0.243
"P53","Casi siempre",0.432,0.426,0.369
"P53","Casi nunca",0.152,0.187,0.274
"P53","Nunca, pero esta es una excepción",0.074,0.075,0.114
"P54","Si",0.588,0.6,0.551
"P54","No",0.412,0.4,0.449
