"var","categoria","Frente chaqueño","Juntos por el cambio","Corriente de expresión renovada","Partido Integrador","La libertad avanza","Libertarios en acción","Frente unidos por la gente","En blanco","No sabe"
"P11","No sabe",0,0.009,0,0.107,0.028,0.048,0,0.047,0.56
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.249,0.609,0.474,0.201,0.709,0.465,0.724,0.32,0.477
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.235,0.237,0.196,0.046,0.171,0.458,0.061,0.275,0.149
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.342,0.076,0.229,0.22,0.003,0,0,0.016,0.051
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.1,0.035,0.02,0.361,0.064,0,0,0.104,0.092
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.039,0.012,0.015,0,0.031,0,0.215,0.086,0
"P13","No sabe",0.035,0.031,0.066,0.172,0.022,0.077,0,0.199,0.231
"P14","Totalmente seguro.",0.73,0.735,0.681,0.371,0.744,0.829,0.679,0.431,0.35
"P14","Bastante seguro",0.171,0.181,0.257,0.239,0.152,0.124,0,0.101,0.21
"P14","Algo seguro",0.084,0.065,0.039,0.39,0.075,0.047,0.286,0.107,0.097
"P14","Para nada seguro",0.015,0.019,0.023,0,0.029,0,0.035,0.361,0.343
"P15","Tiene Decidido que va a ir a votar.",0.884,0.824,0.801,1,0.953,0.875,0.421,0.626,0.681
"P15","Tiene dudas sobre si va a ir a  votar",0.087,0.162,0.108,0,0.033,0.125,0.291,0.338,0.301
"P15","Tiene Decidido que no va a ir a votar",0.029,0.014,0.091,0,0.014,0,0.288,0.036,0.018
"P16","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.731,0.285,0.357,0.21,0.044,0.117,0.412,0.276,0.318
"P16","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.042,0.399,0.342,0.305,0.012,0.594,0.284,0.04,0.051
"P16","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.16,0.293,0.261,0.293,0.916,0.289,0,0.375,0.182
"P16","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0,0.025,0.021,0,0,0.21,0,0
"P16","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.001,0.013,0,0,0.028,0,0.06,0,0.007
"P16","En blanco",0.012,0.003,0.015,0,0,0,0,0.057,0.123
"P16","No sabe",0.012,0.007,0,0.171,0,0,0.034,0.252,0.319
"P19","Si",0.633,0.519,0.436,0.517,0.39,0.15,0.75,0.576,0.436
"P19","No",0.367,0.481,0.564,0.483,0.61,0.85,0.25,0.424,0.564
"P11_imputada","Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño",0.83,0.356,0.085,0.139,0.097,0.103,0.374,0.49,0.446
"P11_imputada","Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio",0.141,0.607,0.433,0.215,0.357,0.425,0.076,0.116,0.267
"P11_imputada","Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada",0.014,0.013,0.476,0,0.031,0.134,0,0,0.008
"P11_imputada","Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador",0.005,0.012,0,0.473,0.043,0,0.038,0.007,0.096
"P11_imputada","Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza",0.008,0.011,0.006,0,0.418,0.217,0.241,0.01,0.032
"P11_imputada","Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción",0.001,0.001,0,0,0.021,0.121,0,0,0
"P11_imputada","Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente",0,0,0,0,0.003,0,0.271,0.052,0.02
"P11_imputada","En blanco",0.001,0,0,0.173,0.03,0,0,0.325,0.131
"P16_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.743,0.286,0.357,0.21,0.044,0.117,0.412,0.48,0.47
"P16_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.042,0.405,0.342,0.305,0.012,0.594,0.284,0.04,0.084
"P16_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.16,0.293,0.261,0.464,0.916,0.289,0.034,0.423,0.291
"P16_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0,0.025,0.021,0,0,0.21,0,0
"P16_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.001,0.013,0,0,0.028,0,0.06,0,0.007
"P16_imputada","En blanco",0.012,0.003,0.015,0,0,0,0,0.057,0.148
