"var","categoria","Mauricio Macri presidente Patricia Bullrich vice","Alberto Fernández presidente Sergio Massa vice","Javier Milei presidente José Luis Espert vice","Horacio Rodríguez Larreta presidente Gerardo Morales vice","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice","Otros candidatos"
"P28","Igual",0.132,0.436,0.174,0.264,0.458,0.225
"P28","Peor",0.785,0.285,0.721,0.586,0.269,0.655
"P28","No sabe",0.03,0.037,0.042,0.022,0.041,0.049
"P29","Mejor",0.026,0.29,0.045,0.1,0.297,0.087
"P29","Igual",0.156,0.345,0.166,0.26,0.376,0.249
"P29","Peor",0.76,0.227,0.697,0.548,0.189,0.562
"P29","No sabe",0.058,0.138,0.092,0.092,0.138,0.102
"P30","Muy buena",0.05,0.038,0.049,0.061,0.035,0.025
"P30","Buena",0.024,0.164,0.014,0.058,0.191,0.025
"P30","Ni buena ni mala",0.031,0.36,0.037,0.102,0.312,0.094
"P30","Mala",0.214,0.336,0.249,0.311,0.331,0.355
"P30","Muy mala",0.68,0.08,0.642,0.454,0.111,0.494
"P30","No sabe",0.001,0.022,0.009,0.014,0.02,0.007
"P31","Muy buena",0.024,0.46,0.024,0.128,0.669,0.043
"P31","Buena",0.024,0.215,0.021,0.044,0.193,0.102
"P31","Ni buena ni mala",0.027,0.17,0.08,0.06,0.069,0.156
"P31","Mala",0.058,0.077,0.102,0.102,0.019,0.161
"P31","Muy mala",0.866,0.074,0.763,0.651,0.045,0.524
"P31","No sabe",0.001,0.004,0.01,0.015,0.005,0.014
"P32","Muy buena",0.012,0.293,0.01,0.043,0.142,0.038
"P32","Buena",0.023,0.421,0.039,0.094,0.341,0.071
"P32","Ni buena ni mala",0.053,0.184,0.127,0.134,0.302,0.238
"P32","Mala",0.146,0.06,0.143,0.267,0.135,0.204
"P32","Muy mala",0.763,0.04,0.675,0.457,0.071,0.432
"P32","No sabe",0.003,0.002,0.006,0.005,0.009,0.017
"P33","Muy buena",0.024,0.179,0.015,0.023,0.072,0.022
"P33","Buena",0.016,0.305,0.035,0.07,0.209,0.068
"P33","Ni buena ni mala",0.073,0.321,0.126,0.212,0.421,0.252
"P33","Mala",0.204,0.077,0.224,0.217,0.177,0.216
"P33","Muy mala",0.664,0.044,0.564,0.449,0.097,0.391
"P33","No sabe",0.019,0.074,0.036,0.029,0.024,0.051
"P34","Muy buena",0.042,0.347,0.031,0.118,0.521,0.038
"P34","Buena",0.043,0.253,0.043,0.078,0.229,0.095
"P34","Ni buena ni mala",0.043,0.23,0.079,0.105,0.133,0.196
"P34","Mala",0.109,0.074,0.111,0.146,0.037,0.184
"P34","Muy mala",0.751,0.07,0.697,0.523,0.063,0.443
"P34","No sabe",0.012,0.026,0.039,0.03,0.017,0.044
"P35","Muy buena",0.317,0.033,0.057,0.053,0.026,0.029
"P35","Buena",0.314,0.023,0.122,0.162,0.021,0.075
"P35","Ni buena ni mala",0.228,0.062,0.291,0.24,0.016,0.219
"P35","Mala",0.061,0.241,0.254,0.222,0.134,0.22
"P35","Muy mala",0.077,0.632,0.253,0.309,0.79,0.443
"P35","No sabe",0.003,0.009,0.023,0.014,0.013,0.014
"P36","Muy buena",0.244,0.031,0.06,0.19,0.029,0.048
"P36","Buena",0.345,0.076,0.155,0.282,0.031,0.143
"P36","Ni buena ni mala",0.247,0.236,0.349,0.215,0.094,0.299
"P36","Mala",0.076,0.248,0.178,0.081,0.236,0.209
"P36","Muy mala",0.067,0.349,0.205,0.177,0.565,0.232
"P36","No sabe",0.021,0.06,0.053,0.055,0.045,0.069
"P37","Muy buena",0.282,0.025,0.079,0.154,0.032,0.059
"P37","Buena",0.329,0.052,0.155,0.264,0.018,0.166
"P37","Ni buena ni mala",0.222,0.123,0.282,0.244,0.057,0.237
"P37","Mala",0.066,0.248,0.194,0.113,0.161,0.186
"P37","Muy mala",0.083,0.53,0.246,0.2,0.72,0.311
"P37","No sabe",0.018,0.022,0.044,0.025,0.012,0.041
"P38","Muy buena",0.157,0.029,0.523,0.095,0.044,0.048
"P38","Buena",0.225,0.063,0.181,0.113,0.04,0.076
"P38","Ni buena ni mala",0.363,0.172,0.131,0.316,0.084,0.302
"P38","Mala",0.106,0.145,0.04,0.144,0.089,0.153
"P38","Muy mala",0.118,0.478,0.104,0.266,0.681,0.348
"P38","No sabe",0.031,0.113,0.021,0.066,0.062,0.073
"P39","Muy buena",0.608,0.016,0.233,0.169,0.01,0.111
"P39","Buena",0.22,0.017,0.278,0.267,0.021,0.129
"P39","Ni buena ni mala",0.1,0.121,0.241,0.209,0.052,0.198
"P39","Mala",0.021,0.166,0.087,0.105,0.092,0.136
"P39","Muy mala",0.028,0.621,0.123,0.221,0.782,0.376
"P39","No sabe",0.023,0.059,0.038,0.029,0.043,0.05
"P40","Muy buena",0.033,0.117,0.011,0.035,0.082,0.021
"P40","Buena",0.094,0.259,0.056,0.135,0.277,0.093
"P40","Ni buena ni mala",0.246,0.37,0.152,0.295,0.343,0.238
"P40","Mala",0.365,0.157,0.274,0.283,0.165,0.306
"P40","Muy mala",0.236,0.061,0.468,0.227,0.093,0.278
"P40","No sabe",0.026,0.036,0.039,0.025,0.04,0.064
"P41","Muy buena",0.039,0.023,0.014,0.015,0.013,0.02
"P41","Buena",0.089,0.083,0.045,0.064,0.045,0.052
"P41","Ni buena ni mala",0.237,0.18,0.159,0.252,0.101,0.149
"P41","Mala",0.314,0.252,0.237,0.293,0.202,0.326
"P41","Muy mala",0.296,0.411,0.503,0.363,0.611,0.406
"P41","No sabe",0.025,0.051,0.042,0.013,0.028,0.047
