"var","categoria","Horacio Rodríguez Larreta por Cambiemos","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales","Nicolás del Caño por la izquierda","Otro candidato"
"P32","Muy buena",0.055,0.231,0.009,0.031,0.028
"P32","Buena",0.1,0.36,0.033,0.201,0.094
"P32","Ni buena ni mala",0.087,0.188,0.109,0.294,0.233
"P32","Mala",0.185,0.073,0.145,0.25,0.2
"P32","Muy mala",0.571,0.144,0.698,0.22,0.431
"P32","No sabe",0.002,0.004,0.006,0.004,0.014
"P33","Muy buena",0.045,0.118,0.019,0.043,0.028
"P33","Buena",0.081,0.244,0.025,0.057,0.077
"P33","Ni buena ni mala",0.141,0.307,0.133,0.285,0.26
"P33","Mala",0.21,0.131,0.197,0.26,0.204
"P33","Muy mala",0.503,0.156,0.6,0.307,0.373
"P33","No sabe",0.02,0.044,0.026,0.048,0.058
"P34","Muy buena",0.115,0.402,0.029,0.164,0.129
"P34","Buena",0.088,0.202,0.045,0.195,0.111
"P34","Ni buena ni mala",0.081,0.139,0.091,0.229,0.149
"P34","Mala",0.116,0.063,0.111,0.138,0.126
"P34","Muy mala",0.592,0.176,0.694,0.226,0.436
"P34","No sabe",0.008,0.018,0.03,0.048,0.049
"P35","Muy buena",0.222,0.073,0.096,0.053,0.082
"P35","Buena",0.235,0.083,0.16,0.032,0.101
"P35","Ni buena ni mala",0.19,0.064,0.284,0.136,0.202
"P35","Mala",0.152,0.134,0.219,0.094,0.194
"P35","Muy mala",0.197,0.639,0.223,0.685,0.401
"P35","No sabe",0.004,0.007,0.018,0,0.02
"P36","Muy buena",0.26,0.072,0.076,0.046,0.052
"P36","Buena",0.342,0.093,0.168,0.071,0.17
"P36","Ni buena ni mala",0.179,0.175,0.345,0.168,0.29
"P36","Mala",0.078,0.197,0.186,0.257,0.176
"P36","Muy mala",0.12,0.418,0.179,0.421,0.237
"P36","No sabe",0.021,0.045,0.046,0.037,0.075
"P37","Muy buena",0.257,0.075,0.101,0.014,0.078
"P37","Buena",0.308,0.078,0.18,0.054,0.166
"P37","Ni buena ni mala",0.191,0.099,0.291,0.165,0.208
"P37","Mala",0.092,0.165,0.184,0.201,0.158
"P37","Muy mala",0.144,0.567,0.211,0.521,0.335
"P37","No sabe",0.008,0.016,0.033,0.045,0.055
"P38","Muy buena",0.08,0.04,0.511,0.062,0.048
"P38","Buena",0.154,0.077,0.213,0.048,0.095
"P38","Ni buena ni mala",0.372,0.178,0.134,0.084,0.275
"P38","Mala",0.14,0.108,0.033,0.118,0.149
"P38","Muy mala",0.207,0.528,0.088,0.585,0.347
"P38","No sabe",0.047,0.069,0.021,0.103,0.086
"P39","Muy buena",0.405,0.104,0.327,0.055,0.187
"P39","Buena",0.216,0.057,0.261,0.061,0.136
"P39","Ni buena ni mala",0.147,0.091,0.2,0.082,0.151
"P39","Mala",0.076,0.096,0.071,0.124,0.112
"P39","Muy mala",0.133,0.61,0.104,0.631,0.36
"P39","No sabe",0.023,0.042,0.037,0.047,0.054
"P40","Muy buena",0.046,0.094,0.015,0.056,0.032
"P40","Buena",0.133,0.268,0.061,0.148,0.113
"P40","Ni buena ni mala",0.275,0.346,0.165,0.342,0.275
"P40","Mala",0.329,0.168,0.286,0.275,0.295
"P40","Muy mala",0.189,0.09,0.427,0.162,0.238
"P40","No sabe",0.028,0.034,0.046,0.017,0.047
"P41","Muy buena",0.043,0.018,0.014,0,0.019
"P41","Buena",0.092,0.07,0.044,0.062,0.058
"P41","Ni buena ni mala",0.238,0.163,0.171,0.097,0.173
"P41","Mala",0.286,0.249,0.248,0.328,0.293
"P41","Muy mala",0.32,0.455,0.482,0.444,0.425
"P41","No sabe",0.021,0.045,0.041,0.069,0.032
