"var","categoria","No alcanzan para cubrir las necesidades básicas familiares","Solo alcanzan para cubrir las necesidades básicas familiares","No alcanzan para cubrir los gastos totales de la familia","Alcanzan para cubrir los gastos totales de la familia","Tenemos un pequeño excedente, pero es excepcional","Tenemos un pequeño excedente habitual que ahorramos o invertimos","Tenemos un gran excedente pero es excepcional","Tenemos un gran excedente habitual que ahorramos o invertimos","No sabe"
"P16","A Florencia Sarmiento por el Frente de Izquierda",0.073,0.015,0.027,0.045,0,0.007,0,0,0.127
"P16","A Martín Eduardo Palma Bastidas por “Vamos con vos""",0.002,0.001,0.01,0.01,0.064,0.029,0,0,0.023
"P16","Votaría en blanco o anularía",0.064,0.039,0.025,0.048,0.002,0.021,0,0.379,0.103
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.623,0.628,0.699,0.509,0.497,0.465,0.138,0.349,0.51
"P18","Victoria Tolosa Paz por el Frente de todos",0.168,0.291,0.159,0.263,0.241,0.334,0.814,0.17,0.297
"P18","Nicolás del Caño por el Frente de Izquierda",0.052,0.004,0.03,0.005,0.021,0,0,0.037,0.021
"P18","José Luis Espert por “Avanza Libertad”",0.056,0.03,0.091,0.142,0.168,0.036,0.048,0,0.034
"P18","Florencio Randazzo por “Vamos con vos”",0.02,0.021,0,0.008,0.012,0.031,0,0,0.023
"P18","Cynthia Hotton por “+Valores”",0,0,0.002,0,0.002,0.021,0,0,0
"P18","Ninguna en particular",0.063,0.019,0.019,0.045,0.059,0.058,0,0.142,0.104
"P18","No sabe",0.018,0.007,0,0.028,0,0.055,0,0.302,0.011
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.277,0.227,0.141,0.283,0.246,0.271,0.6,0.235,0.266
"P19","Victoria Tolosa Paz por el Frente de todos",0.591,0.67,0.674,0.578,0.626,0.502,0.138,0.355,0.512
"P19","Nicolás del Caño por el Frente de Izquierda",0.016,0.031,0.061,0.016,0,0.009,0.214,0,0
"P19","José Luis Espert por “Avanza Libertad”",0.015,0.004,0.03,0.052,0.004,0.074,0,0,0
"P19","Florencio Randazzo por “Vamos con vos”",0,0.018,0.03,0.008,0.007,0,0,0,0
"P19","Cynthia Hotton por “+Valores”",0.01,0,0,0.025,0.011,0.019,0,0.077,0
"P19","Ninguna en particular",0.062,0.049,0.064,0.038,0.106,0.065,0.048,0.031,0.115
"P19","No sabe",0.029,0.001,0,0,0,0.06,0,0.302,0.107
"P21","Muy buena",0.122,0.072,0.038,0.116,0.024,0.12,0.377,0.177,0.124
"P21","Buena",0.116,0.216,0.049,0.087,0.173,0.155,0.212,0.07,0.184
"P21","Ni buena ni mala",0.076,0.094,0.134,0.072,0.115,0.129,0.222,0.084,0
"P21","Mala",0.117,0.133,0.106,0.141,0.052,0.087,0,0,0.105
"P21","Muy mala",0.555,0.485,0.659,0.584,0.636,0.443,0.189,0.392,0.41
"P21","No sabe",0.014,0,0.014,0,0,0.066,0,0.277,0.177
"P22","Muy buena",0.154,0.175,0.106,0.214,0.157,0.193,0.813,0.243,0.274
"P22","Buena",0.071,0.108,0.016,0.044,0.039,0.134,0,0,0.026
"P22","Ni buena ni mala",0.093,0.033,0.024,0.017,0.038,0.072,0,0.084,0
"P22","Mala",0.056,0.038,0.041,0.036,0.013,0.032,0,0,0.011
"P22","Muy mala",0.613,0.627,0.813,0.685,0.744,0.519,0.187,0.391,0.585
"P22","No sabe",0.013,0.019,0,0.004,0.009,0.05,0,0.282,0.104
"P23","Muy buena",0.046,0.033,0.064,0.076,0.055,0.074,0.201,0.176,0
"P23","Buena",0.069,0.155,0.054,0.064,0.115,0.062,0.173,0.072,0.05
"P23","Ni buena ni mala",0.133,0.126,0.034,0.128,0.107,0.174,0.212,0.056,0.306
"P23","Mala",0.131,0.107,0.189,0.139,0.113,0.198,0.222,0,0.183
"P23","Muy mala",0.617,0.57,0.651,0.578,0.59,0.47,0.192,0.416,0.384
"P23","No sabe",0.004,0.009,0.008,0.015,0.02,0.022,0,0.28,0.077
"P24","Muy buena",0.247,0.156,0.27,0.139,0.168,0.135,0,0.097,0.178
"P24","Buena",0.179,0.237,0.141,0.256,0.262,0.175,0.135,0.029,0.117
"P24","Ni buena ni mala",0.166,0.175,0.279,0.142,0.136,0.087,0.053,0.203,0.12
"P24","Mala",0.204,0.124,0.116,0.151,0.117,0.224,0,0.057,0.045
"P24","Muy mala",0.188,0.289,0.19,0.312,0.317,0.356,0.812,0.334,0.387
"P24","No sabe",0.016,0.019,0.004,0,0,0.023,0,0.28,0.153
"P25","Muy buena",0.377,0.2,0.337,0.241,0.255,0.262,0,0.096,0.24
"P25","Buena",0.179,0.31,0.242,0.218,0.298,0.22,0.132,0.286,0.133
"P25","Ni buena ni mala",0.195,0.221,0.185,0.241,0.126,0.138,0.267,0.085,0.182
"P25","Mala",0.107,0.082,0.075,0.075,0.111,0.147,0.209,0,0.139
"P25","Muy mala",0.139,0.185,0.161,0.222,0.21,0.22,0.392,0.241,0.292
"P25","No sabe",0.003,0.002,0,0.003,0,0.013,0,0.292,0.014
