"var","categoria","Sergio Massa presidente por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P12","A Patricia Bullrich",0.082,0.411,0.326,0.235,0.068,0.283
"P12","A Facundo Manes",0.303,0.025,0.062,0.021,0.144,0.067
"P12","A Gerardo Morales",0.152,0.022,0.016,0,0.123,0.059
"P13","Seguro lo votaria",0.072,0.134,0.612,0.46,0.216,0.233
"P13","Quizás lo votaría",0.406,0.413,0.288,0.045,0.272,0.308
"P13","Nunca lo votaría",0.522,0.453,0.1,0.495,0.512,0.459
"P14","Lo votaría",0.038,0.526,0.202,0.145,0.108,0.164
"P14","Puede que lo vote",0.04,0.289,0.273,0.032,0.182,0.073
"P14","Nunca lo votaría",0.886,0.146,0.446,0.607,0.605,0.616
"P14","No sabe",0.036,0.039,0.079,0.216,0.105,0.147
"P15","Lo votaría",0.348,0.052,0.043,0.041,0.051,0.077
"P15","Puede que lo vote",0.462,0.073,0.106,0.236,0.271,0.31
"P15","Nunca lo votaría",0.15,0.849,0.817,0.588,0.519,0.448
"P15","No sabe",0.04,0.026,0.034,0.135,0.159,0.165
"P16","Lo votaría",0.276,0.017,0.017,0.039,0.104,0.194
"P16","Puede que lo vote",0.446,0.04,0.045,0.137,0.225,0.18
"P16","Nunca lo votaría",0.217,0.928,0.922,0.638,0.543,0.45
"P16","No sabe",0.061,0.015,0.016,0.186,0.128,0.176
"P17","La votaría",0.74,0.036,0.02,0.279,0.381,0.43
"P17","Puede que la vote",0.142,0.019,0.05,0.228,0.131,0.083
"P17","Nunca la votaría",0.096,0.941,0.906,0.366,0.462,0.385
"P17","No sabe",0.022,0.004,0.024,0.127,0.026,0.102
"P18","Lo votaría",0.063,0.27,0.088,0.035,0.185,0.087
"P18","Puede que lo vote",0.086,0.423,0.226,0.136,0.126,0.19
"P18","Nunca lo votaría",0.815,0.265,0.65,0.697,0.62,0.507
"P18","No sabe",0.036,0.042,0.036,0.132,0.069,0.216
"P19","Lo votaría",0.039,0.088,0.035,0.076,0.128,0.042
"P19","Puede que lo vote",0.193,0.285,0.176,0.072,0.202,0.153
"P19","Nunca lo votaría",0.664,0.552,0.697,0.629,0.515,0.499
"P19","No sabe",0.104,0.075,0.092,0.223,0.155,0.306
"P20","La votaría",0.04,0.653,0.248,0.152,0.088,0.084
"P20","Puede que la vote",0.055,0.229,0.399,0.043,0.154,0.154
"P20","Nunca la votaría",0.875,0.099,0.312,0.676,0.673,0.569
"P20","No sabe",0.03,0.019,0.041,0.129,0.085,0.193
"P21","Lo votaría",0.026,0.173,0.76,0.005,0.032,0.069
"P21","Puede que lo vote",0.037,0.37,0.163,0.106,0.22,0.124
"P21","Nunca lo votaría",0.896,0.405,0.059,0.796,0.692,0.65
"P21","No sabe",0.041,0.052,0.018,0.093,0.056,0.157
"P22","La votaría",0.023,0.243,0.154,0.03,0.1,0.067
"P22","Puede que la vote",0.055,0.423,0.253,0.161,0.153,0.093
"P22","Nunca la votaría",0.865,0.285,0.531,0.716,0.63,0.646
"P22","No sabe",0.057,0.049,0.062,0.093,0.117,0.194
"P23","Lo votaría",0.189,0.03,0.011,0.021,0.075,0.077
"P23","Puede que lo vote",0.424,0.06,0.081,0.211,0.248,0.246
"P23","Nunca lo votaría",0.315,0.89,0.877,0.656,0.573,0.523
"P23","No sabe",0.072,0.02,0.031,0.112,0.104,0.154
"P24","Lo votaría",0.021,0.072,0.019,0.041,0.067,0.026
"P24","Puede que lo vote",0.11,0.254,0.115,0.162,0.164,0.123
"P24","Nunca lo votaría",0.759,0.611,0.779,0.663,0.63,0.645
"P24","No sabe",0.11,0.063,0.087,0.134,0.139,0.206
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.767,0.035,0.018,0.285,0.407,0.392
"P26","Alberto Fernández por el Frente de Todos",0.08,0.009,0.002,0.034,0.044,0.081
"P26","Mauricio Macri por Juntos por el cambio",0.034,0.313,0.086,0.077,0.08,0.102
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.136,0.05,0.081,0.182,0.084
"P26","Patricia Bullrich por Juntos por el Cambio",0.011,0.4,0.067,0.027,0.021,0.046
"P26","Facundo Manes por Juntos por el Cambio",0.029,0.039,0.022,0.072,0.105,0.034
"P26","Javier Milei por los liberales libertarios",0.009,0.039,0.741,0,0.011,0.039
"P26","Nicolás del Caño por la izquierda",0.001,0.001,0.005,0.338,0,0.012
"P26","Aún no lo tengo decidido",0.042,0.028,0.009,0.086,0.15,0.21
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.196,0.089,0.088,0.209,0.095
"P27","Patricia Bullrich por Juntos por el Cambio",0.016,0.65,0.071,0,0.06,0.108
"P27","Facundo Manes por Juntos por el Cambio",0.013,0.031,0.022,0.064,0.095,0.044
"P27","Alberto Fernández por el Frente de Todos",0.225,0.029,0.002,0.086,0.15,0.194
"P27","Sergio Massa por el Frente de Todos",0.611,0.015,0.013,0.095,0.077,0.081
"P27","Javier Milei por los liberales libertarios",0.007,0.052,0.762,0.03,0.026,0.05
"P27","Nicolás del Caño por la izquierda",0.011,0.008,0.021,0.485,0.004,0.01
"P27","Otros candidatos",0.038,0.007,0.005,0.048,0.286,0.071
"P27","Aún no lo tengo decidido",0.045,0.012,0.015,0.104,0.093,0.347
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.834,0.044,0.03,0.304,0.409,0.429
"P28","Mauricio Macri por Juntos por el Cambio",0.04,0.651,0.094,0.027,0.125,0.118
"P28","Javier Milei por los liberales libertarios",0.008,0.146,0.832,0.041,0.033,0.05
"P28","Nicolás del Caño por la izquierda",0.006,0.009,0.003,0.52,0.036,0.006
"P28","Otro candidato",0.063,0.08,0.014,0.016,0.29,0.052
"P28","Aún no lo tengo decidido",0.049,0.07,0.027,0.092,0.107,0.345
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.109,0.544,0.046,0.149,0.217,0.108
"P30","Alberto Fernández por el Frente de Todos",0.602,0.063,0.005,0.099,0.172,0.204
"P30","Javier Milei por los liberales libertarios",0.018,0.205,0.915,0,0.031,0.028
"P30","Nicolás del Caño por la izquierda",0.024,0.012,0.009,0.579,0.001,0.019
"P30","Otro candidato",0.108,0.111,0.007,0.037,0.53,0.062
"P30","Aún no lo tengo decidido",0.139,0.065,0.018,0.136,0.049,0.579
"P34","Sergio Massa presidente por el Frente de Todos",0.833,0.063,0.009,0.059,0.078,0.149
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.081,0.559,0.077,0.119,0.177,0.117
"P34","Javier Milei por los liberales libertarios",0.015,0.204,0.892,0.007,0.004,0.067
"P34","Nicolás del Caño por la izquierda",0.003,0.005,0.001,0.613,0.007,0.01
"P34","Otro candidato",0.033,0.112,0.011,0.023,0.601,0.112
"P34","Aún no lo tengo decidido",0.035,0.057,0.01,0.179,0.133,0.545
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.823,0.072,0.025,0.32,0.414,0.43
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.066,0.533,0.079,0.083,0.191,0.16
"P36","Javier Milei por los liberales libertarios",0.025,0.235,0.871,0.034,0.005,0.03
"P36","Nicolás del Caño por la izquierda",0.005,0.007,0,0.505,0.002,0
"P36","Otro candidato",0.046,0.1,0.018,0.01,0.32,0.073
"P36","Aún no lo tengo decidido",0.035,0.053,0.007,0.048,0.068,0.307
"P37","Sergio Massa presidente por el Frente de Todos",0.862,0.041,0.005,0.119,0.076,0.215
"P37","Mauricio Macri por Juntos por el Cambio",0.044,0.671,0.118,0.03,0.138,0.16
"P37","Javier Milei por los liberales libertarios",0.019,0.158,0.857,0,0.043,0.072
"P37","Nicolás del Caño por la izquierda",0.005,0.009,0.001,0.612,0.004,0.002
"P37","Otro candidato",0.041,0.068,0.008,0.061,0.612,0.138
"P37","Aún no lo tengo decidido",0.029,0.053,0.011,0.178,0.127,0.413
"P38","Alberto Fernández por el Frente de Todos",0.709,0.029,0.014,0.168,0.167,0.268
"P38","Mauricio Macri por Juntos por el Cambio",0.041,0.7,0.116,0.004,0.144,0.146
"P38","Javier Milei por los liberales libertarios",0.027,0.144,0.847,0.028,0.006,0.054
"P38","Nicolás del Caño por la izquierda",0.016,0.01,0.005,0.639,0.028,0.015
"P38","Otro candidato",0.126,0.066,0.01,0.083,0.556,0.123
"P38","Aún no lo tengo decidido",0.081,0.051,0.008,0.078,0.099,0.394
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.864,0.065,0.034,0.608,0.457,0.532
"P39","Mauricio Macri por Juntos por el Cambio",0.061,0.832,0.503,0.098,0.252,0.209
"P39","No sabe",0.075,0.103,0.463,0.294,0.291,0.259
"P40","Alberto Fernández por el Frente de Todos",0.757,0.046,0.046,0.513,0.288,0.349
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.767,0.392,0.056,0.371,0.2
"P40","No sabe",0.176,0.187,0.562,0.431,0.341,0.451
"P41","Sergio Massa presidente por el Frente de Todos",0.877,0.03,0.054,0.505,0.226,0.319
"P41","Patricia Bullrich por Juntos por el Cambio",0.049,0.932,0.602,0.123,0.245,0.139
"P41","No sabe",0.074,0.038,0.344,0.372,0.529,0.542
"P42","Sergio Massa presidente por el Frente de Todos",0.904,0.043,0.052,0.486,0.243,0.301
"P42","Mauricio Macri por Juntos por el Cambio",0.056,0.873,0.601,0.083,0.264,0.214
"P42","No sabe",0.04,0.084,0.347,0.431,0.493,0.485
"P43","Sergio Massa presidente por el Frente de Todos",0.88,0.027,0.023,0.524,0.278,0.315
"P43","Javier Milei por los liberales libertarios",0.048,0.565,0.871,0.156,0.179,0.117
"P43","No sabe",0.072,0.408,0.106,0.32,0.543,0.568
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.183,0.464,0.072,0.228,0.343,0.161
"P44","Javier Milei por los liberales libertarios",0.06,0.339,0.893,0,0.091,0.076
"P44","No sabe",0.757,0.197,0.035,0.772,0.566,0.763
"P45","Muy buena",0.092,0.049,0.005,0.101,0.097,0.035
"P45","Buena",0.33,0.052,0.057,0.073,0.122,0.154
"P45","Ni buena ni mala",0.391,0.039,0.05,0.383,0.306,0.363
"P45","Mala",0.113,0.085,0.098,0.17,0.177,0.154
"P45","Muy mala",0.063,0.769,0.79,0.206,0.277,0.248
"P45","No sabe",0.011,0.006,0,0.067,0.021,0.046
"P46","Muy buena",0.123,0.019,0.001,0.098,0.071,0.134
"P46","Buena",0.317,0.027,0.006,0.13,0.133,0.073
"P46","Ni buena ni mala",0.37,0.023,0.059,0.398,0.272,0.366
"P46","Mala",0.117,0.086,0.097,0.138,0.191,0.132
"P46","Muy mala",0.073,0.837,0.826,0.227,0.327,0.242
"P46","No sabe",0,0.008,0.011,0.009,0.006,0.053
"P47","Muy buena",0.627,0.029,0.014,0.219,0.358,0.381
"P47","Buena",0.16,0.017,0.006,0.195,0.065,0.109
"P47","Ni buena ni mala",0.106,0.009,0.04,0.249,0.092,0.137
"P47","Mala",0.045,0.053,0.074,0.094,0.099,0.09
"P47","Muy mala",0.059,0.883,0.86,0.243,0.384,0.283
"P47","No sabe",0.003,0.009,0.006,0,0.002,0
"P48","Muy buena",0.074,0.345,0.101,0.005,0.072,0.103
"P48","Buena",0.043,0.313,0.187,0.122,0.114,0.083
"P48","Ni buena ni mala",0.049,0.171,0.272,0.042,0.173,0.172
"P48","Mala",0.197,0.055,0.159,0.247,0.216,0.179
"P48","Muy mala",0.636,0.109,0.278,0.574,0.425,0.423
"P48","No sabe",0.001,0.007,0.003,0.01,0,0.04
"P49","Muy buena",0.036,0.22,0.087,0.063,0.158,0.029
"P49","Buena",0.068,0.385,0.142,0.168,0.109,0.075
"P49","Ni buena ni mala",0.133,0.238,0.212,0.089,0.251,0.283
"P49","Mala",0.262,0.074,0.171,0.2,0.117,0.243
"P49","Muy mala",0.494,0.067,0.364,0.48,0.348,0.308
"P49","No sabe",0.007,0.016,0.024,0,0.017,0.062
"P50","Muy buena",0.233,0.04,0.002,0.078,0.022,0.039
"P50","Buena",0.41,0.052,0.053,0.112,0.125,0.124
"P50","Ni buena ni mala",0.239,0.091,0.081,0.238,0.374,0.464
"P50","Mala",0.03,0.155,0.199,0.363,0.197,0.097
"P50","Muy mala",0.082,0.651,0.654,0.209,0.219,0.218
"P50","No sabe",0.006,0.011,0.011,0,0.063,0.058
"P51","Muy buena",0.039,0.569,0.248,0.132,0.031,0.073
"P51","Buena",0.057,0.273,0.28,0.047,0.122,0.058
"P51","Ni buena ni mala",0.079,0.054,0.227,0.062,0.286,0.214
"P51","Mala",0.14,0.019,0.078,0.114,0.087,0.199
"P51","Muy mala",0.671,0.081,0.153,0.639,0.442,0.388
"P51","No sabe",0.014,0.004,0.014,0.006,0.032,0.068
"P52","Muy buena",0.018,0.148,0.672,0.087,0.03,0.011
"P52","Buena",0.015,0.259,0.194,0.066,0.082,0.067
"P52","Ni buena ni mala",0.105,0.336,0.085,0.007,0.287,0.264
"P52","Mala",0.153,0.147,0.019,0.058,0.138,0.158
"P52","Muy mala",0.689,0.101,0.028,0.716,0.438,0.426
"P52","No sabe",0.02,0.009,0.002,0.066,0.025,0.074
"P53","Muy buena",0.037,0.283,0.159,0,0.088,0.078
"P53","Buena",0.031,0.33,0.176,0.115,0.117,0.136
"P53","Ni buena ni mala",0.095,0.264,0.242,0.181,0.239,0.12
"P53","Mala",0.176,0.058,0.159,0.165,0.121,0.132
"P53","Muy mala",0.651,0.059,0.261,0.532,0.419,0.427
"P53","No sabe",0.01,0.006,0.003,0.007,0.016,0.107
"P54","Muy buena",0.19,0.045,0.02,0.011,0.034,0.065
"P54","Buena",0.385,0.043,0.022,0.122,0.163,0.184
"P54","Ni buena ni mala",0.256,0.096,0.12,0.365,0.392,0.4
"P54","Mala",0.056,0.165,0.191,0.221,0.154,0.103
"P54","Muy mala",0.11,0.643,0.628,0.281,0.249,0.162
"P54","No sabe",0.003,0.008,0.019,0,0.008,0.086
"P55","Muy buena",0.047,0.067,0.041,0.116,0.105,0.076
"P55","Buena",0.19,0.166,0.059,0.055,0.162,0.123
"P55","Ni buena ni mala",0.356,0.277,0.339,0.371,0.308,0.393
"P55","Mala",0.156,0.199,0.157,0.137,0.144,0.108
"P55","Muy mala",0.201,0.244,0.315,0.235,0.203,0.115
"P55","No sabe",0.05,0.047,0.089,0.086,0.078,0.185
"P57","Siempre",0.343,0.299,0.332,0.298,0.274,0.261
"P57","Casi siempre",0.35,0.429,0.354,0.527,0.338,0.378
"P57","Casi nunca",0.225,0.213,0.191,0.141,0.272,0.167
"P57","Nunca, pero esta es una excepción",0.082,0.059,0.123,0.034,0.116,0.194
"P58","Si",0.611,0.603,0.612,0.578,0.617,0.561
"P58","No",0.389,0.397,0.388,0.422,0.383,0.439
