"var","categoria","Sergio Massa presidente por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P28","Aún no lo tengo decidido",0.054,0.043,0.187
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.097,0.437,0.114
"P30","Alberto Fernández por el Frente de Todos",0.496,0.034,0.129
"P30","Javier Milei por los liberales libertarios",0.049,0.373,0.362
"P30","Nicolás del Caño por la izquierda",0.06,0.006,0.052
"P30","Otro candidato",0.152,0.093,0.146
"P30","Aún no lo tengo decidido",0.146,0.057,0.197
"P32","Sergio Massa presidente por el Frente de Todos",0.685,0.026,0.041
"P32","Patricia Bullrich por Juntos por el Cambio",0.049,0.612,0.129
"P32","Javier Milei por los liberales libertarios",0.037,0.258,0.328
"P32","Nicolás del Caño por la izquierda",0.051,0.005,0.062
"P32","Otro candidato",0.089,0.06,0.246
"P32","Aún no lo tengo decidido",0.089,0.039,0.194
"P34","Sergio Massa presidente por el Frente de Todos",0.678,0.04,0.036
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.085,0.441,0.127
"P34","Javier Milei por los liberales libertarios",0.048,0.362,0.354
"P34","Nicolás del Caño por la izquierda",0.036,0.002,0.051
"P34","Otro candidato",0.077,0.102,0.225
"P34","Aún no lo tengo decidido",0.076,0.053,0.207
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.795,0.043,0.26
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.069,0.44,0.109
"P36","Javier Milei por los liberales libertarios",0.044,0.38,0.336
"P36","Nicolás del Caño por la izquierda",0.025,0.003,0.048
"P36","Otro candidato",0.043,0.093,0.116
"P36","Aún no lo tengo decidido",0.024,0.041,0.131
"P37","Sergio Massa presidente por el Frente de Todos",0.752,0.017,0.055
"P37","Mauricio Macri por Juntos por el Cambio",0.019,0.592,0.028
"P37","Javier Milei por los liberales libertarios",0.04,0.303,0.383
"P37","Nicolás del Caño por la izquierda",0.04,0.004,0.049
"P37","Otro candidato",0.085,0.052,0.284
"P37","Aún no lo tengo decidido",0.064,0.032,0.201
"P38","Alberto Fernández por el Frente de Todos",0.6,0.016,0.127
"P38","Mauricio Macri por Juntos por el Cambio",0.015,0.61,0.023
"P38","Javier Milei por los liberales libertarios",0.062,0.294,0.355
"P38","Nicolás del Caño por la izquierda",0.054,0.008,0.061
"P38","Otro candidato",0.177,0.049,0.229
"P38","Aún no lo tengo decidido",0.092,0.023,0.205
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.864,0.048,0.267
"P39","Mauricio Macri por Juntos por el Cambio",0.052,0.873,0.064
"P39","No sabe",0.084,0.079,0.669
"P40","Alberto Fernández por el Frente de Todos",0.738,0.026,0.175
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.753,0.171
"P40","No sabe",0.195,0.221,0.654
"P41","Sergio Massa presidente por el Frente de Todos",0.893,0.026,0.056
"P41","Patricia Bullrich por Juntos por el Cambio",0.038,0.892,0.236
"P41","No sabe",0.069,0.082,0.708
"P43","Sergio Massa presidente por el Frente de Todos",0.869,0.025,0.069
"P43","Javier Milei por los liberales libertarios",0.056,0.673,0.352
"P43","No sabe",0.075,0.302,0.579
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.176,0.377,0.167
"P44","Javier Milei por los liberales libertarios",0.079,0.48,0.35
"P44","No sabe",0.745,0.143,0.483
"P45","Muy buena",0.095,0.026,0.065
"P45","Buena",0.302,0.057,0.07
"P45","Ni buena ni mala",0.409,0.031,0.237
"P45","Mala",0.129,0.095,0.129
"P45","Muy mala",0.054,0.783,0.472
"P45","No sabe",0.011,0.008,0.027
"P46","Muy buena",0.13,0.007,0.066
"P46","Buena",0.3,0.015,0.049
"P46","Ni buena ni mala",0.369,0.037,0.224
"P46","Mala",0.122,0.087,0.153
"P46","Muy mala",0.07,0.851,0.477
"P46","No sabe",0.009,0.003,0.031
"P47","Muy buena",0.623,0.005,0.204
"P47","Buena",0.15,0.011,0.073
"P47","Ni buena ni mala",0.112,0.022,0.099
"P47","Mala",0.047,0.061,0.098
"P47","Muy mala",0.061,0.897,0.521
"P47","No sabe",0.007,0.004,0.005
"P48","Muy buena",0.068,0.303,0.021
"P48","Buena",0.032,0.325,0.05
"P48","Ni buena ni mala",0.04,0.197,0.245
"P48","Mala",0.21,0.058,0.241
"P48","Muy mala",0.64,0.116,0.428
"P48","No sabe",0.01,0.001,0.015
"P49","Muy buena",0.025,0.194,0.095
"P49","Buena",0.069,0.326,0.098
"P49","Ni buena ni mala",0.119,0.255,0.228
"P49","Mala",0.274,0.1,0.138
"P49","Muy mala",0.5,0.117,0.386
"P49","No sabe",0.013,0.008,0.055
"P50","Muy buena",0.189,0.032,0.017
"P50","Buena",0.393,0.045,0.051
"P50","Ni buena ni mala",0.301,0.078,0.287
"P50","Mala",0.066,0.167,0.189
"P50","Muy mala",0.04,0.659,0.426
"P50","No sabe",0.011,0.019,0.03
"P51","Muy buena",0.038,0.467,0.135
"P51","Buena",0.06,0.284,0.127
"P51","Ni buena ni mala",0.075,0.118,0.252
"P51","Mala",0.135,0.04,0.116
"P51","Muy mala",0.673,0.077,0.35
"P51","No sabe",0.019,0.014,0.02
"P52","Muy buena",0.041,0.282,0.243
"P52","Buena",0.014,0.241,0.125
"P52","Ni buena ni mala",0.088,0.277,0.22
"P52","Mala",0.147,0.112,0.094
"P52","Muy mala",0.687,0.076,0.286
"P52","No sabe",0.023,0.012,0.032
"P53","Muy buena",0.012,0.274,0.078
"P53","Buena",0.029,0.324,0.079
"P53","Ni buena ni mala",0.093,0.25,0.251
"P53","Mala",0.19,0.069,0.151
"P53","Muy mala",0.668,0.08,0.386
"P53","No sabe",0.008,0.003,0.055
"P54","Muy buena",0.156,0.037,0.035
"P54","Buena",0.338,0.044,0.101
"P54","Ni buena ni mala",0.322,0.104,0.265
"P54","Mala",0.073,0.176,0.155
"P54","Muy mala",0.101,0.635,0.395
"P54","No sabe",0.01,0.004,0.049
"P55","Muy buena",0.072,0.061,0.057
"P55","Buena",0.173,0.136,0.111
"P55","Ni buena ni mala",0.362,0.305,0.316
"P55","Mala",0.163,0.172,0.152
"P55","Muy mala",0.179,0.266,0.233
"P55","No sabe",0.051,0.06,0.131
"P57","Siempre",0.346,0.295,0.294
"P57","Casi siempre",0.364,0.436,0.291
"P57","Casi nunca",0.218,0.195,0.242
"P57","Nunca, pero esta es una excepción",0.072,0.074,0.173
"P58","Si",0.626,0.596,0.589
"P58","No",0.374,0.404,0.411
