"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P22","Nunca la votaría",0.9,0.276,0.638
"P22","No sabe",0.045,0.061,0.114
"P23","Lo votaría",0.168,0.025,0.042
"P23","Puede que lo vote",0.444,0.073,0.141
"P23","Nunca lo votaría",0.339,0.872,0.723
"P23","No sabe",0.049,0.03,0.094
"P24","Lo votaría",0.031,0.061,0.023
"P24","Puede que lo vote",0.075,0.241,0.129
"P24","Nunca lo votaría",0.8,0.614,0.726
"P24","No sabe",0.094,0.084,0.122
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.763,0.013,0.216
"P26","Alberto Fernández por el Frente de Todos",0.101,0.008,0.008
"P26","Mauricio Macri por Juntos por el cambio",0.032,0.277,0.101
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.193,0.037
"P26","Patricia Bullrich por Juntos por el Cambio",0.005,0.279,0.132
"P26","Facundo Manes por Juntos por el Cambio",0.022,0.051,0.031
"P26","Javier Milei por los liberales libertarios",0.029,0.142,0.351
"P26","Nicolás del Caño por la izquierda",0.012,0.003,0.026
"P26","Aún no lo tengo decidido",0.023,0.034,0.098
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.257,0.04
"P27","Patricia Bullrich por Juntos por el Cambio",0.016,0.459,0.19
"P27","Facundo Manes por Juntos por el Cambio",0.009,0.055,0.028
"P27","Alberto Fernández por el Frente de Todos",0.324,0.003,0.016
"P27","Sergio Massa por el Frente de Todos",0.445,0.016,0.135
"P27","Javier Milei por los liberales libertarios",0.025,0.159,0.372
"P27","Nicolás del Caño por la izquierda",0.034,0.005,0.046
"P27","Otros candidatos",0.053,0.028,0.069
"P27","Aún no lo tengo decidido",0.072,0.018,0.104
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.84,0.039,0.199
"P28","Mauricio Macri por Juntos por el Cambio",0.022,0.547,0.149
"P28","Javier Milei por los liberales libertarios",0.029,0.234,0.412
"P28","Nicolás del Caño por la izquierda",0.024,0.015,0.035
"P28","Otro candidato",0.03,0.11,0.073
"P28","Aún no lo tengo decidido",0.055,0.055,0.132
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.087,0.544,0.043
"P30","Alberto Fernández por el Frente de Todos",0.627,0.028,0.043
"P30","Javier Milei por los liberales libertarios",0.05,0.275,0.462
"P30","Nicolás del Caño por la izquierda",0.036,0.014,0.05
"P30","Otro candidato",0.083,0.088,0.196
"P30","Aún no lo tengo decidido",0.117,0.051,0.206
"P32","Sergio Massa presidente por el Frente de Todos",0.628,0.038,0.131
"P32","Patricia Bullrich por Juntos por el Cambio",0.055,0.623,0.203
"P32","Javier Milei por los liberales libertarios",0.034,0.194,0.372
"P32","Nicolás del Caño por la izquierda",0.057,0.004,0.043
"P32","Otro candidato",0.112,0.097,0.119
"P32","Aún no lo tengo decidido",0.114,0.044,0.132
"P34","Sergio Massa presidente por el Frente de Todos",0.63,0.054,0.112
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.556,0.058
"P34","Javier Milei por los liberales libertarios",0.055,0.258,0.456
"P34","Nicolás del Caño por la izquierda",0.037,0.005,0.032
"P34","Otro candidato",0.108,0.081,0.184
"P34","Aún no lo tengo decidido",0.112,0.046,0.158
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.817,0.062,0.214
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.561,0.026
"P36","Javier Milei por los liberales libertarios",0.047,0.261,0.475
"P36","Nicolás del Caño por la izquierda",0.017,0.005,0.038
"P36","Otro candidato",0.031,0.074,0.141
"P36","Aún no lo tengo decidido",0.039,0.037,0.106
"P37","Sergio Massa presidente por el Frente de Todos",0.679,0.034,0.142
"P37","Mauricio Macri por Juntos por el Cambio",0.028,0.584,0.151
"P37","Javier Milei por los liberales libertarios",0.051,0.235,0.42
"P37","Nicolás del Caño por la izquierda",0.028,0.012,0.037
"P37","Otro candidato",0.118,0.094,0.129
"P37","Aún no lo tengo decidido",0.096,0.041,0.121
"P38","Alberto Fernández por el Frente de Todos",0.723,0.026,0.032
"P38","Mauricio Macri por Juntos por el Cambio",0.023,0.589,0.162
"P38","Javier Milei por los liberales libertarios",0.035,0.233,0.416
"P38","Nicolás del Caño por la izquierda",0.042,0.019,0.042
"P38","Otro candidato",0.102,0.097,0.192
"P38","Aún no lo tengo decidido",0.075,0.036,0.156
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.903,0.055,0.225
"P39","Mauricio Macri por Juntos por el Cambio",0.054,0.825,0.297
"P39","No sabe",0.043,0.12,0.478
"P41","Sergio Massa presidente por el Frente de Todos",0.805,0.056,0.151
"P41","Patricia Bullrich por Juntos por el Cambio",0.062,0.861,0.373
"P41","No sabe",0.133,0.083,0.476
"P42","Sergio Massa presidente por el Frente de Todos",0.811,0.048,0.188
"P42","Mauricio Macri por Juntos por el Cambio",0.047,0.863,0.346
"P42","No sabe",0.142,0.089,0.466
"P43","Sergio Massa presidente por el Frente de Todos",0.766,0.058,0.177
"P43","Javier Milei por los liberales libertarios",0.07,0.597,0.485
"P43","No sabe",0.164,0.345,0.338
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.133,0.499,0.078
"P44","Javier Milei por los liberales libertarios",0.08,0.379,0.492
"P44","No sabe",0.787,0.122,0.43
"P45","Muy buena",0.119,0.039,0.022
"P45","Buena",0.322,0.045,0.086
"P45","Ni buena ni mala",0.393,0.047,0.201
"P45","Mala",0.1,0.113,0.123
"P45","Muy mala",0.043,0.752,0.551
"P45","No sabe",0.023,0.004,0.017
"P46","Muy buena",0.185,0.005,0.015
"P46","Buena",0.32,0.019,0.04
"P46","Ni buena ni mala",0.349,0.055,0.192
"P46","Mala",0.091,0.103,0.142
"P46","Muy mala",0.053,0.816,0.582
"P46","No sabe",0.002,0.002,0.029
"P47","Muy buena",0.653,0.012,0.165
"P47","Buena",0.167,0.012,0.051
"P47","Ni buena ni mala",0.094,0.023,0.097
"P47","Mala",0.023,0.082,0.078
"P47","Muy mala",0.062,0.868,0.597
"P47","No sabe",0.001,0.003,0.012
"P48","Muy buena",0.067,0.271,0.128
"P48","Buena",0.041,0.328,0.093
"P48","Ni buena ni mala",0.063,0.189,0.209
"P48","Mala",0.201,0.079,0.179
"P48","Muy mala",0.624,0.132,0.373
"P48","No sabe",0.004,0.001,0.018
"P49","Muy buena",0.041,0.237,0.036
"P49","Buena",0.042,0.408,0.05
"P49","Ni buena ni mala",0.124,0.243,0.236
"P49","Mala",0.227,0.058,0.242
"P49","Muy mala",0.552,0.047,0.396
"P49","No sabe",0.014,0.007,0.04
"P50","Muy buena",0.157,0.039,0.051
"P50","Buena",0.341,0.056,0.108
"P50","Ni buena ni mala",0.312,0.131,0.161
"P50","Mala",0.085,0.168,0.157
"P50","Muy mala",0.092,0.588,0.497
"P50","No sabe",0.013,0.018,0.026
"P51","Muy buena",0.037,0.438,0.237
"P51","Buena",0.078,0.268,0.161
"P51","Ni buena ni mala",0.094,0.146,0.153
"P51","Mala",0.131,0.039,0.107
"P51","Muy mala",0.647,0.098,0.314
"P51","No sabe",0.013,0.011,0.028
"P52","Muy buena",0.037,0.211,0.337
"P52","Buena",0.025,0.223,0.155
"P52","Ni buena ni mala",0.117,0.318,0.139
"P52","Mala",0.147,0.132,0.074
"P52","Muy mala",0.645,0.106,0.271
"P52","No sabe",0.029,0.01,0.024
"P53","Muy buena",0.009,0.293,0.089
"P53","Buena",0.032,0.323,0.126
"P53","Ni buena ni mala",0.114,0.262,0.203
"P53","Mala",0.16,0.058,0.177
"P53","Muy mala",0.666,0.061,0.374
"P53","No sabe",0.019,0.003,0.031
"P54","Muy buena",0.147,0.044,0.044
"P54","Buena",0.341,0.062,0.081
"P54","Ni buena ni mala",0.323,0.133,0.195
"P54","Mala",0.073,0.183,0.142
"P54","Muy mala",0.102,0.574,0.505
"P54","No sabe",0.014,0.004,0.033
"P55","Muy buena",0.042,0.085,0.053
"P55","Buena",0.167,0.179,0.066
"P55","Ni buena ni mala",0.348,0.336,0.287
"P55","Mala",0.168,0.164,0.163
"P55","Muy mala",0.197,0.204,0.307
"P55","No sabe",0.078,0.032,0.124
"P57","Siempre",0.301,0.304,0.327
"P57","Casi siempre",0.381,0.436,0.315
"P57","Casi nunca",0.226,0.188,0.233
"P57","Nunca, pero esta es una excepción",0.092,0.072,0.125
"P58","Si",0.621,0.603,0.589
"P58","No",0.379,0.397,0.411
