"var","categoria","Sergio Massa presidente por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P18","No sabe",0.035,0.045,0.051,0.112,0.094,0.201
"P19","Lo votaría",0.037,0.1,0.024,0.041,0.104,0.088
"P19","Puede que lo vote",0.172,0.256,0.207,0.189,0.216,0.164
"P19","Nunca lo votaría",0.674,0.562,0.674,0.704,0.542,0.45
"P19","No sabe",0.117,0.082,0.095,0.066,0.138,0.298
"P20","La votaría",0.038,0.623,0.316,0.164,0.176,0.15
"P20","Puede que la vote",0.044,0.216,0.387,0.039,0.146,0.174
"P20","Nunca la votaría",0.888,0.125,0.262,0.689,0.594,0.511
"P20","No sabe",0.03,0.036,0.035,0.108,0.084,0.165
"P21","Lo votaría",0.027,0.149,0.714,0.018,0.031,0.069
"P21","Puede que lo vote",0.034,0.37,0.214,0.108,0.173,0.103
"P21","Nunca lo votaría",0.896,0.437,0.049,0.817,0.717,0.619
"P21","No sabe",0.043,0.044,0.023,0.057,0.079,0.209
"P22","La votaría",0.021,0.297,0.126,0.025,0.068,0.07
"P22","Puede que la vote",0.04,0.392,0.276,0.277,0.188,0.138
"P22","Nunca la votaría",0.893,0.266,0.515,0.653,0.619,0.579
"P22","No sabe",0.046,0.045,0.083,0.045,0.125,0.213
"P23","Lo votaría",0.198,0.022,0.005,0.028,0.077,0.046
"P23","Puede que lo vote",0.429,0.067,0.076,0.297,0.207,0.219
"P23","Nunca lo votaría",0.308,0.888,0.875,0.618,0.622,0.555
"P23","No sabe",0.065,0.023,0.044,0.057,0.094,0.18
"P24","Lo votaría",0.029,0.071,0.022,0.057,0.055,0.022
"P24","Puede que lo vote",0.11,0.238,0.136,0.245,0.153,0.164
"P24","Nunca lo votaría",0.762,0.624,0.742,0.634,0.689,0.558
"P24","No sabe",0.099,0.067,0.1,0.064,0.103,0.256
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.777,0.016,0.032,0.239,0.4,0.362
"P26","Alberto Fernández por el Frente de Todos",0.09,0.011,0.001,0.045,0.035,0.051
"P26","Mauricio Macri por Juntos por el cambio",0.032,0.452,0.03,0.018,0.026,0.029
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.144,0.048,0.064,0.177,0.141
"P26","Patricia Bullrich por Juntos por el Cambio",0.009,0.309,0.149,0.129,0.134,0.096
"P26","Facundo Manes por Juntos por el Cambio",0.017,0.025,0.043,0.033,0.104,0.063
"P26","Javier Milei por los liberales libertarios",0.01,0.017,0.673,0.004,0.01,0.024
"P26","Nicolás del Caño por la izquierda",0.002,0.001,0.004,0.462,0,0.016
"P26","Aún no lo tengo decidido",0.038,0.025,0.02,0.006,0.114,0.218
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.255,0.06,0.075,0.175,0.093
"P27","Patricia Bullrich por Juntos por el Cambio",0.016,0.595,0.167,0.084,0.18,0.146
"P27","Facundo Manes por Juntos por el Cambio",0.019,0.037,0.014,0.01,0.094,0.057
"P27","Alberto Fernández por el Frente de Todos",0.224,0.009,0.008,0.06,0.157,0.207
"P27","Sergio Massa por el Frente de Todos",0.601,0.007,0.017,0.045,0.082,0.073
"P27","Javier Milei por los liberales libertarios",0.007,0.045,0.684,0.046,0.01,0.031
"P27","Nicolás del Caño por la izquierda",0.005,0.003,0.031,0.602,0.007,0.025
"P27","Otros candidatos",0.036,0.023,0.004,0.05,0.206,0.087
"P27","Aún no lo tengo decidido",0.061,0.026,0.015,0.028,0.089,0.281
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.85,0.032,0.048,0.218,0.414,0.339
"P28","Mauricio Macri por Juntos por el Cambio",0.019,0.834,0.057,0.031,0.045,0.065
"P28","Javier Milei por los liberales libertarios",0.015,0.049,0.841,0.071,0.037,0.063
"P28","Nicolás del Caño por la izquierda",0.006,0.009,0,0.633,0.011,0.041
"P28","Otro candidato",0.051,0.032,0.016,0.041,0.372,0.086
"P28","Aún no lo tengo decidido",0.059,0.044,0.038,0.006,0.121,0.406
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.111,0.604,0.067,0.092,0.197,0.127
"P30","Alberto Fernández por el Frente de Todos",0.577,0.047,0.021,0.073,0.181,0.211
"P30","Javier Milei por los liberales libertarios",0.015,0.162,0.865,0.008,0.036,0.054
"P30","Nicolás del Caño por la izquierda",0.03,0.002,0.011,0.749,0.013,0.04
"P30","Otro candidato",0.118,0.091,0.008,0.073,0.48,0.137
"P30","Aún no lo tengo decidido",0.149,0.094,0.028,0.005,0.093,0.431
"P32","Sergio Massa presidente por el Frente de Todos",0.805,0.035,0.018,0.047,0.081,0.075
"P32","Patricia Bullrich por Juntos por el Cambio",0.054,0.764,0.206,0.119,0.189,0.199
"P32","Javier Milei por los liberales libertarios",0.004,0.087,0.728,0.011,0.014,0.027
"P32","Nicolás del Caño por la izquierda",0.016,0.004,0,0.794,0.017,0.067
"P32","Otro candidato",0.034,0.054,0.019,0.019,0.581,0.16
"P32","Aún no lo tengo decidido",0.087,0.056,0.029,0.01,0.118,0.472
"P34","Sergio Massa presidente por el Frente de Todos",0.784,0.062,0.035,0.017,0.093,0.086
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.084,0.631,0.069,0.172,0.166,0.149
"P34","Javier Milei por los liberales libertarios",0.014,0.136,0.876,0.013,0.031,0.033
"P34","Nicolás del Caño por la izquierda",0.008,0.002,0,0.738,0.01,0.021
"P34","Otro candidato",0.054,0.106,0.006,0.06,0.597,0.101
"P34","Aún no lo tengo decidido",0.056,0.063,0.014,0,0.103,0.61
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.86,0.049,0.05,0.232,0.424,0.319
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.061,0.662,0.039,0.135,0.17,0.123
"P36","Javier Milei por los liberales libertarios",0.012,0.144,0.894,0.049,0.028,0.011
"P36","Nicolás del Caño por la izquierda",0.003,0.003,0,0.566,0.004,0.048
"P36","Otro candidato",0.03,0.093,0.005,0.018,0.356,0.1
"P36","Aún no lo tengo decidido",0.034,0.049,0.012,0,0.018,0.399
"P38","Alberto Fernández por el Frente de Todos",0.729,0.017,0.01,0.123,0.184,0.163
"P38","Mauricio Macri por Juntos por el Cambio",0.01,0.923,0.051,0.014,0.036,0.083
"P38","Javier Milei por los liberales libertarios",0.026,0.022,0.908,0.006,0.009,0.028
"P38","Nicolás del Caño por la izquierda",0.023,0.001,0.01,0.829,0.008,0.04
"P38","Otro candidato",0.115,0.012,0.017,0.014,0.728,0.092
"P38","Aún no lo tengo decidido",0.097,0.025,0.004,0.014,0.035,0.594
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.884,0.064,0.037,0.442,0.472,0.432
"P39","Mauricio Macri por Juntos por el Cambio",0.051,0.917,0.488,0.221,0.2,0.202
"P39","No sabe",0.065,0.019,0.475,0.337,0.328,0.366
"P40","Alberto Fernández por el Frente de Todos",0.765,0.027,0.058,0.323,0.293,0.328
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.815,0.403,0.203,0.348,0.209
"P40","No sabe",0.178,0.158,0.539,0.474,0.359,0.463
"P41","Sergio Massa presidente por el Frente de Todos",0.902,0.034,0.042,0.353,0.197,0.236
"P41","Patricia Bullrich por Juntos por el Cambio",0.03,0.883,0.658,0.221,0.312,0.266
"P41","No sabe",0.068,0.083,0.3,0.426,0.491,0.498
"P42","Sergio Massa presidente por el Frente de Todos",0.916,0.02,0.049,0.48,0.223,0.243
"P42","Mauricio Macri por Juntos por el Cambio",0.034,0.96,0.604,0.077,0.224,0.195
"P42","No sabe",0.05,0.02,0.347,0.443,0.553,0.562
"P43","Sergio Massa presidente por el Frente de Todos",0.881,0.043,0.01,0.457,0.255,0.213
"P43","Javier Milei por los liberales libertarios",0.047,0.51,0.895,0.173,0.189,0.15
"P43","No sabe",0.072,0.447,0.095,0.37,0.556,0.637
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.175,0.528,0.065,0.26,0.338,0.135
"P44","Javier Milei por los liberales libertarios",0.054,0.274,0.884,0.091,0.107,0.092
"P44","No sabe",0.771,0.198,0.051,0.649,0.555,0.773
"P45","Muy buena",0.097,0.046,0.009,0.073,0.086,0.053
"P45","Buena",0.323,0.031,0.077,0.075,0.131,0.125
"P45","Ni buena ni mala",0.409,0.034,0.062,0.21,0.29,0.332
"P45","Mala",0.108,0.094,0.093,0.226,0.166,0.15
"P45","Muy mala",0.051,0.782,0.759,0.411,0.314,0.282
"P45","No sabe",0.012,0.013,0,0.005,0.013,0.058
"P46","Muy buena",0.129,0.008,0.02,0.041,0.093,0.089
"P46","Buena",0.323,0.012,0.006,0.149,0.117,0.085
"P46","Ni buena ni mala",0.378,0.058,0.052,0.183,0.218,0.332
"P46","Mala",0.115,0.089,0.091,0.172,0.19,0.126
"P46","Muy mala",0.055,0.829,0.814,0.443,0.376,0.315
"P46","No sabe",0,0.004,0.017,0.012,0.006,0.053
"P47","Muy buena",0.634,0.017,0.024,0.197,0.366,0.274
"P47","Buena",0.167,0.007,0.021,0.14,0.054,0.108
"P47","Ni buena ni mala",0.103,0.014,0.035,0.153,0.108,0.147
"P47","Mala",0.051,0.073,0.045,0.128,0.101,0.066
"P47","Muy mala",0.043,0.883,0.865,0.382,0.37,0.4
"P47","No sabe",0.002,0.006,0.01,0,0.001,0.005
"P48","Muy buena",0.069,0.426,0.074,0.006,0.059,0.042
"P48","Buena",0.049,0.335,0.192,0.022,0.125,0.063
"P48","Ni buena ni mala",0.045,0.136,0.319,0.052,0.136,0.193
"P48","Mala",0.193,0.035,0.141,0.215,0.263,0.215
"P48","Muy mala",0.641,0.067,0.266,0.691,0.417,0.443
"P48","No sabe",0.003,0.001,0.008,0.014,0,0.044
"P49","Muy buena",0.034,0.272,0.056,0.038,0.115,0.068
"P49","Buena",0.056,0.376,0.179,0.171,0.141,0.134
"P49","Ni buena ni mala",0.122,0.217,0.249,0.12,0.312,0.209
"P49","Mala",0.269,0.079,0.162,0.132,0.098,0.218
"P49","Muy mala",0.515,0.05,0.318,0.539,0.309,0.306
"P49","No sabe",0.004,0.006,0.036,0,0.025,0.065
"P50","Muy buena",0.232,0.043,0.002,0.007,0.027,0.021
"P50","Buena",0.418,0.038,0.063,0.108,0.101,0.085
"P50","Ni buena ni mala",0.251,0.093,0.075,0.353,0.382,0.393
"P50","Mala",0.048,0.171,0.161,0.261,0.156,0.213
"P50","Muy mala",0.047,0.636,0.679,0.271,0.309,0.225
"P50","No sabe",0.004,0.019,0.02,0,0.025,0.063
"P51","Muy buena",0.029,0.531,0.308,0.133,0.109,0.156
"P51","Buena",0.066,0.264,0.269,0.035,0.134,0.097
"P51","Ni buena ni mala",0.068,0.102,0.19,0.077,0.246,0.145
"P51","Mala",0.151,0.029,0.067,0.098,0.09,0.133
"P51","Muy mala",0.665,0.063,0.15,0.657,0.419,0.416
"P51","No sabe",0.021,0.011,0.016,0,0.002,0.053
"P52","Muy buena",0.011,0.131,0.618,0.076,0.051,0.023
"P52","Buena",0.024,0.229,0.246,0.01,0.104,0.037
"P52","Ni buena ni mala",0.085,0.369,0.083,0.038,0.317,0.278
"P52","Mala",0.159,0.156,0.025,0.172,0.109,0.137
"P52","Muy mala",0.695,0.096,0.026,0.704,0.408,0.453
"P52","No sabe",0.026,0.019,0.002,0,0.011,0.072
"P53","Muy buena",0.006,0.342,0.134,0.048,0.088,0.088
"P53","Buena",0.036,0.339,0.197,0.07,0.148,0.094
"P53","Ni buena ni mala",0.084,0.23,0.285,0.087,0.213,0.25
"P53","Mala",0.19,0.042,0.15,0.218,0.11,0.119
"P53","Muy mala",0.675,0.045,0.229,0.561,0.406,0.351
"P53","No sabe",0.009,0.002,0.005,0.016,0.035,0.098
"P54","Muy buena",0.188,0.046,0.017,0.039,0.039,0.037
"P54","Buena",0.393,0.04,0.019,0.142,0.165,0.117
"P54","Ni buena ni mala",0.266,0.112,0.121,0.296,0.335,0.399
"P54","Mala",0.061,0.17,0.175,0.132,0.138,0.18
"P54","Muy mala",0.09,0.629,0.644,0.391,0.297,0.197
"P54","No sabe",0.002,0.003,0.024,0,0.026,0.07
"P55","Muy buena",0.054,0.056,0.051,0.034,0.096,0.12
"P55","Buena",0.191,0.165,0.069,0.165,0.144,0.109
"P55","Ni buena ni mala",0.342,0.324,0.295,0.304,0.327,0.369
"P55","Mala",0.167,0.174,0.168,0.161,0.174,0.102
"P55","Muy mala",0.18,0.25,0.298,0.311,0.186,0.171
"P55","No sabe",0.066,0.031,0.119,0.025,0.073,0.129
"P57","Siempre",0.356,0.313,0.3,0.407,0.257,0.224
"P57","Casi siempre",0.344,0.43,0.362,0.397,0.356,0.441
"P57","Casi nunca",0.221,0.185,0.219,0.171,0.243,0.236
"P57","Nunca, pero esta es una excepción",0.079,0.072,0.119,0.025,0.144,0.099
"P58","Si",0.621,0.601,0.602,0.759,0.622,0.486
"P58","No",0.379,0.399,0.398,0.241,0.378,0.514
