"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Maria Eugenia Vidal","Muy mala",0.318,0.343,0.292,0.364,0.345,0.307,0.216,0.294,0.327,0.331,0.314,0.242,0.295,0.357,0.61,0.091,0.165
"Maria Eugenia Vidal","No sabe",0.016,0.008,0.024,0.005,0.028,0.013,0.006,0.032,0.006,0.012,0.02,0.017,0.044,0.007,0.018,0.01,0
"Horacio Rodriguez Larreta","Muy buena",0.123,0.095,0.153,0.078,0.107,0.14,0.19,0.123,0.128,0.117,0.117,0.127,0.132,0.125,0.038,0.217,0.057
"Horacio Rodriguez Larreta","Buena",0.201,0.194,0.208,0.149,0.173,0.236,0.278,0.188,0.2,0.215,0.205,0.147,0.156,0.228,0.055,0.334,0.305
"Horacio Rodriguez Larreta","Ni buena ni mala",0.209,0.205,0.214,0.174,0.232,0.209,0.207,0.26,0.182,0.194,0.222,0.249,0.174,0.186,0.159,0.235,0.369
"Horacio Rodriguez Larreta","Mala",0.159,0.182,0.135,0.181,0.178,0.147,0.108,0.162,0.166,0.149,0.147,0.222,0.129,0.148,0.241,0.09,0.144
"Horacio Rodriguez Larreta","Muy mala",0.288,0.311,0.264,0.4,0.286,0.247,0.209,0.235,0.309,0.312,0.29,0.211,0.349,0.31,0.478,0.119,0.114
"Horacio Rodriguez Larreta","No sabe",0.02,0.013,0.026,0.018,0.024,0.021,0.008,0.032,0.015,0.013,0.019,0.044,0.06,0.003,0.029,0.005,0.011
"Mauricio Macri","Muy buena",0.173,0.161,0.186,0.117,0.154,0.18,0.275,0.189,0.163,0.17,0.183,0.138,0.158,0.181,0.055,0.331,0.028
"Mauricio Macri","Buena",0.179,0.176,0.183,0.177,0.14,0.21,0.224,0.158,0.188,0.188,0.198,0.187,0.144,0.165,0.042,0.315,0.148
"Mauricio Macri","Ni buena ni mala",0.161,0.166,0.156,0.184,0.188,0.137,0.107,0.179,0.163,0.142,0.185,0.154,0.218,0.135,0.094,0.173,0.282
"Mauricio Macri","Mala",0.143,0.146,0.138,0.198,0.138,0.123,0.108,0.134,0.148,0.143,0.126,0.179,0.152,0.14,0.194,0.059,0.241
"Mauricio Macri","Muy mala",0.337,0.349,0.325,0.315,0.372,0.348,0.277,0.331,0.329,0.355,0.302,0.339,0.296,0.374,0.611,0.121,0.296
"Mauricio Macri","No sabe",0.007,0.002,0.012,0.009,0.008,0.002,0.009,0.009,0.009,0.002,0.006,0.003,0.032,0.005,0.004,0.001,0.005
"Daniel Scioli","Muy buena",0.071,0.076,0.066,0.049,0.075,0.078,0.083,0.099,0.063,0.054,0.073,0.06,0.024,0.083,0.137,0.04,0.042
"Daniel Scioli","Buena",0.142,0.151,0.133,0.154,0.114,0.17,0.15,0.152,0.145,0.129,0.133,0.141,0.108,0.156,0.309,0.036,0.119
"Daniel Scioli","Ni buena ni mala",0.203,0.158,0.25,0.216,0.216,0.173,0.198,0.225,0.209,0.173,0.173,0.292,0.144,0.2,0.29,0.126,0.226
"Daniel Scioli","Mala",0.141,0.145,0.138,0.12,0.139,0.146,0.167,0.128,0.168,0.12,0.135,0.154,0.189,0.134,0.076,0.179,0.305
"Daniel Scioli","Muy mala",0.427,0.468,0.383,0.447,0.428,0.431,0.392,0.369,0.404,0.514,0.456,0.347,0.498,0.423,0.175,0.617,0.308
"Daniel Scioli","No sabe",0.016,0.002,0.03,0.014,0.028,0.002,0.01,0.027,0.011,0.01,0.03,0.006,0.037,0.004,0.013,0.002,0
"Sergio Massa","Muy buena",0.074,0.069,0.08,0.047,0.08,0.079,0.092,0.103,0.067,0.056,0.061,0.106,0.09,0.07,0.146,0.034,0.04
"Sergio Massa","Buena",0.148,0.151,0.145,0.157,0.132,0.159,0.156,0.138,0.155,0.149,0.152,0.166,0.104,0.144,0.317,0.053,0.147
"Sergio Massa","Ni buena ni mala",0.188,0.159,0.219,0.186,0.195,0.189,0.177,0.233,0.168,0.17,0.166,0.193,0.119,0.217,0.279,0.105,0.28
"Sergio Massa","Mala",0.143,0.14,0.145,0.138,0.148,0.122,0.166,0.111,0.162,0.148,0.127,0.184,0.177,0.132,0.097,0.157,0.31
"Sergio Massa","Muy mala",0.428,0.471,0.382,0.454,0.414,0.443,0.399,0.379,0.431,0.472,0.459,0.337,0.468,0.433,0.143,0.637,0.223
"Sergio Massa","No sabe",0.019,0.01,0.029,0.018,0.031,0.008,0.01,0.036,0.017,0.005,0.035,0.014,0.042,0.004,0.018,0.014,0
"CFK","Muy buena",0.231,0.197,0.266,0.158,0.277,0.252,0.192,0.263,0.205,0.232,0.209,0.218,0.171,0.264,0.583,0.031,0.026
"CFK","Buena",0.065,0.067,0.064,0.062,0.061,0.072,0.071,0.087,0.062,0.049,0.057,0.099,0.076,0.057,0.142,0.006,0.109
"CFK","Ni buena ni mala",0.065,0.054,0.077,0.11,0.059,0.041,0.054,0.073,0.069,0.051,0.055,0.101,0.063,0.058,0.078,0.026,0.048
"CFK","Mala",0.065,0.064,0.065,0.075,0.062,0.047,0.084,0.064,0.072,0.057,0.058,0.062,0.066,0.072,0.043,0.067,0.266
"CFK","Muy mala",0.569,0.613,0.523,0.582,0.539,0.587,0.593,0.511,0.585,0.605,0.615,0.518,0.62,0.543,0.151,0.866,0.551
"CFK","No sabe",0.005,0.005,0.005,0.013,0.002,0.001,0.006,0.002,0.007,0.006,0.006,0.002,0.004,0.006,0.003,0.004,0
"Alberto Fernandez","Muy buena",0.056,0.032,0.082,0.047,0.08,0.047,0.029,0.098,0.043,0.032,0.053,0.084,0.032,0.051,0.124,0.013,0.032
"Alberto Fernandez","Buena",0.106,0.099,0.114,0.067,0.094,0.132,0.146,0.114,0.095,0.112,0.083,0.097,0.105,0.13,0.241,0.017,0.115
"Alberto Fernandez","Ni buena ni mala",0.175,0.165,0.186,0.213,0.174,0.164,0.148,0.2,0.183,0.142,0.155,0.245,0.132,0.171,0.343,0.055,0.129
"Alberto Fernandez","Mala",0.112,0.1,0.124,0.073,0.125,0.118,0.125,0.091,0.115,0.129,0.122,0.097,0.109,0.11,0.119,0.103,0.251
"Alberto Fernandez","Muy mala",0.54,0.598,0.479,0.582,0.518,0.53,0.547,0.485,0.551,0.58,0.578,0.47,0.587,0.529,0.17,0.808,0.469
"Alberto Fernandez","No sabe",0.011,0.006,0.015,0.018,0.009,0.009,0.005,0.012,0.013,0.005,0.009,0.007,0.035,0.009,0.003,0.004,0.004
