"var","categoria","Sergio Massa presidente por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P18","Lo votaría",0.06,0.436,0.036,0.058,0.096,0.039
"P18","Puede que lo vote",0.109,0.374,0.286,0.088,0.179,0.179
"P18","Nunca lo votaría",0.787,0.142,0.644,0.749,0.656,0.574
"P18","No sabe",0.044,0.048,0.034,0.105,0.069,0.208
"P19","Lo votaría",0.043,0.116,0.023,0.037,0.115,0.043
"P19","Puede que lo vote",0.17,0.317,0.195,0.133,0.147,0.169
"P19","Nunca lo votaría",0.652,0.478,0.708,0.679,0.646,0.467
"P19","No sabe",0.135,0.089,0.074,0.151,0.092,0.321
"P20","La votaría",0.054,0.506,0.367,0.079,0.311,0.186
"P20","Puede que la vote",0.064,0.27,0.344,0.029,0.116,0.15
"P20","Nunca la votaría",0.836,0.189,0.259,0.78,0.537,0.463
"P20","No sabe",0.046,0.035,0.03,0.112,0.036,0.201
"P21","Lo votaría",0.032,0.107,0.701,0.015,0.052,0.06
"P21","Puede que lo vote",0.05,0.34,0.233,0.049,0.188,0.172
"P21","Nunca lo votaría",0.868,0.496,0.053,0.915,0.712,0.583
"P21","No sabe",0.05,0.057,0.013,0.021,0.048,0.185
"P22","La votaría",0.039,0.29,0.141,0.023,0.055,0.072
"P22","Puede que la vote",0.065,0.386,0.296,0.125,0.217,0.142
"P22","Nunca la votaría",0.836,0.283,0.495,0.782,0.631,0.577
"P22","No sabe",0.06,0.041,0.068,0.07,0.097,0.209
"P23","Lo votaría",0.193,0.028,0.009,0.043,0.098,0.035
"P23","Puede que lo vote",0.402,0.11,0.072,0.293,0.171,0.201
"P23","Nunca lo votaría",0.336,0.841,0.884,0.565,0.667,0.576
"P23","No sabe",0.069,0.021,0.035,0.099,0.064,0.188
"P24","Lo votaría",0.023,0.085,0.014,0.04,0.061,0.036
"P24","Puede que lo vote",0.121,0.286,0.123,0.112,0.148,0.132
"P24","Nunca lo votaría",0.742,0.559,0.784,0.73,0.704,0.596
"P24","No sabe",0.114,0.07,0.079,0.118,0.087,0.236
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.716,0.065,0.035,0.35,0.354,0.343
"P26","Alberto Fernández por el Frente de Todos",0.08,0.016,0.004,0.054,0.036,0.051
"P26","Mauricio Macri por Juntos por el cambio",0.041,0.331,0.094,0.014,0.152,0.111
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.244,0.031,0.032,0.066,0.076
"P26","Patricia Bullrich por Juntos por el Cambio",0.036,0.25,0.178,0.045,0.188,0.102
"P26","Facundo Manes por Juntos por el Cambio",0.031,0.047,0.021,0.037,0.092,0.041
"P26","Javier Milei por los liberales libertarios",0.007,0.023,0.618,0.004,0.013,0.037
"P26","Nicolás del Caño por la izquierda",0.002,0,0.004,0.444,0.005,0.011
"P26","Aún no lo tengo decidido",0.058,0.024,0.015,0.02,0.094,0.228
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.382,0.022,0.051,0.075,0.046
"P27","Patricia Bullrich por Juntos por el Cambio",0.057,0.446,0.231,0.008,0.328,0.178
"P27","Facundo Manes por Juntos por el Cambio",0.015,0.051,0.014,0.026,0.08,0.044
"P27","Alberto Fernández por el Frente de Todos",0.216,0.019,0.013,0.074,0.134,0.205
"P27","Sergio Massa por el Frente de Todos",0.557,0.052,0.017,0.02,0.076,0.062
"P27","Javier Milei por los liberales libertarios",0.008,0.01,0.667,0.004,0.011,0.061
"P27","Nicolás del Caño por la izquierda",0.009,0.005,0.019,0.701,0.006,0.011
"P27","Otros candidatos",0.059,0.009,0.004,0.065,0.205,0.068
"P27","Aún no lo tengo decidido",0.042,0.026,0.013,0.051,0.085,0.325
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.793,0.094,0.036,0.301,0.332,0.382
"P28","Mauricio Macri por Juntos por el Cambio",0.061,0.66,0.149,0.022,0.241,0.153
"P28","Javier Milei por los liberales libertarios",0.015,0.058,0.784,0.016,0.017,0.07
"P28","Nicolás del Caño por la izquierda",0.011,0.01,0,0.56,0.012,0.044
"P28","Otro candidato",0.059,0.103,0.006,0.088,0.269,0.037
"P28","Aún no lo tengo decidido",0.061,0.075,0.025,0.013,0.129,0.314
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.124,0.752,0.038,0.062,0.113,0.076
"P30","Alberto Fernández por el Frente de Todos",0.562,0.074,0.016,0.088,0.17,0.19
"P30","Javier Milei por los liberales libertarios",0.02,0.062,0.905,0,0.036,0.052
"P30","Nicolás del Caño por la izquierda",0.022,0.013,0.014,0.703,0.013,0.019
"P30","Otro candidato",0.131,0.045,0.013,0.131,0.557,0.087
"P30","Aún no lo tengo decidido",0.141,0.054,0.014,0.016,0.111,0.576
"P32","Sergio Massa presidente por el Frente de Todos",0.797,0.074,0.013,0.025,0.06,0.075
"P32","Patricia Bullrich por Juntos por el Cambio",0.085,0.719,0.248,0.065,0.292,0.172
"P32","Javier Milei por los liberales libertarios",0.008,0.065,0.71,0.008,0.018,0.02
"P32","Nicolás del Caño por la izquierda",0.009,0.017,0.001,0.837,0.007,0.061
"P32","Otro candidato",0.036,0.076,0.002,0.027,0.528,0.136
"P32","Aún no lo tengo decidido",0.065,0.049,0.026,0.038,0.095,0.536
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.785,0.137,0.027,0.306,0.355,0.353
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.098,0.779,0.023,0.01,0.085,0.074
"P36","Javier Milei por los liberales libertarios",0.035,0.032,0.931,0.013,0.029,0.023
"P36","Nicolás del Caño por la izquierda",0.004,0.001,0.007,0.592,0.002,0.029
"P36","Otro candidato",0.05,0.025,0.005,0.064,0.494,0.069
"P36","Aún no lo tengo decidido",0.028,0.026,0.007,0.015,0.035,0.452
"P37","Sergio Massa presidente por el Frente de Todos",0.811,0.081,0.013,0.08,0.108,0.137
"P37","Mauricio Macri por Juntos por el Cambio",0.074,0.707,0.145,0.021,0.241,0.178
"P37","Javier Milei por los liberales libertarios",0.037,0.068,0.816,0,0.012,0.034
"P37","Nicolás del Caño por la izquierda",0.002,0.017,0.001,0.775,0.012,0
"P37","Otro candidato",0.045,0.076,0.014,0.047,0.556,0.119
"P37","Aún no lo tengo decidido",0.031,0.051,0.011,0.077,0.071,0.532
"P38","Alberto Fernández por el Frente de Todos",0.695,0.065,0.011,0.088,0.165,0.195
"P38","Mauricio Macri por Juntos por el Cambio",0.075,0.698,0.161,0.023,0.282,0.168
"P38","Javier Milei por los liberales libertarios",0.011,0.069,0.8,0,0.004,0.043
"P38","Nicolás del Caño por la izquierda",0.019,0.019,0.002,0.804,0.018,0.022
"P38","Otro candidato",0.139,0.086,0.014,0.064,0.456,0.12
"P38","Aún no lo tengo decidido",0.061,0.063,0.012,0.021,0.075,0.452
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.84,0.103,0.051,0.595,0.4,0.479
"P39","Mauricio Macri por Juntos por el Cambio",0.093,0.774,0.548,0.097,0.385,0.27
"P39","No sabe",0.067,0.123,0.401,0.308,0.215,0.251
"P40","Alberto Fernández por el Frente de Todos",0.754,0.062,0.058,0.467,0.249,0.314
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.097,0.871,0.405,0.088,0.277,0.192
"P40","No sabe",0.149,0.067,0.537,0.445,0.474,0.494
"P41","Sergio Massa presidente por el Frente de Todos",0.867,0.093,0.044,0.473,0.179,0.24
"P41","Patricia Bullrich por Juntos por el Cambio",0.07,0.803,0.689,0.052,0.405,0.292
"P41","No sabe",0.063,0.104,0.267,0.475,0.416,0.468
"P42","Sergio Massa presidente por el Frente de Todos",0.883,0.095,0.053,0.466,0.19,0.242
"P42","Mauricio Macri por Juntos por el Cambio",0.083,0.801,0.655,0.048,0.403,0.274
"P42","No sabe",0.034,0.104,0.292,0.486,0.407,0.484
"P43","Sergio Massa presidente por el Frente de Todos",0.873,0.07,0.012,0.624,0.218,0.259
"P43","Javier Milei por los liberales libertarios",0.065,0.465,0.907,0.009,0.201,0.13
"P43","No sabe",0.062,0.465,0.081,0.367,0.581,0.611
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.176,0.66,0.031,0.278,0.214,0.162
"P44","Javier Milei por los liberales libertarios",0.08,0.158,0.917,0,0.158,0.068
"P44","No sabe",0.744,0.182,0.052,0.722,0.628,0.77
"P45","Muy buena",0.103,0.069,0.004,0.044,0.067,0.035
"P45","Buena",0.294,0.038,0.087,0.083,0.111,0.175
"P45","Ni buena ni mala",0.383,0.083,0.053,0.359,0.23,0.303
"P45","Mala",0.124,0.116,0.072,0.223,0.146,0.126
"P45","Muy mala",0.085,0.688,0.783,0.286,0.413,0.312
"P45","No sabe",0.011,0.006,0.001,0.005,0.033,0.049
"P46","Muy buena",0.118,0.026,0.025,0.023,0.054,0.096
"P46","Buena",0.294,0.033,0.005,0.167,0.118,0.125
"P46","Ni buena ni mala",0.38,0.073,0.048,0.303,0.187,0.299
"P46","Mala",0.12,0.103,0.082,0.188,0.172,0.111
"P46","Muy mala",0.085,0.755,0.83,0.314,0.46,0.334
"P46","No sabe",0.003,0.01,0.01,0.005,0.009,0.035
"P47","Muy buena",0.611,0.027,0.037,0.217,0.315,0.349
"P47","Buena",0.158,0.031,0.008,0.275,0.053,0.069
"P47","Ni buena ni mala",0.079,0.043,0.038,0.113,0.093,0.124
"P47","Mala",0.064,0.085,0.041,0.134,0.08,0.046
"P47","Muy mala",0.086,0.803,0.872,0.261,0.454,0.412
"P47","No sabe",0.002,0.011,0.004,0,0.005,0
"P48","Muy buena",0.077,0.298,0.152,0.028,0.185,0.129
"P48","Buena",0.049,0.321,0.217,0.017,0.105,0.111
"P48","Ni buena ni mala",0.059,0.176,0.267,0.051,0.111,0.148
"P48","Mala",0.185,0.07,0.132,0.087,0.234,0.179
"P48","Muy mala",0.629,0.127,0.23,0.802,0.361,0.401
"P48","No sabe",0.001,0.008,0.002,0.015,0.004,0.032
"P49","Muy buena",0.047,0.341,0.038,0.016,0.05,0.044
"P49","Buena",0.056,0.434,0.169,0.019,0.135,0.104
"P49","Ni buena ni mala",0.148,0.154,0.258,0.119,0.308,0.277
"P49","Mala",0.277,0.019,0.185,0.185,0.147,0.212
"P49","Muy mala",0.459,0.042,0.322,0.661,0.353,0.305
"P49","No sabe",0.013,0.01,0.028,0,0.007,0.058
"P50","Muy buena",0.223,0.048,0.018,0.025,0.017,0.037
"P50","Buena",0.395,0.076,0.054,0.082,0.084,0.126
"P50","Ni buena ni mala",0.264,0.15,0.063,0.301,0.274,0.343
"P50","Mala",0.036,0.177,0.143,0.316,0.202,0.182
"P50","Muy mala",0.069,0.536,0.711,0.276,0.401,0.238
"P50","No sabe",0.013,0.013,0.011,0,0.022,0.074
"P51","Muy buena",0.057,0.425,0.366,0,0.23,0.174
"P51","Buena",0.076,0.276,0.255,0.022,0.103,0.123
"P51","Ni buena ni mala",0.073,0.141,0.161,0.08,0.144,0.186
"P51","Mala",0.131,0.041,0.056,0.095,0.107,0.146
"P51","Muy mala",0.652,0.104,0.143,0.803,0.399,0.331
"P51","No sabe",0.011,0.013,0.019,0,0.017,0.04
"P52","Muy buena",0.038,0.086,0.602,0,0.037,0.046
"P52","Buena",0.02,0.22,0.249,0,0.121,0.047
"P52","Ni buena ni mala",0.113,0.374,0.092,0.013,0.245,0.316
"P52","Mala",0.154,0.159,0.023,0.08,0.165,0.139
"P52","Muy mala",0.657,0.149,0.025,0.891,0.412,0.381
"P52","No sabe",0.018,0.012,0.009,0.016,0.02,0.071
"P53","Muy buena",0.034,0.331,0.155,0.016,0.077,0.073
"P53","Buena",0.052,0.335,0.197,0.01,0.168,0.103
"P53","Ni buena ni mala",0.092,0.217,0.272,0.066,0.214,0.261
"P53","Mala",0.181,0.04,0.156,0.164,0.119,0.113
"P53","Muy mala",0.634,0.074,0.213,0.735,0.415,0.338
"P53","No sabe",0.007,0.003,0.007,0.009,0.007,0.112
"P54","Muy buena",0.171,0.054,0.028,0.017,0.043,0.056
"P54","Buena",0.37,0.076,0.017,0.068,0.145,0.156
"P54","Ni buena ni mala",0.258,0.149,0.105,0.391,0.296,0.346
"P54","Mala",0.063,0.181,0.167,0.13,0.135,0.155
"P54","Muy mala",0.137,0.53,0.667,0.394,0.372,0.21
"P54","No sabe",0.001,0.01,0.016,0,0.009,0.077
"P55","Muy buena",0.062,0.094,0.029,0.005,0.075,0.075
"P55","Buena",0.173,0.214,0.051,0.055,0.145,0.135
"P55","Ni buena ni mala",0.355,0.319,0.298,0.465,0.286,0.355
"P55","Mala",0.163,0.183,0.174,0.136,0.156,0.111
"P55","Muy mala",0.192,0.164,0.341,0.312,0.273,0.152
"P55","No sabe",0.055,0.026,0.107,0.027,0.065,0.172
"P57","Siempre",0.351,0.321,0.307,0.314,0.28,0.215
"P57","Casi siempre",0.35,0.426,0.377,0.445,0.314,0.453
"P57","Casi nunca",0.227,0.174,0.214,0.186,0.261,0.223
"P57","Nunca, pero esta es una excepción",0.072,0.079,0.102,0.055,0.145,0.109
"P58","Si",0.615,0.599,0.599,0.728,0.618,0.55
"P58","No",0.385,0.401,0.401,0.272,0.382,0.45
