"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P15","Puede que lo vote",0.44,0.128,0.076,0.145,0.171,0.18
"P15","Nunca lo votaría",0.245,0.771,0.844,0.691,0.662,0.541
"P15","No sabe",0.077,0.047,0.026,0.129,0.078,0.161
"P16","Lo votaría",0.258,0.013,0.014,0.03,0.077,0.113
"P16","Puede que lo vote",0.409,0.061,0.032,0.175,0.07,0.099
"P16","Nunca lo votaría",0.235,0.888,0.941,0.694,0.77,0.648
"P16","No sabe",0.098,0.038,0.013,0.101,0.083,0.14
"P17","La votaría",0.789,0.038,0.021,0.102,0.049,0.153
"P17","Puede que la vote",0.122,0.039,0.031,0.221,0.1,0.066
"P17","Nunca la votaría",0.069,0.9,0.94,0.581,0.799,0.642
"P17","No sabe",0.02,0.023,0.008,0.096,0.052,0.139
"P18","Lo votaría",0.081,0.436,0.03,0.056,0.052,0.065
"P18","Puede que lo vote",0.077,0.377,0.291,0.108,0.273,0.266
"P18","Nunca lo votaría",0.802,0.144,0.639,0.602,0.55,0.445
"P18","No sabe",0.04,0.043,0.04,0.234,0.125,0.224
"P19","Lo votaría",0.036,0.128,0.022,0.123,0.116,0.051
"P19","Puede que lo vote",0.165,0.303,0.195,0.157,0.177,0.17
"P19","Nunca lo votaría",0.668,0.475,0.703,0.561,0.593,0.432
"P19","No sabe",0.131,0.094,0.08,0.159,0.114,0.347
"P20","La votaría",0.05,0.509,0.393,0.102,0.391,0.246
"P20","Puede que la vote",0.053,0.258,0.342,0.107,0.191,0.173
"P20","Nunca la votaría",0.853,0.184,0.238,0.656,0.358,0.352
"P20","No sabe",0.044,0.049,0.027,0.135,0.06,0.229
"P21","Lo votaría",0.029,0.101,0.694,0.079,0.076,0.059
"P21","Puede que lo vote",0.053,0.342,0.243,0.068,0.244,0.18
"P21","Nunca lo votaría",0.869,0.494,0.044,0.839,0.633,0.522
"P21","No sabe",0.049,0.063,0.019,0.014,0.047,0.239
"P22","La votaría",0.038,0.302,0.13,0.029,0.077,0.091
"P22","Puede que la vote",0.04,0.377,0.312,0.218,0.262,0.234
"P22","Nunca la votaría",0.864,0.279,0.481,0.602,0.542,0.44
"P22","No sabe",0.058,0.042,0.077,0.151,0.119,0.235
"P23","Lo votaría",0.175,0.032,0.008,0.039,0.026,0.036
"P23","Puede que lo vote",0.422,0.092,0.053,0.123,0.118,0.131
"P23","Nunca lo votaría",0.328,0.85,0.901,0.777,0.798,0.611
"P23","No sabe",0.075,0.026,0.038,0.061,0.058,0.222
"P24","Lo votaría",0.034,0.081,0.014,0.005,0.054,0.053
"P24","Puede que lo vote",0.105,0.277,0.118,0.267,0.218,0.145
"P24","Nunca lo votaría",0.761,0.579,0.784,0.659,0.589,0.479
"P24","No sabe",0.1,0.063,0.084,0.069,0.139,0.323
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.812,0.041,0.013,0.053,0.065,0.113
"P26","Alberto Fernández por el Frente de Todos",0.068,0.016,0.003,0.051,0.036,0.073
"P26","Mauricio Macri por Juntos por el cambio",0.031,0.329,0.113,0.019,0.196,0.165
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.267,0.019,0.12,0.068,0.064
"P26","Patricia Bullrich por Juntos por el Cambio",0.014,0.262,0.196,0.009,0.256,0.147
"P26","Facundo Manes por Juntos por el Cambio",0.02,0.045,0.035,0.113,0.114,0.041
"P26","Javier Milei por los liberales libertarios",0.009,0.015,0.604,0.009,0.026,0.06
"P26","Nicolás del Caño por la izquierda",0.001,0.001,0.004,0.557,0.002,0.017
"P26","Aún no lo tengo decidido",0.015,0.024,0.013,0.069,0.237,0.32
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.383,0.021,0.057,0.071,0.065
"P27","Patricia Bullrich por Juntos por el Cambio",0.036,0.473,0.251,0.086,0.384,0.255
"P27","Facundo Manes por Juntos por el Cambio",0.019,0.05,0.015,0.101,0.083,0.053
"P27","Alberto Fernández por el Frente de Todos",0.255,0.019,0.002,0.031,0.032,0.117
"P27","Sergio Massa por el Frente de Todos",0.442,0.034,0.019,0.037,0.093,0.079
"P27","Javier Milei por los liberales libertarios",0.012,0.004,0.651,0.009,0.039,0.06
"P27","Nicolás del Caño por la izquierda",0.026,0.004,0.023,0.536,0.015,0.009
"P27","Otros candidatos",0.082,0.013,0.003,0.06,0.202,0.04
"P27","Aún no lo tengo decidido",0.081,0.02,0.015,0.083,0.081,0.322
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.869,0.075,0.008,0.06,0.043,0.145
"P28","Mauricio Macri por Juntos por el Cambio",0.043,0.683,0.173,0.034,0.27,0.211
"P28","Javier Milei por los liberales libertarios",0.005,0.052,0.785,0.08,0.039,0.073
"P28","Nicolás del Caño por la izquierda",0.005,0.011,0.001,0.714,0.029,0.048
"P28","Otro candidato",0.028,0.109,0.01,0.036,0.432,0.058
"P28","Aún no lo tengo decidido",0.05,0.07,0.023,0.076,0.187,0.465
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.105,0.77,0.048,0.041,0.118,0.077
"P30","Alberto Fernández por el Frente de Todos",0.526,0.069,0.014,0.024,0.037,0.139
"P30","Javier Milei por los liberales libertarios",0.028,0.048,0.894,0.072,0.039,0.053
"P30","Nicolás del Caño por la izquierda",0.041,0.009,0.006,0.766,0.011,0.002
"P30","Otro candidato",0.146,0.052,0.022,0.036,0.636,0.087
"P30","Aún no lo tengo decidido",0.154,0.052,0.016,0.061,0.159,0.642
"P32","Sergio Massa presidente por el Frente de Todos",0.594,0.062,0.022,0.053,0.118,0.118
"P32","Patricia Bullrich por Juntos por el Cambio",0.073,0.705,0.281,0.105,0.363,0.253
"P32","Javier Milei por los liberales libertarios",0.016,0.068,0.68,0.004,0.041,0.022
"P32","Nicolás del Caño por la izquierda",0.036,0.012,0.004,0.83,0.004,0.025
"P32","Otro candidato",0.141,0.085,0.002,0.008,0.389,0.11
"P32","Aún no lo tengo decidido",0.14,0.068,0.011,0,0.085,0.472
"P34","Sergio Massa presidente por el Frente de Todos",0.59,0.096,0.031,0.04,0.133,0.1
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.108,0.803,0.03,0.017,0.069,0.098
"P34","Javier Milei por los liberales libertarios",0.022,0.025,0.916,0.084,0.015,0.028
"P34","Nicolás del Caño por la izquierda",0.025,0.001,0.001,0.707,0.019,0.006
"P34","Otro candidato",0.138,0.043,0.013,0.014,0.683,0.064
"P34","Aún no lo tengo decidido",0.117,0.032,0.009,0.138,0.081,0.704
"P37","Sergio Massa presidente por el Frente de Todos",0.659,0.061,0.011,0.034,0.086,0.135
"P37","Mauricio Macri por Juntos por el Cambio",0.044,0.763,0.15,0.036,0.308,0.222
"P37","Javier Milei por los liberales libertarios",0.039,0.039,0.818,0,0.015,0.049
"P37","Nicolás del Caño por la izquierda",0.018,0.014,0.005,0.703,0.006,0
"P37","Otro candidato",0.153,0.08,0.012,0.021,0.483,0.033
"P37","Aún no lo tengo decidido",0.087,0.043,0.004,0.206,0.102,0.561
"P38","Alberto Fernández por el Frente de Todos",0.626,0.045,0.006,0.049,0.06,0.094
"P38","Mauricio Macri por Juntos por el Cambio",0.042,0.751,0.175,0.042,0.335,0.243
"P38","Javier Milei por los liberales libertarios",0.026,0.047,0.793,0.008,0.023,0.017
"P38","Nicolás del Caño por la izquierda",0.042,0.013,0.002,0.749,0.015,0
"P38","Otro candidato",0.169,0.097,0.018,0.031,0.468,0.087
"P38","Aún no lo tengo decidido",0.095,0.047,0.006,0.121,0.099,0.559
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.89,0.096,0.022,0.393,0.128,0.193
"P39","Mauricio Macri por Juntos por el Cambio",0.065,0.796,0.584,0.124,0.504,0.387
"P39","No sabe",0.045,0.108,0.394,0.483,0.368,0.42
"P40","Alberto Fernández por el Frente de Todos",0.712,0.054,0.049,0.253,0.103,0.185
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.08,0.914,0.402,0.117,0.37,0.259
"P40","No sabe",0.208,0.032,0.549,0.63,0.527,0.556
"P41","Sergio Massa presidente por el Frente de Todos",0.725,0.101,0.032,0.369,0.142,0.155
"P41","Patricia Bullrich por Juntos por el Cambio",0.08,0.81,0.712,0.165,0.523,0.352
"P41","No sabe",0.195,0.089,0.256,0.466,0.335,0.493
"P42","Sergio Massa presidente por el Frente de Todos",0.753,0.08,0.048,0.392,0.153,0.127
"P42","Mauricio Macri por Juntos por el Cambio",0.066,0.827,0.679,0.065,0.541,0.353
"P42","No sabe",0.181,0.093,0.273,0.543,0.306,0.52
"P43","Sergio Massa presidente por el Frente de Todos",0.737,0.084,0.012,0.501,0.166,0.133
"P43","Javier Milei por los liberales libertarios",0.074,0.439,0.914,0.042,0.227,0.25
"P43","No sabe",0.189,0.477,0.074,0.457,0.607,0.617
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.147,0.702,0.039,0.258,0.235,0.161
"P44","Javier Milei por los liberales libertarios",0.069,0.151,0.911,0.014,0.222,0.095
"P44","No sabe",0.784,0.147,0.05,0.728,0.543,0.744
"P45","Muy buena",0.107,0.063,0.005,0.011,0.031,0.024
"P45","Buena",0.296,0.035,0.087,0.047,0.053,0.033
"P45","Ni buena ni mala",0.394,0.065,0.042,0.36,0.171,0.284
"P45","Mala",0.121,0.127,0.071,0.168,0.153,0.132
"P45","Muy mala",0.062,0.703,0.794,0.414,0.566,0.485
"P45","No sabe",0.02,0.007,0.001,0,0.026,0.042
"P46","Muy buena",0.14,0.023,0.014,0,0.006,0.046
"P46","Buena",0.288,0.029,0.01,0.104,0.034,0.032
"P46","Ni buena ni mala",0.359,0.073,0.04,0.308,0.175,0.254
"P46","Mala",0.115,0.112,0.084,0.136,0.178,0.136
"P46","Muy mala",0.09,0.76,0.843,0.452,0.601,0.456
"P46","No sabe",0.008,0.003,0.009,0,0.006,0.076
"P47","Muy buena",0.664,0.042,0.016,0.06,0.026,0.106
"P47","Buena",0.166,0.018,0.004,0.141,0.023,0.063
"P47","Ni buena ni mala",0.073,0.032,0.039,0.229,0.121,0.161
"P47","Mala",0.028,0.087,0.047,0.164,0.135,0.121
"P47","Muy mala",0.061,0.818,0.889,0.406,0.695,0.544
"P47","No sabe",0.008,0.003,0.005,0,0,0.005
"P48","Muy buena",0.055,0.328,0.167,0.025,0.2,0.15
"P48","Buena",0.045,0.333,0.213,0.023,0.142,0.148
"P48","Ni buena ni mala",0.059,0.15,0.265,0.138,0.171,0.259
"P48","Mala",0.178,0.086,0.124,0.209,0.218,0.17
"P48","Muy mala",0.653,0.102,0.23,0.588,0.263,0.231
"P48","No sabe",0.01,0.001,0.001,0.017,0.006,0.042
"P49","Muy buena",0.033,0.361,0.04,0.019,0.06,0.039
"P49","Buena",0.065,0.433,0.171,0.02,0.118,0.199
"P49","Ni buena ni mala",0.126,0.149,0.261,0.15,0.487,0.326
"P49","Mala",0.226,0.027,0.193,0.26,0.185,0.172
"P49","Muy mala",0.528,0.027,0.317,0.469,0.135,0.187
"P49","No sabe",0.022,0.003,0.018,0.082,0.015,0.077
"P50","Muy buena",0.156,0.054,0.013,0.027,0.04,0.085
"P50","Buena",0.349,0.049,0.05,0.079,0.059,0.12
"P50","Ni buena ni mala",0.292,0.175,0.067,0.187,0.198,0.256
"P50","Mala",0.087,0.184,0.156,0.289,0.16,0.113
"P50","Muy mala",0.097,0.532,0.704,0.407,0.487,0.348
"P50","No sabe",0.019,0.006,0.01,0.011,0.056,0.078
"P51","Muy buena",0.041,0.45,0.372,0.1,0.311,0.2
"P51","Buena",0.069,0.265,0.262,0.025,0.164,0.16
"P51","Ni buena ni mala",0.081,0.141,0.16,0.109,0.189,0.209
"P51","Mala",0.132,0.051,0.062,0.056,0.1,0.067
"P51","Muy mala",0.659,0.088,0.135,0.71,0.212,0.265
"P51","No sabe",0.018,0.005,0.009,0,0.024,0.099
"P52","Muy buena",0.031,0.07,0.609,0,0.06,0.052
"P52","Buena",0.021,0.224,0.25,0.016,0.148,0.075
"P52","Ni buena ni mala",0.11,0.401,0.09,0.101,0.31,0.359
"P52","Mala",0.141,0.172,0.025,0.091,0.194,0.098
"P52","Muy mala",0.667,0.122,0.024,0.773,0.253,0.348
"P52","No sabe",0.03,0.011,0.002,0.019,0.035,0.068
"P53","Muy buena",0.029,0.341,0.144,0.103,0.117,0.117
"P53","Buena",0.032,0.34,0.218,0.026,0.207,0.166
"P53","Ni buena ni mala",0.088,0.202,0.289,0.189,0.283,0.339
"P53","Mala",0.159,0.046,0.146,0.187,0.133,0.114
"P53","Muy mala",0.674,0.069,0.199,0.476,0.232,0.156
"P53","No sabe",0.018,0.002,0.004,0.019,0.028,0.108
"P54","Muy buena",0.165,0.038,0.023,0.009,0.019,0.041
"P54","Buena",0.338,0.085,0.018,0.051,0.081,0.052
"P54","Ni buena ni mala",0.325,0.139,0.094,0.213,0.228,0.326
"P54","Mala",0.058,0.186,0.172,0.243,0.188,0.14
"P54","Muy mala",0.095,0.55,0.68,0.484,0.48,0.35
"P54","No sabe",0.019,0.002,0.013,0,0.004,0.091
"P55","Muy buena",0.047,0.092,0.037,0.117,0.082,0.101
"P55","Buena",0.168,0.203,0.058,0.042,0.155,0.135
"P55","Ni buena ni mala",0.333,0.36,0.279,0.355,0.299,0.35
"P55","Mala",0.187,0.162,0.17,0.129,0.123,0.102
"P55","Muy mala",0.182,0.166,0.356,0.326,0.263,0.163
"P55","No sabe",0.083,0.017,0.1,0.031,0.078,0.149
"P57","Siempre",0.334,0.333,0.299,0.294,0.244,0.217
"P57","Casi siempre",0.346,0.422,0.369,0.488,0.371,0.482
"P57","Casi nunca",0.215,0.171,0.228,0.154,0.285,0.23
"P57","Nunca, pero esta es una excepción",0.105,0.074,0.104,0.064,0.1,0.071
"P58","Si",0.623,0.62,0.615,0.556,0.529,0.484
"P58","No",0.377,0.38,0.385,0.444,0.471,0.516
