"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P22","La votaría",0.257,0.159,0.04
"P22","Puede que la vote",0.335,0.308,0.105
"P22","Nunca la votaría",0.346,0.476,0.761
"P22","No sabe",0.062,0.057,0.094
"P23","Lo votaría",0.045,0.015,0.122
"P23","Puede que lo vote",0.1,0.09,0.342
"P23","Nunca lo votaría",0.812,0.869,0.449
"P23","No sabe",0.043,0.026,0.087
"P24","Lo votaría",0.106,0.017,0.018
"P24","Puede que lo vote",0.291,0.128,0.107
"P24","Nunca lo votaría",0.53,0.77,0.762
"P24","No sabe",0.073,0.085,0.113
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.125,0.043,0.581
"P26","Alberto Fernández por el Frente de Todos",0.021,0.017,0.048
"P26","Mauricio Macri por Juntos por el cambio",0.228,0.145,0.114
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.255,0.041,0.037
"P26","Patricia Bullrich por Juntos por el Cambio",0.226,0.207,0.077
"P26","Facundo Manes por Juntos por el Cambio",0.071,0.018,0.028
"P26","Javier Milei por los liberales libertarios",0.025,0.496,0.013
"P26","Nicolás del Caño por la izquierda",0.011,0.001,0.026
"P26","Aún no lo tengo decidido",0.038,0.032,0.076
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.361,0.054,0.032
"P27","Patricia Bullrich por Juntos por el Cambio",0.363,0.312,0.145
"P27","Facundo Manes por Juntos por el Cambio",0.064,0.026,0.021
"P27","Alberto Fernández por el Frente de Todos",0.018,0.012,0.195
"P27","Sergio Massa por el Frente de Todos",0.097,0.03,0.34
"P27","Javier Milei por los liberales libertarios",0.019,0.527,0.023
"P27","Nicolás del Caño por la izquierda",0.018,0.008,0.042
"P27","Otros candidatos",0.025,0.023,0.084
"P27","Aún no lo tengo decidido",0.035,0.008,0.118
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.157,0.058,0.611
"P28","Mauricio Macri por Juntos por el Cambio",0.554,0.231,0.14
"P28","Javier Milei por los liberales libertarios",0.054,0.62,0.04
"P28","Nicolás del Caño por la izquierda",0.021,0.013,0.035
"P28","Otro candidato",0.153,0.035,0.059
"P28","Aún no lo tengo decidido",0.061,0.043,0.115
