"var","categoria","A Gustavo Menéndez","A Karina Menéndez","A Florencia Lizaraso","No sabe"
"P20","El deporte y la cultura",0.004,0.014,0,0.011
"P20","La obra pública",0.015,0.027,0,0.022
"P20","La luminaria",0.006,0.082,0,0
"P20","No sabe",0.155,0.014,0.529,0.056
"P21","La seguridad",0.413,0.475,0.033,0.046
"P21","El tránsito",0.004,0.013,0.373,0.011
"P21","El arreglo de las calles",0.058,0.4,0.011,0.081
"P21","El estado de las escuelas y la educación",0.171,0.013,0.011,0.735
"P21","El sistema de salud",0.156,0.013,0.045,0.023
"P21","El deporte y la cultura",0,0.006,0,0.046
"P21","La obra pública",0.006,0,0,0.023
"P21","La luminaria",0.055,0.054,0,0.012
"P21","No sabe",0.137,0.026,0.527,0.023
"P22","Agua corriente y cloacas",0.409,0.572,0.445,0.123
"P22","Energía eléctrica",0.066,0,0.52,0.037
"P22","Red de gas natural",0.303,0.374,0,0.025
"P22","Recolección de residuos",0.105,0.014,0.012,0.049
"P22","Ninguno",0.117,0.04,0.023,0.766
"P23","Los robos",0.605,0.903,0.012,0.155
"P23","El narcotráfico",0.233,0.013,0,0.036
"P23","La ausencia de patrulleros y personal policial",0.022,0.052,0.977,0.024
"P23","Otro",0.091,0.006,0,0.024
"P23","Ninguno",0.049,0.026,0.011,0.761
"P24","Muy buena",0.394,0.477,0.024,0.034
"P24","Buena",0.263,0.066,0.049,0.085
"P24","Ni buena ni mala",0.056,0.402,0.854,0.051
"P24","Mala",0.151,0.018,0.073,0.034
"P24","Muy mala",0.123,0,0,0.676
"P24","No sabe",0.013,0.037,0,0.12
"P25","Muy buena",0.216,0.516,0.06,0.047
"P25","Buena",0.232,0.067,0.06,0.094
"P25","Ni buena ni mala",0.265,0.141,0.091,0.187
"P25","Mala",0.187,0.055,0.105,0.047
"P25","Muy mala",0.096,0,0,0.555
"P25","No sabe",0.004,0.221,0.684,0.07
"P26","Muy buena",0.256,0.59,0.03,0.047
"P26","Buena",0.266,0.333,0.091,0.07
"P26","Ni buena ni mala",0.208,0.066,0.744,0.188
"P26","Mala",0.166,0.011,0.075,0.07
"P26","Muy mala",0.1,0,0.03,0.555
"P26","No sabe",0.004,0,0.03,0.07
"P27","Muy buena",0.118,0.085,0.032,0
"P27","Buena",0.113,0.068,0,0
"P27","Ni buena ni mala",0.388,0.547,0.89,0.047
"P27","Mala",0.185,0.108,0,0.142
"P27","Muy mala",0.113,0,0,0.621
"P27","No sabe",0.083,0.192,0.078,0.19
"P28","Muy buena",0.043,0.559,0,0
"P28","Buena",0.199,0.319,0,0.048
"P28","Ni buena ni mala",0.535,0.099,0.854,0.738
"P28","Mala",0.122,0,0.063,0.071
"P28","Muy mala",0.017,0,0,0.024
"P28","No sabe",0.084,0.023,0.083,0.119
"P29","Muy buena",0.024,0,0,0
"P29","Buena",0.141,0.024,0,0.024
"P29","Ni buena ni mala",0.326,0.685,0.82,0.096
"P29","Mala",0.094,0.024,0.032,0.12
"P29","Muy mala",0.299,0.012,0,0.639
"P29","No sabe",0.116,0.255,0.148,0.121
"P30","Muy buena",0.128,0,0,0.024
"P30","Buena",0.16,0.025,0,0.024
"P30","Ni buena ni mala",0.296,0.583,0.819,0.097
"P30","Mala",0.126,0.15,0.097,0.072
"P30","Muy mala",0.24,0.242,0.052,0.686
"P30","No sabe",0.05,0,0.032,0.097
"P31","Muy buena",0.005,0,0,0
"P31","Buena",0.013,0.574,0,0.024
"P31","Ni buena ni mala",0.387,0.135,0.778,0.097
"P31","Mala",0.09,0.012,0.101,0.097
"P31","Muy mala",0.245,0.077,0.054,0.588
"P31","No sabe",0.26,0.202,0.067,0.194
"P32","Muy buena",0.005,0,0.033,0
"P32","Buena",0.013,0.473,0.034,0.024
"P32","Ni buena ni mala",0.395,0.187,0.745,0.66
"P32","Mala",0.072,0.012,0.067,0
"P32","Muy mala",0.122,0,0.054,0.097
"P32","No sabe",0.393,0.328,0.067,0.219
"P33","Muy buena",0.009,0,0.034,0
"P33","Buena",0.005,0.473,0,0
"P33","Ni buena ni mala",0.422,0.199,0.845,0.733
"P33","Mala",0.036,0.012,0,0.049
"P33","Muy mala",0.122,0,0.054,0.097
"P33","No sabe",0.406,0.316,0.067,0.121
"P34","Muy buena",0.142,0.012,0.033,0.073
"P34","Buena",0.071,0.392,0.034,0.612
"P34","Ni buena ni mala",0.359,0.086,0.745,0.145
"P34","Mala",0.045,0.498,0.067,0.073
"P34","Muy mala",0.104,0.012,0.121,0.073
"P34","No sabe",0.279,0,0,0.024
"P35","Muy buena",0.118,0,0.033,0.024
"P35","Buena",0.013,0.012,0.034,0.515
"P35","Ni buena ni mala",0.16,0.037,0.711,0
"P35","Mala",0.158,0.138,0.034,0.073
"P35","Muy mala",0.509,0.813,0.188,0.388
"P35","No sabe",0.042,0,0,0
"P36","Muy buena",0.426,0.184,0.912,0.879
"P36","Buena",0.027,0.242,0.034,0.024
"P36","Ni buena ni mala",0.139,0.012,0,0.049
"P36","Mala",0.113,0.077,0,0.024
"P36","Muy mala",0.295,0.473,0.054,0.024
"P36","No sabe",0,0.012,0,0
"P37","Muy buena",0.134,0,0.711,0.588
"P37","Buena",0.135,0.025,0.034,0.024
"P37","Ni buena ni mala",0.043,0.254,0,0
"P37","Mala",0.242,0.163,0.067,0.097
"P37","Muy mala",0.446,0.546,0.188,0.291
"P37","No sabe",0,0.012,0,0
"P38","Muy buena",0.136,0.024,0.765,0.049
"P38","Buena",0.351,0.276,0.067,0.218
"P38","Ni buena ni mala",0.074,0.178,0.168,0.66
"P38","Mala",0.207,0.049,0,0.049
"P38","Muy mala",0.232,0.473,0,0.024
"P38","No sabe",0,0,0,0
"P39","Muy buena",0.113,0,0.765,0
"P39","Buena",0.18,0.012,0.033,0.024
"P39","Ni buena ni mala",0.025,0.025,0,0.515
"P39","Mala",0.178,0.15,0.034,0.049
"P39","Muy mala",0.504,0.813,0.168,0.388
"P39","No sabe",0,0,0,0.024
"P40","Muy buena",0.1,0,0.765,0
"P40","Buena",0.126,0,0.033,0
"P40","Ni buena ni mala",0.027,0,0,0
"P40","Mala",0.216,0.635,0.034,0.073
"P40","Muy mala",0.531,0.353,0.168,0.879
"P40","No sabe",0,0.012,0,0.048
