"var","categoria","A Gustavo Menéndez por el Frente de Todos","A Raúl Othacehé por un partido vecinal","A David Zencich por Juntos por el Cambio","A Pablo Cocuzza por Juntos por el Cambio","Al candidato de Javier Milei por La Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P37","Muy buena",0.061,0.104,0.249,0.073,0.087,0.225,0,0.021
"P37","Buena",0.083,0.092,0.185,0.288,0.1,0,0.045,0.033
"P37","Ni buena ni mala",0.133,0.344,0.234,0.202,0.305,0.331,0.376,0.44
"P37","Mala",0.216,0.065,0.117,0.17,0.204,0.157,0.18,0.11
"P37","Muy mala",0.507,0.377,0.211,0.267,0.283,0.287,0.314,0.273
"P37","No sabe",0,0.018,0.004,0,0.021,0,0.085,0.123
"P38","Muy buena",0.134,0.114,0.057,0,0,0.097,0,0
"P38","Buena",0.366,0.094,0.103,0.051,0.094,0.094,0.029,0.313
"P38","Ni buena ni mala",0.255,0.246,0.084,0.27,0.192,0.239,0.357,0.312
"P38","Mala",0.073,0.252,0.206,0.175,0.232,0.07,0.115,0.172
"P38","Muy mala",0.172,0.277,0.55,0.504,0.465,0.476,0.415,0.129
"P38","No sabe",0,0.017,0,0,0.017,0.024,0.084,0.074
"P39","Muy buena",0.058,0.187,0.399,0.238,0.149,0,0,0.018
"P39","Buena",0.113,0.028,0.203,0.126,0.203,0.027,0.083,0.198
"P39","Ni buena ni mala",0.068,0.158,0.15,0.072,0.296,0.157,0.17,0.17
"P39","Mala",0.136,0.276,0.037,0.204,0.181,0.194,0.131,0.202
"P39","Muy mala",0.625,0.334,0.211,0.264,0.154,0.587,0.532,0.291
"P39","No sabe",0,0.017,0,0.096,0.017,0.035,0.084,0.121
"P40","Muy buena",0.038,0.032,0.16,0.126,0.481,0,0,0
"P40","Buena",0.013,0.105,0.201,0.077,0.224,0,0,0.011
"P40","Ni buena ni mala",0.076,0.22,0.397,0.174,0.13,0.218,0.112,0.262
"P40","Mala",0.271,0.301,0.106,0.315,0.058,0.085,0.234,0.142
"P40","Muy mala",0.575,0.294,0.136,0.26,0.084,0.697,0.654,0.417
"P40","No sabe",0.027,0.048,0,0.048,0.023,0,0,0.168
