"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654"
"Horacio Rodríguez Larreta","No sabe",0.017,0.014,0.022,0,0.027,0.013,0.016,0.002,0.037,0.015,0.03,0.019,0,0.014
"CFK","Positiva",0.286,0.267,0.31,0.177,0.23,0.368,0.388,0.28,0.252,0.344,0.213,0.379,0.251,0.153
"CFK","Neutra",0.077,0.068,0.087,0.013,0.105,0.11,0.008,0.075,0.084,0.071,0.062,0.089,0.042,0.12
"CFK","Negativa",0.625,0.653,0.59,0.81,0.644,0.517,0.593,0.643,0.636,0.579,0.695,0.52,0.707,0.727
"CFK","No sabe",0.012,0.012,0.013,0,0.021,0.005,0.011,0.002,0.028,0.006,0.03,0.012,0,0
"María Luján Rey","Positiva",0.133,0.145,0.12,0.073,0.097,0.133,0.27,0.143,0.095,0.168,0.185,0.071,0.201,0.073
"María Luján Rey","Neutra",0.359,0.333,0.388,0.316,0.43,0.346,0.234,0.295,0.426,0.371,0.206,0.413,0.312,0.346
"María Luján Rey","Negativa",0.291,0.254,0.334,0.398,0.301,0.26,0.234,0.337,0.228,0.3,0.404,0.241,0.211,0.318
"María Luján Rey","No sabe",0.217,0.268,0.158,0.213,0.172,0.261,0.262,0.225,0.251,0.161,0.205,0.275,0.276,0.263
"Mauricio Macri","Positiva",0.248,0.231,0.268,0.351,0.206,0.203,0.34,0.281,0.218,0.236,0.176,0.154,0.36,0.271
"Mauricio Macri","Neutra",0.164,0.186,0.138,0.029,0.208,0.159,0.173,0.096,0.233,0.177,0.269,0.183,0.147,0.123
"Mauricio Macri","Negativa",0.562,0.563,0.562,0.62,0.56,0.631,0.41,0.591,0.512,0.587,0.513,0.655,0.493,0.567
"Mauricio Macri","No sabe",0.026,0.02,0.032,0,0.026,0.007,0.077,0.032,0.037,0,0.042,0.008,0,0.039
"Sergio Massa","Positiva",0.238,0.206,0.275,0.24,0.184,0.291,0.284,0.194,0.273,0.259,0.137,0.266,0.155,0.228
"Sergio Massa","Neutra",0.209,0.195,0.225,0.076,0.181,0.317,0.215,0.205,0.23,0.186,0.229,0.263,0.171,0.227
"Sergio Massa","Negativa",0.54,0.586,0.486,0.684,0.61,0.385,0.495,0.599,0.462,0.555,0.595,0.463,0.674,0.531
"Sergio Massa","No sabe",0.013,0.013,0.014,0,0.025,0.007,0.006,0.002,0.035,0,0.039,0.008,0,0.014
"Karina Menéndez","Positiva",0.176,0.166,0.186,0.111,0.168,0.198,0.21,0.182,0.164,0.182,0.151,0.233,0.149,0.078
"Karina Menéndez","Neutra",0.271,0.258,0.286,0.301,0.231,0.276,0.341,0.209,0.312,0.316,0.276,0.269,0.265,0.269
"Karina Menéndez","Negativa",0.467,0.464,0.471,0.498,0.526,0.408,0.388,0.514,0.412,0.464,0.496,0.439,0.373,0.521
"Karina Menéndez","No sabe",0.086,0.112,0.057,0.09,0.075,0.118,0.061,0.095,0.112,0.038,0.077,0.059,0.213,0.132
"Gustavo Menéndez","Positiva",0.182,0.184,0.18,0.03,0.168,0.254,0.263,0.186,0.169,0.198,0.238,0.199,0.165,0.183
"Gustavo Menéndez","Neutra",0.224,0.214,0.237,0.29,0.18,0.23,0.27,0.192,0.232,0.269,0.149,0.226,0.195,0.143
"Gustavo Menéndez","Negativa",0.569,0.58,0.555,0.68,0.629,0.462,0.461,0.599,0.568,0.515,0.593,0.541,0.64,0.65
"Gustavo Menéndez","No sabe",0.025,0.022,0.028,0,0.023,0.054,0.006,0.023,0.031,0.018,0.02,0.034,0,0.024
"Raúl Othacehé","Positiva",0.159,0.193,0.118,0.106,0.091,0.164,0.358,0.184,0.143,0.138,0.213,0.122,0.23,0.125
"Raúl Othacehé","Neutra",0.275,0.283,0.266,0.126,0.337,0.271,0.245,0.305,0.292,0.205,0.188,0.381,0.198,0.228
"Raúl Othacehé","Negativa",0.498,0.446,0.559,0.622,0.537,0.463,0.361,0.456,0.469,0.604,0.543,0.417,0.46,0.579
"Raúl Othacehé","No sabe",0.068,0.078,0.057,0.146,0.035,0.102,0.036,0.055,0.096,0.053,0.056,0.08,0.112,0.068
"Alberto Fernández","Positiva",0.146,0.125,0.172,0.091,0.13,0.147,0.234,0.144,0.162,0.13,0.057,0.207,0.183,0.108
"Alberto Fernández","Neutra",0.223,0.239,0.204,0.143,0.203,0.3,0.213,0.21,0.23,0.233,0.127,0.316,0.249,0.202
"Alberto Fernández","Negativa",0.548,0.553,0.541,0.731,0.581,0.461,0.454,0.53,0.537,0.591,0.71,0.423,0.551,0.524
"Alberto Fernández","No sabe",0.083,0.083,0.083,0.035,0.086,0.092,0.099,0.116,0.071,0.046,0.106,0.054,0.017,0.166
"Florencia Lizaraso","Positiva",0.053,0.064,0.04,0.074,0.044,0.061,0.049,0.054,0.041,0.065,0.072,0.038,0.031,0
"Florencia Lizaraso","Neutra",0.407,0.358,0.465,0.338,0.428,0.422,0.382,0.314,0.497,0.432,0.322,0.385,0.51,0.38
"Florencia Lizaraso","Negativa",0.205,0.215,0.192,0.215,0.271,0.144,0.128,0.254,0.152,0.199,0.298,0.179,0.12,0.256
"Florencia Lizaraso","No sabe",0.335,0.363,0.303,0.373,0.257,0.373,0.441,0.378,0.31,0.304,0.308,0.398,0.339,0.364
"Flavia Luz Tesone","Positiva",0.031,0.041,0.018,0,0.034,0.04,0.033,0.041,0.028,0.018,0.068,0.017,0.053,0
"Flavia Luz Tesone","Neutra",0.444,0.395,0.503,0.337,0.434,0.522,0.429,0.353,0.53,0.473,0.356,0.486,0.473,0.359
"Flavia Luz Tesone","Negativa",0.21,0.25,0.163,0.3,0.286,0.11,0.111,0.289,0.13,0.193,0.28,0.185,0.123,0.254
"Flavia Luz Tesone","No sabe",0.315,0.314,0.316,0.363,0.246,0.328,0.427,0.317,0.312,0.316,0.296,0.312,0.351,0.387
