"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur"
"Alberto Fernandez","Negativa",0.513,0.541,0.487,0.575,0.459,0.536,0.552,0.448,0.526,0.571,0.502,0.518,0.524
"Alberto Fernandez","No sabe",0.014,0.006,0.021,0.015,0.017,0.01,0.009,0.003,0.02,0.017,0.021,0.006,0.01
"Sergio Massa","Positiva",0.299,0.3,0.299,0.238,0.331,0.284,0.321,0.322,0.313,0.249,0.286,0.36,0.292
"Sergio Massa","Neutra",0.181,0.186,0.175,0.241,0.196,0.123,0.128,0.228,0.167,0.145,0.156,0.165,0.214
"Sergio Massa","Negativa",0.513,0.505,0.52,0.521,0.47,0.571,0.541,0.435,0.514,0.604,0.55,0.467,0.488
"Sergio Massa","No sabe",0.007,0.009,0.006,0,0.003,0.022,0.01,0.015,0.006,0.002,0.008,0.008,0.006
"Mauricio Macri","Positiva",0.278,0.264,0.292,0.276,0.211,0.355,0.367,0.29,0.245,0.318,0.304,0.218,0.271
"Mauricio Macri","Neutra",0.169,0.159,0.178,0.146,0.18,0.183,0.15,0.148,0.193,0.156,0.177,0.166,0.161
"Mauricio Macri","Negativa",0.547,0.574,0.522,0.578,0.607,0.449,0.472,0.554,0.559,0.518,0.515,0.602,0.563
"Mauricio Macri","No sabe",0.006,0.003,0.008,0,0.002,0.013,0.011,0.008,0.003,0.008,0.004,0.014,0.005
"CFK","Positiva",0.311,0.31,0.311,0.175,0.376,0.329,0.293,0.324,0.306,0.303,0.311,0.199,0.351
"CFK","Neutra",0.104,0.079,0.128,0.134,0.123,0.047,0.095,0.133,0.111,0.059,0.125,0.127,0.073
"CFK","Negativa",0.574,0.604,0.545,0.668,0.497,0.61,0.602,0.535,0.565,0.633,0.559,0.631,0.569
"CFK","No sabe",0.011,0.007,0.016,0.023,0.004,0.014,0.01,0.008,0.018,0.005,0.005,0.043,0.007
